id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_TeamFormation;value_Captain;value_Resume;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_KickOff;value_Length;value_Zone;value_PassEndX;value_Angle;value_PassEndY;value_Launch;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Offensive;value_Defensive;value_TouchTypePass;value_Chipped;value_TouchTypeClearance;value_Defensive1V1;value_TakeOnOvertake;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_OutSwinger;value_Cross;value_RightFooted;value_OutOfPlay;value_Left;value_InSwinger;value_CornerTaken;value_Head;value_BlockedPass;value_BlockedCross;value_PlayersCaughtOffside;value_Indirect;value_Handball;value_TouchTypeControl;value_LeftFooted;value_GoalmouthY;value_NotAssisted;value_FromCorner;value_IndividualPlay;value_FirstTouch;value_BlockedX;value_HighLeft;value_BlockedY;value_GoalmouthZ;value_OutOfBoxCentre;value_HighGkIntervention;value_Hands;value_ParriedSafe;value_Reaching;value_NextEventGoalKick;value_Low;value_GoalKick;value_LeadingToGoal;value_TakeOnSpace;value_GkXTimeOfGoal;value_KeeperTouched;value_GkY;value_RegularPlay;value_GoalShotTimestamp;value_FollowsADribble;value_LowLeft;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkX;value_BoxCentre;value_RelatedError1Id;value_FlickOn;value_LayOff;value_Right;value_IntendedTackleTarget;value_SwitchOfPlay;value_Shove/Push;value_IntentionalAssist;value_Assist;value_BigChance;value_Assisted;value_RelatedEventId;value_LowCentre;value_LowRight;value_BoxLeft;value_Overrun;value_OtherObstacle;value_BallHitsReferee;value_LowGkIntervention;value_KeeperThrow;value_ShirtPull/Holding;value_Diving;value_NotPastGoalLine;value_SixYardBlocked;value_Blocked;value_DefBlock;value_MediumGkIntervention;value_GkKickFromHands;value_FreeKick;value_CloseLeft;value_SwerveLeft;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistedBy;value_BoxRight;value_CloseRightAndHigh;value_Sliding;value_OtherBodyPart;value_Volley;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_DrivenCross;value_Straight;value_CloseRight;value_SetPiece;value_CloseHigh;value_High;value_YellowCard;value_RecklessOffence;value_Review;value_ThroughBall;value_BlockedClearance;value_HighCentre;value_TacticalFoul;value_NotVisible;value_TimeWasting;value_HighRight;value_Collected;value_GkHoof;value_SmallBoxLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_NewStartTime;value_OtherReason;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2683612385;205;1;1;18;29;cbip96wzs3jc2xadoluhhxotl;0;40,0;74,9;2024-05-06T01:35:36.327Z;2024-05-06T01:35:39Z;[{'id': 5009290691, 'qualifierId': 1}, {'id': 5009290683, 'qualifierId': 140, 'value': '70.1'}, {'id': 5009290687, 'qualifierId': 212, 'value': '47.9'}, {'id': 5009290681, 'qualifierId': 56, 'value': 'Center'}, {'id': 5009290689, 'qualifierId': 213, 'value': '5.43'}, {'id': 5009290685, 'qualifierId': 141, 'value': '22.0'}, {'id': 5009290679, 'qualifierId': 155}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;47,9;;70,1;5,43;22,0;;1,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;70,1;22,0;;;;;;;0;0;18;29;Los Angeles II;1109;DC;1,0
2683612387;167;1;1;18;34;6gaq85erpkvbyxvivd96wuw44;1;24,6;84,6;2024-05-06T01:35:40.725Z;2024-05-11T11:19:30Z;[{'id': 5009290699, 'qualifierId': 56, 'value': 'Center'}, {'id': 5019076227, 'qualifierId': 140, 'value': '53.8'}, {'id': 5019076223, 'qualifierId': 3}, {'id': 5019076235, 'qualifierId': 212, 'value': '31.2'}, {'id': 5019076239, 'qualifierId': 213, 'value': '6.11'}, {'id': 5019076231, 'qualifierId': 141, 'value': '76.5'}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;31,2;;53,8;6,11;76,5;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;53,8;76,5;;;;;;;0;0;18;34;Real Monarchs;1114;DC;1,0
2683612393;168;49;1;18;35;6gaq85erpkvbyxvivd96wuw44;1;55,4;88,7;2024-05-06T01:35:42.254Z;2024-05-06T01:35:42Z;[];18b4rpeia26xq688ieqaw2z2s;A. Wibowo;;;co552nhc287spc4l0ch6pphjo;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;18;35;Real Monarchs;1115;ML;1,0
2683612399;169;1;1;18;36;6gaq85erpkvbyxvivd96wuw44;1;57,7;89,1;2024-05-06T01:35:43.181Z;2024-05-06T01:35:47Z;[{'id': 5009290747, 'qualifierId': 140, 'value': '81.5'}, {'id': 5009290753, 'qualifierId': 213, 'value': '0.10'}, {'id': 5009290745, 'qualifierId': 56, 'value': 'Left'}, {'id': 5009290751, 'qualifierId': 212, 'value': '25.1'}, {'id': 5009290749, 'qualifierId': 141, 'value': '92.7'}];18b4rpeia26xq688ieqaw2z2s;A. Wibowo;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;25,1;;81,5;0,1;92,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;81,5;92,7;;;;;;;0;0;18;36;Real Monarchs;1116;ML;1,0
2683612403;170;1;1;18;40;6gaq85erpkvbyxvivd96wuw44;0;94,2;80,5;2024-05-06T01:35:46.997Z;2024-05-11T11:19:47Z;[{'id': 5009290783, 'qualifierId': 213, 'value': '4.72'}, {'id': 5019076787, 'qualifierId': 72}, {'id': 5009290777, 'qualifierId': 140, 'value': '94.7'}, {'id': 5009290773, 'qualifierId': 155}, {'id': 5019076785, 'qualifierId': 224}, {'id': 5009290947, 'qualifierId': 1}, {'id': 5009290781, 'qualifierId': 212, 'value': '55.4'}, {'id': 5009290775, 'qualifierId': 56, 'value': 'Right'}, {'id': 5009290779, 'qualifierId': 141, 'value': '0.0'}, {'id': 5009290771, 'qualifierId': 2}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;55,4;;94,7;4,72;0,0;;1,0;;;;;;;;;1,0;;;;;;;;1,0;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;94,7;0,0;;;;;;;0;0;18;40;Real Monarchs;1120;DC;1,0
2683612411;206;43;1;18;44;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-05-06T01:35:51.093Z;2024-05-06T01:35:58Z;[{'id': 5009290819, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009290905, 'qualifierId': 144, 'value': '12'}, {'id': 5009290827, 'qualifierId': 213, 'value': '1.39'}, {'id': 5009290823, 'qualifierId': 141, 'value': '100.0'}, {'id': 5009290833, 'qualifierId': 167, 'value': '0'}, {'id': 5009290825, 'qualifierId': 212, 'value': '35.7'}, {'id': 5009290821, 'qualifierId': 140, 'value': '9.9'}];d8jipeh184bc6p9c0uervzytw;W. Mackay;;;co552nhc287spc4l0ch6pphjo;Deleted event;;;;;;;;;;;35,7;;9,9;1,39;100,0;;;;;;;12,0;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;9,9;100,0;;;;;;;0;0;18;44;Los Angeles II;1124;GK;1,0
2683612433;171;5;1;18;46;6gaq85erpkvbyxvivd96wuw44;0;92,5;-1,6;2024-05-06T01:35:52.561Z;2024-05-06T01:37:39Z;[{'id': 5009291829, 'qualifierId': 233, 'value': '207'}, {'id': 5009290977, 'qualifierId': 347}, {'id': 5009290975, 'qualifierId': 56, 'value': 'Right'}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;co552nhc287spc4l0ch6pphjo;Out;;;;;;;;;;;;;;;;;;;207,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;18;46;Real Monarchs;1126;DC;1,0
2683612413;207;5;1;18;46;cbip96wzs3jc2xadoluhhxotl;1;7,5;101,6;2024-05-06T01:35:52.561Z;2024-05-06T01:36:51Z;[{'id': 5009290829, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009290831, 'qualifierId': 347}, {'id': 5009291821, 'qualifierId': 233, 'value': '171'}];d8jipeh184bc6p9c0uervzytw;W. Mackay;;;co552nhc287spc4l0ch6pphjo;Out;;;;;;;;;;;;;;;;;;;171,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;18;46;Los Angeles II;1126;GK;1,0
2683612489;208;1;1;19;11;cbip96wzs3jc2xadoluhhxotl;1;10,9;100,0;2024-05-06T01:36:18.279Z;2024-05-06T01:36:21Z;[{'id': 5009291285, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009291293, 'qualifierId': 213, 'value': '5.57'}, {'id': 5009291289, 'qualifierId': 141, 'value': '96.5'}, {'id': 5009291287, 'qualifierId': 140, 'value': '14.9'}, {'id': 5009291291, 'qualifierId': 212, 'value': '5.5'}, {'id': 5009291283, 'qualifierId': 107}];asy97zdxk0352toy38huzk222;T. Silva;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;5,5;;14,9;5,57;96,5;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;14,9;96,5;;;;;;;0;0;19;11;Los Angeles II;1151;DC;1,0
2683612499;209;1;1;19;14;cbip96wzs3jc2xadoluhhxotl;1;16,1;87,9;2024-05-06T01:36:21.078Z;2024-05-06T01:36:24Z;[{'id': 5009291347, 'qualifierId': 141, 'value': '64.8'}, {'id': 5009291345, 'qualifierId': 140, 'value': '7.1'}, {'id': 5009291343, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009291349, 'qualifierId': 212, 'value': '18.3'}, {'id': 5009291351, 'qualifierId': 213, 'value': '4.17'}];7ditqci7td8u4wj4dmirr3qzu;B. Redžić;;;co552nhc287spc4l0ch6pphjo;Pass;;;;;;;;;;;18,3;;7,1;4,17;64,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;7,1;64,8;;;;;;;0;0;19;14;Los Angeles II;1154;ML;1,0
