id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_JerseyNumber;value_Captain;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_Length;value_Zone;value_KickOff;value_Angle;value_PassEndY;value_PassEndX;value_LongBall;value_Launch;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_DeletedEventType;value_Chipped;value_Head;value_OutOfPlay;value_Left;value_Right;value_CornerTaken;value_Cross;value_OutSwinger;value_RightFooted;value_IntendedTackleTarget;value_TakeOnOvertake;value_TouchTypeControl;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_TakeOnSpace;value_AttemptedTackle;value_BlockedPass;value_IntentionalAssist;value_LeftFooted;value_Assist;value_InSwinger;value_RegularPlay;value_GoalmouthZ;value_RelatedEventId;value_Assisted;value_GoalmouthY;value_LowCentre;value_BoxCentre;value_FirstTouch;value_BlockedY;value_BlockedX;value_Collected;value_Hands;value_MediumGkIntervention;value_Standing;value_OverArm;value_KeeperThrow;value_HighClaim;value_HighGkIntervention;value_FlickOn;value_NotVisible;value_TouchTypePass;value_GkY;value_GoalShotTimestamp;value_SwerveRight;value_BoxRight;value_GkX;value_LowRight;value_GoalShotGameClock;value_GkYTimeOfGoal;value_Strong;value_GkXTimeOfGoal;value_BlockedClearance;value_Shove/Push;value_LowGkIntervention;value_SwitchOfPlay;value_BoxDeepLeft;value_IndividualPlay;value_NotAssisted;value_Sliding;value_ParriedSafe;value_FromCorner;value_NextEventGoalKick;value_High;value_GoalKick;value_GkHoof;value_AerialFoul;value_OutOfBoxCentre;value_Diving;value_PlayersCaughtOffside;value_RecklessOffence;value_YellowCard;value_Indirect;value_KeeperTouched;value_FantasyAssistedBy;value_FantasyAssistId;value_SwerveLeft;value_HighLeft;value_FantasyAssistType;value_FantasyAssistTeam;value_FreeKick;value_CloseRight;value_BlockedCross;value_Minutes;value_NotPastGoalLine;value_DefBlock;value_EndType;value_BigChance;value_BoxLeft;value_Overrun;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_LowLeft;value_Blocked;value_Low;value_MisHit;value_Volley;value_Deflection;value_GkKickFromHands;value_HitLeftPost;value_HitWoodwork;value_ThroughBall;value_SetPiece;value_TacticalFoul;value_InjuredPlayerId;value_Injury;value_PullBack;value_CloseRightAndHigh;value_TempMissed;value_IncorrectOutOfPlayDecision;value_ThrowInSetPiece;value_FastBreak;value_Dissent;value_OutOnSideline;value_TimeWasting;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2694253815;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-06-02T22:12:07.839Z;2024-06-02T23:56:58Z;[{'id': 5067503211, 'qualifierId': 197, 'value': '3365'}, {'id': 5067413111, 'qualifierId': 59, 'value': '32, 27, 83, 48, 56, 53, 49, 59, 92, 52, 41, 44, 46, 54, 95, 97, 99'}, {'id': 5067624065, 'qualifierId': 194, 'value': 'dvk85r457e15hg0pw5rig0222'}, {'id': 5067413117, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067413115, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5067413113, 'qualifierId': 130, 'value': '2'}, {'id': 5067413109, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5067413107, 'qualifierId': 30, 'value': '1g87lk1nglquvmvpowjfpcpre, 5k3ijtizx5ten8jeqlji4mvpw, 3yk1gwm7jptmbal0vcwr24is4, 8hf35b309tq3wuc59xgshmbro, 57yplpr6jgwlqoon231ydqp04, 5et4reh22bzqjp1wcr5sqldnu, 4lyhopb6ddaz08hd5tu2pos9g, bhzjqo4qidpkmh7lqqir9h4ic, dvk85r457e15hg0pw5rig0222, 84wint64ygxx3pi5fz3mr12j8, 441plehxckmdj5gb2mr6y8ne2, 5n7a8mn92t3qajms7udeolmok, 3jw4ui4rr60p2jb2rt9hhoetw, 249t35evpr3aasx0uczjs2j9w, 4y4mypo5jyzbp0dtvm6y7ajxm, 9b02cix263jvavj538nkj3m6s, 1hfhnfbma8w2hxiin3dkxos9g'}];;;;;d8l5049gro9iusk2dv69ig8pg;Team set up;3365,0;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;The Town;0;;
2694254333;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-06-02T22:13:30.239Z;2024-06-03T00:48:44Z;[{'id': 5067416061, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067512767, 'qualifierId': 194, 'value': '1bmbt6h6bsiimpzxt07cqwfvu'}, {'id': 5067416055, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5067416059, 'qualifierId': 130, 'value': '4'}, {'id': 5067500145, 'qualifierId': 197, 'value': '15999'}, {'id': 5067416057, 'qualifierId': 59, 'value': '98, 33, 72, 38, 63, 66, 75, 60, 52, 50, 71, 54, 57, 59, 61, 62, 68, 78'}, {'id': 5067416053, 'qualifierId': 30, 'value': '4ss487gmb4rf044t895o21xm2, 3etb72wtwcrim97dyp9g2px5g, 3q8dpwqkikbugz3ikwcmkbg4q, 1on6mxrbdqnh12s4h1y0vb3mc, 35jkg2v338kipzlf0iwvvypuy, dqa88ma3jbk33lsyzo45uy2cq, 49ag6csupgt40gbs2snq1xs7o, 1bmbt6h6bsiimpzxt07cqwfvu, cac9hjmdwt1gsz0qt3f6d4b2s, dwyatw1wz3nrh1fcwu27ie8ve, 7jtxek694d60c5udhyv0zsjro, bpfl7nj8llr3dfadhtju52rro, 3zpzna6dbf6m5un6rhybawe8k, ekjdow8ebvcf1fnuqgds9wtg4, 1icuc2zoguvqpuy5574czxtec, 8ny66cgnzmopld97hokovaqz8, 4ozih7wnybdxb1wgvd5fkjp5g, f2nxaemhqi8kbtbejnqekgd4a'}, {'id': 5067416063, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d8l5049gro9iusk2dv69ig8pg;Team set up;15999,0;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2694269721;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-06-02T23:04:27.792Z;2024-06-07T16:50:39Z;[{'id': 5067501759, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d8l5049gro9iusk2dv69ig8pg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;The Town;0;;
2694269717;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-06-02T23:04:27.792Z;2024-06-02T23:04:27Z;[{'id': 5067501749, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d8l5049gro9iusk2dv69ig8pg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2694269725;3;1;1;0;1;eo64tqkioegeb09iice2hf8bt;1;50,0;50,0;2024-06-02T23:04:28.986Z;2024-06-07T10:35:38Z;[{'id': 5067501777, 'qualifierId': 212, 'value': '15.3'}, {'id': 5067501771, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067501781, 'qualifierId': 279, 'value': 'S'}, {'id': 5067501779, 'qualifierId': 213, 'value': '2.88'}, {'id': 5067501775, 'qualifierId': 141, 'value': '55.8'}, {'id': 5067501773, 'qualifierId': 140, 'value': '35.9'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;d8l5049gro9iusk2dv69ig8pg;Pass;;;;;;;;;;15,3;;;2,88;55,8;35,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;35,9;55,8;;;;;;;0;0;0;1;The Town;1;MC;1,0
2694269745;4;1;1;0;3;eo64tqkioegeb09iice2hf8bt;0;37,4;51,3;2024-06-02T23:04:31.075Z;2024-06-02T23:04:46Z;[{'id': 5067501877, 'qualifierId': 1}, {'id': 5067501871, 'qualifierId': 141, 'value': '19.1'}, {'id': 5067502229, 'qualifierId': 157}, {'id': 5067501867, 'qualifierId': 56, 'value': 'Right'}, {'id': 5067501875, 'qualifierId': 213, 'value': '5.86'}, {'id': 5067501873, 'qualifierId': 212, 'value': '53.3'}, {'id': 5067501869, 'qualifierId': 140, 'value': '83.7'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;d8l5049gro9iusk2dv69ig8pg;Pass;;;;;;;;;;53,3;;;5,86;19,1;83,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;83,7;19,1;;;;;;;0;0;0;3;The Town;3;DC;1,0
2694269753;3;1;1;0;7;ew2zirzye0sw1txr2m33nr25y;0;21,3;81,1;2024-06-02T23:04:34.884Z;2024-06-02T23:04:36Z;[{'id': 5067501951, 'qualifierId': 212, 'value': '25.3'}, {'id': 5067501945, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067501947, 'qualifierId': 140, 'value': '45.4'}, {'id': 5067501941, 'qualifierId': 3}, {'id': 5067501949, 'qualifierId': 141, 'value': '79.0'}, {'id': 5067501953, 'qualifierId': 213, 'value': '6.23'}];3q8dpwqkikbugz3ikwcmkbg4q;R. Ibarra;;;d8l5049gro9iusk2dv69ig8pg;Pass;;;;;;;;;;25,3;;;6,23;79,0;45,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;45,4;79,0;;;;;;;0;0;0;7;Vancouver Whitecaps II;7;DC;1,0
2694269779;5;44;1;0;8;eo64tqkioegeb09iice2hf8bt;1;57,1;17,2;2024-06-02T23:04:36.791Z;2024-06-03T01:10:57Z;[{'id': 5067502027, 'qualifierId': 56, 'value': 'Right'}, {'id': 5067502029, 'qualifierId': 286}, {'id': 5067729941, 'qualifierId': 233, 'value': '831'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;d8l5049gro9iusk2dv69ig8pg;Aerial;;;;;;;;;;;;;;;;;;;1,0;831,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;8;The Town;8;DL;1,0
2694308725;831;44;1;0;9;ew2zirzye0sw1txr2m33nr25y;0;42,9;82,8;2024-06-02T23:04:36.792Z;2024-06-03T01:10:57Z;[{'id': 5067729945, 'qualifierId': 233, 'value': '5'}, {'id': 5067718539, 'qualifierId': 285}, {'id': 5067718537, 'qualifierId': 56, 'value': 'Back'}];cac9hjmdwt1gsz0qt3f6d4b2s;J. Donnery;;;d8l5049gro9iusk2dv69ig8pg;Aerial;;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;9;Vancouver Whitecaps II;9;FW;1,0
2694269783;6;1;1;0;9;eo64tqkioegeb09iice2hf8bt;1;51,9;12,3;2024-06-02T23:04:37.380Z;2024-06-02T23:14:38Z;[{'id': 5067502049, 'qualifierId': 3}, {'id': 5067502055, 'qualifierId': 141, 'value': '14.8'}, {'id': 5067502059, 'qualifierId': 213, 'value': '0.17'}, {'id': 5067502057, 'qualifierId': 212, 'value': '10.2'}, {'id': 5067502051, 'qualifierId': 56, 'value': 'Right'}, {'id': 5067502053, 'qualifierId': 140, 'value': '61.5'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;d8l5049gro9iusk2dv69ig8pg;Pass;;;;;;;;;;10,2;;;0,17;14,8;61,5;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;61,5;14,8;;;;;;;0;0;0;9;The Town;9;DL;1,0
