id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Captain;value_Involved;value_Resume;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_PassEndX;value_PassEndY;value_Zone;value_Angle;value_KickOff;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_FlickOn;value_DeletedEventType;value_MediumGkIntervention;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_IntendedTackleTarget;value_TouchTypeClearance;value_TakeOnOvertake;value_TouchTypeControl;value_Assist;value_HighRight;value_GkX;value_RightFooted;value_RegularPlay;value_GkY;value_GoalmouthZ;value_RelatedEventId;value_Strong;value_Assisted;value_IndividualPlay;value_GoalmouthY;value_OutOfBoxCentre;value_FirstTouch;value_NextEventGoalKick;value_High;value_GoalKick;value_Chipped;value_TakeOnSpace;value_LeftFooted;value_Cross;value_IntentionalAssist;value_OutSwinger;value_CloseRight;value_BoxCentre;value_Low;value_DrivenCross;value_Straight;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Head;value_MisHit;value_Left;value_NotPastGoalLine;value_BlockedY;value_SetPiece;value_BlockedX;value_EndOfOffside;value_Right;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_TouchTypePass;value_OutOfPlay;value_LowRight;value_BigChance;value_SwerveRight;value_LowGkIntervention;value_Diving;value_ParriedSafe;value_Hands;value_CornerTaken;value_HighGkIntervention;value_GkKickFromHands;value_BoxRight;value_Collected;value_LayOff;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_FollowsADribble;value_LowLeft;value_NotAssisted;value_35Centre;value_NotVisible;value_Overrun;value_Blocked;value_LowCentre;value_DefBlock;value_DrinksBreak;value_RefereeDelay;value_HighClaim;value_OverArm;value_FloatedCross;value_HighCentre;value_Standing;value_ShirtPull/Holding;value_Shove/Push;value_CloseHigh;value_AerialFoul;value_Minutes;value_PullBack;value_EndType;value_BlockedCross;value_LeadingToGoal;value_SwerveLeft;value_Stooping;value_ThroughBall;value_Reaching;value_FromCorner;value_InSwinger;value_HitWoodwork;value_HitLeftPost;value_Injury;value_InjuredPlayerId;value_Volley;value_Weak;value_OutOfBoxDeepRight;value_GkHoof;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_RelatedError1Id;value_1On1;value_LastLine;value_SavedOffLine;value_HighLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2697659237;709;4;2;72;31;7pmw399vh2v44cjle4fkklp1w;0;53,6;10,2;2024-06-24T01:37:19.927Z;2024-06-24T01:37:27Z;[{'id': 5086151973, 'qualifierId': 13}, {'id': 5086151977, 'qualifierId': 265}, {'id': 5086151975, 'qualifierId': 152}, {'id': 5086151873, 'qualifierId': 56, 'value': 'Right'}, {'id': 5086152007, 'qualifierId': 233, 'value': '598'}, {'id': 5086151875, 'qualifierId': 285}];n5otejqjssvxk3bzx06642z8;M. Findlay;;;dl34l6056rkhjf2ssf59nwzdg;Foul;;;;;;;;;;;;;;;;;;598,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;72;31;Colorado Rapids II;4351;Sub;1,0
2697659269;599;1;2;72;43;iiolvosiuokkrl5iuoxcjo4p;1;45,1;95,4;2024-06-24T01:37:32.676Z;2024-06-24T01:37:34Z;[{'id': 5086152089, 'qualifierId': 141, 'value': '87.5'}, {'id': 5086152081, 'qualifierId': 5}, {'id': 5086152085, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086152091, 'qualifierId': 212, 'value': '14.2'}, {'id': 5086152083, 'qualifierId': 152}, {'id': 5086152087, 'qualifierId': 140, 'value': '32.6'}, {'id': 5086152093, 'qualifierId': 213, 'value': '3.53'}];7gh46rkxaa7trgtp8lf1l591w;F. Núñez;;;dl34l6056rkhjf2ssf59nwzdg;Pass;;;;;;;;;;14,2;32,6;87,5;;3,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;32,6;87,5;;;;;;;0;0;72;43;Houston Dynamo II;4363;ML;1,0
2697659271;600;1;2;72;45;iiolvosiuokkrl5iuoxcjo4p;1;28,5;80,8;2024-06-24T01:37:34.629Z;2024-06-24T01:37:36Z;[{'id': 5086152105, 'qualifierId': 213, 'value': '5.56'}, {'id': 5086152101, 'qualifierId': 141, 'value': '67.2'}, {'id': 5086152099, 'qualifierId': 140, 'value': '38.4'}, {'id': 5086152103, 'qualifierId': 212, 'value': '13.9'}, {'id': 5086152097, 'qualifierId': 56, 'value': 'Back'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;;dl34l6056rkhjf2ssf59nwzdg;Pass;;;;;;;;;;13,9;38,4;67,2;;5,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;38,4;67,2;;;;;;;0;0;72;45;Houston Dynamo II;4365;DC;1,0
2697659277;601;1;2;72;47;iiolvosiuokkrl5iuoxcjo4p;1;36,0;71,8;2024-06-24T01:37:36.853Z;2024-06-24T01:37:40Z;[{'id': 5086152135, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086152137, 'qualifierId': 140, 'value': '9.8'}, {'id': 5086152133, 'qualifierId': 155}, {'id': 5086152139, 'qualifierId': 141, 'value': '60.2'}, {'id': 5086152141, 'qualifierId': 212, 'value': '28.6'}, {'id': 5086152143, 'qualifierId': 213, 'value': '3.42'}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;dl34l6056rkhjf2ssf59nwzdg;Pass;;;;;;;;;;28,6;9,8;60,2;;3,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;9,8;60,2;;;;;;;0;0;72;47;Houston Dynamo II;4367;MC;1,0
2697659283;602;1;2;72;51;iiolvosiuokkrl5iuoxcjo4p;1;10,0;59,6;2024-06-24T01:37:40.261Z;2024-06-24T01:37:43Z;[{'id': 5086152171, 'qualifierId': 213, 'value': '6.00'}, {'id': 5086152169, 'qualifierId': 212, 'value': '28.4'}, {'id': 5086152173, 'qualifierId': 1}, {'id': 5086152163, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086152167, 'qualifierId': 141, 'value': '47.8'}, {'id': 5086152161, 'qualifierId': 157}, {'id': 5086152165, 'qualifierId': 140, 'value': '35.9'}];3gzatxlefe9axcrqyllbtrzmc;E. Bandré;;;dl34l6056rkhjf2ssf59nwzdg;Pass;;;;;;;;;;28,4;35,9;47,8;;6,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;35,9;47,8;;;;;;;0;0;72;51;Houston Dynamo II;4371;GK;1,0
2697659285;603;44;2;72;54;iiolvosiuokkrl5iuoxcjo4p;1;34,4;41,3;2024-06-24T01:37:43.524Z;2024-06-24T01:37:44Z;[{'id': 5086152179, 'qualifierId': 285}, {'id': 5086152185, 'qualifierId': 233, 'value': '710'}, {'id': 5086152177, 'qualifierId': 56, 'value': 'Back'}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;dl34l6056rkhjf2ssf59nwzdg;Aerial;;;;;;;;;;;;;;;;;;710,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;72;54;Houston Dynamo II;4374;MC;1,0
2697659287;710;44;2;72;54;7pmw399vh2v44cjle4fkklp1w;0;65,6;58,7;2024-06-24T01:37:43.525Z;2024-06-24T01:37:44Z;[{'id': 5086152189, 'qualifierId': 233, 'value': '603'}, {'id': 5086152183, 'qualifierId': 286}, {'id': 5086152181, 'qualifierId': 56, 'value': 'Center'}];en1t9w6orptzi3v7odnawg8b8;D. Ndong Nguema;;;dl34l6056rkhjf2ssf59nwzdg;Aerial;;;;;;;;;;;;;;;;;;603,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;72;54;Colorado Rapids II;4374;Sub;1,0
2697659303;604;1;2;72;54;iiolvosiuokkrl5iuoxcjo4p;1;35,9;47,8;2024-06-24T01:37:43.829Z;2024-06-26T16:45:45Z;[{'id': 5086152249, 'qualifierId': 141, 'value': '37.3'}, {'id': 5086152251, 'qualifierId': 212, 'value': '10.6'}, {'id': 5086152253, 'qualifierId': 213, 'value': '5.54'}, {'id': 5086152241, 'qualifierId': 3}, {'id': 5086152245, 'qualifierId': 140, 'value': '43.3'}, {'id': 5087955691, 'qualifierId': 168}, {'id': 5086152243, 'qualifierId': 56, 'value': 'Back'}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;dl34l6056rkhjf2ssf59nwzdg;Pass;;;;;;;;;;10,6;43,3;37,3;;5,54;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;43,3;37,3;;;;;;;0;0;72;54;Houston Dynamo II;4374;MC;1,0
2697659305;605;44;2;72;58;iiolvosiuokkrl5iuoxcjo4p;1;45,4;35,2;2024-06-24T01:37:46.886Z;2024-06-24T01:37:48Z;[{'id': 5086152265, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086152267, 'qualifierId': 285}, {'id': 5086152273, 'qualifierId': 233, 'value': '711'}];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;;dl34l6056rkhjf2ssf59nwzdg;Aerial;;;;;;;;;;;;;;;;;;711,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;72;58;Houston Dynamo II;4378;Sub;1,0
2697659297;711;44;2;72;58;7pmw399vh2v44cjle4fkklp1w;0;54,6;64,8;2024-06-24T01:37:46.887Z;2024-06-24T01:37:49Z;[{'id': 5086152277, 'qualifierId': 233, 'value': '605'}, {'id': 5086152225, 'qualifierId': 286}, {'id': 5086152223, 'qualifierId': 56, 'value': 'Center'}];bfsjxpmiflhdz2162ulqlo0lw;J. Valverde;;;dl34l6056rkhjf2ssf59nwzdg;Aerial;;;;;;;;;;;;;;;;;;605,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;72;58;Colorado Rapids II;4378;MC;1,0
