id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_TeamFormation;value_TeamKit;value_Captain;value_Resume;value_JerseyNumber;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndY;value_PassEndX;value_KickOff;value_Length;value_Chipped;value_LongBall;value_TouchTypeClearance;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_High;value_Defensive;value_Offensive;value_HeadPass;value_Launch;value_LowGkIntervention;value_Left;value_InSwinger;value_Cross;value_CornerTaken;value_RightFooted;value_Head;value_FlickOn;value_DeletedEventType;value_TakeOnSpace;value_OutOfPlay;value_TouchTypeControl;value_NextEventThrowIn;value_ThrowIn;value_NotVisible;value_IntentionalAssist;value_Assist;value_RegularPlay;value_RelatedEventId;value_Assisted;value_BlockedX;value_LeftFooted;value_HighCentre;value_OutOfBoxCentre;value_GoalmouthY;value_GoalmouthZ;value_BlockedY;value_FirstTouch;value_Standing;value_MediumGkIntervention;value_Collected;value_Hands;value_KeeperThrow;value_IndividualPlay;value_GkY;value_Volley;value_GkX;value_LowCentre;value_Blocked;value_DefBlock;value_BoxLeft;value_Right;value_Low;value_Direct;value_AttemptedTackle;value_Foul;value_NotAssisted;value_FreeKick;value_ByWall;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_TakeOnOvertake;value_TouchTypePass;value_SwitchOfPlay;value_BlockedPass;value_IntendedTackleTarget;value_BoxRight;value_ParriedSafe;value_Diving;value_InjuredPlayerId;value_Injury;value_Defensive1V1;value_Shove/Push;value_DrivenCross;value_Straight;value_OutSwinger;value_SetPiece;value_BoxCentre;value_CloseHigh;value_LowRight;value_LowLeft;value_FromCorner;value_OverArm;value_HighRight;value_ShirtPull/Holding;value_LayOff;value_BlockedCross;value_LeadingToGoal;value_GkYTimeOfGoal;value_SoloRun;value_GkXTimeOfGoal;value_RelatedError1Id;value_GoalShotGameClock;value_GoalShotTimestamp;value_ParriedDanger;value_HighGkIntervention;value_Deflection;value_BigChance;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_Minutes;value_DangerousPlay;value_SeriousFoul;value_RedCard;value_EndType;value_TacticalFoul;value_YellowCard;value_PenaltyTakerId;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Scored;value_IncorrectOutOfPlayDecision;value_SixYardBlocked;value_GkKickFromHands;value_Strong;value_HighLeft;value_SmallBoxCentre;value_FloatedCross;value_Stooping;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_CloseLeft;value_FastBreak;value_SwerveLeft;value_CloseRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728400637;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-09-29T20:04:21.702Z;2024-09-29T23:16:12Z;[{'id': 5255213291, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, 6rgdv71lxh4cpz487ygvy5nv8, 92np3jwhxchmtfeov82ehe13o, o3gftw0hatp1r62ynjmlaaui, 59kitnlge8bjsxmhy850bsutw, e2tuar1frliervcr2mnmvfspg, afqry84j23xgkhqryrontj190, 8u0efvao8rym6mdx0tl0h0qac, 65g50zt5gbo1lnrbc7uvwsbo4, es0bxxdxf6bco25evmg19ic4, e4rpnf90oa672lcm8ego7vllg, nhhmltlm3ayn7vqmp6etck5w, 4akvdujqbywk628gok9xbh2j8, 76xo0u2yd2cqf8xdyh8rteqdw, 80p7shawtxjiydizsg5fo5a1g, ov4fk38lrcculu6tdbnrto2c, gz9dek1oxgman9jslfku0zmy, 4gp2d7oltfq4uwzj78gr6q9sk, 35eyloaqnyzxecdatlfdqfbis'}, {'id': 5255213299, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255213293, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5255213297, 'qualifierId': 130, 'value': '2'}, {'id': 5255495725, 'qualifierId': 197, 'value': '23373'}, {'id': 5255993605, 'qualifierId': 194, 'value': 'bvtvko74cyeqe297mp6shrf2s'}, {'id': 5255213301, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255213295, 'qualifierId': 59, 'value': '21, 45, 42, 46, 34, 23, 82, 44, 66, 37, 79, 24, 97, 57, 77, 90, 35, 50, 76'}];;;;hi2rnnbv4qjodrk0n8263gus;Team set up;;;;2,0;23373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;New England II;0;;
2728403933;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-09-29T20:07:42.088Z;2024-09-29T22:10:55Z;[{'id': 5255229733, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255229731, 'qualifierId': 130, 'value': '4'}, {'id': 5255229737, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5255229729, 'qualifierId': 59, 'value': '73, 30, 32, 35, 5, 43, 7, 31, 9, 14, 39, 13, 29, 27, 41, 16, 17, 11, 23, 42'}, {'id': 5255229727, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5255229725, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dbyiafdyf93b8rtpceqitgopg, bzv3yqbc7ttf7fftbm2nelxck, c8wq3ofarkeeisqr49fhrvwno, ahgclh3e05evznhrpa32z6g6i, 357vd87hv0jvljqtt2qf4vmz8, 5e00w1rqym73habcl01wm7jtg, et772m1f5cqceeffckpnty1p0, d043ppr554ym2j2xf3fcmbqsq, 9u37akzkhdyszhevgrjghq99m, 69ypla76c710iv0yegix1maz8, 5adul4r3hifu5x4tv8efr05ey, 51y94mgf4wxkk5f4tysztc60a, 6j4ibkpbos6w5ikle58u2vo, dc8u2bssrhxycx8vtn0kutp4a, anysxg2z6niqapc5m3f4tzims, 40qi53orb0eur2jevowkvrcb8, 6han4f5xq1d0ii0ol2drgi4bu, akwjik09wytzzr3yras0diqz8, c1z6mxuhvuegd4c5b3hau93ze'}, {'id': 5255495063, 'qualifierId': 197, 'value': '23734'}, {'id': 5255761141, 'qualifierId': 194, 'value': 'ahgclh3e05evznhrpa32z6g6i'}];;;;hi2rnnbv4qjodrk0n8263gus;Team set up;;;;4,0;23734,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2728451893;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-09-29T21:03:32.953Z;2024-10-03T05:35:02Z;[{'id': 5255496765, 'qualifierId': 127, 'value': 'Left to Right'}];;;;hi2rnnbv4qjodrk0n8263gus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;New England II;0;;
2728451883;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-09-29T21:03:32.953Z;2024-09-29T21:03:33Z;[{'id': 5255496701, 'qualifierId': 127, 'value': 'Right to Left'}];;;;hi2rnnbv4qjodrk0n8263gus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2728451913;3;1;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;50,0;50,0;2024-09-29T21:03:32.954Z;2024-09-29T23:09:26Z;[{'id': 5255496889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255496897, 'qualifierId': 213, 'value': '3.56'}, {'id': 5255496893, 'qualifierId': 141, 'value': '46.6'}, {'id': 5255496891, 'qualifierId': 140, 'value': '45.0'}, {'id': 5255496899, 'qualifierId': 279, 'value': 'S'}, {'id': 5255496895, 'qualifierId': 212, 'value': '5.7'}];c8wq3ofarkeeisqr49fhrvwno;C. Oliveira;;hi2rnnbv4qjodrk0n8263gus;Pass;;;;;;;;;;;3,56;46,6;45,0;;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;45,0;46,6;;;;;;;;0;0;0;New York RB II;0;MC;1,0
2728451947;4;1;1;0;2;csntc7hucmo21gknxc5y0kc4q;1;45,0;46,6;2024-09-29T21:03:35.439Z;2024-09-29T21:10:34Z;[{'id': 5255497025, 'qualifierId': 213, 'value': '2.75'}, {'id': 5255497023, 'qualifierId': 212, 'value': '15.8'}, {'id': 5255497021, 'qualifierId': 141, 'value': '55.5'}, {'id': 5255497017, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255497019, 'qualifierId': 140, 'value': '31.1'}];5e00w1rqym73habcl01wm7jtg;O. Escobar;;hi2rnnbv4qjodrk0n8263gus;Pass;;;;;;;;;;;2,75;55,5;31,1;;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;31,1;55,5;;;;;;;;0;0;2;New York RB II;2;MC;1,0
2728451991;5;1;1;0;4;csntc7hucmo21gknxc5y0kc4q;1;31,1;55,5;2024-09-29T21:03:37.663Z;2024-09-29T21:16:39Z;[{'id': 5255497299, 'qualifierId': 56, 'value': 'Left'}, {'id': 5255497297, 'qualifierId': 155}, {'id': 5255497305, 'qualifierId': 212, 'value': '40.2'}, {'id': 5255497307, 'qualifierId': 213, 'value': '0.52'}, {'id': 5255497309, 'qualifierId': 1}, {'id': 5255497303, 'qualifierId': 141, 'value': '85.1'}, {'id': 5255497301, 'qualifierId': 140, 'value': '64.2'}];et772m1f5cqceeffckpnty1p0;E. Klein;;hi2rnnbv4qjodrk0n8263gus;Pass;;;;;;;;;;;0,52;85,1;64,2;;40,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;64,2;85,1;;;;;;;;0;0;4;New York RB II;4;MC;1,0
2728451999;6;61;1;0;8;csntc7hucmo21gknxc5y0kc4q;0;64,2;85,1;2024-09-29T21:03:41.103Z;2024-09-29T21:16:45Z;[{'id': 5255497327, 'qualifierId': 56, 'value': 'Left'}];69ypla76c710iv0yegix1maz8;Marcos Dias;;hi2rnnbv4qjodrk0n8263gus;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;8;New York RB II;8;FWL;1,0
2728452009;3;49;1;0;9;4g68p0t2f5jzhzfr67i2rj1ex;1;30,7;10,0;2024-09-29T21:03:42.393Z;2024-09-29T21:03:42Z;[];6rgdv71lxh4cpz487ygvy5nv8;C. Berkley;;hi2rnnbv4qjodrk0n8263gus;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;9;New England II;9;DR;1,0
2728452023;4;1;1;0;9;4g68p0t2f5jzhzfr67i2rj1ex;0;30,7;10,0;2024-09-29T21:03:42.823Z;2024-09-29T21:03:43Z;[{'id': 5255497437, 'qualifierId': 141, 'value': '16.1'}, {'id': 5255497441, 'qualifierId': 213, 'value': '0.22'}, {'id': 5255497439, 'qualifierId': 212, 'value': '18.6'}, {'id': 5255497433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255497435, 'qualifierId': 140, 'value': '48.0'}];6rgdv71lxh4cpz487ygvy5nv8;C. Berkley;;hi2rnnbv4qjodrk0n8263gus;Pass;;;;;;;;;;;0,22;16,1;48,0;;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;48,0;16,1;;;;;;;;0;0;9;New England II;9;DR;1,0
