id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_PlayerPosition;value_TeamFormation;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Zone;value_PassEndX;value_KickOff;value_Angle;value_Length;value_Launch;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_FlickOn;value_HeadPass;value_IntendedTackleTarget;value_RightFooted;value_Cross;value_Chipped;value_OutSwinger;value_Offensive;value_BlockedPass;value_BlockedCross;value_TouchTypeClearance;value_Defensive;value_FloatedCross;value_LeftFooted;value_Straight;value_TouchTypeControl;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_TouchTypePass;value_DeletedEventType;value_LayOff;value_TakeOnOvertake;value_OutOfPlay;value_Head;value_BlockedClearance;value_TakeOnSpace;value_ShirtPull/Holding;value_Assist;value_IntentionalAssist;value_ThroughBall;value_RegularPlay;value_GoalmouthZ;value_LowCentre;value_RelatedEventId;value_Assisted;value_BoxRight;value_BlockedX;value_BlockedY;value_GoalmouthY;value_Stooping;value_LowGkIntervention;value_Collected;value_Hands;value_NotVisible;value_GkStart;value_Shove/Push;value_SetPiece;value_GkY;value_NotAssisted;value_HighRight;value_IndividualPlay;value_BoxCentre;value_GkX;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_CloseLeft;value_SmallBoxCentre;value_FromCorner;value_BigChance;value_FirstTouch;value_MediumGkIntervention;value_GkHoof;value_High;value_CloseHigh;value_RecklessOffence;value_YellowCard;value_OutOfBoxCentre;value_FreeKick;value_Standing;value_KeeperThrow;value_Sliding;value_OtherBodyPart;value_ParriedSafe;value_OverhitCross;value_InjuredPlayerId;value_Injury;value_PlayersCaughtOffside;value_Indirect;value_GkXTimeOfGoal;value_LowLeft;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_Tap;value_OverArm;value_Overrun;value_NotRetreating;value_Weak;value_Volley;value_NotPastGoalLine;value_CloseRight;value_HighGkIntervention;value_KeeperTouched;value_Deflection;value_Blocked;value_DefBlock;value_PullBack;value_Minutes;value_BoxLeft;value_EndType;value_PenaltyTakerId;value_Penalty;value_DeniedGoalScoringOpp;value_Diving;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_LowRight;value_FollowsADribble;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_FastBreak;value_35Right;value_Reaching;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2741875943;919;1;2;88;18;8o8m08he36u0j4w08aj2iodn8;0;71,9;64,3;2024-10-27T19:53:30.688Z;2024-10-31T07:49:27Z;[{'id': 5328941813, 'qualifierId': 213, 'value': '4.52'}, {'id': 5328941811, 'qualifierId': 212, 'value': '12.0'}, {'id': 5328941805, 'qualifierId': 56, 'value': 'Center'}, {'id': 5328941807, 'qualifierId': 140, 'value': '69.7'}, {'id': 5328941809, 'qualifierId': 141, 'value': '47.0'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;47,0;;69,7;;4,52;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;69,7;47,0;;;;;;;;0;88;18;Columbus Crew II;5298;FW;1,0
2740393233;571;43;2;88;22;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-10-27T19:53:34.673Z;2024-10-27T19:53:41Z;[{'id': 5320731119, 'qualifierId': 144, 'value': '49'}];79606fy6lyfs1h12645q4shzo;T. Williams;;;chgm2serr432rqnas1dmvwh78;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;88;22;Chicago Fire II;5302;Sub;1,0
2741875977;920;83;2;88;28;8o8m08he36u0j4w08aj2iodn8;1;41,0;8,4;2024-10-27T19:53:40.889Z;2024-10-31T07:49:52Z;[{'id': 5328941967, 'qualifierId': 399, 'value': '79606fy6lyfs1h12645q4shzo'}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;chgm2serr432rqnas1dmvwh78;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;88;28;Columbus Crew II;5308;FWR;1,0
2740393347;572;1;2;88;29;5b4ccd62yeeqdl2qk6jzsmjv8;1;66,0;93,2;2024-10-27T19:53:42.289Z;2024-10-27T19:53:43Z;[{'id': 5320731263, 'qualifierId': 141, 'value': '81.5'}, {'id': 5320731261, 'qualifierId': 140, 'value': '62.8'}, {'id': 5320731265, 'qualifierId': 212, 'value': '8.6'}, {'id': 5320731259, 'qualifierId': 56, 'value': 'Left'}, {'id': 5320731267, 'qualifierId': 213, 'value': '4.31'}];79606fy6lyfs1h12645q4shzo;T. Williams;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;81,5;;62,8;;4,31;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;62,8;81,5;;;;;;;;0;88;29;Chicago Fire II;5309;Sub;1,0
2740393359;573;1;2;88;30;5b4ccd62yeeqdl2qk6jzsmjv8;1;65,1;79,1;2024-10-27T19:53:43.649Z;2024-10-27T19:53:44Z;[{'id': 5320731309, 'qualifierId': 141, 'value': '77.5'}, {'id': 5320731311, 'qualifierId': 212, 'value': '8.2'}, {'id': 5320731305, 'qualifierId': 56, 'value': 'Center'}, {'id': 5320731307, 'qualifierId': 140, 'value': '72.8'}, {'id': 5320731313, 'qualifierId': 213, 'value': '6.15'}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;77,5;;72,8;;6,15;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;72,8;77,5;;;;;;;;0;88;30;Chicago Fire II;5310;MC;1,0
2740393377;574;1;2;88;32;5b4ccd62yeeqdl2qk6jzsmjv8;1;72,3;76,1;2024-10-27T19:53:44.821Z;2024-10-27T19:53:47Z;[{'id': 5320731433, 'qualifierId': 212, 'value': '10.0'}, {'id': 5320731435, 'qualifierId': 213, 'value': '4.59'}, {'id': 5320731431, 'qualifierId': 141, 'value': '61.5'}, {'id': 5320731429, 'qualifierId': 140, 'value': '71.1'}, {'id': 5320731427, 'qualifierId': 56, 'value': 'Center'}];290iohuheoqdrdocbg25ipgk4;A. Alaouieh;;;chgm2serr432rqnas1dmvwh78;Pass;;;;;;;;;;61,5;;71,1;;4,59;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;71,1;61,5;;;;;;;;0;88;32;Chicago Fire II;5312;Sub;1,0
2740393383;575;50;2;88;34;5b4ccd62yeeqdl2qk6jzsmjv8;1;67,9;64,7;2024-10-27T19:53:47.042Z;2024-10-27T20:25:39Z;[{'id': 5320731471, 'qualifierId': 286}, {'id': 5320731699, 'qualifierId': 233, 'value': '776'}, {'id': 5320731469, 'qualifierId': 56, 'value': 'Center'}];e1jku8gmpckc900s9y6z1gn4k;A. Mohand;;;chgm2serr432rqnas1dmvwh78;Dispossessed;;;;;;;;;;;;;;;;;;;776,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;88;34;Chicago Fire II;5314;Sub;1,0
2740393403;776;7;2;88;34;8o8m08he36u0j4w08aj2iodn8;1;32,1;35,3;2024-10-27T19:53:47.043Z;2024-10-31T07:50:12Z;[{'id': 5320731679, 'qualifierId': 233, 'value': '575'}, {'id': 5328942047, 'qualifierId': 384}, {'id': 5320731583, 'qualifierId': 285}, {'id': 5320731581, 'qualifierId': 56, 'value': 'Back'}];afdz1ibldn2vc8gtezyw8tqay;H. Osorio;;;chgm2serr432rqnas1dmvwh78;Tackle;;;;;;;;;;;;;;;;;;;575,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;88;34;Columbus Crew II;5314;Sub;1,0
2740393409;777;49;2;88;36;8o8m08he36u0j4w08aj2iodn8;1;32,8;32,7;2024-10-27T19:53:49.476Z;2024-10-27T19:53:50Z;[];2buy6q56o0ixo30fatz7ps9w4;J. Zapata;;;chgm2serr432rqnas1dmvwh78;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;88;36;Columbus Crew II;5316;Sub;1,0
2740393455;778;50;2;88;39;8o8m08he36u0j4w08aj2iodn8;1;29,8;41,2;2024-10-27T19:53:51.696Z;2024-10-27T20:25:39Z;[{'id': 5320732021, 'qualifierId': 233, 'value': '576'}, {'id': 5320731859, 'qualifierId': 285}, {'id': 5320731857, 'qualifierId': 56, 'value': 'Back'}];2buy6q56o0ixo30fatz7ps9w4;J. Zapata;;;chgm2serr432rqnas1dmvwh78;Dispossessed;;;;;;;;;;;;;;;;;;;576,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;88;39;Columbus Crew II;5319;Sub;1,0
