id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamKit;value_Involved;value_Resume;value_PlayerPosition;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_DirectionOfPlay;value_KickOff;value_Length;value_PassEndX;value_Angle;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_OppositeRelatedEventId;value_Offensive;value_TouchTypePass;value_Defensive;value_Chipped;value_OutSwinger;value_RightFooted;value_Cross;value_Right;value_Left;value_InSwinger;value_LeftFooted;value_CornerTaken;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_TakeOnSpace;value_LayOff;value_HeadPass;value_FlickOn;value_TakeOnOvertake;value_TouchTypeControl;value_LowGkIntervention;value_Overrun;value_NextEventGoalKick;value_Low;value_GoalKick;value_KeeperThrow;value_Head;value_BlockedPass;value_BlockedCross;value_Assist;value_IntentionalAssist;value_BoxCentre;value_GoalmouthZ;value_FromCorner;value_Blocked;value_FirstTouch;value_BlockedY;value_GkY;value_Assisted;value_LowCentre;value_RelatedEventId;value_SixYardBlocked;value_BlockedX;value_GoalmouthY;value_GkX;value_DefBlock;value_IntendedTackleTarget;value_TouchTypeClearance;value_SwitchOfPlay;value_Direct;value_Foul;value_ShirtPull/Holding;value_GoalShotTimestamp;value_FantasyAssistType;value_FreeKick;value_OutOfBoxDeepLeft;value_FantasyAssistTeam;value_GkXTimeOfGoal;value_LowLeft;value_FantasyAssistId;value_GkYTimeOfGoal;value_GoalShotGameClock;value_NotAssisted;value_FantasyAssistedBy;value_AttemptedTackle;value_RegularPlay;value_OutOfBoxCentre;value_CloseHigh;value_IndividualPlay;value_BigChance;value_Hands;value_Diving;value_ParriedSafe;value_Standing;value_Collected;value_InjuredPlayerId;value_Injury;value_TacticalFoul;value_YellowCard;value_NotPastGoalLine;value_NotVisible;value_Shove/Push;value_Minutes;value_EndType;value_DrivenCross;value_Straight;value_AdvantagePlayed;value_RecklessOffence;value_AerialFoul;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_LowRight;value_OtherBodyPart;value_Sliding;value_OverArm;value_MediumGkIntervention;value_HighClaim;value_HighGkIntervention;value_ThroughBall;value_1On1;value_Handball;value_High;value_BoxRight;value_BoxLeft;value_Dissent;value_GkHoof;value_FastBreak;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724923743;722;1;2;89;51;d0c07im4a6oj8qa7f1zlt3pqs;1;53,9;57,3;2024-09-23T02:37:00.758Z;2024-09-23T02:37:03Z;[{'id': 5236113121, 'qualifierId': 56, 'value': 'Center'}, {'id': 5236113127, 'qualifierId': 212, 'value': '11.4'}, {'id': 5236113123, 'qualifierId': 140, 'value': '61.2'}, {'id': 5236113125, 'qualifierId': 141, 'value': '44.9'}, {'id': 5236113129, 'qualifierId': 213, 'value': '5.45'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;11,4;61,2;5,45;44,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;61,2;44,9;;;;;;;0;0;89;51;North Texas;5391;AMC;1,0
2724923753;723;1;2;89;53;d0c07im4a6oj8qa7f1zlt3pqs;1;63,4;38,0;2024-09-23T02:37:03.126Z;2024-09-23T02:37:07Z;[{'id': 5236113205, 'qualifierId': 141, 'value': '14.6'}, {'id': 5236113203, 'qualifierId': 140, 'value': '76.5'}, {'id': 5236113207, 'qualifierId': 212, 'value': '21.0'}, {'id': 5236113209, 'qualifierId': 213, 'value': '5.43'}, {'id': 5236113201, 'qualifierId': 56, 'value': 'Right'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;21,0;76,5;5,43;14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;76,5;14,6;;;;;;;0;0;89;53;North Texas;5393;MC;1,0
2724923771;724;1;2;89;58;d0c07im4a6oj8qa7f1zlt3pqs;1;74,5;30,1;2024-09-23T02:37:07.814Z;2024-09-23T02:37:37Z;[{'id': 5236113591, 'qualifierId': 154}, {'id': 5236113589, 'qualifierId': 210, 'value': '15'}, {'id': 5236113297, 'qualifierId': 212, 'value': '19.5'}, {'id': 5236113293, 'qualifierId': 140, 'value': '88.4'}, {'id': 5236113295, 'qualifierId': 141, 'value': '49.1'}, {'id': 5236113291, 'qualifierId': 56, 'value': 'Center'}, {'id': 5236113299, 'qualifierId': 213, 'value': '0.72'}];4o2lk5bkmyxe8ji3lqjo69qtw;D. Abarca;1,0;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;19,5;88,4;0,72;49,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;88,4;49,1;;;;;;;0;0;89;58;North Texas;5398;Sub;1,0
2724923773;725;15;2;90;3;d0c07im4a6oj8qa7f1zlt3pqs;1;90,8;45,4;2024-09-23T02:37:12.961Z;2024-09-26T22:33:08Z;[{'id': 5236113303, 'qualifierId': 22}, {'id': 5236113597, 'qualifierId': 154}, {'id': 5236113417, 'qualifierId': 82}, {'id': 5236113305, 'qualifierId': 17}, {'id': 5236113611, 'qualifierId': 147, 'value': '47.5'}, {'id': 5236113607, 'qualifierId': 214}, {'id': 5236113621, 'qualifierId': 233, 'value': '750'}, {'id': 5236113609, 'qualifierId': 146, 'value': '93.4'}, {'id': 5236113615, 'qualifierId': 231, 'value': '49.5'}, {'id': 5236113613, 'qualifierId': 230, 'value': '98.6'}, {'id': 5236113599, 'qualifierId': 55, 'value': '724'}, {'id': 5236113605, 'qualifierId': 103, 'value': '19'}, {'id': 5236113603, 'qualifierId': 102, 'value': '49.6'}, {'id': 5236113595, 'qualifierId': 29}, {'id': 5236113413, 'qualifierId': 20}, {'id': 5236113307, 'qualifierId': 56, 'value': 'Center'}, {'id': 5236113593, 'qualifierId': 78}];34zlyg5jfoz9g36s49icjawic;P. Grogan;;;c7iozugubetwocgdnoesnswk;Attempt Saved;;;;;;;;;;;;;;;;;;;;;750,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;19,0;;1,0;;47,5;49,5;1,0;1,0;724,0;;93,4;49,6;98,6;;;;;;;;;;;;;;;;;;;;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;93,4;47,5;49,6;19;724,0;4o2lk5bkmyxe8ji3lqjo69qtw;0;0;90;3;North Texas;5403;Sub;1,0
2724923767;750;10;2;90;3;99l7fsj6ykgbyqcb9zqqu9dgq;1;6,6;52,5;2024-09-23T02:37:13.061Z;2024-09-23T02:37:39Z;[{'id': 5236113287, 'qualifierId': 56, 'value': 'Back'}, {'id': 5236113629, 'qualifierId': 233, 'value': '725'}, {'id': 5236113285, 'qualifierId': 94}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;c7iozugubetwocgdnoesnswk;Save;;;;;;;;;;;;;;;;;;;;;725,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;90;3;Austin II;5403;DC;1,0
2724923821;726;6;2;90;4;d0c07im4a6oj8qa7f1zlt3pqs;1;91,5;49,2;2024-09-23T02:37:14.686Z;2024-09-26T22:57:31Z;[{'id': 5236113657, 'qualifierId': 56, 'value': 'Center'}, {'id': 5236113659, 'qualifierId': 75}, {'id': 5236117025, 'qualifierId': 233, 'value': '751'}];34zlyg5jfoz9g36s49icjawic;P. Grogan;;;c7iozugubetwocgdnoesnswk;Corner Awarded;;;;;;;;;;;;;;;;;;;;;751,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;90;4;North Texas;5404;Sub;1,0
2724923769;751;6;2;90;4;99l7fsj6ykgbyqcb9zqqu9dgq;0;8,5;50,8;2024-09-23T02:37:14.686Z;2024-09-26T22:57:31Z;[{'id': 5236113353, 'qualifierId': 73}, {'id': 5236117047, 'qualifierId': 233, 'value': '726'}, {'id': 5236113351, 'qualifierId': 56, 'value': 'Back'}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;c7iozugubetwocgdnoesnswk;Corner Awarded;;;;;;;;;;;;;;;;;;;;;726,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;90;4;Austin II;5404;DC;1,0
2724923811;752;70;2;90;25;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-09-23T02:37:34.861Z;2024-09-23T02:37:35Z;[{'id': 5236113551, 'qualifierId': 277, 'value': '7'}];;;;;c7iozugubetwocgdnoesnswk;Injury Time Announcement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;90;25;Austin II;5425;;
2724923865;727;1;2;90;46;d0c07im4a6oj8qa7f1zlt3pqs;0;99,5;0,5;2024-09-23T02:37:55.927Z;2024-09-26T22:33:39Z;[{'id': 5236113915, 'qualifierId': 2}, {'id': 5236113925, 'qualifierId': 140, 'value': '92.6'}, {'id': 5236113923, 'qualifierId': 56, 'value': 'Center'}, {'id': 5236113927, 'qualifierId': 141, 'value': '50.6'}, {'id': 5236113917, 'qualifierId': 6}, {'id': 5236113931, 'qualifierId': 213, 'value': '1.78'}, {'id': 5236113919, 'qualifierId': 155}, {'id': 5236113929, 'qualifierId': 212, 'value': '34.8'}, {'id': 5236113933, 'qualifierId': 1}, {'id': 5243340331, 'qualifierId': 20}, {'id': 5243340539, 'qualifierId': 189}, {'id': 5236113921, 'qualifierId': 224}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;c7iozugubetwocgdnoesnswk;Pass;;;;;;;;;;;34,8;92,6;1,78;50,6;;1,0;;;;;;;;;1,0;1,0;1,0;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;92,6;50,6;;;;;;;0;0;90;46;North Texas;5446;DR;1,0
2724923873;753;12;2;90;48;99l7fsj6ykgbyqcb9zqqu9dgq;1;8,0;51,2;2024-09-23T02:37:58.529Z;2024-09-23T02:38:02Z;[{'id': 5236113983, 'qualifierId': 212, 'value': '26.9'}, {'id': 5236113979, 'qualifierId': 140, 'value': '33.6'}, {'id': 5236113985, 'qualifierId': 213, 'value': '6.24'}, {'id': 5236113995, 'qualifierId': 15}, {'id': 5236113977, 'qualifierId': 56, 'value': 'Back'}, {'id': 5236113981, 'qualifierId': 141, 'value': '49.6'}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;c7iozugubetwocgdnoesnswk;Clearance;;;;;;;;;;;26,9;33,6;6,24;49,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;33,6;49,6;;;;;;;0;0;90;48;Austin II;5448;DC;1,0
