id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_Captain;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_Length;value_KickOff;value_PassEndX;value_PassEndY;value_Zone;value_Launch;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TouchTypePass;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Shove/Push;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_TouchTypeControl;value_TakeOnOvertake;value_NextEventGoalKick;value_GoalKick;value_Low;value_PlayersCaughtOffside;value_Indirect;value_Chipped;value_TouchTypeClearance;value_FlickOn;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_BlockedPass;value_Left;value_Right;value_Assist;value_FromCorner;value_CornerTaken;value_Cross;value_LeftFooted;value_InSwinger;value_IntentionalAssist;value_GoalShotTimestamp;value_GkY;value_GoalShotGameClock;value_FirstTouch;value_Assisted;value_LowCentre;value_SmallBoxLeft;value_GoalmouthY;value_RelatedEventId;value_GoalmouthZ;value_Head;value_GkX;value_RightFooted;value_OutSwinger;value_OutOfPlay;value_IndividualPlay;value_HighRight;value_OutOfBoxCentre;value_SwitchOfPlay;value_RegularPlay;value_FollowsADribble;value_GkYTimeOfGoal;value_BoxLeft;value_LowRight;value_GkXTimeOfGoal;value_NotAssisted;value_SwerveLeft;value_CloseHigh;value_Overrun;value_BlockedCross;value_ThroughBall;value_BlockedX;value_BigChance;value_BoxRight;value_BlockedY;value_Feet;value_Sliding;value_ParriedSafe;value_BoxCentre;value_Blocked;value_DefBlock;value_PullBack;value_Unchallenged;value_HighGkIntervention;value_HighLeft;value_NotVisible;value_NotPastGoalLine;value_SmallBoxCentre;value_CloseLeft;value_High;value_SetPiece;value_RecklessOffence;value_YellowCard;value_TakeOnSpace;value_1On1;value_Standing;value_GkKickFromHands;value_OverhitCross;value_FollowsShotRebound;value_MediumGkIntervention;value_LeadingToGoal;value_RelatedError1Id;value_LeadingToAttempt;value_IncorrectOutOfPlayDecision;value_ShirtPull/Holding;value_Minutes;value_LayOff;value_LowLeft;value_Collected;value_Hands;value_Diving;value_EndType;value_Penalty;value_PenaltyTakerId;value_Argument;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Volley;value_MisHit;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistType;value_FastBreak;value_CloseRightAndHigh;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HighCentre;value_BoxDeepRight;value_Stooping;value_CaptainChange;value_LastLine;value_Handball;value_SixYardBlocked;value_DrivenCross;value_Straight;value_VideoCoverageLost;value_FreeKick;value_Reaching;value_TimeWasting;value_RedCard;value_ProfessionalFoulLastMan;value_ByWall;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2665272113;848;49;2;93;52;4gymgvqmve0m2vh89v84tt3x0;1;56,8;83,9;2024-03-31T01:57:26.599Z;2024-03-31T01:57:27Z;[];6prn3rxp49rsfl8mxq2tqzf9w;A. Sipic;;;bxnt8whbk4dag6gjclgqy232s;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;93;52;Columbus Crew II;5632;FW;1,0
2665272125;849;1;2;93;52;4gymgvqmve0m2vh89v84tt3x0;1;56,8;83,9;2024-03-31T01:57:26.659Z;2024-03-31T01:57:29Z;[{'id': 4910224793, 'qualifierId': 56, 'value': 'Left'}, {'id': 4910224799, 'qualifierId': 212, 'value': '6.5'}, {'id': 4910224795, 'qualifierId': 140, 'value': '58.0'}, {'id': 4910224797, 'qualifierId': 141, 'value': '93.3'}, {'id': 4910224801, 'qualifierId': 213, 'value': '1.38'}];6prn3rxp49rsfl8mxq2tqzf9w;A. Sipic;;;bxnt8whbk4dag6gjclgqy232s;Pass;;;;;;;;;;1,38;6,5;;58,0;93,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;58,0;93,3;;;;;;;;0;93;52;Columbus Crew II;5632;FW;1,0
2665272127;850;3;2;93;53;4gymgvqmve0m2vh89v84tt3x0;0;59,5;90,3;2024-03-31T01:57:27.512Z;2024-04-05T18:54:58Z;[{'id': 4923654823, 'qualifierId': 465}, {'id': 4910224805, 'qualifierId': 56, 'value': 'Left'}, {'id': 4910224933, 'qualifierId': 233, 'value': '773'}, {'id': 4910224807, 'qualifierId': 286}];6qe888q8yqq73bxr27jbyu2hg;O. Wright;;;bxnt8whbk4dag6gjclgqy232s;Take On;;;;;;;;;;;;;;;;;;;773,0;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;93;53;Columbus Crew II;5633;Sub;1,0
2665272117;773;7;2;93;53;5b4ccd62yeeqdl2qk6jzsmjv8;0;40,5;9,7;2024-03-31T01:57:27.513Z;2024-04-05T18:55:05Z;[{'id': 4910224809, 'qualifierId': 233, 'value': '850'}, {'id': 4910224759, 'qualifierId': 56, 'value': 'Back'}, {'id': 4923655399, 'qualifierId': 385}, {'id': 4910224761, 'qualifierId': 285}];9elhnfsovx9efu5f92mkkls7o;C. Pearson;;;bxnt8whbk4dag6gjclgqy232s;Tackle;;;;;;;;;;;;;;;;;;1,0;850,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;93;53;Huntsville City;5633;DC;1,0
2665272137;851;61;2;93;56;4gymgvqmve0m2vh89v84tt3x0;1;58,0;93,3;2024-03-31T01:57:30.319Z;2024-03-31T02:12:11Z;[{'id': 4910224851, 'qualifierId': 56, 'value': 'Left'}];6qe888q8yqq73bxr27jbyu2hg;O. Wright;;;bxnt8whbk4dag6gjclgqy232s;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;93;56;Columbus Crew II;5636;Sub;1,0
2665272215;774;5;2;93;57;5b4ccd62yeeqdl2qk6jzsmjv8;1;41,2;-1,1;2024-03-31T01:57:30.746Z;2024-03-31T01:57:48Z;[{'id': 4910225273, 'qualifierId': 233, 'value': '852'}, {'id': 4910225267, 'qualifierId': 347}, {'id': 4910225265, 'qualifierId': 56, 'value': 'Back'}];9elhnfsovx9efu5f92mkkls7o;C. Pearson;;;bxnt8whbk4dag6gjclgqy232s;Out;;;;;;;;;;;;;;;;;;;852,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;93;57;Huntsville City;5637;DC;1,0
2665272139;852;5;2;93;57;4gymgvqmve0m2vh89v84tt3x0;0;58,8;101,1;2024-03-31T01:57:30.746Z;2024-03-31T02:15:29Z;[{'id': 4910225277, 'qualifierId': 233, 'value': '774'}, {'id': 4910224853, 'qualifierId': 56, 'value': 'Left'}, {'id': 4910224855, 'qualifierId': 347}];6qe888q8yqq73bxr27jbyu2hg;O. Wright;;;bxnt8whbk4dag6gjclgqy232s;Out;;;;;;;;;;;;;;;;;;;774,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;93;57;Columbus Crew II;5637;Sub;1,0
2665272333;775;1;2;94;14;5b4ccd62yeeqdl2qk6jzsmjv8;1;42,2;0,0;2024-03-31T01:57:47.930Z;2024-03-31T01:58:04Z;[{'id': 4910225797, 'qualifierId': 107}, {'id': 4910225799, 'qualifierId': 56, 'value': 'Right'}, {'id': 4910225809, 'qualifierId': 1}, {'id': 4910225803, 'qualifierId': 141, 'value': '9.1'}, {'id': 4910225807, 'qualifierId': 213, 'value': '0.21'}, {'id': 4910225801, 'qualifierId': 140, 'value': '74.8'}, {'id': 4910225805, 'qualifierId': 212, 'value': '35.0'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;bxnt8whbk4dag6gjclgqy232s;Pass;;;;;;;;;;0,21;35,0;;74,8;9,1;;;1,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;74,8;9,1;;;;;;;;0;94;14;Huntsville City;5654;Sub;1,0
2665272339;776;61;2;94;30;5b4ccd62yeeqdl2qk6jzsmjv8;0;76,4;17,2;2024-03-31T01:58:04.635Z;2024-04-05T18:56:01Z;[{'id': 4910225833, 'qualifierId': 56, 'value': 'Right'}];dgosg1mymhuajg0rz2ts6alpm;G. Rayo;;;bxnt8whbk4dag6gjclgqy232s;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;94;30;Huntsville City;5670;Sub;1,0
2665272343;853;61;2;94;30;4gymgvqmve0m2vh89v84tt3x0;0;23,6;82,8;2024-03-31T01:58:04.636Z;2024-04-05T18:56:12Z;[{'id': 4910225845, 'qualifierId': 56, 'value': 'Back'}];ecnah6vlfo0o5cx42il8cegb8;S. Cheevers;;;bxnt8whbk4dag6gjclgqy232s;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;94;30;Columbus Crew II;5670;DL;1,0
2665272359;777;1;2;94;32;5b4ccd62yeeqdl2qk6jzsmjv8;1;58,3;29,2;2024-03-31T01:58:05.754Z;2024-03-31T01:58:08Z;[{'id': 4910225923, 'qualifierId': 213, 'value': '1.79'}, {'id': 4910225921, 'qualifierId': 212, 'value': '24.1'}, {'id': 4910225917, 'qualifierId': 140, 'value': '53.3'}, {'id': 4910225915, 'qualifierId': 56, 'value': 'Center'}, {'id': 4910225919, 'qualifierId': 141, 'value': '63.8'}];8warl67c0id3dorr48mn7h82c;G. De Libera;;;bxnt8whbk4dag6gjclgqy232s;Pass;;;;;;;;;;1,79;24,1;;53,3;63,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;53,3;63,8;;;;;;;;0;94;32;Huntsville City;5672;DMC;1,0
