id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Captain;value_Resume;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_Angle;value_NotVisible;value_Zone;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_HeadPass;value_Defensive;value_Offensive;value_Direct;value_Foul;value_Shove/Push;value_FreeKickTaken;value_TakeOnSpace;value_TouchTypeControl;value_Launch;value_Assist;value_IntentionalAssist;value_Assisted;value_BlockedY;value_GoalmouthY;value_BoxRight;value_BlockedX;value_GoalmouthZ;value_RegularPlay;value_RelatedEventId;value_LowLeft;value_RightFooted;value_Diving;value_Hands;value_Collected;value_LowGkIntervention;value_SwitchOfPlay;value_TakeOnOvertake;value_BoxCentre;value_LowRight;value_KeeperThrow;value_TouchTypePass;value_IntendedTackleTarget;value_Straight;value_Cross;value_DrivenCross;value_OverArm;value_DeletedEventType;value_LayOff;value_BlockedPass;value_GkX;value_GkY;value_GkYTimeOfGoal;value_GoalShotGameClock;value_LeftFooted;value_BigChance;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_1On1;value_NextEventGoalKick;value_GoalKick;value_High;value_TouchTypeClearance;value_OutOfPlay;value_OutSwinger;value_OverhitCross;value_HighGkIntervention;value_VideoCoverageLost;value_Injury;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_FromCorner;value_FirstTouch;value_Low;value_ShirtPull/Holding;value_NotAssisted;value_MediumGkIntervention;value_ParriedSafe;value_AttemptedTackle;value_IndividualPlay;value_LowCentre;value_BoxDeepRight;value_Feet;value_Standing;value_SixYardBlocked;value_Blocked;value_DefBlock;value_BlockedCross;value_CloseLeft;value_BoxLeft;value_Volley;value_PullBack;value_PlayersCaughtOffside;value_Indirect;value_OutOfBoxCentre;value_CloseRightAndHigh;value_KeeperTouched;value_YellowCard;value_NotRetreating;value_Minutes;value_EndType;value_Tactical;value_CloseRight;value_Overrun;value_LeadingToGoal;value_FollowsADribble;value_TacticalFoul;value_HighClaim;value_HighRight;value_SetPiece;value_TimeWasting;value_CloseHigh;value_NotPastGoalLine;value_GkKickFromHands;value_AerialFoul;value_RecklessOffence;value_SwerveLeft;value_SoloRun;value_FreeKick;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718567045;729;1;2;78;27;dqx48fglv1l96cyrmjdod0xec;1;4,4;47,8;2024-09-08T22:42:59.331Z;2024-09-08T22:50:13Z;[{'id': 5201465081, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201473207, 'qualifierId': 237}, {'id': 5201473205, 'qualifierId': 124}, {'id': 5201465083, 'qualifierId': 140, 'value': '26.6'}, {'id': 5201465087, 'qualifierId': 212, 'value': '23.4'}, {'id': 5201465089, 'qualifierId': 213, 'value': '6.19'}, {'id': 5201465085, 'qualifierId': 141, 'value': '44.6'}];brbc088u7sq9wh9d9gkonn5gq;C. Olivares;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;6,19;;;26,6;;23,4;44,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;26,6;44,6;;;;;;;0;0;78;27;Colorado Rapids II;4707;GK;1,0
2718567053;730;1;2;78;28;dqx48fglv1l96cyrmjdod0xec;1;26,6;44,6;2024-09-08T22:43:00.739Z;2024-09-08T22:43:02Z;[{'id': 5201465125, 'qualifierId': 213, 'value': '3.74'}, {'id': 5201465115, 'qualifierId': 140, 'value': '11.4'}, {'id': 5201465121, 'qualifierId': 212, 'value': '19.3'}, {'id': 5201465117, 'qualifierId': 141, 'value': '28.6'}, {'id': 5201465113, 'qualifierId': 56, 'value': 'Back'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;3,74;;;11,4;;19,3;28,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;11,4;28,6;;;;;;;0;0;78;28;Colorado Rapids II;4708;MC;1,0
2718567073;731;1;2;78;30;dqx48fglv1l96cyrmjdod0xec;1;11,5;28,6;2024-09-08T22:43:02.580Z;2024-09-08T22:43:06Z;[{'id': 5201465221, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201465233, 'qualifierId': 213, 'value': '2.20'}, {'id': 5201465231, 'qualifierId': 212, 'value': '11.8'}, {'id': 5201465225, 'qualifierId': 140, 'value': '4.9'}, {'id': 5201465229, 'qualifierId': 141, 'value': '42.7'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;2,2;;;4,9;;11,8;42,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;4,9;42,7;;;;;;;0;0;78;30;Colorado Rapids II;4710;DL;1,0
2718567077;732;1;2;78;34;dqx48fglv1l96cyrmjdod0xec;0;5,3;43,4;2024-09-08T22:43:06.083Z;2024-09-08T22:43:06Z;[{'id': 5201465241, 'qualifierId': 140, 'value': '31.6'}, {'id': 5201465245, 'qualifierId': 212, 'value': '32.6'}, {'id': 5201465237, 'qualifierId': 157}, {'id': 5201465247, 'qualifierId': 213, 'value': '5.72'}, {'id': 5201465243, 'qualifierId': 141, 'value': '17.9'}, {'id': 5201465239, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201465249, 'qualifierId': 1}];brbc088u7sq9wh9d9gkonn5gq;C. Olivares;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;5,72;;;31,6;;32,6;17,9;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;31,6;17,9;;;;;;;0;0;78;34;Colorado Rapids II;4714;GK;1,0
2718567093;631;50;2;78;37;iiolvosiuokkrl5iuoxcjo4p;1;73,7;75,0;2024-09-08T22:43:09.568Z;2024-09-11T06:59:38Z;[{'id': 5201465397, 'qualifierId': 233, 'value': '733'}, {'id': 5201465307, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201465309, 'qualifierId': 286}];cp3g2ofhua5rnrtjhs17gpij8;P. Venegas;;;f45wsvefqdvkrkafrq8fn3sic;Dispossessed;;;;;;;;;;;;;;;;;;;733,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;78;37;St. Louis City II;4717;Sub;1,0
2718567111;733;7;2;78;37;dqx48fglv1l96cyrmjdod0xec;1;26,3;25,0;2024-09-08T22:43:09.569Z;2024-09-13T13:08:05Z;[{'id': 5201465391, 'qualifierId': 285}, {'id': 5205714565, 'qualifierId': 384}, {'id': 5201465389, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201465393, 'qualifierId': 233, 'value': '631'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;f45wsvefqdvkrkafrq8fn3sic;Tackle;;;;;;;;;;;;;;;;;;;631,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;78;37;Colorado Rapids II;4717;MC;1,0
2718567143;734;1;2;78;41;dqx48fglv1l96cyrmjdod0xec;1;40,6;28,4;2024-09-08T22:43:14.035Z;2024-09-08T22:47:39Z;[{'id': 5201465561, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201465563, 'qualifierId': 140, 'value': '46.4'}, {'id': 5201465565, 'qualifierId': 141, 'value': '47.5'}, {'id': 5201465567, 'qualifierId': 212, 'value': '14.3'}, {'id': 5201465569, 'qualifierId': 213, 'value': '1.13'}];632mpv8dpnxjm69f8ip1e4l5g;D. Armstrong;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;1,13;;;46,4;;14,3;47,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;46,4;47,5;;;;;;;0;0;78;41;Colorado Rapids II;4721;Sub;1,0
2718567145;735;4;2;78;49;dqx48fglv1l96cyrmjdod0xec;1;67,8;59,0;2024-09-08T22:43:21.486Z;2024-09-08T22:43:37Z;[{'id': 5201465611, 'qualifierId': 13}, {'id': 5201465615, 'qualifierId': 152}, {'id': 5201465621, 'qualifierId': 233, 'value': '632'}, {'id': 5201465617, 'qualifierId': 265}, {'id': 5201465613, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201465619, 'qualifierId': 286}];e9jko5f45qmjw3va7cp05l5w4;Hosei Kijima;;;f45wsvefqdvkrkafrq8fn3sic;Foul;;;;;;;;;;;;;;;;;;;632,0;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;78;49;Colorado Rapids II;4729;DR;1,0
2718567131;632;4;2;78;49;iiolvosiuokkrl5iuoxcjo4p;0;32,2;41,0;2024-09-08T22:43:21.487Z;2024-09-13T13:12:10Z;[{'id': 5201465535, 'qualifierId': 285}, {'id': 5201465529, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201465531, 'qualifierId': 152}, {'id': 5201465627, 'qualifierId': 233, 'value': '735'}, {'id': 5205716205, 'qualifierId': 55, 'value': '633'}, {'id': 5201465533, 'qualifierId': 265}, {'id': 5201465527, 'qualifierId': 13}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;f45wsvefqdvkrkafrq8fn3sic;Foul;;;;;;;;;;;;;;;;;;;735,0;;;;;1,0;;1,0;1,0;;;;;;;;;;;;;;;633,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;633,0;a9w6952jyw6x83gxp94zs8ro4;0;0;78;49;St. Louis City II;4729;Sub;1,0
2718567137;633;17;2;78;51;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-08T22:43:23.135Z;2024-09-13T13:12:10Z;[{'id': 5201465633, 'qualifierId': 13, 'value': '243'}, {'id': 5201465635, 'qualifierId': 55, 'value': '632'}, {'id': 5205716203, 'qualifierId': 392}, {'id': 5201465629, 'qualifierId': 31}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;f45wsvefqdvkrkafrq8fn3sic;Card;;;;;;;;;;;;;;;;;;;;;;;;;;;243,0;;;;;;;;;;;;;;;632,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;1,0;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;632,0;a9w6952jyw6x83gxp94zs8ro4;0;0;78;51;St. Louis City II;4731;Sub;1,0
2718567299;737;1;2;79;46;dqx48fglv1l96cyrmjdod0xec;1;71,4;62,3;2024-09-08T22:44:18.163Z;2024-09-08T22:44:20Z;[{'id': 5201466495, 'qualifierId': 152}, {'id': 5201466497, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201466501, 'qualifierId': 141, 'value': '28.1'}, {'id': 5201466505, 'qualifierId': 213, 'value': '5.41'}, {'id': 5201466491, 'qualifierId': 5}, {'id': 5201466499, 'qualifierId': 140, 'value': '89.8'}, {'id': 5201466493, 'qualifierId': 155}, {'id': 5201466503, 'qualifierId': 212, 'value': '30.2'}];5jigl7kp5d2i5ws1602jm7n1m;J. Klein;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;5,41;;;89,8;;30,2;28,1;;1,0;;;;;;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;89,8;28,1;;;;;;;0;0;79;46;Colorado Rapids II;4786;AMR;1,0
