id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_JerseyNumber;value_TeamKit;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Angle;value_Length;value_PassEndX;value_KickOff;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_Launch;value_IntendedTackleTarget;value_DeletedEventType;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_FlickOn;value_LeadingToAttempt;value_RelatedError1Id;value_NotAssisted;value_IndividualPlay;value_GoalmouthZ;value_RegularPlay;value_BoxRight;value_BlockedX;value_BlockedY;value_HighCentre;value_GoalmouthY;value_RightFooted;value_Standing;value_MediumGkIntervention;value_Hands;value_ParriedSafe;value_OverArm;value_KeeperThrow;value_Cross;value_InSwinger;value_Left;value_CornerTaken;value_Right;value_IntentionalAssist;value_Assist;value_OutSwinger;value_Volley;value_MisHit;value_FirstTouch;value_GkY;value_NotPastGoalLine;value_FromCorner;value_Head;value_GkX;value_RelatedEventId;value_Assisted;value_BoxCentre;value_LowGkIntervention;value_TakeOnSpace;value_Defensive1V1;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_NotVisible;value_TouchTypePass;value_CloseLeft;value_NextEventGoalKick;value_Low;value_GoalKick;value_TouchTypeControl;value_LeftFooted;value_Shove/Push;value_High;value_FastBreak;value_Blocked;value_BigChance;value_LowCentre;value_DefBlock;value_SwitchOfPlay;value_Overrun;value_BoxLeft;value_SwerveLeft;value_TakeOnOvertake;value_LayOff;value_LowLeft;value_Diving;value_Collected;value_ShirtPull/Holding;value_OutOfBoxCentre;value_HighLeft;value_HighGkIntervention;value_Caught;value_Reaching;value_HighClaim;value_CloseRight;value_PlayersCaughtOffside;value_Indirect;value_Handball;value_YellowCard;value_FreeKick;value_Fingertip;value_LowRight;value_OwnPlayer;value_SixYardBlocked;value_OwnShotBlocked;value_IncorrectOutOfPlayDecision;value_SmallBoxRight;value_Injury;value_InjuredPlayerId;value_Minutes;value_SetPiece;value_SwerveRight;value_EndType;value_PullBack;value_RecklessOffence;value_ThroughBall;value_Deflection;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_BlockedCross;value_Unchallenged;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_GkHoof;value_TacticalFoul;value_LeadingToGoal;value_HighRight;value_KeeperTouched;value_Dissent;value_CoachId;value_LastLine;value_BoxDeepLeft;value_Stooping;value_Argument;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2686715117;5;1;1;0;12;7fbej4xwoq4imaf5l39304m37;0;5,0;4,6;2024-05-12T19:03:30.916Z;2024-05-12T19:03:33Z;[{'id': 5026187873, 'qualifierId': 157}, {'id': 5026187887, 'qualifierId': 1}, {'id': 5026187883, 'qualifierId': 212, 'value': '20.5'}, {'id': 5026187881, 'qualifierId': 141, 'value': '3.7'}, {'id': 5026187877, 'qualifierId': 56, 'value': 'Back'}, {'id': 5026187879, 'qualifierId': 140, 'value': '24.5'}, {'id': 5026187885, 'qualifierId': 213, 'value': '6.25'}];1wa60ccrpw2zqguj4ayeeacyc;D. Montoute;;;csa4z7z8fak8aqtdsug4siej8;Pass;;;;;;;;;;3,7;;6,25;20,5;24,5;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;24,5;3,7;;;;;;;0;0;0;12;Colorado Rapids II;12;DL;1,0
2686715087;7;61;1;0;13;iiolvosiuokkrl5iuoxcjo4p;1;88,8;91,5;2024-05-12T19:03:31.761Z;2024-05-12T19:03:31Z;[{'id': 5026187721, 'qualifierId': 56, 'value': 'Left'}];28kg6zbpgbb8zrnhidogpxi0a;A. Díaz;;;csa4z7z8fak8aqtdsug4siej8;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;13;Sporting KC II;13;FW;1,0
2686715341;11;61;1;0;16;iiolvosiuokkrl5iuoxcjo4p;0;72,4;92,7;2024-05-12T19:03:34.494Z;2024-05-12T19:55:34Z;[{'id': 5026188965, 'qualifierId': 56, 'value': 'Left'}];1ss7pdaxmlk0sijax5brwpkyy;L. Batiste;;;csa4z7z8fak8aqtdsug4siej8;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;16;Sporting KC II;16;DC;1,0
2686770307;433;83;1;0;17;iiolvosiuokkrl5iuoxcjo4p;0;68,5;91,1;2024-05-12T19:03:35.016Z;2024-05-12T19:56:01Z;[{'id': 5026508813, 'qualifierId': 399, 'value': '3tkdn8arq1j3il4ako7rcio2y'}];1ss7pdaxmlk0sijax5brwpkyy;L. Batiste;;;csa4z7z8fak8aqtdsug4siej8;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;17;Sporting KC II;17;DC;1,0
2686772125;432;61;1;0;18;7fbej4xwoq4imaf5l39304m37;0;31,5;5,2;2024-05-12T19:03:36.016Z;2024-05-12T19:55:58Z;[{'id': 5026508263, 'qualifierId': 56, 'value': 'Back'}];3tkdn8arq1j3il4ako7rcio2y;M. Goumballe;;;csa4z7z8fak8aqtdsug4siej8;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;18;Colorado Rapids II;18;AMR;1,0
2686715263;8;1;1;0;19;iiolvosiuokkrl5iuoxcjo4p;1;73,3;83,8;2024-05-12T19:03:37.686Z;2024-05-12T19:03:39Z;[{'id': 5026188601, 'qualifierId': 213, 'value': '0.78'}, {'id': 5026188591, 'qualifierId': 141, 'value': '96.9'}, {'id': 5026188587, 'qualifierId': 56, 'value': 'Left'}, {'id': 5026188585, 'qualifierId': 155}, {'id': 5026188595, 'qualifierId': 212, 'value': '12.7'}, {'id': 5026188589, 'qualifierId': 140, 'value': '81.9'}];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;;csa4z7z8fak8aqtdsug4siej8;Pass;;;;;;;;;;96,9;;0,78;12,7;81,9;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;81,9;96,9;;;;;;;0;0;0;19;Sporting KC II;19;FW;1,0
2686715253;6;43;1;0;21;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-05-12T19:03:39.044Z;2024-05-18T12:26:47Z;[{'id': 5037209535, 'qualifierId': 144, 'value': '83'}, {'id': 5026321311, 'qualifierId': 399, 'value': '6hh057kb54ovy3lqxo5bvxlhw'}];3tkdn8arq1j3il4ako7rcio2y;M. Goumballe;;;csa4z7z8fak8aqtdsug4siej8;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;83,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;21;Colorado Rapids II;21;AMR;1,0
2686715273;9;50;1;0;21;iiolvosiuokkrl5iuoxcjo4p;1;85,8;96,2;2024-05-12T19:03:39.758Z;2024-05-12T19:53:10Z;[{'id': 5026188643, 'qualifierId': 56, 'value': 'Left'}, {'id': 5026188645, 'qualifierId': 286}, {'id': 5026498731, 'qualifierId': 233, 'value': '8'}];6hh057kb54ovy3lqxo5bvxlhw;A. García;;;csa4z7z8fak8aqtdsug4siej8;Dispossessed;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;21;Sporting KC II;21;ML;1,0
2686715413;8;7;1;0;21;7fbej4xwoq4imaf5l39304m37;1;14,2;3,8;2024-05-12T19:03:39.759Z;2024-05-18T12:26:57Z;[{'id': 5026189355, 'qualifierId': 285}, {'id': 5037209793, 'qualifierId': 385}, {'id': 5037209791, 'qualifierId': 167}, {'id': 5026189457, 'qualifierId': 233, 'value': '9'}, {'id': 5026189353, 'qualifierId': 56, 'value': 'Back'}];9jczt268kcld72pk5ho4xpzsa;J. Bartlett;;;csa4z7z8fak8aqtdsug4siej8;Tackle;;;;;;;;;;;;;;;;;;9,0;;1,0;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;0;21;Colorado Rapids II;21;DR;1,0
2686715331;10;5;1;0;22;iiolvosiuokkrl5iuoxcjo4p;1;86,2;101,1;2024-05-12T19:03:40.596Z;2024-05-12T20:36:00Z;[{'id': 5026385737, 'qualifierId': 233, 'value': '10'}, {'id': 5026188939, 'qualifierId': 347}, {'id': 5026188937, 'qualifierId': 56, 'value': 'Left'}];4wu5ystem7t4d7veep83j2qne;S. Flores;;;csa4z7z8fak8aqtdsug4siej8;Out;;;;;;;;;;;;;;;;;;10,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;22;Sporting KC II;22;DR;1,0
