id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Involved;value_PlayerPosition;value_TeamKit;value_Resume;value_TeamFormation;value_Captain;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_PassEndY;value_Angle;value_Length;value_Zone;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_TakeOnOvertake;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_OutOfPlay;value_TouchTypeControl;value_FirstTouch;value_RelatedEventId;value_RegularPlay;value_Assisted;value_BigChance;value_BoxCentre;value_GkX;value_LeftFooted;value_GoalmouthZ;value_GkY;value_Right;value_GoalmouthY;value_DeletedEventType;value_IndividualPlay;value_LowCentre;value_RightFooted;value_NotAssisted;value_BlockedY;value_Blocked;value_BlockedX;value_DefBlock;value_Left;value_CornerTaken;value_InSwinger;value_Cross;value_Head;value_NextEventGoalKick;value_Low;value_GoalKick;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_IntendedTackleTarget;value_OutSwinger;value_MediumGkIntervention;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_LowGkIntervention;value_TakeOnSpace;value_NotPastGoalLine;value_ThrowInSetPiece;value_HighGkIntervention;value_LayOff;value_TouchTypePass;value_FreeKick;value_OutOfBoxCentre;value_ByWall;value_BlockedPass;value_Shove/Push;value_SwitchOfPlay;value_Overrun;value_NotVisible;value_Assist;value_IntentionalAssist;value_Volley;value_Weak;value_SwerveRight;value_ShirtPull/Holding;value_SmallBoxCentre;value_SetPiece;value_ParriedDanger;value_Diving;value_Hands;value_CloseHigh;value_FromCorner;value_Collected;value_Stooping;value_KeeperThrow;value_BoxRight;value_LowLeft;value_Deflection;value_GkXTimeOfGoal;value_HighLeft;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_PlayersCaughtOffside;value_Indirect;value_Minutes;value_OverhitCross;value_EndType;value_Tactical;value_BoxLeft;value_Standing;value_ParriedSafe;value_TacticalFoul;value_YellowCard;value_FairPlay;value_OverArm;value_HighClaim;value_AerialFoul;value_FlickOn;value_Defensive1V1;value_GkKickFromHands;value_CloseLeftAndHigh;value_High;value_LowRight;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistedBy;value_SixYardBlocked;value_IncorrectOutOfPlayDecision;value_RecklessOffence;value_CaptainChange;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2697668183;810;1;2;87;40;6gaq85erpkvbyxvivd96wuw44;1;27,4;25,5;2024-06-24T03:50:08.157Z;2024-06-24T03:50:09Z;[{'id': 5086204077, 'qualifierId': 141, 'value': '43.1'}, {'id': 5086204075, 'qualifierId': 140, 'value': '9.9'}, {'id': 5086204079, 'qualifierId': 212, 'value': '21.9'}, {'id': 5086204081, 'qualifierId': 213, 'value': '2.56'}, {'id': 5086204073, 'qualifierId': 56, 'value': 'Back'}];e2912gyiutvn3aky0z9ijz384;A. Sanders;;;dlua1j6w6lpufcxm3ed0hawwk;Pass;;;;;;;;;;9,9;;43,1;2,56;21,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;9,9;43,1;;;;;;;0;0;87;40;The Town;5260;Sub;1,0
2697668185;811;1;2;87;41;6gaq85erpkvbyxvivd96wuw44;1;9,9;43,1;2024-06-24T03:50:09.749Z;2024-06-24T03:50:13Z;[{'id': 5086204091, 'qualifierId': 212, 'value': '22.8'}, {'id': 5086204085, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086204089, 'qualifierId': 141, 'value': '73.2'}, {'id': 5086204093, 'qualifierId': 213, 'value': '1.11'}, {'id': 5086204087, 'qualifierId': 140, 'value': '19.5'}];8m19c2e0raanzp3dzf7aaf6jt;A. Romero;;;dlua1j6w6lpufcxm3ed0hawwk;Pass;;;;;;;;;;19,5;;73,2;1,11;22,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;19,5;73,2;;;;;;;0;0;87;41;The Town;5261;GK;1,0
2697668187;812;1;2;87;45;6gaq85erpkvbyxvivd96wuw44;0;19,5;73,2;2024-06-24T03:50:13.287Z;2024-06-24T03:50:15Z;[{'id': 5086204103, 'qualifierId': 141, 'value': '41.3'}, {'id': 5086204101, 'qualifierId': 140, 'value': '35.0'}, {'id': 5086204109, 'qualifierId': 1}, {'id': 5086204097, 'qualifierId': 157}, {'id': 5086204105, 'qualifierId': 212, 'value': '27.1'}, {'id': 5086204107, 'qualifierId': 213, 'value': '5.36'}, {'id': 5086204099, 'qualifierId': 56, 'value': 'Back'}];do2o6ka25talswmmillufejqi;D. Rosales;;;dlua1j6w6lpufcxm3ed0hawwk;Pass;;;;;;;;;;35,0;;41,3;5,36;27,1;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;35,0;41,3;;;;;;;0;0;87;45;The Town;5265;DC;1,0
2697668189;873;8;2;87;46;ew2zirzye0sw1txr2m33nr25y;1;58,5;62,8;2024-06-24T03:50:14.965Z;2024-06-27T15:51:53Z;[{'id': 5086204111, 'qualifierId': 56, 'value': 'Center'}, {'id': 5088771005, 'qualifierId': 384}];1on6mxrbdqnh12s4h1y0vb3mc;E. Mendoza;;;dlua1j6w6lpufcxm3ed0hawwk;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;87;46;Los Angeles II;5266;MC;1,0
2697668191;874;61;2;87;48;ew2zirzye0sw1txr2m33nr25y;0;52,1;52,3;2024-06-24T03:50:16.453Z;2024-06-27T15:52:08Z;[{'id': 5086204113, 'qualifierId': 56, 'value': 'Center'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;dlua1j6w6lpufcxm3ed0hawwk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;87;48;Los Angeles II;5268;DC;1,0
2697668197;813;3;2;87;50;6gaq85erpkvbyxvivd96wuw44;0;45,9;47,2;2024-06-24T03:50:18.235Z;2024-06-27T15:52:17Z;[{'id': 5086204119, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086204121, 'qualifierId': 286}, {'id': 5088771017, 'qualifierId': 465}, {'id': 5086204127, 'qualifierId': 233, 'value': '875'}];er0xm9k5zv8kcvcy7bnwp086i;E. Dueñas;;;dlua1j6w6lpufcxm3ed0hawwk;Take On;;;;;;;;;;;;;;;;;;875,0;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;0;0;87;50;The Town;5270;MC;1,0
2697668193;875;7;2;87;50;ew2zirzye0sw1txr2m33nr25y;1;54,1;52,8;2024-06-24T03:50:18.236Z;2024-06-27T15:52:21Z;[{'id': 5086204123, 'qualifierId': 233, 'value': '813'}, {'id': 5086204117, 'qualifierId': 285}, {'id': 5088771019, 'qualifierId': 383}, {'id': 5086204115, 'qualifierId': 56, 'value': 'Center'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;dlua1j6w6lpufcxm3ed0hawwk;Tackle;;;;;;;;;;;;;;;;;;813,0;1,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;87;50;Los Angeles II;5270;DC;1,0
2697668195;876;49;2;87;51;ew2zirzye0sw1txr2m33nr25y;1;57,6;55,0;2024-06-24T03:50:19.181Z;2024-06-24T03:50:19Z;[];79z5vt08ga8prn33vi2a260kq;C. Walls;;;dlua1j6w6lpufcxm3ed0hawwk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;87;51;Los Angeles II;5271;DC;1,0
2697668199;877;1;2;87;52;ew2zirzye0sw1txr2m33nr25y;0;57,6;55,0;2024-06-24T03:50:20.838Z;2024-06-27T15:52:24Z;[{'id': 5086204137, 'qualifierId': 141, 'value': '6.1'}, {'id': 5086204135, 'qualifierId': 140, 'value': '100.0'}, {'id': 5086204143, 'qualifierId': 1}, {'id': 5086204131, 'qualifierId': 155}, {'id': 5086204139, 'qualifierId': 212, 'value': '56.5'}, {'id': 5086204133, 'qualifierId': 56, 'value': 'Right'}, {'id': 5086204141, 'qualifierId': 213, 'value': '5.65'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;dlua1j6w6lpufcxm3ed0hawwk;Pass;;;;;;;;;;100,0;;6,1;5,65;56,5;;;1,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;100,0;6,1;;;;;;;0;0;87;52;Los Angeles II;5272;DC;1,0
2697668203;814;5;2;87;56;6gaq85erpkvbyxvivd96wuw44;1;-1,3;94,2;2024-06-24T03:50:24.730Z;2024-06-24T03:58:27Z;[{'id': 5086204149, 'qualifierId': 56, 'value': 'Back'}, {'id': 5086204153, 'qualifierId': 233, 'value': '878'}, {'id': 5086204151, 'qualifierId': 346}];er0xm9k5zv8kcvcy7bnwp086i;E. Dueñas;;;dlua1j6w6lpufcxm3ed0hawwk;Out;;;;;;;;;;;;;;;;;;878,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;0;0;87;56;The Town;5276;MC;1,0
