id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_Resume;value_JerseyNumber;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_Zone;value_KickOff;value_Length;value_LongBall;value_Chipped;value_FlickOn;value_HeadPass;value_IntendedTackleTarget;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_TakeOnSpace;value_TouchTypeControl;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_BlockedPass;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_TouchTypeClearance;value_LayOff;value_DeletedEventType;value_Head;value_NextEventGoalKick;value_GoalKick;value_Low;value_AttemptedTackle;value_GkX;value_LowCentre;value_BlockedX;value_NotAssisted;value_GkY;value_FreeKick;value_RightFooted;value_GoalmouthZ;value_BlockedY;value_GoalmouthY;value_OutOfBoxCentre;value_Blocked;value_DefBlock;value_ByWall;value_Left;value_Right;value_Cross;value_OutSwinger;value_CornerTaken;value_TakeOnOvertake;value_SwitchOfPlay;value_LeftFooted;value_InSwinger;value_BlockedCross;value_High;value_Overrun;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_RelatedEventId;value_BallHitsReferee;value_Launch;value_FloatedCross;value_Straight;value_ShirtPull/Holding;value_LowGkIntervention;value_BoxCentre;value_SetPiece;value_FirstTouch;value_ThroughBall;value_Assist;value_Assisted;value_BoxDeepLeft;value_IndividualPlay;value_CloseLeft;value_RegularPlay;value_IntentionalAssist;value_NotPastGoalLine;value_FromCorner;value_BlockedClearance;value_Defensive1V1;value_PlayersCaughtOffside;value_YellowCard;value_NotRetreating;value_Dissent;value_SecondYellow;value_Indirect;value_KeeperThrow;value_RecklessOffence;value_OutOfBoxDeepLeft;value_CloseHigh;value_Minutes;value_35Centre;value_LowRight;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_HighGkIntervention;value_GkKickFromHands;value_OverArm;value_Volley;value_LowLeft;value_ParriedDanger;value_Hands;value_Diving;value_NotVisible;value_OverhitCross;value_HighLeft;value_TimeWasting;value_BoxLeft;value_MediumGkIntervention;value_GoalDisallowed;value_CloseRight;value_ProfessionalFoulLastMan;value_RedCard;value_BoxRight;value_PenaltyTakerId;value_Penalty;value_Scored;value_GkYTimeOfGoal;value_BigChance;value_FantasyAssistTeam;value_CausingPlayer;value_FantasyAssistType;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotTimestamp;value_FantasyAssistId;value_GkXTimeOfGoal;value_FantasyAssistedBy;value_GoalShotGameClock;value_Tap;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2726646265;751;1;2;71;45;1pc6sx2h4rp113ldkbp5d2xas;1;29,3;67,3;2024-09-28T01:34:33.495Z;2024-09-28T01:34:34Z;[{'id': 5245728129, 'qualifierId': 3}, {'id': 5245728139, 'qualifierId': 213, 'value': '4.66'}, {'id': 5245728137, 'qualifierId': 212, 'value': '10.1'}, {'id': 5245728133, 'qualifierId': 140, 'value': '28.8'}, {'id': 5245728131, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245728135, 'qualifierId': 141, 'value': '52.4'}];a4staqjshva5lhcr0dw744nze;R. O'Driscoll;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;4,66;28,8;52,4;;;10,1;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;28,8;52,4;;;;;;;;0;71;45;Colorado Rapids II;4305;MC;1,0
2726646269;752;49;2;71;46;1pc6sx2h4rp113ldkbp5d2xas;1;28,8;52,4;2024-09-28T01:34:34.487Z;2024-09-28T01:34:34Z;[];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;e4qbvstkhmtqqa5ir1mqak2c;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;71;46;Colorado Rapids II;4306;MC;1,0
2726646297;753;1;2;71;47;1pc6sx2h4rp113ldkbp5d2xas;1;28,8;52,4;2024-09-28T01:34:35.494Z;2024-09-28T01:34:38Z;[{'id': 5245728243, 'qualifierId': 141, 'value': '72.9'}, {'id': 5245728239, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245728247, 'qualifierId': 213, 'value': '2.06'}, {'id': 5245728241, 'qualifierId': 140, 'value': '21.7'}, {'id': 5245728245, 'qualifierId': 212, 'value': '15.8'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;2,06;21,7;72,9;;;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;21,7;72,9;;;;;;;;0;71;47;Colorado Rapids II;4307;MC;1,0
2726646323;754;1;2;71;50;1pc6sx2h4rp113ldkbp5d2xas;1;20,8;85,1;2024-09-28T01:34:38.711Z;2024-09-28T01:34:42Z;[{'id': 5245728351, 'qualifierId': 212, 'value': '38.9'}, {'id': 5245728355, 'qualifierId': 1}, {'id': 5245728353, 'qualifierId': 213, 'value': '0.00'}, {'id': 5245728343, 'qualifierId': 157}, {'id': 5245728347, 'qualifierId': 140, 'value': '57.8'}, {'id': 5245728349, 'qualifierId': 141, 'value': '85.1'}, {'id': 5245728345, 'qualifierId': 56, 'value': 'Left'}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;0,0;57,8;85,1;;;38,9;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;57,8;85,1;;;;;;;;0;71;50;Colorado Rapids II;4310;Sub;1,0
2726646329;755;44;2;71;53;1pc6sx2h4rp113ldkbp5d2xas;1;56,9;90,8;2024-09-28T01:34:41.475Z;2024-09-28T02:06:10Z;[{'id': 5245728381, 'qualifierId': 286}, {'id': 5245728379, 'qualifierId': 56, 'value': 'Left'}, {'id': 5245728389, 'qualifierId': 233, 'value': '554'}];1gmj4ge2sog221wqkmap8kidw;A. Martinez;;e4qbvstkhmtqqa5ir1mqak2c;Aerial;;;;;;;;;;;;;;;;;;;;;;554,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;71;53;Colorado Rapids II;4313;FWL;1,0
2726646321;554;44;2;71;53;iiolvosiuokkrl5iuoxcjo4p;0;43,1;9,2;2024-09-28T01:34:41.476Z;2024-09-28T02:06:10Z;[{'id': 5245728393, 'qualifierId': 233, 'value': '755'}, {'id': 5245728339, 'qualifierId': 285}, {'id': 5245728337, 'qualifierId': 56, 'value': 'Back'}];4wu5ystem7t4d7veep83j2qne;S. Flores;;e4qbvstkhmtqqa5ir1mqak2c;Aerial;;;;;;;;;;;;;;;;;;;;;1,0;755,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;71;53;Minnesota United II;4313;DR;1,0
2726646339;756;1;2;71;54;1pc6sx2h4rp113ldkbp5d2xas;0;57,5;85,0;2024-09-28T01:34:42.375Z;2024-09-28T01:34:43Z;[{'id': 5245728437, 'qualifierId': 213, 'value': '5.67'}, {'id': 5245728427, 'qualifierId': 3}, {'id': 5245728429, 'qualifierId': 56, 'value': 'Center'}, {'id': 5245728433, 'qualifierId': 141, 'value': '75.6'}, {'id': 5245728431, 'qualifierId': 140, 'value': '66.2'}, {'id': 5245728435, 'qualifierId': 212, 'value': '11.1'}];1gmj4ge2sog221wqkmap8kidw;A. Martinez;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;5,67;66,2;75,6;;;11,1;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;66,2;75,6;;;;;;;;0;71;54;Colorado Rapids II;4314;FWL;1,0
2726646357;555;1;2;71;55;iiolvosiuokkrl5iuoxcjo4p;0;34,7;10,1;2024-09-28T01:34:42.931Z;2024-09-28T01:34:45Z;[{'id': 5245728513, 'qualifierId': 213, 'value': '6.17'}, {'id': 5245728505, 'qualifierId': 56, 'value': 'Right'}, {'id': 5245728503, 'qualifierId': 155}, {'id': 5245728511, 'qualifierId': 212, 'value': '28.5'}, {'id': 5245728507, 'qualifierId': 140, 'value': '61.7'}, {'id': 5245728509, 'qualifierId': 141, 'value': '5.5'}];eh27y0usldxsj6ouf3pkvbg9g;V. Rinaldi;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;6,17;61,7;5,5;;;28,5;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;61,7;5,5;;;;;;;;0;71;55;Minnesota United II;4315;Sub;1,0
2726646365;757;44;2;71;56;1pc6sx2h4rp113ldkbp5d2xas;1;40,3;88,8;2024-09-28T01:34:44.642Z;2024-09-28T02:06:11Z;[{'id': 5245728547, 'qualifierId': 285}, {'id': 5245728545, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245728591, 'qualifierId': 233, 'value': '556'}];98tyw392rp4ow3apn0ygrbtp0;J. Farris;;e4qbvstkhmtqqa5ir1mqak2c;Aerial;;;;;;;;;;;;;;;;;;;;;1,0;556,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;71;56;Colorado Rapids II;4316;DC;1,0
2726646359;556;44;2;71;56;iiolvosiuokkrl5iuoxcjo4p;0;59,7;11,2;2024-09-28T01:34:44.643Z;2024-09-28T02:06:11Z;[{'id': 5245728605, 'qualifierId': 233, 'value': '757'}, {'id': 5245728517, 'qualifierId': 56, 'value': 'Right'}, {'id': 5245728519, 'qualifierId': 286}];1p1ektnr3l7lj518cbs2dnmdw;R. Garcia;;e4qbvstkhmtqqa5ir1mqak2c;Aerial;;;;;;;;;;;;;;;;;;;;;;757,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;71;56;Minnesota United II;4316;FWR;1,0
