id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Captain;value_Involved;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Length;value_Zone;value_PassEndX;value_Angle;value_LongBall;value_SwitchOfPlay;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_Launch;value_Defensive;value_TouchTypeControl;value_Offensive;value_TakeOnSpace;value_TouchTypePass;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_IntendedTackleTarget;value_TakeOnOvertake;value_Overrun;value_LayOff;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_FlickOn;value_LeftFooted;value_Cross;value_OutSwinger;value_AttemptedTackle;value_Foul;value_Direct;value_DeletedEventType;value_NextEventGoalKick;value_GoalKick;value_Low;value_HeadPass;value_Shove/Push;value_RelatedEventId;value_OutOfPlay;value_TouchTypeClearance;value_Left;value_InSwinger;value_CornerTaken;value_RightFooted;value_Head;value_Right;value_HighGkIntervention;value_Deflection;value_GkX;value_FromCorner;value_NotAssisted;value_GoalShotGameClock;value_IndividualPlay;value_GkXTimeOfGoal;value_GoalmouthZ;value_OutOfBoxCentre;value_LowLeft;value_FirstTouch;value_GkY;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_Volley;value_GoalmouthY;value_ThroughBall;value_Assist;value_RegularPlay;value_Assisted;value_1On1;value_BigChance;value_LowCentre;value_FollowsADribble;value_BoxCentre;value_NotVisible;value_IntentionalAssist;value_HighRight;value_BlockedPass;value_ShirtPull/Holding;value_Review;value_BlockedY;value_BlockedX;value_Blocked;value_DefBlock;value_HighCentre;value_FreeKick;value_Collected;value_Standing;value_Hands;value_DrinksBreak;value_RefereeDelay;value_BoxLeft;value_MediumGkIntervention;value_LeadingToGoal;value_RelatedError1Id;value_Tap;value_Defensive1V1;value_YellowCard;value_TacticalFoul;value_BlockedCross;value_Minutes;value_EndType;value_RecklessOffence;value_FloatedCross;value_Straight;value_SetPiece;value_High;value_HighLeft;value_BlockedClearance;value_HighClaim;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Injury;value_InjuredPlayerId;value_CloseRight;value_NotPastGoalLine;value_SmallBoxCentre;value_Handball;value_TempMissed;value_OwnGoal;value_GkHoof;value_35Centre;value_AerialFoul;value_GoesToPenalties;value_Penalty;value_Scored;value_Diving;value_Second(2Nd)OppositeRelatedEventId;value_LowRight;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2697371625;130;1;1;14;44;d0c07im4a6oj8qa7f1zlt3pqs;1;34,5;0,0;2024-06-23T01:04:31.719Z;2024-06-23T01:04:33Z;[{'id': 5084565261, 'qualifierId': 212, 'value': '11.6'}, {'id': 5084565255, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084565257, 'qualifierId': 140, 'value': '31.8'}, {'id': 5084565263, 'qualifierId': 213, 'value': '1.82'}, {'id': 5084565253, 'qualifierId': 107}, {'id': 5084565259, 'qualifierId': 141, 'value': '16.3'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;16,3;11,6;;31,8;1,82;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;31,8;16,3;;;;;;;;0;14;44;North Texas;884;DR;1,0
2697371645;131;1;1;14;46;d0c07im4a6oj8qa7f1zlt3pqs;1;30,9;16,3;2024-06-23T01:04:33.655Z;2024-06-23T01:04:35Z;[{'id': 5084565355, 'qualifierId': 141, 'value': '9.4'}, {'id': 5084565351, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084565357, 'qualifierId': 212, 'value': '11.5'}, {'id': 5084565359, 'qualifierId': 213, 'value': '3.56'}, {'id': 5084565353, 'qualifierId': 140, 'value': '20.9'}];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;9,4;11,5;;20,9;3,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;20,9;9,4;;;;;;;;0;14;46;North Texas;886;MC;1,0
2697371661;132;1;1;14;49;d0c07im4a6oj8qa7f1zlt3pqs;1;22,6;5,3;2024-06-23T01:04:35.767Z;2024-06-23T01:04:37Z;[{'id': 5084565433, 'qualifierId': 213, 'value': '0.57'}, {'id': 5084565425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084565429, 'qualifierId': 141, 'value': '15.5'}, {'id': 5084565431, 'qualifierId': 212, 'value': '12.9'}, {'id': 5084565427, 'qualifierId': 140, 'value': '33.0'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;15,5;12,9;;33,0;0,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;33,0;15,5;;;;;;;;0;14;49;North Texas;889;DL;1,0
2697371681;133;1;1;14;50;d0c07im4a6oj8qa7f1zlt3pqs;1;33,0;15,5;2024-06-23T01:04:37.031Z;2024-06-23T01:04:38Z;[{'id': 5084565529, 'qualifierId': 212, 'value': '8.8'}, {'id': 5084565523, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084565531, 'qualifierId': 213, 'value': '1.98'}, {'id': 5084565525, 'qualifierId': 140, 'value': '29.7'}, {'id': 5084565527, 'qualifierId': 141, 'value': '27.4'}];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;27,4;8,8;;29,7;1,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;29,7;27,4;;;;;;;;0;14;50;North Texas;890;MC;1,0
2697371697;134;1;1;14;51;d0c07im4a6oj8qa7f1zlt3pqs;1;29,1;27,8;2024-06-23T01:04:38.119Z;2024-06-23T01:04:40Z;[{'id': 5084565623, 'qualifierId': 141, 'value': '40.6'}, {'id': 5084565619, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084565625, 'qualifierId': 212, 'value': '12.3'}, {'id': 5084565621, 'qualifierId': 140, 'value': '37.4'}, {'id': 5084565627, 'qualifierId': 213, 'value': '0.78'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;40,6;12,3;;37,4;0,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;37,4;40,6;;;;;;;;0;14;51;North Texas;891;MC;1,0
2697371713;135;1;1;14;53;d0c07im4a6oj8qa7f1zlt3pqs;1;37,3;43,4;2024-06-23T01:04:40.391Z;2024-06-23T01:04:43Z;[{'id': 5084565693, 'qualifierId': 141, 'value': '66.8'}, {'id': 5084565691, 'qualifierId': 140, 'value': '25.9'}, {'id': 5084565697, 'qualifierId': 213, 'value': '2.22'}, {'id': 5084565689, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084565695, 'qualifierId': 212, 'value': '19.9'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;66,8;19,9;;25,9;2,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;25,9;66,8;;;;;;;;0;14;53;North Texas;893;MC;1,0
2697371731;136;1;1;14;56;d0c07im4a6oj8qa7f1zlt3pqs;1;25,7;65,7;2024-06-23T01:04:43.032Z;2024-06-23T01:04:45Z;[{'id': 5084565823, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084565829, 'qualifierId': 212, 'value': '19.9'}, {'id': 5084565827, 'qualifierId': 141, 'value': '82.2'}, {'id': 5084565831, 'qualifierId': 213, 'value': '0.60'}, {'id': 5084565825, 'qualifierId': 140, 'value': '41.3'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;82,2;19,9;;41,3;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;41,3;82,2;;;;;;;;0;14;56;North Texas;896;DC;1,0
2697371785;137;1;1;14;58;d0c07im4a6oj8qa7f1zlt3pqs;1;42,4;81,3;2024-06-23T01:04:45.352Z;2024-06-23T01:04:50Z;[{'id': 5084566169, 'qualifierId': 140, 'value': '56.5'}, {'id': 5084566173, 'qualifierId': 212, 'value': '16.5'}, {'id': 5084566175, 'qualifierId': 213, 'value': '0.46'}, {'id': 5084566167, 'qualifierId': 56, 'value': 'Left'}, {'id': 5084566171, 'qualifierId': 141, 'value': '92.1'}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;92,1;16,5;;56,5;0,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;56,5;92,1;;;;;;;;0;14;58;North Texas;898;DC;1,0
2697371835;138;2;1;15;3;d0c07im4a6oj8qa7f1zlt3pqs;1;69,1;81,4;2024-06-23T01:04:50.488Z;2024-06-25T07:59:28Z;[{'id': 5084566475, 'qualifierId': 140, 'value': '76.6'}, {'id': 5084566477, 'qualifierId': 141, 'value': '95.3'}, {'id': 5084566687, 'qualifierId': 7, 'value': '9nlw8tihbzfnvkt5uproa79jo'}, {'id': 5084566689, 'qualifierId': 56, 'value': 'Left'}];641bsr9un81t6sds51fhvijh0;B. Farkarlun;;;djkwx4vdx0sd7suxod5vbivbo;Offside Pass;;;;;;;;;;;95,3;;;76,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;76,6;95,3;;;;;;;;0;15;3;North Texas;903;FWL;1,0
2697371917;105;55;1;15;3;99l7fsj6ykgbyqcb9zqqu9dgq;1;25,7;30,9;2024-06-23T01:04:50.489Z;2024-06-23T01:15:01Z;[];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;djkwx4vdx0sd7suxod5vbivbo;Offside provoked;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;15;3;Austin II;903;DC;1,0
