id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_JerseyNumber;value_PlayerPosition;value_Involved;value_TeamKit;value_Resume;value_Captain;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_Zone;value_Angle;value_KickOff;value_PassEndX;value_PassEndY;value_Launch;value_LongBall;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_LayOff;value_HeadPass;value_TouchTypeControl;value_Offensive;value_OppositeRelatedEventId;value_BlockedPass;value_Defensive;value_Assist;value_SwitchOfPlay;value_Chipped;value_TakeOnSpace;value_LeftFooted;value_BlockedY;value_BlockedX;value_GkX;value_GkY;value_IndividualPlay;value_OutOfBoxCentre;value_Blocked;value_GoalmouthZ;value_GoalmouthY;value_RelatedEventId;value_RegularPlay;value_LowCentre;value_Assisted;value_DefBlock;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_TouchTypeClearance;value_DeletedEventType;value_IntentionalAssist;value_BoxCentre;value_FirstTouch;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_Direct;value_Shove/Push;value_Foul;value_AttemptedTackle;value_Straight;value_Cross;value_DrivenCross;value_RightFooted;value_Right;value_Left;value_CornerTaken;value_OutSwinger;value_Head;value_TakeOnOvertake;value_LastLine;value_Defensive1V1;value_NotVisible;value_NotAssisted;value_BoxLeft;value_High;value_FlickOn;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_OverhitCross;value_OutOfPlay;value_FromCorner;value_Deflection;value_Hands;value_Collected;value_Stooping;value_GkKickFromHands;value_MediumGkIntervention;value_IntendedTackleTarget;value_ShirtPull/Holding;value_InSwinger;value_FloatedCross;value_Overrun;value_PullBack;value_BoxRight;value_InjuredPlayerId;value_Injury;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_RecklessOffence;value_YellowCard;value_BlockedCross;value_Standing;value_LowLeft;value_Diving;value_Minutes;value_EndType;value_Dissent;value_SecondYellow;value_Tactical;value_LowRight;value_OutOfBoxDeepRight;value_Unchallenged;value_ParriedSafe;value_TacticalFoul;value_Volley;value_HighCentre;value_HighGkIntervention;value_Caught;value_BigChance;value_FastBreak;value_CloseLeft;value_BoxDeepLeft;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_PersistentInfringement;value_ThroughBall;value_HighClaim;value_CloseHigh;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2703944357;84;1;1;7;9;6ddsx316t3j0z6nolrky9k4r8;1;33,3;91,2;2024-07-27T23:42:28.518Z;2024-07-27T23:42:31Z;[{'id': 5120898089, 'qualifierId': 141, 'value': '73.5'}, {'id': 5120898091, 'qualifierId': 212, 'value': '13.8'}, {'id': 5120898093, 'qualifierId': 213, 'value': '4.20'}, {'id': 5120898083, 'qualifierId': 241}, {'id': 5120898081, 'qualifierId': 5}, {'id': 5120898085, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120898087, 'qualifierId': 140, 'value': '26.8'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;13,8;;4,2;;26,8;73,5;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;26,8;73,5;;;;;;;0;0;7;9;Carolina Core;429;DC;1,0
2703944411;85;1;1;7;12;6ddsx316t3j0z6nolrky9k4r8;1;27,6;69,7;2024-07-27T23:42:31.222Z;2024-07-27T23:42:34Z;[{'id': 5120898385, 'qualifierId': 213, 'value': '4.12'}, {'id': 5120898377, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120898379, 'qualifierId': 140, 'value': '19.0'}, {'id': 5120898381, 'qualifierId': 141, 'value': '49.9'}, {'id': 5120898383, 'qualifierId': 212, 'value': '16.2'}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;16,2;;4,12;;19,0;49,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;19,0;49,9;;;;;;;0;0;7;12;Carolina Core;432;DC;1,0
2703944461;86;1;1;7;16;6ddsx316t3j0z6nolrky9k4r8;1;19,7;47,6;2024-07-27T23:42:34.742Z;2024-07-28T00:37:21Z;[{'id': 5120898647, 'qualifierId': 212, 'value': '15.0'}, {'id': 5120898645, 'qualifierId': 141, 'value': '68.8'}, {'id': 5120898641, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120898649, 'qualifierId': 213, 'value': '1.29'}, {'id': 5120898643, 'qualifierId': 140, 'value': '23.7'}];3o4uxnvpnf3cwjs3srwegxp90;W. Meyer;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;15,0;;1,29;;23,7;68,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;23,7;68,8;;;;;;;0;0;7;16;Carolina Core;436;GK;1,0
2703944497;87;1;1;7;20;6ddsx316t3j0z6nolrky9k4r8;1;24,0;69,3;2024-07-27T23:42:38.870Z;2024-07-27T23:42:42Z;[{'id': 5120898869, 'qualifierId': 212, 'value': '17.3'}, {'id': 5120898871, 'qualifierId': 213, 'value': '3.98'}, {'id': 5120898863, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120898867, 'qualifierId': 141, 'value': '50.4'}, {'id': 5120898865, 'qualifierId': 140, 'value': '12.9'}];eiyzqnfh8r8aduel0seou7nu2;S. Owusu;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;17,3;;3,98;;12,9;50,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;12,9;50,4;;;;;;;0;0;7;20;Carolina Core;440;DC;1,0
2703944545;88;1;1;7;23;6ddsx316t3j0z6nolrky9k4r8;0;13,5;48,4;2024-07-27T23:42:42.166Z;2024-07-27T23:42:45Z;[{'id': 5120899119, 'qualifierId': 141, 'value': '28.3'}, {'id': 5120899117, 'qualifierId': 140, 'value': '73.1'}, {'id': 5120899125, 'qualifierId': 1}, {'id': 5120899115, 'qualifierId': 56, 'value': 'Center'}, {'id': 5120899113, 'qualifierId': 157}, {'id': 5120899123, 'qualifierId': 213, 'value': '6.07'}, {'id': 5120899121, 'qualifierId': 212, 'value': '64.1'}];3o4uxnvpnf3cwjs3srwegxp90;W. Meyer;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;64,1;;6,07;;73,1;28,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;73,1;28,3;;;;;;;0;0;7;23;Carolina Core;443;GK;1,0
2703944603;51;1;1;7;28;2nnef9tr9g7m2s6n873qif95g;1;26,6;75,2;2024-07-27T23:42:46.774Z;2024-07-27T23:42:49Z;[{'id': 5120899431, 'qualifierId': 213, 'value': '3.52'}, {'id': 5120899421, 'qualifierId': 3}, {'id': 5120899423, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120899427, 'qualifierId': 141, 'value': '68.1'}, {'id': 5120899425, 'qualifierId': 140, 'value': '15.1'}, {'id': 5120899429, 'qualifierId': 212, 'value': '13.0'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;13,0;;3,52;;15,1;68,1;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;15,1;68,1;;;;;;;0;0;7;28;New York City II;448;DC;1,0
2703944609;52;52;1;7;30;2nnef9tr9g7m2s6n873qif95g;1;14,4;67,8;2024-07-27T23:42:49.055Z;2024-07-30T12:17:40Z;[{'id': 5125122947, 'qualifierId': 376}];9i2pmc50q29y560ojvik3sdg4;A. Sutton;;;e9v6lx5magjnyabh4vma5e6ms;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;7;30;New York City II;450;GK;1,0
2703944761;53;1;1;7;36;2nnef9tr9g7m2s6n873qif95g;1;10,0;50,4;2024-07-27T23:42:54.804Z;2024-07-27T23:43:00Z;[{'id': 5120900335, 'qualifierId': 141, 'value': '21.5'}, {'id': 5120900337, 'qualifierId': 212, 'value': '20.0'}, {'id': 5120900333, 'qualifierId': 140, 'value': '13.4'}, {'id': 5120900331, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120900329, 'qualifierId': 123}, {'id': 5120900339, 'qualifierId': 213, 'value': '4.89'}];9i2pmc50q29y560ojvik3sdg4;A. Sutton;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;20,0;;4,89;;13,4;21,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;13,4;21,5;;;;;;;0;0;7;36;New York City II;456;GK;1,0
2703944795;54;1;1;7;41;2nnef9tr9g7m2s6n873qif95g;1;16,5;15,7;2024-07-27T23:43:00.006Z;2024-07-27T23:43:03Z;[{'id': 5120900545, 'qualifierId': 141, 'value': '8.8'}, {'id': 5120900547, 'qualifierId': 212, 'value': '11.8'}, {'id': 5120900549, 'qualifierId': 213, 'value': '5.87'}, {'id': 5120900543, 'qualifierId': 140, 'value': '26.8'}, {'id': 5120900541, 'qualifierId': 56, 'value': 'Back'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;11,8;;5,87;;26,8;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;26,8;8,8;;;;;;;0;0;7;41;New York City II;461;DC;1,0
2703944839;55;1;1;7;44;2nnef9tr9g7m2s6n873qif95g;1;26,1;8,5;2024-07-27T23:43:03.068Z;2024-07-27T23:43:06Z;[{'id': 5120900787, 'qualifierId': 141, 'value': '9.2'}, {'id': 5120900785, 'qualifierId': 140, 'value': '37.7'}, {'id': 5120900791, 'qualifierId': 213, 'value': '0.04'}, {'id': 5120900783, 'qualifierId': 56, 'value': 'Back'}, {'id': 5120900789, 'qualifierId': 212, 'value': '12.2'}];6qu8uu28fk2dbbeymuu6yii38;A. Miller;;;e9v6lx5magjnyabh4vma5e6ms;Pass;;;;;;;;;;12,2;;0,04;;37,7;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;37,7;9,2;;;;;;;0;0;7;44;New York City II;464;DC;1,0
