id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Resume;value_Captain;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_PassEndX;value_Length;value_Angle;value_KickOff;value_LongBall;value_Launch;value_HeadPass;value_IntendedTackleTarget;value_DeletedEventType;value_OutOfPlay;value_Left;value_OppositeRelatedEventId;value_Right;value_CornerTaken;value_OutSwinger;value_Cross;value_Chipped;value_IntentionalAssist;value_RightFooted;value_Assist;value_Offensive;value_Defensive;value_RelatedEventId;value_FromCorner;value_GoalmouthZ;value_BoxCentre;value_HighLeft;value_GkY;value_FirstTouch;value_Head;value_Assisted;value_GkX;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypeControl;value_TakeOnOvertake;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_ShirtPull/Holding;value_Direct;value_Foul;value_FreeKickTaken;value_AttemptedTackle;value_FlickOn;value_BlockedPass;value_Straight;value_DrivenCross;value_LeftFooted;value_InSwinger;value_HighGkIntervention;value_NotAssisted;value_Diving;value_Hands;value_ParriedSafe;value_IncorrectOutOfPlayDecision;value_TouchTypePass;value_TakeOnSpace;value_IndividualPlay;value_LowLeft;value_RegularPlay;value_BlockedX;value_BlockedY;value_OutOfBoxCentre;value_LowGkIntervention;value_Stooping;value_Collected;value_KeeperThrow;value_PullBack;value_LayOff;value_BlockedCross;value_HighClaim;value_BoxLeft;value_MediumGkIntervention;value_High;value_NotVisible;value_CloseRight;value_Volley;value_SwitchOfPlay;value_HighCentre;value_Standing;value_LastLine;value_Blocked;value_LowCentre;value_BoxRight;value_DefBlock;value_PlayersCaughtOffside;value_Indirect;value_OwnShotBlocked;value_OverArm;value_AerialFoul;value_CloseLeft;value_FastBreak;value_Shove/Push;value_InjuredPlayerId;value_Injury;value_BigChance;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_LowRight;value_Defensive1V1;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_SmallBoxRight;value_SetPiece;value_ParriedDanger;value_Handball;value_ThroughBall;value_KeeperTouched;value_Feet;value_SwerveRight;value_CloseHigh;value_CaptainChange;value_GoalDisallowed;value_HighRight;value_GkHoof;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708433269;638;12;2;76;8;6gaq85erpkvbyxvivd96wuw44;1;27,7;71,1;2024-08-12T03:38:57.428Z;2024-08-14T12:18:50Z;[{'id': 5148352083, 'qualifierId': 167}, {'id': 5148352081, 'qualifierId': 15}, {'id': 5145607915, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145607923, 'qualifierId': 213, 'value': '1.20'}, {'id': 5145607921, 'qualifierId': 212, 'value': '21.8'}, {'id': 5145607919, 'qualifierId': 141, 'value': '100.0'}, {'id': 5145607917, 'qualifierId': 140, 'value': '35.2'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;enf828qtoce7ha2pttf0qa5uc;Clearance;;;;;;;;;;100,0;;35,2;21,8;1,2;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;35,2;100,0;;;;;;;0;0;76;8;Ventura County;4568;DC;1,0
2708433273;639;5;2;76;10;6gaq85erpkvbyxvivd96wuw44;0;34,4;101,2;2024-08-12T03:38:58.883Z;2024-08-12T03:59:23Z;[{'id': 5145607931, 'qualifierId': 347}, {'id': 5145607929, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145607949, 'qualifierId': 233, 'value': '808'}];7s32iecltoopsjddclg0ixzx0;C. Díaz;;;enf828qtoce7ha2pttf0qa5uc;Out;;;;;;;;;;;;;;;;;;;;;;;808,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;76;10;Ventura County;4570;DC;1,0
2708433275;808;5;2;76;10;8ijkk62897so5r3bq0wgwx4bu;1;65,6;-1,2;2024-08-12T03:38:58.883Z;2024-08-12T03:59:23Z;[{'id': 5145607937, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145607939, 'qualifierId': 347}, {'id': 5145607945, 'qualifierId': 233, 'value': '639'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;enf828qtoce7ha2pttf0qa5uc;Out;;;;;;;;;;;;;;;;;;;;;;;639,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;76;10;Los Angeles II;4570;Sub;1,0
2708433279;809;1;2;76;11;8ijkk62897so5r3bq0wgwx4bu;1;67,0;0,0;2024-08-12T03:39:00.313Z;2024-08-12T03:39:02Z;[{'id': 5145607963, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145607961, 'qualifierId': 107}, {'id': 5145607965, 'qualifierId': 140, 'value': '56.4'}, {'id': 5145607969, 'qualifierId': 212, 'value': '12.3'}, {'id': 5145607971, 'qualifierId': 213, 'value': '2.70'}, {'id': 5145607967, 'qualifierId': 141, 'value': '6.5'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;6,5;;56,4;12,3;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;56,4;6,5;;;;;;;0;0;76;11;Los Angeles II;4571;Sub;1,0
2708433283;810;1;2;76;13;8ijkk62897so5r3bq0wgwx4bu;1;56,7;7,6;2024-08-12T03:39:02.422Z;2024-08-12T03:39:06Z;[{'id': 5145607993, 'qualifierId': 141, 'value': '20.6'}, {'id': 5145607991, 'qualifierId': 140, 'value': '46.0'}, {'id': 5145607995, 'qualifierId': 212, 'value': '14.3'}, {'id': 5145607989, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145607997, 'qualifierId': 213, 'value': '2.47'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;20,6;;46,0;14,3;2,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;46,0;20,6;;;;;;;0;0;76;13;Los Angeles II;4573;DR;1,0
2708433291;811;1;2;76;17;8ijkk62897so5r3bq0wgwx4bu;1;53,8;17,7;2024-08-12T03:39:06.578Z;2024-08-12T03:39:11Z;[{'id': 5145608027, 'qualifierId': 141, 'value': '45.2'}, {'id': 5145608031, 'qualifierId': 213, 'value': '1.73'}, {'id': 5145608029, 'qualifierId': 212, 'value': '18.9'}, {'id': 5145608025, 'qualifierId': 140, 'value': '50.9'}, {'id': 5145608023, 'qualifierId': 56, 'value': 'Center'}];c44bkncqmptribnxki1dyppbe;I. Parente;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;45,2;;50,9;18,9;1,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;50,9;45,2;;;;;;;0;0;76;17;Los Angeles II;4577;MC;1,0
2708433297;812;1;2;76;22;8ijkk62897so5r3bq0wgwx4bu;0;56,2;49,1;2024-08-12T03:39:10.906Z;2024-08-12T03:39:12Z;[{'id': 5145608065, 'qualifierId': 155}, {'id': 5145608073, 'qualifierId': 212, 'value': '29.8'}, {'id': 5145608071, 'qualifierId': 141, 'value': '29.8'}, {'id': 5145608067, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145608075, 'qualifierId': 213, 'value': '5.83'}, {'id': 5145608069, 'qualifierId': 140, 'value': '81.7'}];1o0ew8fp44fuo3o7c8ef8pd2i;T. Lepley;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;29,8;;81,7;29,8;5,83;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;81,7;29,8;;;;;;;0;0;76;22;Los Angeles II;4582;MC;1,0
2708433303;640;12;2;76;26;6gaq85erpkvbyxvivd96wuw44;1;18,7;72,4;2024-08-12T03:39:14.637Z;2024-08-12T03:39:18Z;[{'id': 5145608097, 'qualifierId': 213, 'value': '5.49'}, {'id': 5145608089, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145608095, 'qualifierId': 212, 'value': '28.5'}, {'id': 5145608093, 'qualifierId': 141, 'value': '42.7'}, {'id': 5145608091, 'qualifierId': 140, 'value': '37.8'}, {'id': 5145608099, 'qualifierId': 15}];m8clu51iu7443ig9q6vn6fbo;L. Bombino;;;enf828qtoce7ha2pttf0qa5uc;Clearance;;;;;;;;;;42,7;;37,8;28,5;5,49;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;37,8;42,7;;;;;;;0;0;76;26;Ventura County;4586;DC;1,0
2708433311;813;4;2;76;29;8ijkk62897so5r3bq0wgwx4bu;1;65,2;53,2;2024-08-12T03:39:17.640Z;2024-08-12T03:56:32Z;[{'id': 5145608147, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145608151, 'qualifierId': 286}, {'id': 5145608149, 'qualifierId': 152}, {'id': 5145608145, 'qualifierId': 294}, {'id': 5145608181, 'qualifierId': 233, 'value': '641'}, {'id': 5145608143, 'qualifierId': 13}];1o0ew8fp44fuo3o7c8ef8pd2i;T. Lepley;;;enf828qtoce7ha2pttf0qa5uc;Foul;;;;;;;;;;;;;;;;;;;;;;;641,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;76;29;Los Angeles II;4589;MC;1,0
2708433315;641;4;2;76;29;6gaq85erpkvbyxvivd96wuw44;0;34,8;46,8;2024-08-12T03:39:17.641Z;2024-08-12T03:56:32Z;[{'id': 5145608177, 'qualifierId': 152}, {'id': 5145608179, 'qualifierId': 285}, {'id': 5145608185, 'qualifierId': 233, 'value': '813'}, {'id': 5145608175, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145608173, 'qualifierId': 294}, {'id': 5145608171, 'qualifierId': 13}];cuxpxs76g96vwhrnhw9rw2ihg;J. Hernandez;;;enf828qtoce7ha2pttf0qa5uc;Foul;;;;;;;;;;;;;;;;;;;;;;;813,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;76;29;Ventura County;4589;Sub;1,0
