id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_Resume;value_DirectionOfPlay;value_Length;value_Angle;value_Zone;value_PassEndX;value_PassEndY;value_KickOff;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_DeletedEventType;value_ThrowIn;value_Direct;value_AttemptedTackle;value_Foul;value_KeeperThrow;value_FreeKickTaken;value_IntendedTackleTarget;value_Left;value_Chipped;value_InSwinger;value_Cross;value_CornerTaken;value_Head;value_Handball;value_Assist;value_GoalmouthZ;value_RightFooted;value_RegularPlay;value_GoalmouthY;value_RelatedEventId;value_BlockedX;value_OutOfBoxCentre;value_IndividualPlay;value_LowCentre;value_Assisted;value_BlockedY;value_Collected;value_Hands;value_Diving;value_LayOff;value_GkX;value_GkY;value_LowRight;value_BoxRight;value_Blocked;value_DefBlock;value_GkKickFromHands;value_GoalShotTimestamp;value_BoxCentre;value_GoalShotGameClock;value_SoloRun;value_LeftFooted;value_OutOfPlay;value_OverArm;value_BlockedPass;value_Right;value_OutSwinger;value_NextEventGoalKick;value_Low;value_GoalKick;value_Overrun;value_HighClaim;value_FlickOn;value_ThroughBall;value_IntentionalAssist;value_FirstTouch;value_NotVisible;value_PlayersCaughtOffside;value_Indirect;value_OtherReason;value_RefereeDelay;value_DrinksBreak;value_YellowCard;value_Argument;value_GkStart;value_NotAssisted;value_SwitchOfPlay;value_HighLeft;value_TempMissed;value_Shove/Push;value_BigChance;value_Feet;value_Sliding;value_ParriedDanger;value_CloseRight;value_BoxLeft;value_SwerveLeft;value_TimeWasting;value_Minutes;value_ParriedSafe;value_EndType;value_LowLeft;value_Stooping;value_HitWoodwork;value_HitLeftPost;value_ShirtPull/Holding;value_Dissent;value_RecklessOffence;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BallHitsReferee;value_HighCentre;value_Standing;value_Fumble;value_SetPiece;value_LeadingToGoal;value_KeeperTouched;value_HighRight;value_RelatedError1Id;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_Viral;value_CloseLeft;value_BoxDeepRight;value_SecondYellow;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistType;value_NotRetreating;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710174143;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-08-17T23:54:53.553Z;2024-08-18T02:58:28Z;[{'id': 5155301691, 'qualifierId': 59, 'value': '30, 27, 7, 4, 6, 24, 10, 35, 41, 51, 99, 8, 2, 34, 50, 23, 36, 22, 5, 14'}, {'id': 5155301689, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5155476213, 'qualifierId': 197, 'value': '23314'}, {'id': 5155301687, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, rtca480n5ehey5ffvt8nudck, 3risld5mac5ns2rrv6namc2l0, e7vsajjh4e7t51ciycjg0skd0, 7al9w77ailhli8g487tkl32tw, 9nl0k91lrjonu0z2irbs01oiy, 6ggqe5gi2w2jjclmbjev6dd78, akgtib8zyv5lrvh9mxunj2rdg, 19ckwd2oz9uyfjznuq2c41btg, 8vnnownnzz2ksuuitbw3ax5yi, 3h8rx5wumr7hktll4hnvx7or8, f3bqitwkt3mitemcjd61hi044, auomns9j08ffqknhs9007ju38, 6girdg17h5o2qr8stoywy3vv8, 32c9e26wcnr5kmab8ep4zph5g, bijyc7qlb2849vos6kn7kd0yc, fgue58g7u6f2c53ggb0r2oa2, da3mzb093sxf8i2xznedau8t0, 1j010cibh247p8kjchww6ny3u, 741wavjzdmc04j4i8a3chq9zo'}, {'id': 5155301695, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5155815113, 'qualifierId': 194, 'value': '6agfr3usj1pblrbq2i9mdpmcq'}, {'id': 5155301693, 'qualifierId': 130, 'value': '10'}, {'id': 5155301697, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;epcid6clkolknkqllclmm4yl0;Team set up;;;23314,0;;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2710175655;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-17T23:58:20.501Z;2024-08-18T01:04:23Z;[{'id': 5155490177, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5155309149, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, bk0ik8kr1gpu372ibbbv87ndg, 2wj1w4opn7f0jyz1ps6ebvc6i, 48p3wcjai97tpt50ia7bi7ok4, 2jzuij8p7eoy42aqem688ltuy, 1snfyu5dmv164k5cl87chjlsk, aa4ut2fmswha43fxnrxp1obo4, 1es4nynrpc8sz3enj46i9zeok, 9ph8wasuz3ndre586gople49g, 4uuq2zuhmlbg7kh85v5l8723u, 7qt4r82kyz05r8kd8cmdh1xqs, azzpjrq2pndxuz0waw25p7r6y, e4vvdd1cn5ezrocpequewmwic, 3ehrq9mryoug8osgxkpg4eo7o, 7yt2ddw0yntv9xq1hrv1jx05w, 3my8ymhvy1bysbllwpoj3qctm, 70lmb5krx6h8iidmbs6t015hw, bp0a3bvzsxokh4nu3bq96yx3o, eirbk0b1nni4vfpeqgxvdrmz8, 2p2lvzr6lk92tevfvb5u6uiac'}, {'id': 5155309159, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5155309151, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5155492781, 'qualifierId': 197, 'value': '15044'}, {'id': 5155309155, 'qualifierId': 130, 'value': '13'}, {'id': 5155309157, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5155309153, 'qualifierId': 59, 'value': '1, 70, 3, 14, 6, 30, 19, 48, 9, 18, 21, 11, 4, 33, 43, 12, 36, 31, 45, 50'}];;;;;epcid6clkolknkqllclmm4yl0;Team set up;;;15044,0;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2710205921;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-08-18T00:49:48.229Z;2024-08-18T00:53:58Z;[{'id': 5155476415, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;epcid6clkolknkqllclmm4yl0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2710205833;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-18T00:49:48.229Z;2024-08-18T00:53:59Z;[{'id': 5155475955, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;epcid6clkolknkqllclmm4yl0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2710223647;270;1;1;0;1;7pmw399vh2v44cjle4fkklp1w;1;49,9;50,0;2024-08-18T00:49:49.536Z;2024-08-18T01:25:46Z;[{'id': 5155580093, 'qualifierId': 212, 'value': '10.6'}, {'id': 5155580095, 'qualifierId': 213, 'value': '3.28'}, {'id': 5155580087, 'qualifierId': 56, 'value': 'Back'}, {'id': 5155580089, 'qualifierId': 140, 'value': '39.9'}, {'id': 5155580091, 'qualifierId': 141, 'value': '47.8'}, {'id': 5155588387, 'qualifierId': 279, 'value': 'S'}];9ph8wasuz3ndre586gople49g;S. Annor Gyamfi;;;epcid6clkolknkqllclmm4yl0;Pass;;;;;;;;;;10,6;3,28;;39,9;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;39,9;47,8;;;;;;;0;0;0;1;North Texas;1;FW;1,0
2710226459;317;1;1;0;2;7pmw399vh2v44cjle4fkklp1w;0;36,8;39,2;2024-08-18T00:49:51.031Z;2024-08-18T01:29:58Z;[{'id': 5155597099, 'qualifierId': 56, 'value': 'Left'}, {'id': 5155597109, 'qualifierId': 1}, {'id': 5155597101, 'qualifierId': 140, 'value': '80.5'}, {'id': 5155597097, 'qualifierId': 157}, {'id': 5155597105, 'qualifierId': 212, 'value': '53.3'}, {'id': 5155597107, 'qualifierId': 213, 'value': '0.53'}, {'id': 5155597103, 'qualifierId': 141, 'value': '79.0'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;epcid6clkolknkqllclmm4yl0;Pass;;;;;;;;;;53,3;0,53;;80,5;79,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;80,5;79,0;;;;;;;0;0;0;2;North Texas;2;FWR;1,0
2710227893;278;44;1;0;3;99l7fsj6ykgbyqcb9zqqu9dgq;1;20,2;21,8;2024-08-18T00:49:51.465Z;2024-08-18T02:34:59Z;[{'id': 5155605767, 'qualifierId': 233, 'value': '333'}, {'id': 5155605303, 'qualifierId': 56, 'value': 'Back'}, {'id': 5155605305, 'qualifierId': 285}];rtca480n5ehey5ffvt8nudck;H. Endeley;;;epcid6clkolknkqllclmm4yl0;Aerial;;;;;;;;;;;;;;;;;;333,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;3;Houston Dynamo II;3;DR;1,0
2710227553;333;44;1;0;3;7pmw399vh2v44cjle4fkklp1w;0;79,8;78,2;2024-08-18T00:49:51.466Z;2024-08-18T02:34:59Z;[{'id': 5155603365, 'qualifierId': 286}, {'id': 5155603363, 'qualifierId': 56, 'value': 'Center'}, {'id': 5155605771, 'qualifierId': 233, 'value': '278'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;;epcid6clkolknkqllclmm4yl0;Aerial;;;;;;;;;;;;;;;;;;278,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;3;North Texas;3;DML;1,0
2710227969;279;1;1;0;4;99l7fsj6ykgbyqcb9zqqu9dgq;1;23,2;23,7;2024-08-18T00:49:53.168Z;2024-08-18T01:30:39Z;[{'id': 5155605723, 'qualifierId': 56, 'value': 'Back'}, {'id': 5155605727, 'qualifierId': 141, 'value': '9.4'}, {'id': 5155605725, 'qualifierId': 140, 'value': '11.8'}, {'id': 5155605731, 'qualifierId': 213, 'value': '3.82'}, {'id': 5155605721, 'qualifierId': 3}, {'id': 5155605729, 'qualifierId': 212, 'value': '15.4'}];rtca480n5ehey5ffvt8nudck;H. Endeley;;;epcid6clkolknkqllclmm4yl0;Pass;;;;;;;;;;15,4;3,82;;11,8;9,4;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;11,8;9,4;;;;;;;0;0;0;4;Houston Dynamo II;4;DR;1,0
2710240155;349;49;1;0;5;99l7fsj6ykgbyqcb9zqqu9dgq;1;4,1;13,3;2024-08-18T00:49:53.229Z;2024-08-18T01:49:45Z;[];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;epcid6clkolknkqllclmm4yl0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;5;Houston Dynamo II;5;DC;1,0
