id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_Resume;value_Involved;value_TeamFormation;value_PlayerPosition;value_DirectionOfPlay;value_KickOff;value_Zone;value_Length;value_Angle;value_PassEndY;value_PassEndX;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_NextEventThrowIn;value_ThrowIn;value_LongBall;value_BlockedPass;value_KeeperThrow;value_OutOfPlay;value_IntendedTackleTarget;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_Chipped;value_HeadPass;value_LayOff;value_Head;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_AttemptedTackle;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_GoalmouthY;value_Left;value_FreeKick;value_RightFooted;value_GkY;value_OutOfBoxCentre;value_GoalmouthZ;value_GkX;value_NotAssisted;value_SwitchOfPlay;value_FlickOn;value_NotVisible;value_ShirtPull/Holding;value_DeletedEventType;value_OverArm;value_Cross;value_IntentionalAssist;value_Assist;value_LeftFooted;value_BigChance;value_BoxCentre;value_FirstTouch;value_Assisted;value_RegularPlay;value_CloseLeft;value_LowCentre;value_BlockedY;value_IndividualPlay;value_Deflection;value_BlockedX;value_Hands;value_Stooping;value_Collected;value_BoxLeft;value_Blocked;value_LowRight;value_DefBlock;value_Right;value_InSwinger;value_CornerTaken;value_HighClaim;value_GkKickFromHands;value_Handball;value_RecklessOffence;value_High;value_Volley;value_BoxRight;value_DrinksBreak;value_RefereeDelay;value_BlockedCross;value_FromCorner;value_SwerveLeft;value_ByWall;value_OutSwinger;value_HighLeft;value_SmallBoxLeft;value_FantasyAssistTeam;value_GoalShotTimestamp;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotGameClock;value_LowLeft;value_FantasyAssistId;value_Minutes;value_GkHoof;value_EndType;value_OutOnSideline;value_NotPastGoalLine;value_BoxDeepRight;value_AdvantagePlayed;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_MisHit;value_HighRight;value_SmallBoxCentre;value_ThroughBall;value_Strong;value_35Centre;value_PlayersCaughtOffside;value_Indirect;value_Argument;value_AerialFoul;value_OtherReason;value_SetPiece;value_ThrowInSetPiece;value_Overrun;value_GoesToPenalties;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Diving;value_HitWoodwork;value_Scored;value_HighCentre;value_KeeperTouched;value_Saved;value_ParriedSafe;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708372607;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-08-11T23:08:52.282Z;2024-08-12T00:18:40Z;[{'id': 5145274809, 'qualifierId': 197, 'value': '15002'}, {'id': 5145274805, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145274807, 'qualifierId': 194, 'value': '9ulwk81vyj5rbz88h62i2ejv8'}, {'id': 5145274801, 'qualifierId': 59, 'value': '55, 50, 97, 33, 40, 72, 64, 56, 46, 85, 59, 77, 42, 78, 53, 94, 61, 80, 81'}, {'id': 5145274811, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145274797, 'qualifierId': 30, 'value': '37vbc16ejxmfkssydcdxq69zo, 9ulwk81vyj5rbz88h62i2ejv8, 1b1vsi0l9xd0xy42q4p1bdk44, 2dqtrnq0k1fphyw71yh41gvtg, 910fd7rfysvvfzp2s1ywna5pm, bbnk87q7t8pahznohwjjcvu5m, 632mpv8dpnxjm69f8ip1e4l5g, 92oqt9q51us5rpmqmvvrdso6i, 9k050zmkegfu3gdw2b4g4uwwk, e9jko5f45qmjw3va7cp05l5w4, 9gswafduy82n4o6f0uk0khhck, 8bwjj53jwbsi0emx370uka5g4, 276kl5oc1k19y1linbxml0xec, a7g8qfuyirsvuux6f2ffmyyok, 5xz7ooniokkcu9a1p8diq74t0, 4eh46qse8ocmutobremniuolw, c51ttt2cn2mguvgay18wfgzdg, f2nvagw4mjjpn1ytj6rdl5ene, czwz2dsdzxm23kwxii6ddd72s'}, {'id': 5145274803, 'qualifierId': 130, 'value': '4'}, {'id': 5145274799, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;en1shva47w2xa3xslyid67384;Team set up;15002,0;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2708373139;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-11T23:10:28.594Z;2024-08-12T00:10:03Z;[{'id': 5145277553, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145369465, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5145277547, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5145277555, 'qualifierId': 197, 'value': '15044'}, {'id': 5145277545, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, 1snfyu5dmv164k5cl87chjlsk, ck9v5tgscw65gsjfo00u9p0q1, aa4ut2fmswha43fxnrxp1obo4, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, 4uuq2zuhmlbg7kh85v5l8723u, bfsjxpmiflhdz2162ulqlo0lw, 60ej9rpig6xzj1d80w0ki92i, 7yt2ddw0yntv9xq1hrv1jx05w, 7qt4r82kyz05r8kd8cmdh1xqs, 1d43ue54zl1o9rvnwz5zfotm, azzpjrq2pndxuz0waw25p7r6y, 3ehrq9mryoug8osgxkpg4eo7o, 3my8ymhvy1bysbllwpoj3qctm, 70lmb5krx6h8iidmbs6t015hw, bp0a3bvzsxokh4nu3bq96yx3o, bk0ik8kr1gpu372ibbbv87ndg, 1es4nynrpc8sz3enj46i9zeok, 2p2lvzr6lk92tevfvb5u6uiac'}, {'id': 5145277551, 'qualifierId': 130, 'value': '4'}, {'id': 5145277557, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145277549, 'qualifierId': 59, 'value': '1, 30, 22, 19, 6, 14, 18, 13, 8, 43, 21, 5, 11, 33, 12, 36, 31, 70, 48, 50'}];;;;en1shva47w2xa3xslyid67384;Team set up;15044,0;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;St. Louis City II;0;;
2708389973;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-08-12T00:08:01.365Z;2024-08-12T00:08:01Z;[{'id': 5145372749, 'qualifierId': 127, 'value': 'Left to Right'}];;;;en1shva47w2xa3xslyid67384;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2708389977;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-08-12T00:08:01.365Z;2024-08-12T00:08:04Z;[{'id': 5145372763, 'qualifierId': 127, 'value': 'Right to Left'}];;;;en1shva47w2xa3xslyid67384;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;St. Louis City II;0;;
2708390013;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;50,0;50,0;2024-08-12T00:08:01.366Z;2024-08-12T00:08:07Z;[{'id': 5145372901, 'qualifierId': 279, 'value': 'S'}, {'id': 5145372891, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145372897, 'qualifierId': 212, 'value': '20.6'}, {'id': 5145372899, 'qualifierId': 213, 'value': '3.03'}, {'id': 5145372895, 'qualifierId': 141, 'value': '53.5'}, {'id': 5145372893, 'qualifierId': 140, 'value': '30.5'}];9k050zmkegfu3gdw2b4g4uwwk;C. Glover;;en1shva47w2xa3xslyid67384;Pass;;;;;;;;;;;;20,6;3,03;53,5;30,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;30,5;53,5;;;;;;;;0;0;0;Houston Dynamo II;0;FW;1,0
2708390031;4;1;1;0;6;dqx48fglv1l96cyrmjdod0xec;1;29,8;56,4;2024-08-12T00:08:07.815Z;2024-08-12T00:08:09Z;[{'id': 5145372967, 'qualifierId': 213, 'value': '4.84'}, {'id': 5145372961, 'qualifierId': 140, 'value': '32.4'}, {'id': 5145372963, 'qualifierId': 141, 'value': '25.8'}, {'id': 5145372965, 'qualifierId': 212, 'value': '21.0'}, {'id': 5145372959, 'qualifierId': 56, 'value': 'Back'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;en1shva47w2xa3xslyid67384;Pass;;;;;;;;;;;;21,0;4,84;25,8;32,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;32,4;25,8;;;;;;;;0;0;6;Houston Dynamo II;6;DL;1,0
2708390057;5;1;1;0;7;dqx48fglv1l96cyrmjdod0xec;1;32,4;25,8;2024-08-12T00:08:09.287Z;2024-08-12T00:08:12Z;[{'id': 5145373111, 'qualifierId': 212, 'value': '23.9'}, {'id': 5145373103, 'qualifierId': 140, 'value': '29.5'}, {'id': 5145373115, 'qualifierId': 213, 'value': '1.70'}, {'id': 5145373107, 'qualifierId': 141, 'value': '60.7'}, {'id': 5145373101, 'qualifierId': 56, 'value': 'Back'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;en1shva47w2xa3xslyid67384;Pass;;;;;;;;;;;;23,9;1,7;60,7;29,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;29,5;60,7;;;;;;;;0;0;7;Houston Dynamo II;7;DR;1,0
2708390095;6;1;1;0;11;dqx48fglv1l96cyrmjdod0xec;1;29,5;60,7;2024-08-12T00:08:12.680Z;2024-08-12T00:08:16Z;[{'id': 5145373279, 'qualifierId': 141, 'value': '86.5'}, {'id': 5145373275, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145373281, 'qualifierId': 212, 'value': '17.7'}, {'id': 5145373277, 'qualifierId': 140, 'value': '31.5'}, {'id': 5145373283, 'qualifierId': 213, 'value': '1.45'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;en1shva47w2xa3xslyid67384;Pass;;;;;;;;;;;;17,7;1,45;86,5;31,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;31,5;86,5;;;;;;;;0;0;11;Houston Dynamo II;11;DL;1,0
2708390115;7;1;1;0;15;dqx48fglv1l96cyrmjdod0xec;1;31,5;86,5;2024-08-12T00:08:16.696Z;2024-08-12T00:08:19Z;[{'id': 5145373375, 'qualifierId': 213, 'value': '0.39'}, {'id': 5145373371, 'qualifierId': 212, 'value': '18.6'}, {'id': 5145373365, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145373369, 'qualifierId': 141, 'value': '97.0'}, {'id': 5145373367, 'qualifierId': 140, 'value': '47.9'}];bbnk87q7t8pahznohwjjcvu5m;E. Kinzner;;en1shva47w2xa3xslyid67384;Pass;;;;;;;;;;;;18,6;0,39;97,0;47,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;47,9;97,0;;;;;;;;0;0;15;Houston Dynamo II;15;DC;1,0
2708390103;3;45;1;0;16;7pmw399vh2v44cjle4fkklp1w;0;46,0;3,7;2024-08-12T00:08:18.032Z;2024-08-12T00:39:43Z;[{'id': 5145373317, 'qualifierId': 285}, {'id': 5145373315, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145373439, 'qualifierId': 233, 'value': '8'}];7yt2ddw0yntv9xq1hrv1jx05w;M. Dimareli;;en1shva47w2xa3xslyid67384;Challenge;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;16;St. Louis City II;16;FWR;1,0
