id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Resume;value_JerseyNumber;value_TeamKit;value_Involved;value_TeamFormation;value_Captain;value_PlayerPosition;value_DirectionOfPlay;value_PassEndY;value_Angle;value_PassEndX;value_KickOff;value_Zone;value_Length;value_LongBall;value_Launch;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_TouchTypeClearance;value_Defensive;value_BlockedPass;value_ThroughBall;value_LowGkIntervention;value_Injury;value_InjuredPlayerId;value_RelatedEventId;value_KeeperThrow;value_LayOff;value_IntendedTackleTarget;value_DeletedEventType;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_Overrun;value_TakeOnOvertake;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_IntentionalAssist;value_Assist;value_Head;value_BoxCentre;value_Assisted;value_GoalmouthZ;value_GoalmouthY;value_GkX;value_GkY;value_FirstTouch;value_RegularPlay;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_MediumGkIntervention;value_OutOfPlay;value_TakeOnSpace;value_Left;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_CornerTaken;value_RightFooted;value_InSwinger;value_Cross;value_HighGkIntervention;value_BlockedY;value_LowCentre;value_BoxDeepLeft;value_BlockedX;value_Standing;value_ParriedDanger;value_Hands;value_Blocked;value_DefBlock;value_LastLine;value_NotVisible;value_GkKickFromHands;value_OutSwinger;value_HighLeft;value_BoxLeft;value_LeftFooted;value_ShirtPull/Holding;value_Right;value_OutOfBoxCentre;value_IndividualPlay;value_High;value_Volley;value_SwitchOfPlay;value_CloseLeft;value_Shove/Push;value_OverArm;value_2NdAssist;value_2NdAssisted;value_LowRight;value_GkXTimeOfGoal;value_GoalShotGameClock;value_SmallBoxCentre;value_BigChance;value_GkYTimeOfGoal;value_2NdRelatedEventId;value_GoalShotTimestamp;value_NotAssisted;value_HighCentre;value_Collected;value_GkHoof;value_Minutes;value_NotPastGoalLine;value_HighClaim;value_SavedOffLine;value_SixYardBlocked;value_EndType;value_TacticalFoul;value_YellowCard;value_Diving;value_ParriedSafe;value_Feet;value_LeadingToGoal;value_RelatedError1Id;value_HitRightPost;value_HitWoodwork;value_FromCorner;value_PlayersCaughtOffside;value_Indirect;value_FlickOn;value_BlockedCross;value_Tactical;value_LowLeft;value_Straight;value_DrivenCross;value_FloatedCross;value_LeadingToAttempt;value_OtherBodyPart;value_Stooping;value_Penalty;value_PenaltyTakerId;value_FantasyAssistType;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistTeam;value_CausingPlayer;value_Scored;value_SetPiece;value_Weak;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2682453871;6;61;1;0;9;8o8m08he36u0j4w08aj2iodn8;1;65,9;24,0;2024-05-04T17:05:31.907Z;2024-05-10T14:50:41Z;[{'id': 5002994449, 'qualifierId': 56, 'value': 'Center'}];do6z0g81t9avcjuhjc1szukgk;D. Tchétchao Karo;;;clg9vyhhpcf0dgjf8ea69cufo;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;9;New England II;9;FWR;1,0
2682453923;7;1;1;0;10;8o8m08he36u0j4w08aj2iodn8;0;68,4;28,4;2024-05-04T17:05:32.904Z;2024-05-10T16:36:34Z;[{'id': 5002994741, 'qualifierId': 141, 'value': '25.0'}, {'id': 5016780309, 'qualifierId': 233, 'value': '897'}, {'id': 5002994739, 'qualifierId': 140, 'value': '66.0'}, {'id': 5016637891, 'qualifierId': 286}, {'id': 5002994745, 'qualifierId': 213, 'value': '3.88'}, {'id': 5002994743, 'qualifierId': 212, 'value': '3.4'}, {'id': 5016637889, 'qualifierId': 236}, {'id': 5002994737, 'qualifierId': 56, 'value': 'Center'}];6n0x8t513vmsmgfasovvoj7u2;J. Shokalook;;;clg9vyhhpcf0dgjf8ea69cufo;Pass;;;;;;;;;;25,0;3,88;66,0;;;3,4;;;;1,0;897,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;66,0;25,0;;;;;;;;0;0;10;New England II;10;FW;1,0
2684959571;897;74;1;0;10;csntc7hucmo21gknxc5y0kc4q;1;29,3;73,8;2024-05-04T17:05:32.905Z;2024-05-10T16:36:34Z;[{'id': 5016780315, 'qualifierId': 233, 'value': '7'}, {'id': 5016637619, 'qualifierId': 285}, {'id': 5016637617, 'qualifierId': 56, 'value': 'Back'}];906i3qf1bf6nx6pla85e869lg;H. Barry;;;clg9vyhhpcf0dgjf8ea69cufo;Blocked Pass;;;;;;;;;;;;;;;;;;;;7,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;10;Chicago Fire II;10;DC;1,0
2682453949;8;1;1;0;14;8o8m08he36u0j4w08aj2iodn8;0;70,3;36,7;2024-05-04T17:05:37.016Z;2024-05-04T17:05:41Z;[{'id': 5002994875, 'qualifierId': 213, 'value': '0.35'}, {'id': 5002994871, 'qualifierId': 141, 'value': '50.0'}, {'id': 5002994873, 'qualifierId': 212, 'value': '26.2'}, {'id': 5002994867, 'qualifierId': 56, 'value': 'Center'}, {'id': 5002994869, 'qualifierId': 140, 'value': '93.7'}, {'id': 5002995169, 'qualifierId': 4}];do6z0g81t9avcjuhjc1szukgk;D. Tchétchao Karo;;;clg9vyhhpcf0dgjf8ea69cufo;Pass;;;;;;;;;;50,0;0,35;93,7;;;26,2;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;93,7;50,0;;;;;;;;0;0;14;New England II;14;FWR;1,0
2682453991;6;52;1;0;17;csntc7hucmo21gknxc5y0kc4q;1;7,4;53,1;2024-05-04T17:05:40.650Z;2024-05-10T14:51:10Z;[{'id': 5016638157, 'qualifierId': 376}];opnutov04c33y3gq2fjpkaac;J. Gunn;;;clg9vyhhpcf0dgjf8ea69cufo;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;17;Chicago Fire II;17;GK;1,0
2682454107;7;27;1;0;26;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-05-04T17:05:48.830Z;2024-05-04T17:05:53Z;[{'id': 5002995905, 'qualifierId': 233, 'value': '9'}];;;;;clg9vyhhpcf0dgjf8ea69cufo;Start delay;;;;;;;;;;;;;;;;;;;;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;26;Chicago Fire II;26;;
2682454151;9;27;1;0;26;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-05-04T17:05:48.830Z;2024-05-04T17:05:53Z;[{'id': 5002995933, 'qualifierId': 233, 'value': '7'}, {'id': 5002995897, 'qualifierId': 41, 'value': 'Injury'}, {'id': 5002995899, 'qualifierId': 53, 'value': '6n0x8t513vmsmgfasovvoj7u2'}];;;;;clg9vyhhpcf0dgjf8ea69cufo;Start delay;;;;;;;;;;;;;;;;;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;26;New England II;26;;
2682454619;8;28;1;1;1;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-05-04T17:06:23.781Z;2024-05-04T17:06:26Z;[{'id': 5002998517, 'qualifierId': 55, 'value': '7'}, {'id': 5002998735, 'qualifierId': 233, 'value': '10'}];;;;;clg9vyhhpcf0dgjf8ea69cufo;End delay;;;;;;;;;;;;;;;;;;;;10,0;;;;;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;7,0;;;0;1;1;Chicago Fire II;61;;
2682454655;10;28;1;1;1;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-05-04T17:06:23.781Z;2024-05-04T17:06:26Z;[{'id': 5002998767, 'qualifierId': 233, 'value': '8'}, {'id': 5002998719, 'qualifierId': 55, 'value': '9'}];;;;;clg9vyhhpcf0dgjf8ea69cufo;End delay;;;;;;;;;;;;;;;;;;;;8,0;;;;;;;;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;9,0;;;0;1;1;New England II;61;;
2682454753;9;68;1;1;9;csntc7hucmo21gknxc5y0kc4q;1;12,8;51,2;2024-05-04T17:06:32.285Z;2024-05-04T17:06:32Z;[];;;;;clg9vyhhpcf0dgjf8ea69cufo;Referee Drop Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;1;9;Chicago Fire II;69;;
