id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_Angle;value_Length;value_Zone;value_PassEndX;value_PassEndY;value_DeletedEventType;value_Chipped;value_LongBall;value_HeadPass;value_Launch;value_BlockedPass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_TouchTypePass;value_TouchTypeControl;value_InSwinger;value_RightFooted;value_Cross;value_OutOfPlay;value_TakeOnOvertake;value_Assist;value_IntentionalAssist;value_GkY;value_FirstTouch;value_GkX;value_Volley;value_BigChance;value_RelatedEventId;value_RegularPlay;value_BoxCentre;value_GoalmouthY;value_GoalmouthZ;value_Assisted;value_Right;value_NextEventGoalKick;value_Low;value_GoalKick;value_Left;value_CornerTaken;value_FromCorner;value_Head;value_BlockedX;value_BlockedY;value_LowCentre;value_Blocked;value_DefBlock;value_TakeOnSpace;value_TouchTypeClearance;value_LeftFooted;value_SwitchOfPlay;value_MediumGkIntervention;value_OverArm;value_KeeperThrow;value_PlayersCaughtOffside;value_NotVisible;value_FreeKickTaken;value_Indirect;value_Shove/Push;value_Foul;value_Direct;value_Injury;value_InjuredPlayerId;value_IntendedTackleTarget;value_FlickOn;value_AttemptedTackle;value_NotPastGoalLine;value_GkKickFromHands;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_OutSwinger;value_BoxRight;value_LowRight;value_IndividualPlay;value_SixYardBlocked;value_FastBreak;value_SmallBoxLeft;value_High;value_LowGkIntervention;value_OtherObstacle;value_NotAssisted;value_Stooping;value_Hands;value_Collected;value_HighGkIntervention;value_GkHoof;value_RefereeStop;value_OtherReason;value_RefereeDelay;value_BallHitsReferee;value_ParriedSafe;value_OtherBodyPart;value_RecklessOffence;value_SecondYellow;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_OverhitCross;value_GkXTimeOfGoal;value_LowLeft;value_SoloRun;value_GkYTimeOfGoal;value_GoalShotGameClock;value_OutOfBoxCentre;value_GoalShotTimestamp;value_KeeperTouched;value_Straight;value_DrivenCross;value_CloseRight;value_ParriedDanger;value_Diving;value_PullBack;value_SetPiece;value_SmallBoxRight;value_HighRight;value_CloseHigh;value_BlockedCross;value_Overrun;value_BlockedClearance;value_1On1;value_Feet;value_HighClaim;value_HighCentre;value_Tap;value_LeadingToGoal;value_RelatedError1Id;value_Deflection;value_Unchallenged;value_35Centre;value_Standing;value_FollowsADribble;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718610945;234;61;1;28;19;5ou8b446l1sl8frblkz3xi17g;1;44,8;70,1;2024-09-09T02:32:11.511Z;2024-09-09T02:32:11Z;[{'id': 5201706159, 'qualifierId': 56, 'value': 'Back'}];a89drfd4adts1cbtqa77l1boq;B. Pope;;;2ozmjy5udf26psx6oqgybyms;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;28;19;Tacoma Defiance;1699;DML;1,0
2718610953;235;1;1;28;20;5ou8b446l1sl8frblkz3xi17g;1;44,8;67,5;2024-09-09T02:32:12.843Z;2024-09-09T02:32:14Z;[{'id': 5201706195, 'qualifierId': 213, 'value': '2.95'}, {'id': 5201706193, 'qualifierId': 212, 'value': '15.4'}, {'id': 5201706189, 'qualifierId': 140, 'value': '30.4'}, {'id': 5201706191, 'qualifierId': 141, 'value': '71.9'}, {'id': 5201706187, 'qualifierId': 56, 'value': 'Back'}];druwx3n136woly4objqgk7tp0;A. Enriquez;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;2,95;15,4;;30,4;71,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;30,4;71,9;;;;;;;0;0;28;20;Tacoma Defiance;1700;MC;1,0
2718610955;236;1;1;28;22;5ou8b446l1sl8frblkz3xi17g;1;30,5;71,9;2024-09-09T02:32:14.299Z;2024-09-09T02:32:15Z;[{'id': 5201706207, 'qualifierId': 56, 'value': 'Left'}, {'id': 5201706215, 'qualifierId': 213, 'value': '0.50'}, {'id': 5201706213, 'qualifierId': 212, 'value': '31.5'}, {'id': 5201706211, 'qualifierId': 141, 'value': '94.2'}, {'id': 5201706209, 'qualifierId': 140, 'value': '56.8'}];d1xlw5bza316m39f9n82hir1m;K. Rad;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;0,5;31,5;;56,8;94,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;56,8;94,2;;;;;;;0;0;28;22;Tacoma Defiance;1702;DC;1,0
2718610965;237;4;1;28;27;5ou8b446l1sl8frblkz3xi17g;1;64,2;78,2;2024-09-09T02:32:19.003Z;2024-09-09T02:32:22Z;[{'id': 5201706279, 'qualifierId': 286}, {'id': 5201706271, 'qualifierId': 13}, {'id': 5201706277, 'qualifierId': 265}, {'id': 5201706273, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201706275, 'qualifierId': 152}, {'id': 5201706281, 'qualifierId': 233, 'value': '243'}];c88etxtac9g49m3usj08lm1hw;M. Eisenberg;;;2ozmjy5udf26psx6oqgybyms;Foul;;;;;;;;;;;;;;;;;;;;;;243,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;28;27;Tacoma Defiance;1707;FWL;1,0
2718610967;243;4;1;28;27;5icuo8utnztpsd9l03gdd68dl;0;35,8;21,8;2024-09-09T02:32:19.004Z;2024-09-09T02:32:21Z;[{'id': 5201706265, 'qualifierId': 152}, {'id': 5201706269, 'qualifierId': 285}, {'id': 5201706287, 'qualifierId': 233, 'value': '237'}, {'id': 5201706261, 'qualifierId': 13}, {'id': 5201706267, 'qualifierId': 265}, {'id': 5201706263, 'qualifierId': 56, 'value': 'Back'}];7mnh4dln104xhunf6u9f2546i;C. Baker;;;2ozmjy5udf26psx6oqgybyms;Foul;;;;;;;;;;;;;;;;;;;;;;237,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;28;27;Portland Timbers II;1707;DR;1,0
2718611011;238;1;1;28;42;5ou8b446l1sl8frblkz3xi17g;1;53,8;76,6;2024-09-09T02:32:34.219Z;2024-09-09T02:32:40Z;[{'id': 5201706505, 'qualifierId': 140, 'value': '58.3'}, {'id': 5201706511, 'qualifierId': 213, 'value': '6.25'}, {'id': 5201706499, 'qualifierId': 5}, {'id': 5201706503, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201706507, 'qualifierId': 141, 'value': '76.4'}, {'id': 5201706501, 'qualifierId': 152}, {'id': 5201706509, 'qualifierId': 212, 'value': '4.7'}];d1xlw5bza316m39f9n82hir1m;K. Rad;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;6,25;4,7;;58,3;76,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;58,3;76,4;;;;;;;0;0;28;42;Tacoma Defiance;1722;DC;1,0
2718611025;239;1;1;28;48;5ou8b446l1sl8frblkz3xi17g;1;57,1;71,4;2024-09-09T02:32:40.796Z;2024-09-09T02:32:48Z;[{'id': 5201706591, 'qualifierId': 140, 'value': '47.9'}, {'id': 5201706597, 'qualifierId': 213, 'value': '4.18'}, {'id': 5201706593, 'qualifierId': 141, 'value': '47.5'}, {'id': 5201706589, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201706595, 'qualifierId': 212, 'value': '18.9'}];druwx3n136woly4objqgk7tp0;A. Enriquez;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;4,18;18,9;;47,9;47,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;47,9;47,5;;;;;;;0;0;28;48;Tacoma Defiance;1728;MC;1,0
2718611029;240;1;1;28;57;5ou8b446l1sl8frblkz3xi17g;1;43,1;48,3;2024-09-09T02:32:49.420Z;2024-09-09T02:32:50Z;[{'id': 5201706625, 'qualifierId': 140, 'value': '41.8'}, {'id': 5201706631, 'qualifierId': 213, 'value': '1.70'}, {'id': 5201706627, 'qualifierId': 141, 'value': '63.2'}, {'id': 5201706623, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201706629, 'qualifierId': 212, 'value': '10.2'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;1,7;10,2;;41,8;63,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;41,8;63,2;;;;;;;0;0;28;57;Tacoma Defiance;1737;DC;1,0
2718611031;241;1;1;28;58;5ou8b446l1sl8frblkz3xi17g;1;42,7;63,5;2024-09-09T02:32:50.220Z;2024-09-09T02:32:51Z;[{'id': 5201706639, 'qualifierId': 141, 'value': '46.8'}, {'id': 5201706635, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201706641, 'qualifierId': 212, 'value': '11.7'}, {'id': 5201706643, 'qualifierId': 213, 'value': '4.47'}, {'id': 5201706637, 'qualifierId': 140, 'value': '40.0'}];d1xlw5bza316m39f9n82hir1m;K. Rad;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;4,47;11,7;;40,0;46,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;40,0;46,8;;;;;;;0;0;28;58;Tacoma Defiance;1738;DC;1,0
2718611043;242;1;1;28;59;5ou8b446l1sl8frblkz3xi17g;1;41,0;44,9;2024-09-09T02:32:51.324Z;2024-09-09T02:32:55Z;[{'id': 5201706709, 'qualifierId': 140, 'value': '64.6'}, {'id': 5201706707, 'qualifierId': 56, 'value': 'Left'}, {'id': 5201706715, 'qualifierId': 213, 'value': '0.93'}, {'id': 5201706717, 'qualifierId': 1}, {'id': 5201706713, 'qualifierId': 212, 'value': '41.7'}, {'id': 5201706711, 'qualifierId': 141, 'value': '94.2'}, {'id': 5201706705, 'qualifierId': 155}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;2ozmjy5udf26psx6oqgybyms;Pass;;;;;;;;;;;0,93;41,7;;64,6;94,2;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;64,6;94,2;;;;;;;0;0;28;59;Tacoma Defiance;1739;DC;1,0
