id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_Involved;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Length;value_Angle;value_PassEndX;value_Zone;value_Offensive;value_OppositeRelatedEventId;value_OutOfPlay;value_Defensive;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_DeletedEventType;value_TakeOnOvertake;value_LayOff;value_Chipped;value_Head;value_TouchTypePass;value_LongBall;value_IntendedTackleTarget;value_IntentionalAssist;value_LeftFooted;value_OutSwinger;value_Assist;value_Cross;value_GoalmouthZ;value_BoxCentre;value_Assisted;value_BigChance;value_RegularPlay;value_FirstTouch;value_LowCentre;value_BlockedY;value_RelatedEventId;value_GoalmouthY;value_BlockedX;value_Hands;value_MediumGkIntervention;value_Standing;value_Collected;value_KeeperThrow;value_OverArm;value_PullBack;value_Blocked;value_GkX;value_GkY;value_NotAssisted;value_DefBlock;value_OtherObstacle;value_BallHitsReferee;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_SwitchOfPlay;value_HeadPass;value_TakeOnSpace;value_BoxRight;value_RightFooted;value_IndividualPlay;value_LowRight;value_Diving;value_BlockedPass;value_Launch;value_SwerveRight;value_CloseHigh;value_NextEventGoalKick;value_Low;value_GoalKick;value_ThroughBall;value_Volley;value_1On1;value_NotVisible;value_LowGkIntervention;value_LeadingToGoal;value_RelatedError1Id;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_ShirtPull/Holding;value_YellowCard;value_RecklessOffence;value_Defensive1V1;value_FastBreak;value_ParriedSafe;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_HighClaim;value_HighGkIntervention;value_Shove/Push;value_OutOfBoxCentre;value_SmallBoxCentre;value_High;value_SwerveMoving;value_PersistentInfringement;value_Overrun;value_LastLine;value_Minutes;value_PlayersCaughtOffside;value_Indirect;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_FlickOn;value_TacticalFoul;value_HitBar;value_HitWoodwork;value_HighLeft;value_ParriedDanger;value_FromCorner;value_2NdAssist;value_2NdRelatedEventId;value_SmallBoxLeft;value_2NdAssisted;value_CoachId;value_Dissent;value_CloseRight;value_BoxLeft;value_Stooping;value_Feet;value_LowLeft;value_Caught;value_Injury;value_InjuredPlayerId;value_CaptainChange;value_Straight;value_DrivenCross;value_Deflection;value_OverhitCross;value_IncorrectOutOfPlayDecision;value_GkKickFromHands;value_AerialFoul;value_DangerousPlay;value_HighRight;value_TimeWasting;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2665935605;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-03-31T23:00:58.371Z;2024-04-18T11:02:56Z;[{'id': 4913751449, 'qualifierId': 59, 'value': '31, 19, 50, 21, 12, 51, 18, 52, 61, 84, 30, 47, 48, 55, 67, 72, 29, 74, 81, 95'}, {'id': 4913751451, 'qualifierId': 130, 'value': '2'}, {'id': 4913751445, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 7x3sqcf8wtq2qwyqcbv2itw8a, 4blue6g56i3t9iffjcmjs6hhw, 1o0ew8fp44fuo3o7c8ef8pd2i, e7q60ne93c6289xwnt9zj65wq, e23yyl43xtcve09dx234uuj8, 5iy3sz4b3mokizd2qlcskl5d6, c44bkncqmptribnxki1dyppbe, 5zawuirp825t4brhaj90k9duy, 4o8ulvahxfb06x5xhvflvwhzo, b4hm7o0o1tlssg0aa1psm704q, 2vq2t4ttpcwey95jzofd60qy2, al111zqt4j4b3yg8064d9cep6, cap9cd2acljdjbbdmt7zb3uvo, e6ocmgjfubq6qvg4wfp8zipsk, 2eoftsi3eznjjmhu8ybft11ck, 1kl9112b8rcbr3k1s5hs353x0, byzzgz3ix7vuh6c3hqf7580lw, evup6vvfz5q201s8hg6bhxck, 4283da2hccprbybkv4nvmos2c'}, {'id': 4913751447, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4913855107, 'qualifierId': 194, 'value': 'e7q60ne93c6289xwnt9zj65wq'}, {'id': 4913751453, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913852509, 'qualifierId': 197, 'value': '23553'}, {'id': 4913751455, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;bz6mhqvaqwbfrycmf8navzq50;Team set up;;2,0;;;;;23553,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2665937775;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-03-31T23:07:01.525Z;2024-04-01T00:25:10Z;[{'id': 4913761947, 'qualifierId': 130, 'value': '8'}, {'id': 4913893623, 'qualifierId': 194, 'value': 'cdyrj15oxu3l5sgzgwof8ohgq'}, {'id': 4913761941, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, 4s56s6f9nw96wergw7ix5zp0q, 7zr3gif60ntltgt3s5yi6qjca, errrv56acc41z74f8kumo7qlm, e1e506479mqo8j3geie6amuj8, e2t6sxwsa5ll4zvsxh96512zu, 2iusvkm9t8r1widsfvbesnjf8, 7ajceczjsu9ci4nqv9gg2860a, 9fbj8njpn0q6j87le4rnafjf8, cdyrj15oxu3l5sgzgwof8ohgq, s9a51dj3nkad2e53b2jbgl5g, 3y5rrahty1k0l1hnww3bcozmy, 5rcj1mef6u2jbosy1urou0d7t, dil2b9u1omrsdbxba5swbe9gq, d6po9gljyjpyxsxy4sx5gvj10, 5jal3zhkwodffivsq89wfd15g, b0xuwec3m6rvxwx7gygv34o6i, do5nsl65m35sog9vcp0j3kbh0'}, {'id': 4913852765, 'qualifierId': 197, 'value': '3515'}, {'id': 4913761943, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4913761945, 'qualifierId': 59, 'value': '29, 32, 31, 75, 39, 83, 85, 34, 36, 88, 90, 95, 30, 35, 78, 80, 81, 97'}, {'id': 4913761951, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4913761949, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;bz6mhqvaqwbfrycmf8navzq50;Team set up;;8,0;;;;;3515,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2665955299;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-01T00:03:34.830Z;2024-04-18T13:15:23Z;[{'id': 4913853053, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bz6mhqvaqwbfrycmf8navzq50;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2665955293;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-04-01T00:03:34.830Z;2024-04-01T00:03:35Z;[{'id': 4913853037, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bz6mhqvaqwbfrycmf8navzq50;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2665955313;3;1;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;50,1;50,1;2024-04-01T00:03:34.831Z;2024-04-18T10:53:52Z;[{'id': 4913853117, 'qualifierId': 141, 'value': '47.4'}, {'id': 4913853123, 'qualifierId': 279, 'value': 'S'}, {'id': 4913853119, 'qualifierId': 212, 'value': '5.1'}, {'id': 4913853121, 'qualifierId': 213, 'value': '3.51'}, {'id': 4913853115, 'qualifierId': 140, 'value': '45.6'}, {'id': 4913853113, 'qualifierId': 56, 'value': 'Back'}];9fbj8njpn0q6j87le4rnafjf8;Y. Tsukanome;;;bz6mhqvaqwbfrycmf8navzq50;Pass;;;;;;;;;;47,4;;5,1;3,51;45,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;45,6;47,4;;;;;;;0;0;0;0;Ventura County;0;FW;1,0
2665955315;4;1;1;0;2;5icuo8utnztpsd9l03gdd68dl;1;45,9;49,7;2024-04-01T00:03:37.066Z;2024-04-01T01:06:06Z;[{'id': 4913853131, 'qualifierId': 140, 'value': '54.3'}, {'id': 4913853129, 'qualifierId': 56, 'value': 'Center'}, {'id': 4913853137, 'qualifierId': 213, 'value': '6.24'}, {'id': 4913853135, 'qualifierId': 212, 'value': '8.8'}, {'id': 4913853133, 'qualifierId': 141, 'value': '49.1'}];7ajceczjsu9ci4nqv9gg2860a;F. Daroma;;;bz6mhqvaqwbfrycmf8navzq50;Pass;;;;;;;;;;49,1;;8,8;6,24;54,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;54,3;49,1;;;;;;;0;0;0;2;Ventura County;2;MC;1,0
2665974921;443;1;1;0;3;5icuo8utnztpsd9l03gdd68dl;1;55,4;49,2;2024-04-01T00:03:37.830Z;2024-04-01T01:06:45Z;[{'id': 4913962775, 'qualifierId': 56, 'value': 'Center'}, {'id': 4913962783, 'qualifierId': 213, 'value': '4.60'}, {'id': 4913962779, 'qualifierId': 141, 'value': '36.0'}, {'id': 4913962777, 'qualifierId': 140, 'value': '54.4'}, {'id': 4913962781, 'qualifierId': 212, 'value': '9.0'}];9fbj8njpn0q6j87le4rnafjf8;Y. Tsukanome;;;bz6mhqvaqwbfrycmf8navzq50;Pass;;;;;;;;;;36,0;;9,0;4,6;54,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;54,4;36,0;;;;;;;0;0;0;3;Ventura County;3;FW;1,0
2665955327;5;1;1;0;4;5icuo8utnztpsd9l03gdd68dl;1;64,8;24,8;2024-04-01T00:03:39.001Z;2024-04-01T01:06:48Z;[{'id': 4913853187, 'qualifierId': 212, 'value': '19.9'}, {'id': 4913853181, 'qualifierId': 56, 'value': 'Back'}, {'id': 4913853183, 'qualifierId': 140, 'value': '47.4'}, {'id': 4913853185, 'qualifierId': 141, 'value': '13.3'}, {'id': 4913853189, 'qualifierId': 213, 'value': '3.55'}];cdyrj15oxu3l5sgzgwof8ohgq;F. Bettache;;;bz6mhqvaqwbfrycmf8navzq50;Pass;;;;;;;;;;13,3;;19,9;3,55;47,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;47,4;13,3;;;;;;;0;0;0;4;Ventura County;4;AMC;1,0
2665955337;6;1;1;0;7;5icuo8utnztpsd9l03gdd68dl;1;48,0;9,6;2024-04-01T00:03:41.946Z;2024-04-01T00:03:45Z;[{'id': 4913853219, 'qualifierId': 140, 'value': '34.7'}, {'id': 4913853221, 'qualifierId': 141, 'value': '41.3'}, {'id': 4913853225, 'qualifierId': 213, 'value': '2.15'}, {'id': 4913853223, 'qualifierId': 212, 'value': '25.7'}, {'id': 4913853217, 'qualifierId': 56, 'value': 'Back'}];4s56s6f9nw96wergw7ix5zp0q;O. O'Malley;;;bz6mhqvaqwbfrycmf8navzq50;Pass;;;;;;;;;;41,3;;25,7;2,15;34,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;34,7;41,3;;;;;;;0;0;0;7;Ventura County;7;DR;1,0
2665955359;7;1;1;0;10;5icuo8utnztpsd9l03gdd68dl;1;34,7;41,3;2024-04-01T00:03:45.114Z;2024-04-01T00:03:49Z;[{'id': 4913853311, 'qualifierId': 213, 'value': '1.51'}, {'id': 4913853307, 'qualifierId': 141, 'value': '64.9'}, {'id': 4913853309, 'qualifierId': 212, 'value': '16.1'}, {'id': 4913853303, 'qualifierId': 56, 'value': 'Back'}, {'id': 4913853305, 'qualifierId': 140, 'value': '35.6'}];e1e506479mqo8j3geie6amuj8;S. Hawkins;;;bz6mhqvaqwbfrycmf8navzq50;Pass;;;;;;;;;;64,9;;16,1;1,51;35,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;35,6;64,9;;;;;;;0;0;0;10;Ventura County;10;DL;1,0
