id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_Resume;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_TakeOnSpace;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TouchTypeControl;value_DeletedEventType;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_LongBall;value_FlickOn;value_HeadPass;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_AttemptedTackle;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_BlockedPass;value_LayOff;value_OutOfPlay;value_TouchTypePass;value_FloatedCross;value_Cross;value_Straight;value_RightFooted;value_BlockedCross;value_IntendedTackleTarget;value_Assist;value_OutOfBoxCentre;value_Assisted;value_GoalmouthY;value_LowCentre;value_IndividualPlay;value_FirstTouch;value_GoalmouthZ;value_BlockedY;value_BlockedX;value_LeftFooted;value_RelatedEventId;value_RegularPlay;value_ParriedSafe;value_Hands;value_Standing;value_MediumGkIntervention;value_NotVisible;value_Head;value_BoxRight;value_Diving;value_IntentionalAssist;value_ThroughBall;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkX;value_BoxCentre;value_BigChance;value_Weak;value_GoalShotGameClock;value_GkY;value_GkYTimeOfGoal;value_LowLeft;value_1On1;value_OutSwinger;value_TakeOnOvertake;value_Overrun;value_FreeKick;value_CloseRight;value_NotAssisted;value_TacticalFoul;value_YellowCard;value_SwitchOfPlay;value_Indirect;value_DangerousPlay;value_InSwinger;value_Shove/Push;value_Injury;value_InjuredPlayerId;value_TouchTypeClearance;value_PlayersCaughtOffside;value_SetPiece;value_ParriedDanger;value_Sliding;value_BoxDeepLeft;value_Blocked;value_SixYardBlocked;value_DefBlock;value_DrinksBreak;value_RefereeDelay;value_Right;value_Left;value_CornerTaken;value_FromCorner;value_HighCentre;value_Collected;value_HighGkIntervention;value_DrivenCross;value_LowRight;value_BoxDeepRight;value_Stooping;value_Feet;value_SmallBoxRight;value_Minutes;value_VideoCoverageLost;value_EndType;value_LeadingToGoal;value_RelatedError1Id;value_OtherBodyPart;value_SmallBoxCentre;value_Caught;value_OtherObstacle;value_BallHitsReferee;value_RecklessOffence;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Unchallenged;value_IncorrectOutOfPlayDecision;value_High;value_SecondYellow;value_PullBack;value_HighClaim;value_CloseLeft;value_HighLeft;value_GkKickFromHands;value_TimeWasting;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721320707;204;5;1;18;38;5b4ccd62yeeqdl2qk6jzsmjv8;1;18,3;101,9;2024-09-15T23:23:16.078Z;2024-09-15T23:38:55Z;[{'id': 5216442307, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216442309, 'qualifierId': 347}, {'id': 5216442341, 'qualifierId': 233, 'value': '146'}];290iohuheoqdrdocbg25ipgk4;A. Alaouieh;;;6jbs7rg8r32v6c1fdctpg45w;Out;;;;;;;;;;;;;;;;;146,0;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;18;38;Cincinnati II;1118;DML;1,0
2721320761;205;1;1;18;54;5b4ccd62yeeqdl2qk6jzsmjv8;1;12,7;100,0;2024-09-15T23:23:32.571Z;2024-09-15T23:23:39Z;[{'id': 5216442529, 'qualifierId': 107}, {'id': 5216442535, 'qualifierId': 141, 'value': '94.2'}, {'id': 5216442533, 'qualifierId': 140, 'value': '26.6'}, {'id': 5216442531, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216442537, 'qualifierId': 212, 'value': '15.5'}, {'id': 5216442539, 'qualifierId': 213, 'value': '5.94'}];290iohuheoqdrdocbg25ipgk4;A. Alaouieh;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;5,94;26,6;15,5;94,2;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;26,6;94,2;;;;;;;0;0;18;54;Cincinnati II;1134;DML;1,0
2721320765;206;61;1;18;56;5b4ccd62yeeqdl2qk6jzsmjv8;0;26,6;94,2;2024-09-15T23:23:34.180Z;2024-09-15T23:23:53Z;[{'id': 5216442553, 'qualifierId': 56, 'value': 'Back'}];e0pkyzm6eqzlrxme33k7dwgt0;C. Adams;;;6jbs7rg8r32v6c1fdctpg45w;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;18;56;Cincinnati II;1136;FW;1,0
2721320741;147;4;1;18;57;bd0378yx50xpdcgwkt9p9bmz8;1;72,0;7,0;2024-09-15T23:23:35.924Z;2024-09-15T23:36:59Z;[{'id': 5216442633, 'qualifierId': 241}, {'id': 5216442629, 'qualifierId': 12}, {'id': 5216442735, 'qualifierId': 233, 'value': '207'}, {'id': 5216442631, 'qualifierId': 56, 'value': 'Right'}, {'id': 5216442635, 'qualifierId': 286}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;6jbs7rg8r32v6c1fdctpg45w;Foul;;;;;;;;;;;;;;;;;207,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;18;57;Columbus Crew II;1137;DMR;1,0
2721320773;207;4;1;18;57;5b4ccd62yeeqdl2qk6jzsmjv8;0;28,0;93,0;2024-09-15T23:23:35.925Z;2024-09-15T23:36:59Z;[{'id': 5216442703, 'qualifierId': 241}, {'id': 5216442699, 'qualifierId': 12}, {'id': 5216442751, 'qualifierId': 233, 'value': '147'}, {'id': 5216442701, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216442705, 'qualifierId': 285}];e0pkyzm6eqzlrxme33k7dwgt0;C. Adams;;;6jbs7rg8r32v6c1fdctpg45w;Foul;;;;;;;;;;;;;;;;;147,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;18;57;Cincinnati II;1137;FW;1,0
2721321127;149;1;1;19;28;bd0378yx50xpdcgwkt9p9bmz8;1;72,9;7,7;2024-09-15T23:24:06.428Z;2024-09-19T09:02:13Z;[{'id': 5216444313, 'qualifierId': 141, 'value': '57.2'}, {'id': 5216444307, 'qualifierId': 241}, {'id': 5216444315, 'qualifierId': 212, 'value': '36.4'}, {'id': 5216444309, 'qualifierId': 56, 'value': 'Center'}, {'id': 5216444317, 'qualifierId': 213, 'value': '1.18'}, {'id': 5216444305, 'qualifierId': 155}, {'id': 5216444319, 'qualifierId': 1}, {'id': 5216444303, 'qualifierId': 5}, {'id': 5216444301, 'qualifierId': 2}, {'id': 5222892547, 'qualifierId': 72}, {'id': 5222892545, 'qualifierId': 223}, {'id': 5216444311, 'qualifierId': 140, 'value': '86.2'}];b94wogguhbhpo2mal3pfpo26s;K. Mboma Dem;;;6jbs7rg8r32v6c1fdctpg45w;Pass;;;;;;;;;;;1,18;86,2;36,4;57,2;;;;;;;;;;;;1,0;;;;;;1,0;;1,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;86,2;57,2;;;;;;;0;0;19;28;Columbus Crew II;1168;AMC;1,0
2721321143;208;4;1;19;35;5b4ccd62yeeqdl2qk6jzsmjv8;1;12,6;43,6;2024-09-15T23:24:13.387Z;2024-09-15T23:24:22Z;[{'id': 5216444681, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216444685, 'qualifierId': 285}, {'id': 5216444679, 'qualifierId': 294}, {'id': 5216444691, 'qualifierId': 233, 'value': '150'}, {'id': 5216444677, 'qualifierId': 13}, {'id': 5216444683, 'qualifierId': 152}];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;6jbs7rg8r32v6c1fdctpg45w;Foul;;;;;;;;;;;;;;;;;150,0;;1,0;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;19;35;Cincinnati II;1175;DC;1,0
2721321131;150;4;1;19;35;bd0378yx50xpdcgwkt9p9bmz8;0;87,4;56,4;2024-09-15T23:24:13.388Z;2024-09-15T23:24:23Z;[{'id': 5216444463, 'qualifierId': 152}, {'id': 5216444703, 'qualifierId': 233, 'value': '208'}, {'id': 5216444465, 'qualifierId': 286}, {'id': 5216444459, 'qualifierId': 294}, {'id': 5216444457, 'qualifierId': 13}, {'id': 5216444461, 'qualifierId': 56, 'value': 'Center'}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;6jbs7rg8r32v6c1fdctpg45w;Foul;;;;;;;;;;;;;;;;;208,0;1,0;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;19;35;Columbus Crew II;1175;DC;1,0
2721321215;151;27;1;19;40;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-09-15T23:24:19.044Z;2024-09-15T23:24:26Z;[{'id': 5216444797, 'qualifierId': 41, 'value': 'Injury'}, {'id': 5216444799, 'qualifierId': 53, 'value': '2l6v8ab245wzmb1litvkir1ii'}, {'id': 5216444907, 'qualifierId': 233, 'value': '209'}];;;;;6jbs7rg8r32v6c1fdctpg45w;Start delay;;;;;;;;;;;;;;;;;209,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;19;40;Columbus Crew II;1180;;
2721321229;209;27;1;19;40;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-09-15T23:24:19.044Z;2024-09-15T23:24:26Z;[{'id': 5216444927, 'qualifierId': 233, 'value': '151'}, {'id': 5216444899, 'qualifierId': 41, 'value': 'Injury'}, {'id': 5216444901, 'qualifierId': 53, 'value': 'bezle40rjwnkdskjbf9yg4sq2'}];;;;;6jbs7rg8r32v6c1fdctpg45w;Start delay;;;;;;;;;;;;;;;;;151,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;0;0;19;40;Cincinnati II;1180;;
