id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_DirectionOfPlay;value_Length;value_Angle;value_Zone;value_KickOff;value_PassEndY;value_PassEndX;value_LongBall;value_Chipped;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_Launch;value_BlockedPass;value_TouchTypeControl;value_Overrun;value_TakeOnOvertake;value_DeletedEventType;value_LayOff;value_LeadingToAttempt;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_GoalmouthZ;value_Blocked;value_RelatedEventId;value_BlockedY;value_GkX;value_LeftFooted;value_LowLeft;value_GkY;value_Assisted;value_BigChance;value_BlockedX;value_FirstTouch;value_BoxCentre;value_RegularPlay;value_DefBlock;value_Left;value_RightFooted;value_InSwinger;value_CornerTaken;value_Cross;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_MediumGkIntervention;value_KeeperThrow;value_AttemptedTackle;value_OutOfPlay;value_TouchTypeClearance;value_LowGkIntervention;value_SwitchOfPlay;value_IntendedTackleTarget;value_TakeOnSpace;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_OutSwinger;value_Head;value_TouchTypePass;value_OtherObstacle;value_Right;value_OwnPlayer;value_Diving;value_HitBar;value_Hands;value_ParriedSafe;value_ThroughBall;value_NextEventGoalKick;value_Low;value_GoalKick;value_HighGkIntervention;value_DangerousPlay;value_LastLine;value_Defensive1V1;value_TacticalFoul;value_YellowCard;value_SetPiece;value_IndividualPlay;value_OutOfBoxCentre;value_LowCentre;value_NotAssisted;value_Collected;value_Standing;value_OverArm;value_CloseLeft;value_SwerveLeft;value_High;value_GkKickFromHands;value_ShirtPull/Holding;value_BlockedCross;value_FastBreak;value_NotPastGoalLine;value_SmallBoxLeft;value_Minutes;value_EndType;value_Tactical;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GoalShotGameClock;value_LowRight;value_AerialFoul;value_OverhitCross;value_Dissent;value_Volley;value_FantasyAssistId;value_HighRight;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistedBy;value_GkHoof;value_SmallBoxCentre;value_CloseHigh;value_BoxRight;value_FromCorner;value_LeadingToGoal;value_RelatedError1Id;value_SmallBoxRight;value_CaptainChange;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689831203;8;1;1;0;12;csntc7hucmo21gknxc5y0kc4q;1;63,0;94,1;2024-05-19T19:03:39.399Z;2024-05-19T19:03:42Z;[{'id': 5043137319, 'qualifierId': 1}, {'id': 5043137307, 'qualifierId': 157}, {'id': 5043137311, 'qualifierId': 140, 'value': '70.6'}, {'id': 5043137313, 'qualifierId': 141, 'value': '79.0'}, {'id': 5043137317, 'qualifierId': 213, 'value': '5.37'}, {'id': 5043137309, 'qualifierId': 56, 'value': 'Left'}, {'id': 5043137315, 'qualifierId': 212, 'value': '13.0'}];c1z6mxuhvuegd4c5b3hau93ze;M. Al-Hasnawi;;;cwtjovsbm897258o77przjvo4;Pass;;;;;;;;;;13,0;5,37;;;79,0;70,6;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;70,6;79,0;;;;;;;0;0;0;12;Philadelphia Union II;12;DC;1,0
2689831209;9;61;1;0;14;csntc7hucmo21gknxc5y0kc4q;1;70,6;79,0;2024-05-19T19:03:41.972Z;2024-05-19T19:03:42Z;[{'id': 5043137331, 'qualifierId': 56, 'value': 'Left'}];69ypla76c710iv0yegix1maz8;Marcos Dias;;;cwtjovsbm897258o77przjvo4;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;14;Philadelphia Union II;14;FW;1,0
2689831287;10;1;1;0;15;csntc7hucmo21gknxc5y0kc4q;1;66,8;84,2;2024-05-19T19:03:43.190Z;2024-05-19T21:01:30Z;[{'id': 5043137729, 'qualifierId': 141, 'value': '91.5'}, {'id': 5043137727, 'qualifierId': 140, 'value': '77.7'}, {'id': 5043137731, 'qualifierId': 212, 'value': '12.5'}, {'id': 5043137725, 'qualifierId': 56, 'value': 'Left'}, {'id': 5043137733, 'qualifierId': 213, 'value': '0.41'}];akwjik09wytzzr3yras0diqz8;L. Borovic;;;cwtjovsbm897258o77przjvo4;Pass;;;;;;;;;;12,5;0,41;;;91,5;77,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;77,7;91,5;;;;;;;0;0;0;15;Philadelphia Union II;15;MC;1,0
2689875557;453;1;1;0;16;csntc7hucmo21gknxc5y0kc4q;0;70,2;96,8;2024-05-19T19:03:43.399Z;2024-05-19T19:53:37Z;[{'id': 5043381449, 'qualifierId': 140, 'value': '72.1'}, {'id': 5043381457, 'qualifierId': 236}, {'id': 5043381463, 'qualifierId': 286}, {'id': 5043381455, 'qualifierId': 213, 'value': '0.03'}, {'id': 5043381447, 'qualifierId': 56, 'value': 'Left'}, {'id': 5043381451, 'qualifierId': 141, 'value': '96.9'}, {'id': 5043381453, 'qualifierId': 212, 'value': '2.0'}, {'id': 5043381459, 'qualifierId': 233, 'value': '5'}];bzv3yqbc7ttf7fftbm2nelxck;M. Fry;;;cwtjovsbm897258o77przjvo4;Pass;;;;;;;;;;2,0;0,03;;;96,9;72,1;;;;5,0;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;72,1;96,9;;;;;;;0;0;0;16;Philadelphia Union II;16;FWL;1,0
2689831227;5;74;1;0;16;1zgjjyruyufrkh4xjvryqsb1i;1;29,1;3,5;2024-05-19T19:03:43.400Z;2024-05-25T12:04:30Z;[{'id': 5043381477, 'qualifierId': 233, 'value': '453'}, {'id': 5043137429, 'qualifierId': 285}, {'id': 5043137427, 'qualifierId': 56, 'value': 'Back'}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;cwtjovsbm897258o77przjvo4;Blocked Pass;;;;;;;;;;;;;;;;;;1,0;453,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;16;New England II;16;DR;1,0
2689831247;6;49;1;0;17;1zgjjyruyufrkh4xjvryqsb1i;1;12,9;8,5;2024-05-19T19:03:44.730Z;2024-05-19T19:03:44Z;[];15v2azulwhof0p216i7bjp250;J. Berdecio;;;cwtjovsbm897258o77przjvo4;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;17;New England II;17;DR;1,0
2689831259;7;50;1;0;18;1zgjjyruyufrkh4xjvryqsb1i;1;17,8;6,7;2024-05-19T19:03:45.610Z;2024-05-19T19:03:50Z;[{'id': 5043138001, 'qualifierId': 233, 'value': '11'}, {'id': 5043137591, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043137593, 'qualifierId': 285}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;cwtjovsbm897258o77przjvo4;Dispossessed;;;;;;;;;;;;;;;;;;1,0;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;18;New England II;18;DR;1,0
2689831321;11;7;1;0;18;csntc7hucmo21gknxc5y0kc4q;1;82,2;93,3;2024-05-19T19:03:45.611Z;2024-05-25T12:04:40Z;[{'id': 5043137973, 'qualifierId': 233, 'value': '7'}, {'id': 5043137887, 'qualifierId': 286}, {'id': 5043137885, 'qualifierId': 56, 'value': 'Left'}, {'id': 5052673787, 'qualifierId': 383}];bzv3yqbc7ttf7fftbm2nelxck;M. Fry;;;cwtjovsbm897258o77przjvo4;Tackle;;;;;;;;;;;;;;;;;;;7,0;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;18;Philadelphia Union II;18;FWL;1,0
2689831333;12;3;1;0;21;csntc7hucmo21gknxc5y0kc4q;0;75,8;92,6;2024-05-19T19:03:49.215Z;2024-05-25T12:04:42Z;[{'id': 5043617589, 'qualifierId': 211}, {'id': 5043137959, 'qualifierId': 56, 'value': 'Left'}, {'id': 5043617543, 'qualifierId': 286}, {'id': 5052673947, 'qualifierId': 465}];bzv3yqbc7ttf7fftbm2nelxck;M. Fry;;;cwtjovsbm897258o77przjvo4;Take On;;;;;;;;;;;;;;;;;;;;1,0;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;21;Philadelphia Union II;21;FWL;1,0
2689831361;8;43;1;0;23;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-05-19T19:03:51.051Z;2024-05-25T12:04:53Z;[{'id': 5052674335, 'qualifierId': 144, 'value': '49'}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;cwtjovsbm897258o77przjvo4;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;23;New England II;23;DR;1,0
