id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_Resume;value_TeamFormation;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Angle;value_KickOff;value_Length;value_Zone;value_PassEndY;value_DeletedEventType;value_OppositeRelatedEventId;value_Offensive;value_Direct;value_AttemptedTackle;value_Foul;value_Defensive;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_LongBall;value_Cross;value_High;value_NotAssisted;value_OutOfBoxCentre;value_GoalmouthZ;value_GkX;value_GkY;value_RegularPlay;value_RightFooted;value_IndividualPlay;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_HeadPass;value_LayOff;value_Chipped;value_Head;value_Shove/Push;value_Assist;value_IntentionalAssist;value_Assisted;value_SetPiece;value_FirstTouch;value_SmallBoxCentre;value_RelatedEventId;value_Tap;value_CloseRight;value_FreeKick;value_Low;value_IntendedTackleTarget;value_KeeperThrow;value_BlockedPass;value_Launch;value_SwitchOfPlay;value_BlockedY;value_BoxCentre;value_BlockedX;value_LowCentre;value_Diving;value_Hands;value_Collected;value_FantasyAssistedBy;value_GoalShotTimestamp;value_GoalShotGameClock;value_LeftFooted;value_FantasyAssistType;value_KeeperTouched;value_FantasyAssistId;value_FantasyAssistTeam;value_OutOfPlay;value_BlockedCross;value_PlayersCaughtOffside;value_Indirect;value_Left;value_InSwinger;value_CornerTaken;value_Overrun;value_Injury;value_InjuredPlayerId;value_DrinksBreak;value_RefereeDelay;value_YellowCard;value_RecklessOffence;value_ShirtPull/Holding;value_TacticalFoul;value_Argument;value_GkHoof;value_LeadingToAttempt;value_RelatedError1Id;value_BoxLeft;value_BigChance;value_LowRight;value_ParriedSafe;value_Right;value_Minutes;value_Blocked;value_FromCorner;value_DefBlock;value_MisHit;value_HighCentre;value_FlickOn;value_EndType;value_35Right;value_FollowsADribble;value_HighClaim;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_SavedOffLine;value_SixYardBlocked;value_LowLeft;value_LastLine;value_GkKickFromHands;value_HighRight;value_OtherReason;value_OtherObstacle;value_BallHitsReferee;value_OwnPlayer;value_OwnShotBlocked;value_Standing;value_CloseHigh;value_PullBack;value_SmallBoxLeft;value_Stooping;value_NotVisible;value_OutOfBoxDeepLeft;value_BlockedClearance;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713788769;648;1;2;82;35;dqx48fglv1l96cyrmjdod0xec;0;63,9;44,2;2024-08-26T00:51:44.521Z;2024-08-26T00:51:46Z;[{'id': 5175191877, 'qualifierId': 213, 'value': '5.43'}, {'id': 5175191873, 'qualifierId': 141, 'value': '34.2'}, {'id': 5175191875, 'qualifierId': 212, 'value': '9.1'}, {'id': 5175191871, 'qualifierId': 140, 'value': '69.6'}, {'id': 5175191867, 'qualifierId': 3}, {'id': 5175191869, 'qualifierId': 56, 'value': 'Center'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;69,6;5,43;;9,1;;34,2;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;69,6;34,2;;;;;;;0;0;82;35;North Texas;4955;Sub;1,0
2713788783;719;1;2;82;39;99l7fsj6ykgbyqcb9zqqu9dgq;1;26,9;69,6;2024-08-26T00:51:48.421Z;2024-08-26T00:51:50Z;[{'id': 5175191947, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175191955, 'qualifierId': 213, 'value': '3.71'}, {'id': 5175191951, 'qualifierId': 141, 'value': '50.6'}, {'id': 5175191949, 'qualifierId': 140, 'value': '7.7'}, {'id': 5175191953, 'qualifierId': 212, 'value': '23.9'}];32c9e26wcnr5kmab8ep4zph5g;D. García;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;7,7;3,71;;23,9;;50,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;7,7;50,6;;;;;;;0;0;82;39;St. Louis City II;4959;Sub;1,0
2713788787;720;49;2;82;41;99l7fsj6ykgbyqcb9zqqu9dgq;1;9,1;49,3;2024-08-26T00:51:50.487Z;2024-08-26T00:51:50Z;[];6agfr3usj1pblrbq2i9mdpmcq;M. Collodi;;;ew7c4u9c52m7xcn4wy8dae9lg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;;;;;;;;;0;0;82;41;St. Louis City II;4961;GK;1,0
2713788861;721;1;2;82;42;99l7fsj6ykgbyqcb9zqqu9dgq;1;9,5;47,8;2024-08-26T00:51:52.228Z;2024-08-26T00:52:00Z;[{'id': 5175192363, 'qualifierId': 213, 'value': '5.07'}, {'id': 5175192355, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175192359, 'qualifierId': 141, 'value': '27.4'}, {'id': 5175192361, 'qualifierId': 212, 'value': '14.8'}, {'id': 5175192357, 'qualifierId': 140, 'value': '14.4'}];6agfr3usj1pblrbq2i9mdpmcq;M. Collodi;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;14,4;5,07;;14,8;;27,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;14,4;27,4;;;;;;;0;0;82;42;St. Louis City II;4962;GK;1,0
2713788905;722;1;2;82;50;99l7fsj6ykgbyqcb9zqqu9dgq;1;39,3;24,6;2024-08-26T00:52:00.132Z;2024-08-26T00:52:04Z;[{'id': 5175192581, 'qualifierId': 140, 'value': '30.2'}, {'id': 5175192585, 'qualifierId': 212, 'value': '21.1'}, {'id': 5175192579, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175192587, 'qualifierId': 213, 'value': '2.04'}, {'id': 5175192583, 'qualifierId': 141, 'value': '52.2'}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;30,2;2,04;;21,1;;52,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;30,2;52,2;;;;;;;0;0;82;50;St. Louis City II;4970;Sub;1,0
2713788879;650;43;2;82;51;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-08-26T00:52:00.289Z;2024-08-26T00:52:03Z;[{'id': 5175192537, 'qualifierId': 144, 'value': '52'}];brbc088u7sq9wh9d9gkonn5gq;C. Olivares;;;ew7c4u9c52m7xcn4wy8dae9lg;Deleted event;;;;;;;;;;;;;;;;52,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;82;51;North Texas;4971;GK;1,0
2713788917;723;1;2;82;54;99l7fsj6ykgbyqcb9zqqu9dgq;1;31,2;47,2;2024-08-26T00:52:04.115Z;2024-08-26T00:52:06Z;[{'id': 5175192685, 'qualifierId': 213, 'value': '0.65'}, {'id': 5175192677, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175192681, 'qualifierId': 141, 'value': '56.4'}, {'id': 5175192679, 'qualifierId': 140, 'value': '39.0'}, {'id': 5175192683, 'qualifierId': 212, 'value': '10.3'}];14sld3djevxpcce9co1aqxn9w;N. Norris;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;39,0;0,65;;10,3;;56,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;39,0;56,4;;;;;;;0;0;82;54;St. Louis City II;4974;MC;1,0
2713788937;724;1;2;82;57;99l7fsj6ykgbyqcb9zqqu9dgq;1;35,4;52,1;2024-08-26T00:52:06.500Z;2024-08-26T00:52:09Z;[{'id': 5175192793, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175192799, 'qualifierId': 212, 'value': '14.6'}, {'id': 5175192801, 'qualifierId': 213, 'value': '3.97'}, {'id': 5175192797, 'qualifierId': 141, 'value': '36.3'}, {'id': 5175192795, 'qualifierId': 140, 'value': '26.0'}];32c9e26wcnr5kmab8ep4zph5g;D. García;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;26,0;3,97;;14,6;;36,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;26,0;36,3;;;;;;;0;0;82;57;St. Louis City II;4977;Sub;1,0
2713788955;725;1;2;83;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;30,4;34,3;2024-08-26T00:52:09.364Z;2024-08-26T00:52:11Z;[{'id': 5175192909, 'qualifierId': 140, 'value': '46.0'}, {'id': 5175192907, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175192915, 'qualifierId': 213, 'value': '5.50'}, {'id': 5175192911, 'qualifierId': 141, 'value': '10.1'}, {'id': 5175192913, 'qualifierId': 212, 'value': '23.2'}];14sld3djevxpcce9co1aqxn9w;N. Norris;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;46,0;5,5;;23,2;;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;46,0;10,1;;;;;;;0;0;83;0;St. Louis City II;4980;MC;1,0
2713788989;726;1;2;83;2;99l7fsj6ykgbyqcb9zqqu9dgq;1;43,3;18,8;2024-08-26T00:52:11.780Z;2024-08-26T00:52:16Z;[{'id': 5175193077, 'qualifierId': 140, 'value': '26.8'}, {'id': 5175193083, 'qualifierId': 213, 'value': '3.26'}, {'id': 5175193075, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175193079, 'qualifierId': 141, 'value': '15.8'}, {'id': 5175193081, 'qualifierId': 212, 'value': '17.4'}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;ew7c4u9c52m7xcn4wy8dae9lg;Pass;;;;;;;;;;26,8;3,26;;17,4;;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;26,8;15,8;;;;;;;0;0;83;2;St. Louis City II;4982;DC;1,0
