id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_Resume;value_Captain;value_TeamKit;value_JerseyNumber;value_Involved;value_DirectionOfPlay;value_Zone;value_PassEndX;value_Length;value_Angle;value_KickOff;value_PassEndY;value_LongBall;value_PlayersCaughtOffside;value_HeadPass;value_DeletedEventType;value_Indirect;value_FreeKickTaken;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_TouchTypeControl;value_Chipped;value_Offensive;value_Defensive;value_OutOfPlay;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_IntendedTackleTarget;value_GoalmouthY;value_OutOfBoxCentre;value_IndividualPlay;value_LowCentre;value_GoalmouthZ;value_LeftFooted;value_BlockedX;value_BlockedY;value_Assisted;value_RelatedEventId;value_RegularPlay;value_Collected;value_Diving;value_Hands;value_Launch;value_GkHoof;value_TakeOnSpace;value_TouchTypeClearance;value_Defensive1V1;value_AttemptedTackle;value_Foul;value_Direct;value_Head;value_TouchTypePass;value_GkY;value_Blocked;value_FreeKick;value_GkX;value_NotAssisted;value_DefBlock;value_FirstTouch;value_HighLeft;value_Volley;value_SetPiece;value_NextEventGoalKick;value_Low;value_GoalKick;value_Left;value_InSwinger;value_RightFooted;value_Cross;value_CornerTaken;value_LayOff;value_Assist;value_IntentionalAssist;value_BigChance;value_LowLeft;value_BoxCentre;value_ParriedSafe;value_Standing;value_Stooping;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_OutSwinger;value_Shove/Push;value_FromCorner;value_High;value_CloseRight;value_Right;value_HighGkIntervention;value_NotVisible;value_FlickOn;value_SwitchOfPlay;value_MediumGkIntervention;value_SmallBoxCentre;value_CloseLeft;value_BoxLeft;value_BoxDeepLeft;value_Feet;value_Sliding;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotGameClock;value_BoxRight;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Tap;value_Handball;value_CloseHigh;value_MisHit;value_Dissent;value_SixYardBlocked;value_SavedOffLine;value_LastLine;value_LowRight;value_FastBreak;value_OverArm;value_Injury;value_HighClaim;value_GkKickFromHands;value_Overrun;value_TakeOnOvertake;value_ThroughBall;value_1On1;value_GkChallenge;value_HighRight;value_RedCard;value_SeriousFoul;value_Deflection;value_RecklessOffence;value_ViolentConduct;value_Argument;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728618077;518;61;2;50;22;8ijkk62897so5r3bq0wgwx4bu;1;31,1;64,8;2024-09-30T03:17:54.494Z;2024-09-30T03:17:54Z;[{'id': 5256392641, 'qualifierId': 56, 'value': 'Back'}];1o0ew8fp44fuo3o7c8ef8pd2i;T. Lepley;;;i8vk8y0611mmh1sz7o7li0wk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;50;22;St. Louis City II;3022;MC;1,0
2728618083;519;49;2;50;24;8ijkk62897so5r3bq0wgwx4bu;1;29,1;70,0;2024-09-30T03:17:55.987Z;2024-09-30T03:17:56Z;[];c44bkncqmptribnxki1dyppbe;I. Parente;;;i8vk8y0611mmh1sz7o7li0wk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;50;24;St. Louis City II;3024;MC;1,0
2728618091;520;1;2;50;24;8ijkk62897so5r3bq0wgwx4bu;1;29,0;70,3;2024-09-30T03:17:56.194Z;2024-09-30T03:17:58Z;[{'id': 5256392717, 'qualifierId': 141, 'value': '74.8'}, {'id': 5256392721, 'qualifierId': 213, 'value': '2.74'}, {'id': 5256392719, 'qualifierId': 212, 'value': '7.8'}, {'id': 5256392713, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256392715, 'qualifierId': 140, 'value': '22.2'}];c44bkncqmptribnxki1dyppbe;I. Parente;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;22,2;7,8;2,74;;74,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;22,2;74,8;;;;;;;0;0;50;24;St. Louis City II;3024;MC;1,0
2728618095;521;1;2;50;26;8ijkk62897so5r3bq0wgwx4bu;1;22,2;75,6;2024-09-30T03:17:58.051Z;2024-09-30T03:17:59Z;[{'id': 5256392759, 'qualifierId': 141, 'value': '94.7'}, {'id': 5256392755, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256392761, 'qualifierId': 212, 'value': '13.0'}, {'id': 5256392757, 'qualifierId': 140, 'value': '22.0'}, {'id': 5256392763, 'qualifierId': 213, 'value': '1.59'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;22,0;13,0;1,59;;94,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;22,0;94,7;;;;;;;0;0;50;26;St. Louis City II;3026;DC;1,0
2728618103;522;1;2;50;28;8ijkk62897so5r3bq0wgwx4bu;1;22,5;92,0;2024-09-30T03:17:59.714Z;2024-09-30T03:18:03Z;[{'id': 5256392819, 'qualifierId': 213, 'value': '3.59'}, {'id': 5256392817, 'qualifierId': 212, 'value': '17.9'}, {'id': 5256392815, 'qualifierId': 141, 'value': '80.6'}, {'id': 5256392813, 'qualifierId': 140, 'value': '7.1'}, {'id': 5256392811, 'qualifierId': 56, 'value': 'Back'}];4blue6g56i3t9iffjcmjs6hhw;R. Dalgado;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;7,1;17,9;3,59;;80,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;7,1;80,6;;;;;;;0;0;50;28;St. Louis City II;3028;DC;1,0
2728618111;523;1;2;50;31;8ijkk62897so5r3bq0wgwx4bu;0;9,6;83,5;2024-09-30T03:18:03.443Z;2024-09-30T03:18:05Z;[{'id': 5256392867, 'qualifierId': 141, 'value': '72.6'}, {'id': 5256392871, 'qualifierId': 213, 'value': '6.15'}, {'id': 5256392861, 'qualifierId': 157}, {'id': 5256392869, 'qualifierId': 212, 'value': '55.3'}, {'id': 5256392863, 'qualifierId': 56, 'value': 'Center'}, {'id': 5256392873, 'qualifierId': 1}, {'id': 5256392865, 'qualifierId': 140, 'value': '61.8'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;61,8;55,3;6,15;;72,6;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;61,8;72,6;;;;;;;0;0;50;31;St. Louis City II;3031;DC;1,0
2728618113;414;49;2;50;35;dqx48fglv1l96cyrmjdod0xec;1;32,0;36,9;2024-09-30T03:18:06.801Z;2024-09-30T03:18:06Z;[];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;i8vk8y0611mmh1sz7o7li0wk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;50;35;Ventura County;3035;DC;1,0
2728618129;415;1;2;50;38;dqx48fglv1l96cyrmjdod0xec;1;32,5;38,5;2024-09-30T03:18:09.762Z;2024-09-30T03:18:11Z;[{'id': 5256392987, 'qualifierId': 213, 'value': '5.10'}, {'id': 5256392979, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256392981, 'qualifierId': 140, 'value': '40.8'}, {'id': 5256392985, 'qualifierId': 212, 'value': '23.3'}, {'id': 5256392983, 'qualifierId': 141, 'value': '6.7'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;40,8;23,3;5,1;;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;40,8;6,7;;;;;;;0;0;50;38;Ventura County;3038;DC;1,0
2728618131;416;1;2;50;40;dqx48fglv1l96cyrmjdod0xec;1;40,8;6,7;2024-09-30T03:18:11.602Z;2024-09-30T03:18:13Z;[{'id': 5256392999, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256393007, 'qualifierId': 213, 'value': '2.24'}, {'id': 5256393005, 'qualifierId': 212, 'value': '16.0'}, {'id': 5256393003, 'qualifierId': 141, 'value': '25.2'}, {'id': 5256393001, 'qualifierId': 140, 'value': '31.4'}];2dqtrnq0k1fphyw71yh41gvtg;T. Pearce;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;31,4;16,0;2,24;;25,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;31,4;25,2;;;;;;;0;0;50;40;Ventura County;3040;MC;1,0
2728618135;417;1;2;50;42;dqx48fglv1l96cyrmjdod0xec;1;31,4;25,2;2024-09-30T03:18:13.794Z;2024-09-30T03:18:15Z;[{'id': 5256393037, 'qualifierId': 212, 'value': '23.4'}, {'id': 5256393039, 'qualifierId': 213, 'value': '1.66'}, {'id': 5256393031, 'qualifierId': 140, 'value': '29.4'}, {'id': 5256393035, 'qualifierId': 141, 'value': '59.4'}, {'id': 5256393027, 'qualifierId': 56, 'value': 'Back'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;29,4;23,4;1,66;;59,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;29,4;59,4;;;;;;;0;0;50;42;Ventura County;3042;DL;1,0
