id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamKit;value_JerseyNumber;value_Involved;value_Resume;value_TeamFormation;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_PassEndY;value_Zone;value_KickOff;value_Angle;value_PassEndX;value_Launch;value_LongBall;value_HeadPass;value_BlockedPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Left;value_InSwinger;value_Cross;value_Chipped;value_CornerTaken;value_RightFooted;value_OutOfPlay;value_TouchTypeClearance;value_TakeOnSpace;value_DeletedEventType;value_TouchTypeControl;value_IntendedTackleTarget;value_LeftFooted;value_OutSwinger;value_LowGkIntervention;value_NotVisible;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_IntentionalAssist;value_Assist;value_GoalmouthZ;value_FirstTouch;value_GkY;value_GoalmouthY;value_RelatedEventId;value_High;value_Assisted;value_SmallBoxRight;value_FromCorner;value_GkX;value_Head;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_AttemptedTackle;value_BlockedCross;value_SwitchOfPlay;value_Straight;value_DrivenCross;value_LowCentre;value_Blocked;value_IndividualPlay;value_BlockedY;value_BlockedX;value_RegularPlay;value_OutOfBoxCentre;value_DefBlock;value_Shove/Push;value_MediumGkIntervention;value_TakeOnOvertake;value_BoxLeft;value_CloseLeft;value_ThroughBall;value_BoxCentre;value_GkXTimeOfGoal;value_LowLeft;value_GoalShotGameClock;value_GkYTimeOfGoal;value_OtherBodyPart;value_GoalShotTimestamp;value_BigChance;value_SmallBoxCentre;value_Right;value_NotPastGoalLine;value_HighRight;value_YellowCard;value_TacticalFoul;value_Overrun;value_HighClaim;value_OverArm;value_Hands;value_ParriedDanger;value_Diving;value_Handball;value_CloseRight;value_Minutes;value_HighCentre;value_Standing;value_Collected;value_EndType;value_RecklessOffence;value_OverhitCross;value_FastBreak;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_NotAssisted;value_BoxRight;value_TimeWasting;value_LowRight;value_Tap;value_ParriedSafe;value_Injury;value_InjuredPlayerId;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713823819;465;1;2;46;47;cbip96wzs3jc2xadoluhhxotl;1;33,9;21,0;2024-08-26T03:11:18.530Z;2024-08-26T03:11:21Z;[{'id': 5175375603, 'qualifierId': 213, 'value': '0.96'}, {'id': 5175375599, 'qualifierId': 141, 'value': '30.1'}, {'id': 5175375595, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175375597, 'qualifierId': 140, 'value': '38.0'}, {'id': 5175375601, 'qualifierId': 212, 'value': '7.5'}];3wkej06590b61lyqm7vt1kwes;G. Dillon;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;7,5;30,1;;;0,96;38,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;38,0;30,1;;;;;;;;0;46;47;Ventura County;2807;MC;1,0
2713823827;466;1;2;46;49;cbip96wzs3jc2xadoluhhxotl;1;39,8;31,1;2024-08-26T03:11:21.203Z;2024-08-26T03:11:24Z;[{'id': 5175375661, 'qualifierId': 213, 'value': '0.67'}, {'id': 5175375655, 'qualifierId': 140, 'value': '60.3'}, {'id': 5175375653, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175375659, 'qualifierId': 212, 'value': '27.5'}, {'id': 5175375657, 'qualifierId': 141, 'value': '56.2'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;27,5;56,2;;;0,67;60,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;60,3;56,2;;;;;;;;0;46;49;Ventura County;2809;MC;1,0
2713823831;467;4;2;46;50;cbip96wzs3jc2xadoluhhxotl;1;57,6;52,2;2024-08-26T03:11:21.995Z;2024-08-26T03:11:27Z;[{'id': 5175375677, 'qualifierId': 286}, {'id': 5175375671, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175375669, 'qualifierId': 13}, {'id': 5175375675, 'qualifierId': 265}, {'id': 5175375673, 'qualifierId': 152}, {'id': 5175375679, 'qualifierId': 233, 'value': '421'}];9rgkh8j5l8n0ld96ojr47xy7e;J. Perruzza;;;exbuhllv7rqad3umlj94s8u1g;Foul;;;;;;;;;;;;;;;;;;;;1,0;421,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;46;50;Ventura County;2810;FW;1,0
2713823823;421;4;2;46;50;8ijkk62897so5r3bq0wgwx4bu;0;42,4;47,8;2024-08-26T03:11:21.996Z;2024-08-26T03:11:27Z;[{'id': 5175375647, 'qualifierId': 285}, {'id': 5175375641, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175375685, 'qualifierId': 233, 'value': '467'}, {'id': 5175375645, 'qualifierId': 265}, {'id': 5175375639, 'qualifierId': 13}, {'id': 5175375643, 'qualifierId': 152}];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;exbuhllv7rqad3umlj94s8u1g;Foul;;;;;;;;;;;;;;;;;;;;;467,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;46;50;Real Monarchs;2810;DL;1,0
2713823835;468;1;2;46;54;cbip96wzs3jc2xadoluhhxotl;1;60,3;56,2;2024-08-26T03:11:26.147Z;2024-08-26T03:11:28Z;[{'id': 5175375707, 'qualifierId': 140, 'value': '52.8'}, {'id': 5175375701, 'qualifierId': 5}, {'id': 5175375711, 'qualifierId': 212, 'value': '15.6'}, {'id': 5175375705, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175375713, 'qualifierId': 213, 'value': '2.10'}, {'id': 5175375709, 'qualifierId': 141, 'value': '76.0'}, {'id': 5175375703, 'qualifierId': 152}];9rgkh8j5l8n0ld96ojr47xy7e;J. Perruzza;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;15,6;76,0;;;2,1;52,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;52,8;76,0;;;;;;;;0;46;54;Ventura County;2814;FW;1,0
2713823839;469;1;2;46;57;cbip96wzs3jc2xadoluhhxotl;1;52,8;76,0;2024-08-26T03:11:28.315Z;2024-08-26T03:11:29Z;[{'id': 5175375741, 'qualifierId': 212, 'value': '12.1'}, {'id': 5175375739, 'qualifierId': 141, 'value': '86.2'}, {'id': 5175375735, 'qualifierId': 56, 'value': 'Left'}, {'id': 5175375743, 'qualifierId': 213, 'value': '0.61'}, {'id': 5175375737, 'qualifierId': 140, 'value': '62.2'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;12,1;86,2;;;0,61;62,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;62,2;86,2;;;;;;;;0;46;57;Ventura County;2817;DC;1,0
2713823841;470;1;2;46;58;cbip96wzs3jc2xadoluhhxotl;1;62,2;86,2;2024-08-26T03:11:29.587Z;2024-08-26T03:11:30Z;[{'id': 5175375755, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175375761, 'qualifierId': 212, 'value': '9.6'}, {'id': 5175375759, 'qualifierId': 141, 'value': '77.5'}, {'id': 5175375757, 'qualifierId': 140, 'value': '69.4'}, {'id': 5175375763, 'qualifierId': 213, 'value': '5.62'}];asy97zdxk0352toy38huzk222;T. Silva;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;9,6;77,5;;;5,62;69,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;69,4;77,5;;;;;;;;0;46;58;Ventura County;2818;DC;1,0
2713823851;471;1;2;46;59;cbip96wzs3jc2xadoluhhxotl;1;69,4;77,5;2024-08-26T03:11:30.867Z;2024-08-26T03:11:33Z;[{'id': 5175375813, 'qualifierId': 212, 'value': '10.3'}, {'id': 5175375809, 'qualifierId': 140, 'value': '74.3'}, {'id': 5175375815, 'qualifierId': 213, 'value': '1.05'}, {'id': 5175375807, 'qualifierId': 56, 'value': 'Left'}, {'id': 5175375811, 'qualifierId': 141, 'value': '90.7'}];tw82u87mw6kggtjblt1hhdzo;A. Hezarkhani;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;10,3;90,7;;;1,05;74,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;74,3;90,7;;;;;;;;0;46;59;Ventura County;2819;ML;1,0
2713823853;472;1;2;47;2;cbip96wzs3jc2xadoluhhxotl;1;74,7;92,7;2024-08-26T03:11:33.307Z;2024-08-26T03:11:35Z;[{'id': 5175375835, 'qualifierId': 141, 'value': '83.0'}, {'id': 5175375831, 'qualifierId': 56, 'value': 'Left'}, {'id': 5175375837, 'qualifierId': 212, 'value': '17.4'}, {'id': 5175375839, 'qualifierId': 213, 'value': '5.89'}, {'id': 5175375833, 'qualifierId': 140, 'value': '90.0'}];asy97zdxk0352toy38huzk222;T. Silva;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;17,4;83,0;;;5,89;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;90,0;83,0;;;;;;;;0;47;2;Ventura County;2822;DC;1,0
2713823859;473;1;2;47;4;cbip96wzs3jc2xadoluhhxotl;0;90,0;83,0;2024-08-26T03:11:35.267Z;2024-08-26T03:11:36Z;[{'id': 5175375859, 'qualifierId': 56, 'value': 'Center'}, {'id': 5175375855, 'qualifierId': 2}, {'id': 5175375867, 'qualifierId': 213, 'value': '5.02'}, {'id': 5175375861, 'qualifierId': 140, 'value': '93.8'}, {'id': 5175375863, 'qualifierId': 141, 'value': '64.4'}, {'id': 5175375865, 'qualifierId': 212, 'value': '13.3'}, {'id': 5175375857, 'qualifierId': 155}];tw82u87mw6kggtjblt1hhdzo;A. Hezarkhani;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;13,3;64,4;;;5,02;93,8;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;93,8;64,4;;;;;;;;0;47;4;Ventura County;2824;ML;1,0
