id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_JerseyNumber;value_Resume;value_TeamFormation;value_TeamKit;value_TeamPlayerFormation;value_PlayerPosition;value_Involved;value_Captain;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Zone;value_Length;value_Angle;value_PassEndX;value_SwitchOfPlay;value_LongBall;value_Chipped;value_LayOff;value_NotVisible;value_OppositeRelatedEventId;value_Offensive;value_Shove/Push;value_Foul;value_Direct;value_Defensive;value_FreeKickTaken;value_Overrun;value_TakeOnOvertake;value_GoalmouthY;value_BlockedX;value_IndividualPlay;value_OutOfBoxCentre;value_GoalmouthZ;value_LeftFooted;value_NotAssisted;value_BlockedY;value_RegularPlay;value_LowCentre;value_Standing;value_LowGkIntervention;value_ParriedSafe;value_Feet;value_BlockedPass;value_Launch;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeControl;value_DeletedEventType;value_TouchTypePass;value_OutOfPlay;value_IntendedTackleTarget;value_Assist;value_IntentionalAssist;value_LeadingToGoal;value_GkYTimeOfGoal;value_LowRight;value_GkX;value_RelatedEventId;value_GoalShotTimestamp;value_SmallBoxLeft;value_GkY;value_Assisted;value_RightFooted;value_GkXTimeOfGoal;value_GoalShotGameClock;value_HeadPass;value_OutSwinger;value_Cross;value_TouchTypeClearance;value_Head;value_LowLeft;value_Diving;value_ParriedDanger;value_Hands;value_Fumble;value_AttemptedTackle;value_NextEventGoalKick;value_MediumGkIntervention;value_KeeperThrow;value_High;value_Low;value_GoalKick;value_Right;value_Left;value_CornerTaken;value_FlickOn;value_HighLeft;value_BigChance;value_BoxRight;value_Blocked;value_DefBlock;value_Volley;value_FirstTouch;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_FreeKick;value_Stooping;value_OtherBodyPart;value_Straight;value_DrivenCross;value_NotPastGoalLine;value_BoxDeepRight;value_FastBreak;value_CloseLeft;value_SmallBoxCentre;value_DrinksBreak;value_RefereeDelay;value_Dissent;value_YellowCard;value_InSwinger;value_Penalty;value_PenaltyTakerId;value_BoxCentre;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Scored;value_TakeOnSpace;value_PlayersCaughtOffside;value_Minutes;value_Indirect;value_HitWoodwork;value_HitBar;value_FromCorner;value_Argument;value_EndType;value_ByWall;value_ShirtPull/Holding;value_TacticalFoul;value_GkKickFromHands;value_BlockedCross;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Sliding;value_CloseHigh;value_HighGkIntervention;value_HighCentre;value_Collected;value_HighRight;value_Reaching;value_Fingertip;value_SetPiece;value_2NdAssist;value_SmallBoxRight;value_2NdRelatedEventId;value_2NdAssisted;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2732103837;298;61;1;38;45;d0c07im4a6oj8qa7f1zlt3pqs;0;72,9;10,7;2024-10-06T20:43:12.367Z;2024-10-06T22:09:31Z;[{'id': 5275421137, 'qualifierId': 56, 'value': 'Right'}];641bsr9un81t6sds51fhvijh0;B. Farkarlun;;;mebinvz4t34d99ognrve3r4k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;38;45;The Town;2325;FWR;1,0
2732103825;257;49;1;38;45;ew2zirzye0sw1txr2m33nr25y;1;24,3;80,9;2024-10-06T20:43:13.237Z;2024-10-06T20:43:13Z;[];3q8dpwqkikbugz3ikwcmkbg4q;R. Ibarra;;;mebinvz4t34d99ognrve3r4k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;38;45;Austin II;2325;DC;1,0
2732103881;258;1;1;38;46;ew2zirzye0sw1txr2m33nr25y;1;23,1;85,8;2024-10-06T20:43:13.917Z;2024-10-06T20:43:16Z;[{'id': 5275421377, 'qualifierId': 212, 'value': '27.6'}, {'id': 5275421371, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275421379, 'qualifierId': 213, 'value': '3.91'}, {'id': 5275421373, 'qualifierId': 140, 'value': '4.2'}, {'id': 5275421375, 'qualifierId': 141, 'value': '57.6'}];3q8dpwqkikbugz3ikwcmkbg4q;R. Ibarra;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;57,6;;27,6;3,91;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;4,2;57,6;;;;;;;;0;38;46;Austin II;2326;DC;1,0
2732104037;259;1;1;38;49;ew2zirzye0sw1txr2m33nr25y;1;4,3;55,8;2024-10-06T20:43:16.693Z;2024-10-06T20:43:25Z;[{'id': 5275422315, 'qualifierId': 141, 'value': '65.6'}, {'id': 5275422313, 'qualifierId': 140, 'value': '9.5'}, {'id': 5275422311, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275422317, 'qualifierId': 212, 'value': '8.6'}, {'id': 5275422319, 'qualifierId': 213, 'value': '0.88'}];71y61qa3ywym9sa89dpkzfcyy;E. Ochoa;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;65,6;;8,6;0,88;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;9,5;65,6;;;;;;;;0;38;49;Austin II;2329;GK;1,0
2732104125;260;1;1;38;58;ew2zirzye0sw1txr2m33nr25y;1;27,4;76,4;2024-10-06T20:43:25.717Z;2024-10-06T20:43:31Z;[{'id': 5275422769, 'qualifierId': 56, 'value': 'Left'}, {'id': 5275422775, 'qualifierId': 212, 'value': '33.9'}, {'id': 5275422773, 'qualifierId': 141, 'value': '94.9'}, {'id': 5275422779, 'qualifierId': 1}, {'id': 5275422771, 'qualifierId': 140, 'value': '57.4'}, {'id': 5275422777, 'qualifierId': 213, 'value': '0.38'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;94,9;;33,9;0,38;57,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;57,4;94,9;;;;;;;;0;38;58;Austin II;2338;DC;1,0
2732104211;261;1;1;39;4;ew2zirzye0sw1txr2m33nr25y;1;70,8;86,8;2024-10-06T20:43:31.437Z;2024-10-06T20:43:36Z;[{'id': 5275423287, 'qualifierId': 141, 'value': '78.8'}, {'id': 5275423285, 'qualifierId': 140, 'value': '70.8'}, {'id': 5275423289, 'qualifierId': 212, 'value': '5.4'}, {'id': 5275423283, 'qualifierId': 56, 'value': 'Center'}, {'id': 5275423291, 'qualifierId': 213, 'value': '4.71'}];3q8dpwqkikbugz3ikwcmkbg4q;R. Ibarra;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;78,8;;5,4;4,71;70,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;70,8;78,8;;;;;;;;0;39;4;Austin II;2344;DC;1,0
2732104227;262;61;1;39;5;ew2zirzye0sw1txr2m33nr25y;0;70,8;78,8;2024-10-06T20:43:32.628Z;2024-10-06T20:43:40Z;[{'id': 5275423359, 'qualifierId': 56, 'value': 'Center'}];7jtxek694d60c5udhyv0zsjro;R. Lynch;;;mebinvz4t34d99ognrve3r4k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;39;5;Austin II;2345;FWL;1,0
2732104169;299;49;1;39;6;d0c07im4a6oj8qa7f1zlt3pqs;1;34,5;35,8;2024-10-06T20:43:33.632Z;2024-10-06T20:43:33Z;[];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;;mebinvz4t34d99ognrve3r4k;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;39;6;The Town;2346;MC;1,0
2732104195;300;1;1;39;7;d0c07im4a6oj8qa7f1zlt3pqs;1;35,1;36,6;2024-10-06T20:43:34.413Z;2024-10-06T20:43:35Z;[{'id': 5275423207, 'qualifierId': 141, 'value': '60.6'}, {'id': 5275423201, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275423209, 'qualifierId': 212, 'value': '16.5'}, {'id': 5275423203, 'qualifierId': 140, 'value': '37.3'}, {'id': 5275423211, 'qualifierId': 213, 'value': '1.43'}];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;60,6;;16,5;1,43;37,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;37,3;60,6;;;;;;;;0;39;7;The Town;2347;MC;1,0
2732104221;301;1;1;39;8;d0c07im4a6oj8qa7f1zlt3pqs;1;37,4;60,6;2024-10-06T20:43:35.678Z;2024-10-06T20:43:36Z;[{'id': 5275423327, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275423331, 'qualifierId': 141, 'value': '47.5'}, {'id': 5275423335, 'qualifierId': 213, 'value': '3.98'}, {'id': 5275423329, 'qualifierId': 140, 'value': '29.7'}, {'id': 5275423333, 'qualifierId': 212, 'value': '12.0'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;mebinvz4t34d99ognrve3r4k;Pass;;;;;;;;;;;47,5;;12,0;3,98;29,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;29,7;47,5;;;;;;;;0;39;8;The Town;2348;MC;1,0
