id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Resume;value_PlayerPosition;value_JerseyNumber;value_Captain;value_TeamFormation;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_DirectionOfPlay;value_Zone;value_KickOff;value_PassEndX;value_Angle;value_Length;value_PassEndY;value_LongBall;value_Launch;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Chipped;value_Assist;value_IntentionalAssist;value_ThroughBall;value_RightFooted;value_LowLeft;value_GoalmouthY;value_Assisted;value_RelatedEventId;value_GoalmouthZ;value_BoxRight;value_BlockedY;value_BlockedX;value_RegularPlay;value_Diving;value_Hands;value_ParriedDanger;value_LowGkIntervention;value_SmallBoxLeft;value_CloseLeft;value_GkX;value_GkY;value_FirstTouch;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_TakeOnOvertake;value_Overrun;value_OutOfPlay;value_BoxCentre;value_LeftFooted;value_BigChance;value_LowCentre;value_ParriedSafe;value_Feet;value_Left;value_Cross;value_CornerTaken;value_InSwinger;value_Head;value_FlickOn;value_SixYardBlocked;value_Blocked;value_DefBlock;value_Right;value_Straight;value_FloatedCross;value_High;value_TouchTypeClearance;value_PlayersCaughtOffside;value_DeletedEventType;value_GoalDisallowed;value_FreeKickTaken;value_Indirect;value_TakeOnSpace;value_SwitchOfPlay;value_BlockedPass;value_Foul;value_Direct;value_Shove/Push;value_AttemptedTackle;value_LayOff;value_OutSwinger;value_ShirtPull/Holding;value_DrivenCross;value_NotVisible;value_HighRight;value_OutOfBoxCentre;value_IndividualPlay;value_NotAssisted;value_FastBreak;value_Standing;value_Collected;value_MediumGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_OverhitCross;value_OverArm;value_RecklessOffence;value_YellowCard;value_SetPiece;value_HighCentre;value_HighGkIntervention;value_FromCorner;value_DangerousPlay;value_InjuredPlayerId;value_Injury;value_SwerveRight;value_NotPastGoalLine;value_BoxLeft;value_Volley;value_Reaching;value_HighClaim;value_TouchTypePass;value_BlockedCross;value_LowRight;value_Stooping;value_Minutes;value_EndType;value_CloseRight;value_CloseRightAndHigh;value_SmallBoxRight;value_OtherBodyPart;value_SmallBoxCentre;value_CloseHigh;value_TacticalFoul;value_HighLeft;value_PersistentInfringement;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Tactical;value_OwnPlayer;value_OwnShotBlocked;value_Weak;value_GoesToPenalties;value_Penalty;value_Scored;value_GkYTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_Saved;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2722613167;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-19T22:34:58.841Z;2024-09-24T13:11:10Z;[{'id': 5223629005, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5223628997, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5223628999, 'qualifierId': 59, 'value': '26, 35, 20, 43, 39, 6, 25, 48, 68, 7, 27, 41, 66, 44, 60, 42, 56, 71, 86, 97'}, {'id': 5223661607, 'qualifierId': 194, 'value': 'exk9svcdgcbn05ms00fhorvv8'}, {'id': 5223629001, 'qualifierId': 130, 'value': '6'}, {'id': 5223701633, 'qualifierId': 197, 'value': '18742'}, {'id': 5223628995, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, ds4avrkvrp4jxq9lp02ssci22, dkgv1asv2glgvoddpvxe56t5g, avxfzgoe2y0opif75qu3aeb6c, exk9svcdgcbn05ms00fhorvv8, 9b29l83qhedv79h20lgyu9tqt, 4ywn289r9mrs444sgkgduyivo, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, 6hhsk7b3rv87zi2i3dpzna3th, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, dercetgxemr74f5yasq86s5t6, 3xd2kq7cxmvdbqsfzgi644c4q, 9qhpi9y9iujvkbocafhgrj04q, 91zaobrhwte235umn6y1mklxw, doqbp8fg8hke6hhifdr4jzklw, 35i699wz5v6nush729peu776c, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi'}, {'id': 5223629003, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;bwkm55i1riyf0eyg7ly7u5ono;Team set up;;;;;6,0;18742,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2722613895;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-19T22:37:09.306Z;2024-09-24T13:35:24Z;[{'id': 5223633029, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5223633023, 'qualifierId': 59, 'value': '42, 36, 50, 86, 38, 95, 55, 45, 99, 30, 41, 52, 62, 48, 75, 88, 57, 43'}, {'id': 5223633019, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, 3uzxhd8g0jnft5xcd59yztm95, f69xf0cdfn1qe63t5tr5in10, d5kcfgycj51y6aw82r38sl7o4, 3lafo3mzfkp2kmf2fj8d6lnv8, 2iz7apzo49byqz0ws65h9d7v8, 7y5v3oex0pnupaahm8arguluc, 6ahu72g0u39bxbjiz7ggefai1, eg5gobm8zylt21enud00dfnmy, 1b9b97pxox77ia41cilqqm4iy, astn4ytzoaav30ifi17s4dn8, cbjd834y2hdx5jr3bda1zz6ga, ax2y5fvc4dzwn4qkxrfutapsk, 8dcbkmm7ktscumo0c6qcpy1p0, bjk2ns3xadow18v3tkvqqrkh6, dtb9aa7wp7e73bm367myma1n9, b56zx0iumlw5cpjctu307c74k, 5zeta56pml2qki1q095myhvys'}, {'id': 5223787045, 'qualifierId': 197, 'value': '4451'}, {'id': 5223633021, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5223633027, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5223633025, 'qualifierId': 130, 'value': '8'}, {'id': 5223691793, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}];;;;bwkm55i1riyf0eyg7ly7u5ono;Team set up;;;;;8,0;4451,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2722625991;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-19T23:33:39.827Z;2024-09-19T23:33:42Z;[{'id': 5223702409, 'qualifierId': 127, 'value': 'Right to Left'}];;;;bwkm55i1riyf0eyg7ly7u5ono;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2722625997;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-19T23:33:39.827Z;2024-09-24T04:57:33Z;[{'id': 5223702423, 'qualifierId': 127, 'value': 'Left to Right'}];;;;bwkm55i1riyf0eyg7ly7u5ono;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2722626005;3;1;1;0;2;erwnez7ksfkns4dqmyr1fhbe;1;50,1;50,1;2024-09-19T23:33:42.114Z;2024-09-24T05:22:59Z;[{'id': 5223702445, 'qualifierId': 56, 'value': 'Back'}, {'id': 5223702455, 'qualifierId': 279, 'value': 'S'}, {'id': 5223702447, 'qualifierId': 140, 'value': '20.5'}, {'id': 5223702453, 'qualifierId': 213, 'value': '3.30'}, {'id': 5223702451, 'qualifierId': 212, 'value': '31.5'}, {'id': 5223702449, 'qualifierId': 141, 'value': '42.7'}];astn4ytzoaav30ifi17s4dn8;A. Carleton;;bwkm55i1riyf0eyg7ly7u5ono;Pass;;;;;;;;;;;;20,5;3,3;31,5;42,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;20,5;42,7;;;;;;;;0;0;2;Crown Legacy;2;AML;1,0
2722626035;4;1;1;0;4;erwnez7ksfkns4dqmyr1fhbe;0;20,1;46,9;2024-09-19T23:33:44.097Z;2024-09-24T05:23:33Z;[{'id': 5223702611, 'qualifierId': 140, 'value': '62.0'}, {'id': 5223702617, 'qualifierId': 213, 'value': '6.12'}, {'id': 5223702613, 'qualifierId': 141, 'value': '36.4'}, {'id': 5223702619, 'qualifierId': 1}, {'id': 5223702615, 'qualifierId': 212, 'value': '44.6'}, {'id': 5223702609, 'qualifierId': 56, 'value': 'Center'}, {'id': 5223702607, 'qualifierId': 157}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;bwkm55i1riyf0eyg7ly7u5ono;Pass;;;;;;;;;;;;62,0;6,12;44,6;36,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;62,0;36,4;;;;;;;;0;0;4;Crown Legacy;4;GK;1,0
2722626041;3;1;1;0;6;6ubc4y1v6hr63mca7ica4hp90;0;29,9;49,0;2024-09-19T23:33:46.114Z;2024-09-24T05:23:37Z;[{'id': 5223702661, 'qualifierId': 212, 'value': '4.9'}, {'id': 5223702655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5223702657, 'qualifierId': 140, 'value': '34.5'}, {'id': 5223702653, 'qualifierId': 3}, {'id': 5223702659, 'qualifierId': 141, 'value': '50.3'}, {'id': 5223702663, 'qualifierId': 213, 'value': '0.18'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;bwkm55i1riyf0eyg7ly7u5ono;Pass;;;;;;;;;;;;34,5;0,18;4,9;50,3;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;34,5;50,3;;;;;;;;0;0;6;Atlanta United II;6;MC;1,0
2722626043;5;44;1;0;9;erwnez7ksfkns4dqmyr1fhbe;1;64,6;48,8;2024-09-19T23:33:49.544Z;2024-09-24T05:23:40Z;[{'id': 5223702667, 'qualifierId': 56, 'value': 'Center'}, {'id': 5223702669, 'qualifierId': 286}, {'id': 5223702725, 'qualifierId': 233, 'value': '4'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;bwkm55i1riyf0eyg7ly7u5ono;Aerial;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;9;Crown Legacy;9;MC;1,0
2722626047;4;44;1;0;9;6ubc4y1v6hr63mca7ica4hp90;0;35,4;51,2;2024-09-19T23:33:49.545Z;2024-09-24T05:23:42Z;[{'id': 5223702735, 'qualifierId': 233, 'value': '5'}, {'id': 5223702687, 'qualifierId': 285}, {'id': 5223702683, 'qualifierId': 56, 'value': 'Back'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;bwkm55i1riyf0eyg7ly7u5ono;Aerial;;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;9;Atlanta United II;9;MC;1,0
2722626051;6;1;1;0;10;erwnez7ksfkns4dqmyr1fhbe;0;61,7;46,1;2024-09-19T23:33:50.114Z;2024-09-24T05:23:45Z;[{'id': 5223702709, 'qualifierId': 3}, {'id': 5223702717, 'qualifierId': 212, 'value': '14.2'}, {'id': 5223702715, 'qualifierId': 141, 'value': '55.4'}, {'id': 5223702711, 'qualifierId': 56, 'value': 'Center'}, {'id': 5223702713, 'qualifierId': 140, 'value': '73.8'}, {'id': 5223702719, 'qualifierId': 213, 'value': '0.46'}];6ahu72g0u39bxbjiz7ggefai1;N. Okello;;bwkm55i1riyf0eyg7ly7u5ono;Pass;;;;;;;;;;;;73,8;0,46;14,2;55,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;73,8;55,4;;;;;;;;0;0;10;Crown Legacy;10;MC;1,0
