id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_JerseyNumber;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_PlayerPosition;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_Angle;value_Tap;value_PassEndX;value_Length;value_KickOff;value_PassEndY;value_LongBall;value_Launch;value_BlockedPass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_TouchTypeControl;value_ShirtPull/Holding;value_Foul;value_Direct;value_FreeKickTaken;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_DeletedEventType;value_HeadPass;value_LayOff;value_MediumGkIntervention;value_KeeperThrow;value_OverArm;value_IntendedTackleTarget;value_TouchTypePass;value_AttemptedTackle;value_RightFooted;value_Cross;value_OutSwinger;value_LeftFooted;value_IntentionalAssist;value_Assist;value_BlockedY;value_LowRight;value_Blocked;value_GkY;value_GkX;value_GoalmouthY;value_RegularPlay;value_OutOfBoxCentre;value_GoalmouthZ;value_BlockedX;value_Assisted;value_RelatedEventId;value_DefBlock;value_DrivenCross;value_Straight;value_BoxCentre;value_GkXTimeOfGoal;value_NotAssisted;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_Deflection;value_HighRight;value_Head;value_Left;value_InSwinger;value_CornerTaken;value_BoxDeepRight;value_High;value_FromCorner;value_FirstTouch;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnSpace;value_LowCentre;value_BoxLeft;value_Stooping;value_LowGkIntervention;value_Hands;value_Collected;value_NotVisible;value_BlockedCross;value_Right;value_FlickOn;value_HighGkIntervention;value_HighClaim;value_GkKickFromHands;value_Standing;value_ThrowInSetPiece;value_SixYardBlocked;value_BoxRight;value_Volley;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_ThroughBall;value_BigChance;value_Shove/Push;value_LowLeft;value_IndividualPlay;value_CloseHigh;value_SmallBoxCentre;value_Minutes;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_EndType;value_NotPastGoalLine;value_OverhitCross;value_Diving;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_FairPlay;value_Injury;value_FreeKick;value_HighLeft;value_SwerveRight;value_SmallBoxLeft;value_Feet;value_ParriedDanger;value_Dissent;value_Handball;value_PullBack;value_HighCentre;value_OwnPlayer;value_OwnShotBlocked;value_BlockedClearance;value_InjuredPlayerId;value_ParriedSafe;value_OtherBodyPart;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2736994521;474;1;2;45;26;8ijkk62897so5r3bq0wgwx4bu;0;38,8;35,2;2024-10-21T03:10:19.550Z;2024-10-21T03:10:22Z;[{'id': 5302118793, 'qualifierId': 141, 'value': '0.0'}, {'id': 5302118799, 'qualifierId': 1}, {'id': 5302118789, 'qualifierId': 56, 'value': 'Right'}, {'id': 5302118795, 'qualifierId': 212, 'value': '55.0'}, {'id': 5302118791, 'qualifierId': 140, 'value': '85.7'}, {'id': 5302118797, 'qualifierId': 213, 'value': '5.82'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;5,82;;85,7;55,0;;0,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;85,7;0,0;;;;;;;0;0;45;26;Tacoma Defiance;2726;DR;1,0
2736994533;429;5;2;45;29;5icuo8utnztpsd9l03gdd68dl;1;16,6;101,2;2024-10-21T03:10:22.128Z;2024-10-21T04:14:37Z;[{'id': 5302118851, 'qualifierId': 347}, {'id': 5302118853, 'qualifierId': 233, 'value': '475'}, {'id': 5302118849, 'qualifierId': 56, 'value': 'Back'}];e5oov2tctv9yrbh5uldfyrey2;D. Teves;;;4nfcytxp4agwk4lizfxw5d78;Out;;;;;;;;;;;;;;;;;;;;475,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;;;;;;;;;0;0;45;29;Ventura County;2729;AMR;1,0
2736994525;475;5;2;45;29;8ijkk62897so5r3bq0wgwx4bu;0;83,4;-1,2;2024-10-21T03:10:22.128Z;2024-10-21T04:14:37Z;[{'id': 5302118807, 'qualifierId': 347}, {'id': 5302118857, 'qualifierId': 233, 'value': '429'}, {'id': 5302118805, 'qualifierId': 56, 'value': 'Right'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;4nfcytxp4agwk4lizfxw5d78;Out;;;;;;;;;;;;;;;;;;;;429,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;45;29;Tacoma Defiance;2729;DR;1,0
2736994555;430;1;2;45;45;5icuo8utnztpsd9l03gdd68dl;1;20,4;100,0;2024-10-21T03:10:37.963Z;2024-10-21T03:10:41Z;[{'id': 5302118971, 'qualifierId': 140, 'value': '33.2'}, {'id': 5302118973, 'qualifierId': 141, 'value': '93.3'}, {'id': 5302118967, 'qualifierId': 107}, {'id': 5302118975, 'qualifierId': 212, 'value': '14.7'}, {'id': 5302118977, 'qualifierId': 213, 'value': '5.87'}, {'id': 5302118969, 'qualifierId': 56, 'value': 'Back'}];e2t6sxwsa5ll4zvsxh96512zu;E. Katsaros;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;5,87;;33,2;14,7;;93,3;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;33,2;93,3;;;;;;;0;0;45;45;Ventura County;2745;DC;1,0
2736994559;431;1;2;45;48;5icuo8utnztpsd9l03gdd68dl;0;33,2;93,3;2024-10-21T03:10:41.579Z;2024-10-21T03:10:47Z;[{'id': 5302118985, 'qualifierId': 3}, {'id': 5302118995, 'qualifierId': 212, 'value': '25.3'}, {'id': 5302118993, 'qualifierId': 141, 'value': '84.4'}, {'id': 5302118989, 'qualifierId': 56, 'value': 'Left'}, {'id': 5302118991, 'qualifierId': 140, 'value': '56.6'}, {'id': 5302118997, 'qualifierId': 213, 'value': '6.04'}, {'id': 5302118987, 'qualifierId': 168}];s9a51dj3nkad2e53b2jbgl5g;S. Gomez;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;6,04;;56,6;25,3;;84,4;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;56,6;84,4;;;;;;;0;0;45;48;Ventura County;2748;AML;1,0
2736994557;476;49;2;45;49;8ijkk62897so5r3bq0wgwx4bu;1;44,5;15,8;2024-10-21T03:10:41.951Z;2024-10-21T03:10:42Z;[];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;4nfcytxp4agwk4lizfxw5d78;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;45;49;Tacoma Defiance;2749;DL;1,0
2736994569;477;1;2;45;49;8ijkk62897so5r3bq0wgwx4bu;1;44,5;15,8;2024-10-21T03:10:42.686Z;2024-10-21T03:10:47Z;[{'id': 5302119035, 'qualifierId': 141, 'value': '36.2'}, {'id': 5302119033, 'qualifierId': 140, 'value': '39.8'}, {'id': 5302119039, 'qualifierId': 213, 'value': '1.91'}, {'id': 5302119037, 'qualifierId': 212, 'value': '14.7'}, {'id': 5302119031, 'qualifierId': 56, 'value': 'Back'}];ckqdb14rd2i1scytlygbsncb8;J. Magaña;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;1,91;;39,8;14,7;;36,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;39,8;36,2;;;;;;;0;0;45;49;Tacoma Defiance;2749;DL;1,0
2736994571;478;1;2;45;54;8ijkk62897so5r3bq0wgwx4bu;1;40,0;37,3;2024-10-21T03:10:47.230Z;2024-10-21T03:10:49Z;[{'id': 5302119059, 'qualifierId': 140, 'value': '57.1'}, {'id': 5302119061, 'qualifierId': 141, 'value': '5.8'}, {'id': 5302119065, 'qualifierId': 213, 'value': '5.41'}, {'id': 5302119063, 'qualifierId': 212, 'value': '27.9'}, {'id': 5302119057, 'qualifierId': 56, 'value': 'Right'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;5,41;;57,1;27,9;;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;57,1;5,8;;;;;;;0;0;45;54;Tacoma Defiance;2754;DC;1,0
2736994579;479;1;2;45;56;8ijkk62897so5r3bq0wgwx4bu;0;57,1;5,8;2024-10-21T03:10:49.582Z;2024-10-21T03:10:53Z;[{'id': 5302119093, 'qualifierId': 141, 'value': '32.6'}, {'id': 5302119099, 'qualifierId': 1}, {'id': 5302119089, 'qualifierId': 56, 'value': 'Center'}, {'id': 5302119095, 'qualifierId': 212, 'value': '41.3'}, {'id': 5302119091, 'qualifierId': 140, 'value': '92.4'}, {'id': 5302119097, 'qualifierId': 213, 'value': '0.46'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;4nfcytxp4agwk4lizfxw5d78;Pass;;;;;;;;;;;0,46;;92,4;41,3;;32,6;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;92,4;32,6;;;;;;;0;0;45;56;Tacoma Defiance;2756;DR;1,0
2736994581;432;12;2;46;0;5icuo8utnztpsd9l03gdd68dl;1;6,6;70,2;2024-10-21T03:10:53.420Z;2024-10-21T03:10:55Z;[{'id': 5302119107, 'qualifierId': 212, 'value': '21.2'}, {'id': 5302119103, 'qualifierId': 140, 'value': '6.2'}, {'id': 5302119109, 'qualifierId': 213, 'value': '1.59'}, {'id': 5302119115, 'qualifierId': 167}, {'id': 5302119105, 'qualifierId': 141, 'value': '100.0'}, {'id': 5302119101, 'qualifierId': 56, 'value': 'Back'}];e1e506479mqo8j3geie6amuj8;S. Hawkins;;;4nfcytxp4agwk4lizfxw5d78;Clearance;;;;;;;;;;;1,59;;6,2;21,2;;100,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;home;6,2;100,0;;;;;;;0;0;46;0;Ventura County;2760;DC;1,0
