id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_PlayerPosition;value_TeamKit;value_Resume;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_Angle;value_Length;value_KickOff;value_PassEndY;value_PassEndX;value_Zone;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_FlickOn;value_Cross;value_OutOfPlay;value_Left;value_CornerTaken;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_NextEventGoalKick;value_DeletedEventType;value_InSwinger;value_Head;value_KeeperThrow;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_IntendedTackleTarget;value_BlockedPass;value_SwitchOfPlay;value_Assist;value_LowCentre;value_OutOfBoxCentre;value_RelatedEventId;value_BlockedY;value_RightFooted;value_IndividualPlay;value_GoalmouthY;value_Assisted;value_RegularPlay;value_BlockedX;value_GoalmouthZ;value_Standing;value_ParriedDanger;value_Hands;value_Overrun;value_IntentionalAssist;value_GkX;value_CloseHigh;value_BoxCentre;value_BigChance;value_GkY;value_GoalKick;value_Low;value_HighRight;value_ParriedSafe;value_Diving;value_Blocked;value_SetPiece;value_35Centre;value_FirstTouch;value_DefBlock;value_Shove/Push;value_Volley;value_Right;value_NotPastGoalLine;value_BlockedCross;value_PlayersCaughtOffside;value_Indirect;value_FromCorner;value_SmallBoxRight;value_CloseRight;value_InjuredPlayerId;value_Injury;value_Minutes;value_EndType;value_RecklessOffence;value_YellowCard;value_LeftFooted;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_TacticalFoul;value_OutSwinger;value_NotAssisted;value_LowRight;value_HighLeft;value_BoxRight;value_GkHoof;value_CoachId;value_Dissent;value_SixYardBlocked;value_OverhitCross;value_GoesToPenalties;value_Saved;value_Penalty;value_HighCentre;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotGameClock;value_GoalShotTimestamp;value_LowLeft;value_Scored;value_KeeperTouched;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2675905359;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-04-21T01:03:14.470Z;2024-04-21T03:38:30Z;[{'id': 4967566473, 'qualifierId': 30, 'value': '4q6jdo2wts37hdajbh8b8xcoa, 3etb72wtwcrim97dyp9g2px5g, 3q8dpwqkikbugz3ikwcmkbg4q, 2jwbnsl7zicnbgutmpop29d61, 35jkg2v338kipzlf0iwvvypuy, 79z5vt08ga8prn33vi2a260kq, dwyatw1wz3nrh1fcwu27ie8ve, dhrxi7hj8xh15ky7q6u5wqi5m, 1bmbt6h6bsiimpzxt07cqwfvu, 5n1wehugx0qtun8oopg2jbndg, au9595t3oo0zbzexhr01ts0h6, 49ag6csupgt40gbs2snq1xs7o, 1on6mxrbdqnh12s4h1y0vb3mc, cac9hjmdwt1gsz0qt3f6d4b2s, bpfl7nj8llr3dfadhtju52rro, 79vuqfgilwa4eyqmowr5me42c, dqa88ma3jbk33lsyzo45uy2cq, 4ozih7wnybdxb1wgvd5fkjp5g, 7jtxek694d60c5udhyv0zsjro, f2nxaemhqi8kbtbejnqekgd4a'}, {'id': 4967566475, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4967774759, 'qualifierId': 197, 'value': '23745'}, {'id': 4967566483, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4967566481, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4967566477, 'qualifierId': 59, 'value': '31, 33, 72, 55, 63, 77, 50, 64, 60, 99, 20, 75, 38, 52, 54, 56, 66, 68, 71, 78'}, {'id': 4967566479, 'qualifierId': 130, 'value': '8'}, {'id': 4967969901, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}];;;;cb7xe7uydyom3ldsllhg5wefo;Team set up;;;23745,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;;0;0;0;Austin II;0;;
2675905933;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-04-21T01:04:22.865Z;2024-04-21T03:38:03Z;[{'id': 4967969139, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 4967569797, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4967569789, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 4967569787, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, 4521gkm1oemvrfsgksz7b6zxm, 641bsr9un81t6sds51fhvijh0, elvrjpt1jlko4henaqvfid7o4, 7nxqbiq6fics5w3qnwhz249as, 22lsn0v0bw7fd9cu6mft0j1ii, 35ds2xu43z6jccyhlr8jsomzu, dcypf9mqtlcn5wetj1z7g3mui, 9yldym4386a2icfk6qb6i90r8, 6y4dhco5w4ontgfdtl1oj06xg'}, {'id': 4967569791, 'qualifierId': 59, 'value': '1, 2, 3, 6, 4, 5, 18, 30, 9, 10, 32, 8, 14, 17, 20, 25, 36'}, {'id': 4967569793, 'qualifierId': 130, 'value': '4'}, {'id': 4967569795, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 4967770801, 'qualifierId': 197, 'value': '23347'}];;;;cb7xe7uydyom3ldsllhg5wefo;Team set up;;;23347,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;The Town;0;;
2675943877;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-04-21T02:04:47.368Z;2024-04-21T02:04:47Z;[{'id': 4967771887, 'qualifierId': 127, 'value': 'Right to Left'}];;;;cb7xe7uydyom3ldsllhg5wefo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;;0;0;0;Austin II;0;;
2675943883;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-04-21T02:04:47.368Z;2024-04-21T02:04:50Z;[{'id': 4967771917, 'qualifierId': 127, 'value': 'Left to Right'}];;;;cb7xe7uydyom3ldsllhg5wefo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;The Town;0;;
2675943893;3;1;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;50,0;50,0;2024-04-21T02:04:47.369Z;2024-04-21T02:04:51Z;[{'id': 4967771979, 'qualifierId': 213, 'value': '3.13'}, {'id': 4967771977, 'qualifierId': 212, 'value': '26.4'}, {'id': 4967771981, 'qualifierId': 279, 'value': 'S'}, {'id': 4967771975, 'qualifierId': 141, 'value': '50.4'}, {'id': 4967771973, 'qualifierId': 140, 'value': '24.9'}, {'id': 4967771971, 'qualifierId': 56, 'value': 'Back'}];641bsr9un81t6sds51fhvijh0;B. Farkarlun;;cb7xe7uydyom3ldsllhg5wefo;Pass;;;;;;;;;;3,13;26,4;;50,4;24,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;24,9;50,4;;;;;;;;0;0;0;The Town;0;FWR;1,0
2675943943;4;1;1;0;3;d0c07im4a6oj8qa7f1zlt3pqs;1;24,9;50,4;2024-04-21T02:04:51.264Z;2024-04-21T04:06:04Z;[{'id': 4967772233, 'qualifierId': 212, 'value': '51.2'}, {'id': 4967772231, 'qualifierId': 141, 'value': '25.9'}, {'id': 4967772235, 'qualifierId': 213, 'value': '5.95'}, {'id': 4967772225, 'qualifierId': 157}, {'id': 4967772229, 'qualifierId': 140, 'value': '71.0'}, {'id': 4967772237, 'qualifierId': 1}, {'id': 4967772227, 'qualifierId': 56, 'value': 'Center'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;cb7xe7uydyom3ldsllhg5wefo;Pass;;;;;;;;;;5,95;51,2;;25,9;71,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;71,0;25,9;;;;;;;;0;0;3;The Town;3;GK;1,0
2675943947;5;44;1;0;7;d0c07im4a6oj8qa7f1zlt3pqs;1;72,0;27,4;2024-04-21T02:04:54.744Z;2024-04-21T02:04:57Z;[{'id': 4967772277, 'qualifierId': 233, 'value': '3'}, {'id': 4967772245, 'qualifierId': 56, 'value': 'Center'}, {'id': 4967772247, 'qualifierId': 286}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;cb7xe7uydyom3ldsllhg5wefo;Aerial;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;7;The Town;7;FW;1,0
2675943949;3;44;1;0;7;ew2zirzye0sw1txr2m33nr25y;0;28,0;72,6;2024-04-21T02:04:54.745Z;2024-04-21T02:04:57Z;[{'id': 4967772297, 'qualifierId': 233, 'value': '5'}, {'id': 4967772255, 'qualifierId': 285}, {'id': 4967772253, 'qualifierId': 56, 'value': 'Back'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;cb7xe7uydyom3ldsllhg5wefo;Aerial;;;;;;;;;;;;;;;;;;5,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;;0;0;7;Austin II;7;DC;1,0
2675943967;6;1;1;0;7;d0c07im4a6oj8qa7f1zlt3pqs;1;71,0;25,9;2024-04-21T02:04:54.903Z;2024-04-21T02:04:57Z;[{'id': 4967772315, 'qualifierId': 3}, {'id': 4967772321, 'qualifierId': 140, 'value': '97.3'}, {'id': 4967772323, 'qualifierId': 141, 'value': '24.9'}, {'id': 4967772325, 'qualifierId': 212, 'value': '27.6'}, {'id': 4967772327, 'qualifierId': 213, 'value': '6.26'}, {'id': 4967772317, 'qualifierId': 168}, {'id': 4967772319, 'qualifierId': 56, 'value': 'Center'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;cb7xe7uydyom3ldsllhg5wefo;Pass;;;;;;;;;;6,26;27,6;;24,9;97,3;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;97,3;24,9;;;;;;;;0;0;7;The Town;7;FW;1,0
2675943975;7;1;1;0;10;d0c07im4a6oj8qa7f1zlt3pqs;0;97,3;24,9;2024-04-21T02:04:57.623Z;2024-04-21T02:04:59Z;[{'id': 4967772383, 'qualifierId': 56, 'value': 'Center'}, {'id': 4967772385, 'qualifierId': 140, 'value': '91.3'}, {'id': 4967772387, 'qualifierId': 141, 'value': '43.6'}, {'id': 4967772379, 'qualifierId': 2}, {'id': 4967772391, 'qualifierId': 213, 'value': '2.03'}, {'id': 4967772389, 'qualifierId': 212, 'value': '14.2'}];elvrjpt1jlko4henaqvfid7o4;M. Burton;;cb7xe7uydyom3ldsllhg5wefo;Pass;;;;;;;;;;2,03;14,2;;43,6;91,3;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;91,3;43,6;;;;;;;;0;0;10;The Town;10;FWL;1,0
