id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_TeamFormation;value_JerseyNumber;value_Captain;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Length;value_PassEndY;value_Angle;value_PassEndX;value_Zone;value_Chipped;value_TouchTypeClearance;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_HeadPass;value_TakeOnSpace;value_Offensive;value_Defensive;value_LayOff;value_AttemptedTackle;value_Direct;value_Foul;value_GkXTimeOfGoal;value_LowCentre;value_GoalShotTimestamp;value_FantasyAssistType;value_FreeKick;value_GkX;value_GoalmouthZ;value_GoalShotGameClock;value_GkY;value_FantasyAssistTeam;value_GkYTimeOfGoal;value_RightFooted;value_KeeperTouched;value_OutOfBoxCentre;value_FantasyAssistId;value_FantasyAssistedBy;value_GoalmouthY;value_NotAssisted;value_Tap;value_IntendedTackleTarget;value_TouchTypeControl;value_DeletedEventType;value_LongBall;value_BlockedPass;value_Launch;value_FlickOn;value_LowRight;value_Blocked;value_BlockedY;value_BlockedX;value_DefBlock;value_Volley;value_BoxRight;value_SetPiece;value_FirstTouch;value_MediumGkIntervention;value_KeeperThrow;value_OverArm;value_LowGkIntervention;value_GkHoof;value_NextEventGoalKick;value_Low;value_GoalKick;value_Head;value_TakeOnOvertake;value_Overrun;value_OutOfPlay;value_SwitchOfPlay;value_TouchTypePass;value_OutSwinger;value_Cross;value_BlockedCross;value_Right;value_Left;value_CornerTaken;value_HighGkIntervention;value_GkKickFromHands;value_NotVisible;value_FreeKickTaken;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_PlayersCaughtOffside;value_Indirect;value_ShirtPull/Holding;value_TacticalFoul;value_Assist;value_Assisted;value_RegularPlay;value_IndividualPlay;value_Shove/Push;value_HighCentre;value_ParriedSafe;value_Diving;value_Hands;value_IntentionalAssist;value_FromCorner;value_BoxCentre;value_NotPastGoalLine;value_InSwinger;value_HighClaim;value_LeftFooted;value_BoxLeft;value_Collected;value_Standing;value_LowLeft;value_OwnPlayer;value_OwnShotBlocked;value_CloseHigh;value_CloseRight;value_High;value_BigChance;value_HighRight;value_Stooping;value_OtherBodyPart;value_CloseLeft;value_FloatedCross;value_Straight;value_Defensive1V1;value_LastLine;value_IncorrectOutOfPlayDecision;value_Minutes;value_EndType;value_SwerveLeft;value_ParriedDanger;value_MisHit;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_ThroughBall;value_1On1;value_2NdAssist;value_PullBack;value_2NdAssisted;value_2NdRelatedEventId;value_SmallBoxRight;value_InjuredPlayerId;value_Injury;value_Unchallenged;value_SixYardBlocked;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2680290689;404;1;2;46;19;7fbej4xwoq4imaf5l39304m37;0;59,2;71,3;2024-04-28T22:07:45.706Z;2024-04-28T22:07:46Z;[{'id': 4991245023, 'qualifierId': 212, 'value': '13.6'}, {'id': 4991245015, 'qualifierId': 3}, {'id': 4991245025, 'qualifierId': 213, 'value': '5.73'}, {'id': 4991245019, 'qualifierId': 140, 'value': '70.2'}, {'id': 4991245017, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991245021, 'qualifierId': 141, 'value': '60.7'}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;13,6;60,7;5,73;70,2;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;70,2;60,7;;;;;;;0;0;46;19;Minnesota United II;2779;DC;1,0
2680290751;442;1;2;46;20;1pc6sx2h4rp113ldkbp5d2xas;1;38,0;24,2;2024-04-28T22:07:46.418Z;2024-05-03T07:20:16Z;[{'id': 4991245391, 'qualifierId': 212, 'value': '7.2'}, {'id': 4991245387, 'qualifierId': 140, 'value': '44.9'}, {'id': 4991245383, 'qualifierId': 155}, {'id': 4991245385, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991245393, 'qualifierId': 213, 'value': '0.03'}, {'id': 4991245389, 'qualifierId': 141, 'value': '24.5'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;ciekf2plfm925xtlkrs32mluc;Pass;;;;;;;;;;;7,2;24,5;0,03;44,9;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;44,9;24,5;;;;;;;0;0;46;20;Sporting KC II;2780;AMC;1,0
2680290769;443;3;2;46;21;1pc6sx2h4rp113ldkbp5d2xas;0;42,0;25,8;2024-04-28T22:07:47.881Z;2024-05-03T07:20:21Z;[{'id': 4991245469, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991245471, 'qualifierId': 286}, {'id': 4991245649, 'qualifierId': 233, 'value': '405'}, {'id': 4998281503, 'qualifierId': 464}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;ciekf2plfm925xtlkrs32mluc;Take On;;;;;;;;;;;;;;;;;;;405,0;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;46;21;Sporting KC II;2781;FW;1,0
2680290759;405;7;2;46;21;7fbej4xwoq4imaf5l39304m37;0;58,0;74,2;2024-04-28T22:07:47.882Z;2024-05-03T07:20:23Z;[{'id': 4991245529, 'qualifierId': 233, 'value': '443'}, {'id': 4991245425, 'qualifierId': 285}, {'id': 4991245423, 'qualifierId': 56, 'value': 'Center'}, {'id': 4998281875, 'qualifierId': 385}];bhhdcubw5vyxzf0lc1fcfftka;D. Flores;;;ciekf2plfm925xtlkrs32mluc;Tackle;;;;;;;;;;;;;;;;;1,0;;443,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;46;21;Minnesota United II;2781;MC;1,0
2681581883;911;61;2;46;22;1pc6sx2h4rp113ldkbp5d2xas;1;47,2;32,3;2024-04-28T22:07:48.636Z;2024-05-03T07:20:19Z;[{'id': 4998282863, 'qualifierId': 56, 'value': 'Back'}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;ciekf2plfm925xtlkrs32mluc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;46;22;Sporting KC II;2782;FW;1,0
2680290771;406;3;2;46;23;7fbej4xwoq4imaf5l39304m37;0;57,0;77,4;2024-04-28T22:07:49.432Z;2024-05-03T07:20:28Z;[{'id': 4991245477, 'qualifierId': 56, 'value': 'Center'}, {'id': 4991249315, 'qualifierId': 286}, {'id': 4991252643, 'qualifierId': 233, 'value': '444'}, {'id': 4998283517, 'qualifierId': 464}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;ciekf2plfm925xtlkrs32mluc;Take On;;;;;;;;;;;;;;;;;;;444,0;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;46;23;Minnesota United II;2783;DC;1,0
2680290821;444;7;2;46;23;1pc6sx2h4rp113ldkbp5d2xas;1;43,0;22,6;2024-04-28T22:07:49.433Z;2024-05-03T07:20:36Z;[{'id': 4991245785, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991252585, 'qualifierId': 285}, {'id': 4998283735, 'qualifierId': 383}, {'id': 4991252601, 'qualifierId': 233, 'value': '406'}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;ciekf2plfm925xtlkrs32mluc;Tackle;;;;;;;;;;;;;;;;;;;406,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;46;23;Sporting KC II;2783;FW;1,0
2680290835;407;43;2;46;28;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-04-28T22:07:54.347Z;2024-04-28T22:07:58Z;[{'id': 4991245867, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991245869, 'qualifierId': 285, 'value': '0'}, {'id': 4991246027, 'qualifierId': 144, 'value': '7'}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;ciekf2plfm925xtlkrs32mluc;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;46;28;Minnesota United II;2788;AML;1,0
2680291013;445;61;2;46;28;1pc6sx2h4rp113ldkbp5d2xas;0;60,1;20,3;2024-04-28T22:07:55.003Z;2024-04-28T23:01:08Z;[{'id': 4991246893, 'qualifierId': 56, 'value': 'Right'}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;ciekf2plfm925xtlkrs32mluc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;46;28;Sporting KC II;2788;FW;1,0
2680290837;408;4;2;46;29;7fbej4xwoq4imaf5l39304m37;1;39,8;80,2;2024-04-28T22:07:56.218Z;2024-04-28T22:09:02Z;[{'id': 4991245885, 'qualifierId': 265}, {'id': 4991245883, 'qualifierId': 152}, {'id': 4991245879, 'qualifierId': 13}, {'id': 4991249965, 'qualifierId': 233, 'value': '446'}, {'id': 4991245881, 'qualifierId': 56, 'value': 'Back'}, {'id': 4991245887, 'qualifierId': 286}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;ciekf2plfm925xtlkrs32mluc;Foul;;;;;;;;;;;;;;;;;;;446,0;;;;1,0;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;0;0;46;29;Minnesota United II;2789;AML;1,0
