id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_Captain;value_Involved;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_Angle;value_KickOff;value_Length;value_Zone;value_PassEndY;value_Chipped;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_Direct;value_AttemptedTackle;value_Foul;value_Defensive;value_FreeKickTaken;value_SwitchOfPlay;value_Cross;value_HeadPass;value_FlickOn;value_IntendedTackleTarget;value_NextEventGoalKick;value_GoalKick;value_Low;value_BlockedPass;value_Launch;value_Shove/Push;value_DeletedEventType;value_PlayersCaughtOffside;value_OutOfPlay;value_LayOff;value_Head;value_KeeperThrow;value_OverArm;value_Left;value_Right;value_InSwinger;value_IntentionalAssist;value_CornerTaken;value_Assist;value_SmallBoxLeft;value_Blocked;value_SixYardBlocked;value_GoalmouthY;value_GoalmouthZ;value_BlockedX;value_GkX;value_LowLeft;value_FirstTouch;value_RelatedEventId;value_GkY;value_Assisted;value_FromCorner;value_BlockedY;value_DefBlock;value_NotAssisted;value_IndividualPlay;value_HighLeft;value_LeftFooted;value_OutOfBoxCentre;value_Overrun;value_RightFooted;value_CloseLeft;value_BoxLeft;value_RegularPlay;value_GoalShotTimestamp;value_GoalShotGameClock;value_LowCentre;value_BigChance;value_High;value_BoxCentre;value_SetPiece;value_SmallBoxCentre;value_KeeperTouched;value_Injury;value_InjuredPlayerId;value_Indirect;value_PullBack;value_Minutes;value_BlockedCross;value_GkHoof;value_EndType;value_HighClaim;value_ParriedSafe;value_Sliding;value_OtherBodyPart;value_Unchallenged;value_Dissent;value_YellowCard;value_LowRight;value_Hands;value_Diving;value_NotPastGoalLine;value_VideoCoverageLost;value_OverhitCross;value_FreeKick;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_CloseRight;value_35Centre;value_Volley;value_Standing;value_BoxRight;value_HighRight;value_SmallBoxRight;value_ShirtPull/Holding;value_TacticalFoul;value_PenaltyTakerId;value_NotVisible;value_Penalty;value_RecklessOffence;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistedBy;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Scored;value_BoxDeepLeft;value_Collected;value_HitWoodwork;value_HighCentre;value_HitBar;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2712114311;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-24T00:09:14.161Z;2024-08-24T01:02:03Z;[{'id': 5166093231, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5166093237, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166093233, 'qualifierId': 59, 'value': '51, 53, 72, 45, 44, 56, 42, 39, 47, 80, 57, 48, 40, 55, 90, 71, 75, 78'}, {'id': 5166204111, 'qualifierId': 197, 'value': '23380'}, {'id': 5166204109, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5166093229, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, f1oc42nax0yel4gblge49py7e, a9w6952jyw6x83gxp94zs8ro4, 8p3y7tm4lzwp39tojonnohaay, etyqw24tl6zko0qarctyv6ane, ew8oodr9hiuqve7xlz24xznfu, 28kg6zbpgbb8zrnhidogpxi0a, 7pegcq6kh8s6naujxky714ys4, 1p1ektnr3l7lj518cbs2dnmdw, 1ss7pdaxmlk0sijax5brwpkyy, 38z2cuwmbeanujqho9cqwozmy, 86piuxs9tep01rcbsp3t8vx90, 45nz5h9qtf9bnucuxuh3b4qhg, 9j4bb1s2mxtk3d4vmtvv081lg, eh27y0usldxsj6ouf3pkvbg9g, aa5n9va0fkquh5xqfdgbijvv8'}, {'id': 5166093239, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166093235, 'qualifierId': 130, 'value': '4'}];;;;;eu9y74g23043z4usj838iigic;Team set up;;;;23380,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Austin II;0;;
2712114947;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-08-24T00:11:05.387Z;2024-08-24T01:02:12Z;[{'id': 5166096857, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, 7u1lf62rqlgzban2dwy6c1rmc, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, elvrjpt1jlko4henaqvfid7o4, 641bsr9un81t6sds51fhvijh0, 3cbmr8hg3kszw5wl04p3ol27e, 4wgjayv8s85dueh5l88im6lwq, 4521gkm1oemvrfsgksz7b6zxm, 9yldym4386a2icfk6qb6i90r8, 7nxqbiq6fics5w3qnwhz249as, dcypf9mqtlcn5wetj1z7g3mui, 35ds2xu43z6jccyhlr8jsomzu, 53ufl7f1lbwnr7klx9ofxufbo, ec3xdenc4ncg4sc8ni4kkyln8, 4o2lk5bkmyxe8ji3lqjo69qtw'}, {'id': 5166096861, 'qualifierId': 59, 'value': '1, 2, 3, 6, 14, 5, 18, 30, 32, 10, 19, 11, 9, 25, 8, 20, 17, 7, 4, 77'}, {'id': 5166096867, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166096863, 'qualifierId': 130, 'value': '4'}, {'id': 5166096865, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5166096859, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5166204343, 'qualifierId': 197, 'value': '23351'}, {'id': 5166204341, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}];;;;;eu9y74g23043z4usj838iigic;Team set up;;;;23351,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2712134613;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-08-24T01:05:12.526Z;2024-08-24T01:05:12Z;[{'id': 5166208371, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eu9y74g23043z4usj838iigic;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2712134615;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-24T01:05:12.526Z;2024-08-24T01:05:15Z;[{'id': 5166208375, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eu9y74g23043z4usj838iigic;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Austin II;0;;
2712134621;3;1;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;49,8;50,3;2024-08-24T01:05:12.527Z;2024-08-24T01:05:16Z;[{'id': 5166208429, 'qualifierId': 140, 'value': '31.2'}, {'id': 5166208435, 'qualifierId': 213, 'value': '2.88'}, {'id': 5166208437, 'qualifierId': 279, 'value': 'S'}, {'id': 5166208433, 'qualifierId': 212, 'value': '20.2'}, {'id': 5166208427, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166208431, 'qualifierId': 141, 'value': '57.9'}];28kg6zbpgbb8zrnhidogpxi0a;A. Díaz;;;eu9y74g23043z4usj838iigic;Pass;;;;;;;;;;31,2;2,88;;20,2;;57,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;31,2;57,9;;;;;;;;0;0;0;Austin II;0;FW;1,0
2712134641;4;1;1;0;3;iiolvosiuokkrl5iuoxcjo4p;1;31,2;57,6;2024-08-24T01:05:16.151Z;2024-08-24T01:05:19Z;[{'id': 5166208573, 'qualifierId': 213, 'value': '4.67'}, {'id': 5166208569, 'qualifierId': 141, 'value': '30.7'}, {'id': 5166208571, 'qualifierId': 212, 'value': '18.3'}, {'id': 5166208567, 'qualifierId': 140, 'value': '30.4'}, {'id': 5166208565, 'qualifierId': 56, 'value': 'Back'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;;eu9y74g23043z4usj838iigic;Pass;;;;;;;;;;30,4;4,67;;18,3;;30,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;30,4;30,7;;;;;;;;0;0;3;Austin II;3;DC;1,0
2712134655;5;1;1;0;7;iiolvosiuokkrl5iuoxcjo4p;1;35,2;19,4;2024-08-24T01:05:19.527Z;2024-08-24T01:05:24Z;[{'id': 5166208673, 'qualifierId': 213, 'value': '1.04'}, {'id': 5166208671, 'qualifierId': 212, 'value': '22.2'}, {'id': 5166208667, 'qualifierId': 140, 'value': '46.0'}, {'id': 5166208669, 'qualifierId': 141, 'value': '47.5'}, {'id': 5166208665, 'qualifierId': 56, 'value': 'Back'}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;eu9y74g23043z4usj838iigic;Pass;;;;;;;;;;46,0;1,04;;22,2;;47,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;46,0;47,5;;;;;;;;0;0;7;Austin II;7;DL;1,0
2712134659;6;1;1;0;11;iiolvosiuokkrl5iuoxcjo4p;1;48,7;49,7;2024-08-24T01:05:24.503Z;2024-08-24T01:05:26Z;[{'id': 5166208705, 'qualifierId': 56, 'value': 'Center'}, {'id': 5166208711, 'qualifierId': 212, 'value': '16.0'}, {'id': 5166208709, 'qualifierId': 141, 'value': '40.1'}, {'id': 5166208713, 'qualifierId': 213, 'value': '5.86'}, {'id': 5166208707, 'qualifierId': 140, 'value': '62.6'}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;eu9y74g23043z4usj838iigic;Pass;;;;;;;;;;62,6;5,86;;16,0;;40,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;62,6;40,1;;;;;;;;0;0;11;Austin II;11;MC;1,0
2712134669;7;1;1;0;14;iiolvosiuokkrl5iuoxcjo4p;1;62,4;40,1;2024-08-24T01:05:26.807Z;2024-08-24T01:57:59Z;[{'id': 5166208763, 'qualifierId': 140, 'value': '37.3'}, {'id': 5166208767, 'qualifierId': 212, 'value': '28.3'}, {'id': 5166208761, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166208765, 'qualifierId': 141, 'value': '25.1'}, {'id': 5166208769, 'qualifierId': 213, 'value': '3.51'}];4wu5ystem7t4d7veep83j2qne;S. Flores;;;eu9y74g23043z4usj838iigic;Pass;;;;;;;;;;37,3;3,51;;28,3;;25,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;37,3;25,1;;;;;;;;0;0;14;Austin II;14;DR;1,0
2712134687;8;1;1;0;16;iiolvosiuokkrl5iuoxcjo4p;1;31,4;23,5;2024-08-24T01:05:29.430Z;2024-08-24T01:05:33Z;[{'id': 5166208879, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166208885, 'qualifierId': 212, 'value': '24.5'}, {'id': 5166208881, 'qualifierId': 140, 'value': '15.6'}, {'id': 5166208883, 'qualifierId': 141, 'value': '50.1'}, {'id': 5166208887, 'qualifierId': 213, 'value': '2.31'}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;eu9y74g23043z4usj838iigic;Pass;;;;;;;;;;15,6;2,31;;24,5;;50,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;15,6;50,1;;;;;;;;0;0;16;Austin II;16;DL;1,0
