id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_PlayerPosition;value_TeamKit;value_Resume;value_Captain;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_PassEndY;value_PassEndX;value_Zone;value_Length;value_Foul;value_Direct;value_Offensive;value_OppositeRelatedEventId;value_Shove/Push;value_Defensive;value_FreeKickTaken;value_Chipped;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_LongBall;value_ThroughBall;value_HighGkIntervention;value_SwitchOfPlay;value_TakeOnOvertake;value_OverhitCross;value_Cross;value_OutSwinger;value_RightFooted;value_NextEventGoalKick;value_Low;value_GoalKick;value_IntendedTackleTarget;value_TakeOnSpace;value_OutOfPlay;value_NotVisible;value_LayOff;value_BlockedPass;value_PlayersCaughtOffside;value_Indirect;value_HeadPass;value_TouchTypeClearance;value_AttemptedTackle;value_IncorrectOutOfPlayDecision;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_MediumGkIntervention;value_Launch;value_Assist;value_CloseLeft;value_GkX;value_GkY;value_RegularPlay;value_GoalmouthZ;value_GoalmouthY;value_IndividualPlay;value_OutOfBoxCentre;value_Assisted;value_High;value_Defensive1V1;value_YellowCard;value_TacticalFoul;value_NotAssisted;value_FreeKick;value_CloseRight;value_IntentionalAssist;value_PullBack;value_GkYTimeOfGoal;value_GoalShotGameClock;value_BigChance;value_FirstTouch;value_BoxCentre;value_GkXTimeOfGoal;value_HighRight;value_GoalShotTimestamp;value_KickOff;value_LowCentre;value_BlockedY;value_BoxRight;value_BlockedX;value_Hands;value_Collected;value_Standing;value_KeeperThrow;value_LowGkIntervention;value_ShirtPull/Holding;value_Left;value_TouchTypeControl;value_FlickOn;value_LeftFooted;value_Head;value_DrivenCross;value_Straight;value_FloatedCross;value_Volley;value_Stooping;value_HighClaim;value_LowLeft;value_Diving;value_BlockedCross;value_LeadingToGoal;value_RelatedError1Id;value_Deflection;value_ParriedDanger;value_FollowsShotRebound;value_GoalDisallowed;value_SmallBoxCentre;value_Blocked;value_DefBlock;value_SetPiece;value_Right;value_CornerTaken;value_InSwinger;value_SmallBoxRight;value_Minutes;value_BoxLeft;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_LeadingToAttempt;value_LowRight;value_Feet;value_ParriedSafe;value_Dissent;value_Penalty;value_PenaltyTakerId;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_HitWoodwork;value_Unchallenged;value_KeeperSaved;value_NotPastGoalLine;value_FromShotOffTarget;value_SwerveLeft;value_FromCorner;value_FairPlay;value_HighCentre;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistTeam;value_Scored;value_Obstruction;value_Overrun;value_Handball;value_OverArm;value_Reaching;value_GoesToPenalties;value_Saved;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2688579219;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-05-18T00:14:44.058Z;2024-05-22T07:50:00Z;[{'id': 5036402301, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5036402293, 'qualifierId': 30, 'value': 'dcypf9mqtlcn5wetj1z7g3mui, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, 4521gkm1oemvrfsgksz7b6zxm, 641bsr9un81t6sds51fhvijh0, elvrjpt1jlko4henaqvfid7o4, 81a5mbcfvbxke0w3cbq65ld2i, 7nxqbiq6fics5w3qnwhz249as, 35ds2xu43z6jccyhlr8jsomzu, 9yldym4386a2icfk6qb6i90r8, 3dtt0czm41hnuw8mvyn14ys4, 5rusq0uqak1y920vdwpg2f190, 6y4dhco5w4ontgfdtl1oj06xg'}, {'id': 5036402299, 'qualifierId': 130, 'value': '4'}, {'id': 5036402295, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5036447723, 'qualifierId': 197, 'value': '23351'}, {'id': 5036402303, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5036469997, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 5036402297, 'qualifierId': 59, 'value': '20, 2, 3, 6, 4, 5, 18, 30, 9, 10, 32, 1, 8, 17, 25, 33, 35, 36'}];;;;;cuxzuvwotldz8kmzgfwac03kk;Team set up;;;4,0;;23351,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2688579243;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-05-18T00:14:48.544Z;2024-05-18T01:13:41Z;[{'id': 5036402395, 'qualifierId': 30, 'value': '8xpddjq19wzsf3mdlnjdx6e7e, aifybz5snfmoiwlq6qpweitxw, 5n0su1a4r7kb7it3ghxbhrf56, 1pm343qga3zwdbrjngpeqhtnu, 1wa60ccrpw2zqguj4ayeeacyc, 4cfvnypovkt900sfxmdhvxtec, c7luarkv7hwdspd9xhidhisk4, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, 32t6g252ti1peycjite40qiy2, 3tkdn8arq1j3il4ako7rcio2y, bhhdcubw5vyxzf0lc1fcfftka, 1yohdc0hkzkom8hlhw3rjfn8q, a8ngovgs2qfu5udzb97kelg16, i15xuf6lug0m5twd06n2pus4, da8l0zjb57m23t0nsz9e3j40k, 2gawx03wls5vwtlocjir3u7vu, 3f52lf1p2xmtzysfi8n18m044, hranx8amv6zdzmvzda4to0lw, vhjelesjaxtgjcgfv7yxp2lm'}, {'id': 5036402399, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5036402401, 'qualifierId': 59, 'value': '36, 87, 35, 80, 74, 28, 52, 47, 99, 70, 38, 31, 33, 39, 67, 81, 90, 91, 96, 98'}, {'id': 5036402407, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5036402405, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5036402403, 'qualifierId': 130, 'value': '4'}, {'id': 5036461873, 'qualifierId': 194, 'value': '1pm343qga3zwdbrjngpeqhtnu'}, {'id': 5036462025, 'qualifierId': 197, 'value': '12783'}];;;;;cuxzuvwotldz8kmzgfwac03kk;Team set up;;;4,0;;12783,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Austin II;0;;
2688587395;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-05-18T01:03:55.297Z;2024-05-18T01:04:30Z;[{'id': 5036447889, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cuxzuvwotldz8kmzgfwac03kk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Austin II;0;;
2688587389;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-05-18T01:03:55.297Z;2024-05-22T07:52:05Z;[{'id': 5036447863, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cuxzuvwotldz8kmzgfwac03kk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2688588455;69;1;1;0;1;d0c07im4a6oj8qa7f1zlt3pqs;1;49,8;49,9;2024-05-18T01:03:56.342Z;2024-05-18T01:09:35Z;[{'id': 5036455105, 'qualifierId': 213, 'value': '3.24'}, {'id': 5036455101, 'qualifierId': 141, 'value': '47.6'}, {'id': 5036455099, 'qualifierId': 140, 'value': '35.1'}, {'id': 5036455097, 'qualifierId': 56, 'value': 'Back'}, {'id': 5036455103, 'qualifierId': 212, 'value': '15.5'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;cuxzuvwotldz8kmzgfwac03kk;Pass;;;;;;;;;;3,24;47,6;35,1;;15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;35,1;47,6;;;;;;;;0;0;1;Sporting KC II;1;FW;1,0
2688589871;134;1;1;0;2;d0c07im4a6oj8qa7f1zlt3pqs;1;33,6;54,2;2024-05-18T01:03:57.734Z;2024-05-18T01:15:52Z;[{'id': 5036464989, 'qualifierId': 141, 'value': '51.1'}, {'id': 5036464985, 'qualifierId': 56, 'value': 'Back'}, {'id': 5036464993, 'qualifierId': 213, 'value': '6.12'}, {'id': 5036464987, 'qualifierId': 140, 'value': '46.0'}, {'id': 5036464991, 'qualifierId': 212, 'value': '13.2'}];2yxzh220ndd4s4wqditruo0h6;A. Ramírez;;;cuxzuvwotldz8kmzgfwac03kk;Pass;;;;;;;;;;6,12;51,1;46,0;;13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;46,0;51,1;;;;;;;;0;0;2;Sporting KC II;2;MC;1,0
2688589873;135;1;1;0;3;d0c07im4a6oj8qa7f1zlt3pqs;0;48,9;51,1;2024-05-18T01:03:58.893Z;2024-05-22T07:55:53Z;[{'id': 5036465145, 'qualifierId': 213, 'value': '2.74'}, {'id': 5036465137, 'qualifierId': 56, 'value': 'Back'}, {'id': 5036465139, 'qualifierId': 140, 'value': '45.4'}, {'id': 5036465141, 'qualifierId': 141, 'value': '53.4'}, {'id': 5036465143, 'qualifierId': 212, 'value': '4.0'}];4521gkm1oemvrfsgksz7b6zxm;S. Pineau;;;cuxzuvwotldz8kmzgfwac03kk;Pass;;;;;;;;;;2,74;53,4;45,4;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;45,4;53,4;;;;;;;;0;0;3;Sporting KC II;3;FW;1,0
2688587469;3;1;1;0;4;7fbej4xwoq4imaf5l39304m37;1;53,3;41,7;2024-05-18T01:03:59.342Z;2024-05-22T07:56:47Z;[{'id': 5036465049, 'qualifierId': 141, 'value': '58.9'}, {'id': 5036465051, 'qualifierId': 212, 'value': '14.8'}, {'id': 5036465053, 'qualifierId': 213, 'value': '0.91'}, {'id': 5036450275, 'qualifierId': 56, 'value': 'Center'}, {'id': 5036465047, 'qualifierId': 140, 'value': '62.0'}];c7luarkv7hwdspd9xhidhisk4;C. Tschantret;;;cuxzuvwotldz8kmzgfwac03kk;Pass;;;;;;;;;;0,91;58,9;62,0;;14,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;62,0;58,9;;;;;;;;0;0;4;Austin II;4;MC;1,0
2688587471;4;49;1;0;5;7fbej4xwoq4imaf5l39304m37;1;62,1;56,2;2024-05-18T01:04:00.511Z;2024-05-22T07:56:50Z;[];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;cuxzuvwotldz8kmzgfwac03kk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;5;Austin II;5;MC;1,0
2688587473;5;4;1;0;9;7fbej4xwoq4imaf5l39304m37;1;60,2;40,5;2024-05-18T01:04:04.656Z;2024-05-22T07:57:00Z;[{'id': 5036453711, 'qualifierId': 13}, {'id': 5036453715, 'qualifierId': 152}, {'id': 5036453719, 'qualifierId': 286}, {'id': 5036466483, 'qualifierId': 233, 'value': '136'}, {'id': 5036453713, 'qualifierId': 56, 'value': 'Center'}, {'id': 5036631199, 'qualifierId': 294}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;cuxzuvwotldz8kmzgfwac03kk;Foul;;;;;;;;;;;;;;;1,0;1,0;1,0;136,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;9;Austin II;9;MC;1,0
