id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_PassEndY;value_PassEndX;value_Zone;value_KickOff;value_Angle;value_IntendedTackleTarget;value_OppositeRelatedEventId;value_TouchTypeControl;value_Offensive;value_BlockedPass;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_RegularPlay;value_IntentionalAssist;value_Assist;value_LongBall;value_Chipped;value_LeadingToGoal;value_GoalShotGameClock;value_SmallBoxCentre;value_BigChance;value_LowCentre;value_GoalmouthZ;value_RelatedError1Id;value_RelatedEventId;value_GkYTimeOfGoal;value_GkY;value_LeftFooted;value_GoalmouthY;value_Assisted;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkX;value_NextEventGoalKick;value_Low;value_GoalKick;value_Head;value_TouchTypePass;value_TakeOnSpace;value_TouchTypeClearance;value_OutOfPlay;value_PlayersCaughtOffside;value_DeletedEventType;value_Indirect;value_FreeKickTaken;value_Defensive1V1;value_TakeOnOvertake;value_Foul;value_Direct;value_AttemptedTackle;value_InSwinger;value_Cross;value_HeadPass;value_Launch;value_FreeKick;value_NotAssisted;value_SwerveRight;value_CloseLeft;value_OutOfBoxCentre;value_LayOff;value_PullBack;value_OutSwinger;value_BoxCentre;value_FirstTouch;value_Blocked;value_BlockedY;value_RightFooted;value_Volley;value_BlockedX;value_DefBlock;value_Right;value_Left;value_CornerTaken;value_HighLeft;value_SwerveLeft;value_LowRight;value_Deflection;value_KeeperTouched;value_HighRight;value_FastBreak;value_IndividualPlay;value_HighCentre;value_Diving;value_ParriedSafe;value_MediumGkIntervention;value_Hands;value_Handball;value_SetPiece;value_SwitchOfPlay;value_LowGkIntervention;value_KeeperThrow;value_YellowCard;value_RecklessOffence;value_HighClaim;value_HighGkIntervention;value_ThroughBall;value_MisHit;value_SixYardBlocked;value_LowLeft;value_SavedOffLine;value_LastLine;value_Shove/Push;value_BoxLeft;value_Weak;value_Collected;value_GkKickFromHands;value_NotVisible;value_Minutes;value_ByWall;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Dissent;value_Standing;value_TempShotOn;value_ShirtPull/Holding;value_TacticalFoul;value_SoloRun;value_InjuredPlayerId;value_Injury;value_AerialFoul;value_CloseRight;value_High;value_TimeWasting;value_Overrun;value_BlockedClearance;value_DangerousPlay;value_OtherReason;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2719584591;215;5;1;25;14;4g68p0t2f5jzhzfr67i2rj1ex;0;63,1;-1,5;2024-09-13T23:29:22.726Z;2024-09-13T23:42:32Z;[{'id': 5207102999, 'qualifierId': 233, 'value': '229'}, {'id': 5207090471, 'qualifierId': 56, 'value': 'Right'}, {'id': 5207090473, 'qualifierId': 347}];8u0efvao8rym6mdx0tl0h0qac;A. Jarvis;;;3g760yb6h2jgtosgk0iz5xxw;Out;;;;;;;;;;;;;;;;;229,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;25;14;Chicago Fire II;1514;MC;1,0
2719584585;229;5;1;25;14;8o8m08he36u0j4w08aj2iodn8;1;36,9;101,5;2024-09-13T23:29:22.726Z;2024-09-13T23:42:32Z;[{'id': 5207090433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207090435, 'qualifierId': 347}, {'id': 5207102983, 'qualifierId': 233, 'value': '215'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;3g760yb6h2jgtosgk0iz5xxw;Out;;;;;;;;;;;;;;;;;215,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;25;14;New York RB II;1514;MC;1,0
2719584613;230;1;1;25;22;8o8m08he36u0j4w08aj2iodn8;1;41,0;100,0;2024-09-13T23:29:30.789Z;2024-09-13T23:36:36Z;[{'id': 5207090639, 'qualifierId': 141, 'value': '84.8'}, {'id': 5207102947, 'qualifierId': 107}, {'id': 5207090635, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207090641, 'qualifierId': 212, 'value': '11.9'}, {'id': 5207090643, 'qualifierId': 213, 'value': '4.88'}, {'id': 5207090637, 'qualifierId': 140, 'value': '42.9'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;11,9;84,8;42,9;;;4,88;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;42,9;84,8;;;;;;;0;0;25;22;New York RB II;1522;DL;1,0
2719584615;231;50;1;25;24;8o8m08he36u0j4w08aj2iodn8;1;42,1;84,5;2024-09-13T23:29:32.852Z;2024-09-13T23:36:12Z;[{'id': 5207090649, 'qualifierId': 56, 'value': 'Back'}, {'id': 5207090651, 'qualifierId': 286}, {'id': 5207090689, 'qualifierId': 233, 'value': '216'}];4ycsifqidpgttuanylwsyts7o;C. Nagle;;;3g760yb6h2jgtosgk0iz5xxw;Dispossessed;;;;;;;;;;;;;;;;;216,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;25;24;New York RB II;1524;MC;1,0
2719584621;216;7;1;25;24;4g68p0t2f5jzhzfr67i2rj1ex;1;57,9;15,5;2024-09-13T23:29:32.853Z;2024-09-17T09:56:14Z;[{'id': 5207090679, 'qualifierId': 285}, {'id': 5207090685, 'qualifierId': 233, 'value': '231'}, {'id': 5218922931, 'qualifierId': 384}, {'id': 5207090677, 'qualifierId': 56, 'value': 'Right'}];8u0efvao8rym6mdx0tl0h0qac;A. Jarvis;;;3g760yb6h2jgtosgk0iz5xxw;Tackle;;;;;;;;;;;;;;;;;231,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;25;24;Chicago Fire II;1524;MC;1,0
2719584625;217;49;1;25;26;4g68p0t2f5jzhzfr67i2rj1ex;1;66,5;13,3;2024-09-13T23:29:34.471Z;2024-09-13T23:29:34Z;[];65g50zt5gbo1lnrbc7uvwsbo4;T. Rosborough;;;3g760yb6h2jgtosgk0iz5xxw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;25;26;Chicago Fire II;1526;FW;1,0
2719584639;218;1;1;25;27;4g68p0t2f5jzhzfr67i2rj1ex;1;66,5;13,3;2024-09-13T23:29:34.917Z;2024-09-13T23:29:41Z;[{'id': 5207090807, 'qualifierId': 213, 'value': '1.16'}, {'id': 5207090799, 'qualifierId': 56, 'value': 'Center'}, {'id': 5207090805, 'qualifierId': 212, 'value': '16.3'}, {'id': 5207090803, 'qualifierId': 141, 'value': '35.2'}, {'id': 5207090801, 'qualifierId': 140, 'value': '72.7'}];65g50zt5gbo1lnrbc7uvwsbo4;T. Rosborough;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;16,3;35,2;72,7;;;1,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;72,7;35,2;;;;;;;0;0;25;27;Chicago Fire II;1527;FW;1,0
2719584645;219;1;1;25;33;4g68p0t2f5jzhzfr67i2rj1ex;1;75,0;47,3;2024-09-13T23:29:41.623Z;2024-09-13T23:29:43Z;[{'id': 5207090841, 'qualifierId': 213, 'value': '4.26'}, {'id': 5207090835, 'qualifierId': 140, 'value': '73.3'}, {'id': 5207090837, 'qualifierId': 141, 'value': '41.9'}, {'id': 5207090839, 'qualifierId': 212, 'value': '4.1'}, {'id': 5207090833, 'qualifierId': 56, 'value': 'Center'}];es0bxxdxf6bco25evmg19ic4;M. Sofo;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;4,1;41,9;73,3;;;4,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;73,3;41,9;;;;;;;0;0;25;33;Chicago Fire II;1533;FW;1,0
2719584663;220;1;1;25;35;4g68p0t2f5jzhzfr67i2rj1ex;0;75,1;39,1;2024-09-13T23:29:43.350Z;2024-09-13T23:29:46Z;[{'id': 5207090957, 'qualifierId': 140, 'value': '100.0'}, {'id': 5207090955, 'qualifierId': 56, 'value': 'Right'}, {'id': 5207090963, 'qualifierId': 213, 'value': '5.79'}, {'id': 5207090961, 'qualifierId': 212, 'value': '30.6'}, {'id': 5207090959, 'qualifierId': 141, 'value': '17.6'}];8u0efvao8rym6mdx0tl0h0qac;A. Jarvis;;;3g760yb6h2jgtosgk0iz5xxw;Pass;;;;;;;;;;30,6;17,6;100,0;;;5,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;100,0;17,6;;;;;;;0;0;25;35;Chicago Fire II;1535;MC;1,0
2719584665;221;5;1;25;38;4g68p0t2f5jzhzfr67i2rj1ex;0;100,8;20,8;2024-09-13T23:29:46.182Z;2024-09-13T23:42:32Z;[{'id': 5207091405, 'qualifierId': 233, 'value': '232'}, {'id': 5207090965, 'qualifierId': 56, 'value': 'Right'}, {'id': 5207090967, 'qualifierId': 346}];8u0efvao8rym6mdx0tl0h0qac;A. Jarvis;;;3g760yb6h2jgtosgk0iz5xxw;Out;;;;;;;;;;;;;;;;;232,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;25;38;Chicago Fire II;1538;MC;1,0
