id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_PlayerPosition;value_Captain;value_Involved;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Angle;value_Length;value_PassEndX;value_KickOff;value_LongBall;value_Chipped;value_TouchTypeControl;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Foul;value_Shove/Push;value_Direct;value_Defensive;value_FreeKickTaken;value_Right;value_Left;value_CornerTaken;value_NextEventGoalKick;value_GoalKick;value_Low;value_Cross;value_OutSwinger;value_RightFooted;value_Assist;value_HeadPass;value_HighRight;value_Assisted;value_GkY;value_GkX;value_BoxLeft;value_GoalmouthZ;value_FirstTouch;value_GoalmouthY;value_RegularPlay;value_RelatedEventId;value_NotVisible;value_SwitchOfPlay;value_TouchTypeClearance;value_Launch;value_AttemptedTackle;value_TouchTypePass;value_DeletedEventType;value_TakeOnOvertake;value_IndividualPlay;value_BlockedX;value_BlockedY;value_LowRight;value_Deflection;value_LeftFooted;value_ParriedDanger;value_Hands;value_MediumGkIntervention;value_Diving;value_Head;value_BoxCentre;value_NotAssisted;value_BigChance;value_NotPastGoalLine;value_BlockedClearance;value_IntendedTackleTarget;value_BlockedPass;value_IntentionalAssist;value_FromCorner;value_SwerveRight;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_DrivenCross;value_Straight;value_TakeOnSpace;value_ShirtPull/Holding;value_InSwinger;value_OutOfPlay;value_LowCentre;value_OwnPlayer;value_Blocked;value_Volley;value_SmallBoxCentre;value_GoalShotTimestamp;value_HighCentre;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_DefBlock;value_YellowCard;value_RecklessOffence;value_InjuredPlayerId;value_Injury;value_LowGkIntervention;value_KeeperThrow;value_FlickOn;value_SetPiece;value_SmallBoxRight;value_LowLeft;value_DrinksBreak;value_RefereeDelay;value_LeadingToGoal;value_1On1;value_SoloRun;value_OutOfBoxCentre;value_RedCard;value_ProfessionalFoulLastMan;value_FreeKick;value_ParriedSafe;value_Minutes;value_ThroughBall;value_CloseRight;value_High;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_VideoCoverageLost;value_35Right;value_TempBlocked;value_SmallBoxLeft;value_Collected;value_OverArm;value_Strong;value_OutOfBoxDeepRight;value_BoxDeepRight;value_Penalty;value_PenaltyTakerId;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_MisHit;value_Standing;value_TacticalFoul;value_Review;value_BoxRight;value_Stooping;value_FollowsADribble;value_KeeperTouched;value_Dissent;value_CoachId;value_SixYardBlocked;value_Argument;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2729700627;689;44;2;66;29;c7c4wwva2u1vb3rr7rwava044;1;64,7;13,0;2024-09-29T20:31:39.734Z;2024-10-03T12:45:24Z;[{'id': 5262342027, 'qualifierId': 56, 'value': 'Right'}, {'id': 5262402755, 'qualifierId': 233, 'value': '771'}, {'id': 5262342031, 'qualifierId': 286}];4kng7wg83mastngy9hw7j6v6y;N. Sessock;;;f9aqsednqk6r7zywxlg6qyac;Aerial;;;;;;;;;;;;;;;;;;;771,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;66;29;Crown Legacy;3989;DR;1,0
2729700631;771;44;2;66;29;6ubc4y1v6hr63mca7ica4hp90;0;35,3;87,0;2024-09-29T20:31:39.735Z;2024-10-03T12:14:58Z;[{'id': 5262342053, 'qualifierId': 233, 'value': '689'}, {'id': 5262342047, 'qualifierId': 56, 'value': 'Back'}, {'id': 5262342051, 'qualifierId': 285}];9ohy24mxhsqao5kymh0lbxxck;N. Berchimas;;;f9aqsednqk6r7zywxlg6qyac;Aerial;;;;;;;;;;;;;;;;;;;689,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;66;29;Inter Miami II;3989;FWL;1,0
2728427127;500;1;2;66;30;c7c4wwva2u1vb3rr7rwava044;1;65,9;16,3;2024-09-29T20:31:40.233Z;2024-09-29T20:31:42Z;[{'id': 5255356589, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255356593, 'qualifierId': 141, 'value': '23.9'}, {'id': 5255356597, 'qualifierId': 213, 'value': '0.88'}, {'id': 5255356595, 'qualifierId': 212, 'value': '6.7'}, {'id': 5255356587, 'qualifierId': 3}, {'id': 5255356591, 'qualifierId': 140, 'value': '70.0'}];4kng7wg83mastngy9hw7j6v6y;N. Sessock;;;f9aqsednqk6r7zywxlg6qyac;Pass;;;;;;;;;;23,9;;0,88;6,7;70,0;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;70,0;23,9;;;;;;;;0;66;30;Crown Legacy;3990;DR;1,0
2728427129;501;49;2;66;32;c7c4wwva2u1vb3rr7rwava044;1;70,0;23,9;2024-09-29T20:31:42.015Z;2024-09-29T20:31:42Z;[];55y26r9mz105vrqmnq739l62;D. Reyes;;;f9aqsednqk6r7zywxlg6qyac;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;66;32;Crown Legacy;3992;Sub;1,0
2728427165;502;1;2;66;33;c7c4wwva2u1vb3rr7rwava044;1;70,0;23,9;2024-09-29T20:31:43.176Z;2024-09-29T20:31:45Z;[{'id': 5255356861, 'qualifierId': 212, 'value': '10.5'}, {'id': 5255356851, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255356863, 'qualifierId': 213, 'value': '1.35'}, {'id': 5255356859, 'qualifierId': 141, 'value': '38.9'}, {'id': 5255356855, 'qualifierId': 140, 'value': '72.2'}];55y26r9mz105vrqmnq739l62;D. Reyes;;;f9aqsednqk6r7zywxlg6qyac;Pass;;;;;;;;;;38,9;;1,35;10,5;72,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;72,2;38,9;;;;;;;;0;66;33;Crown Legacy;3993;Sub;1,0
2728427171;503;1;2;66;34;c7c4wwva2u1vb3rr7rwava044;0;72,2;38,9;2024-09-29T20:31:44.176Z;2024-09-29T20:31:49Z;[{'id': 5255356907, 'qualifierId': 141, 'value': '35.5'}, {'id': 5255356909, 'qualifierId': 212, 'value': '6.8'}, {'id': 5255356905, 'qualifierId': 140, 'value': '78.3'}, {'id': 5255356903, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255356911, 'qualifierId': 213, 'value': '5.94'}];97q9pw2flp2acjx03za1yr7ro;M. Saja;;;f9aqsednqk6r7zywxlg6qyac;Pass;;;;;;;;;;35,5;;5,94;6,8;78,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;78,3;35,5;;;;;;;;0;66;34;Crown Legacy;3994;Sub;1,0
2728427159;518;49;2;66;35;6ubc4y1v6hr63mca7ica4hp90;1;22,5;61,8;2024-09-29T20:31:45.088Z;2024-09-29T20:31:45Z;[];dkgv1asv2glgvoddpvxe56t5g;João Pedro;;;f9aqsednqk6r7zywxlg6qyac;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;66;35;Inter Miami II;3995;DC;1,0
2728427293;519;1;2;66;36;6ubc4y1v6hr63mca7ica4hp90;1;24,7;63,8;2024-09-29T20:31:45.912Z;2024-09-29T20:31:54Z;[{'id': 5255357611, 'qualifierId': 212, 'value': '22.7'}, {'id': 5255357607, 'qualifierId': 140, 'value': '41.3'}, {'id': 5255357613, 'qualifierId': 213, 'value': '0.69'}, {'id': 5255357609, 'qualifierId': 141, 'value': '85.1'}, {'id': 5255357605, 'qualifierId': 56, 'value': 'Back'}];dkgv1asv2glgvoddpvxe56t5g;João Pedro;;;f9aqsednqk6r7zywxlg6qyac;Pass;;;;;;;;;;85,1;;0,69;22,7;41,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;41,3;85,1;;;;;;;;0;66;36;Inter Miami II;3996;DC;1,0
2728427319;520;1;2;66;44;6ubc4y1v6hr63mca7ica4hp90;1;64,0;73,1;2024-09-29T20:31:54.296Z;2024-09-29T20:31:55Z;[{'id': 5255357791, 'qualifierId': 212, 'value': '8.3'}, {'id': 5255357785, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255357793, 'qualifierId': 213, 'value': '5.01'}, {'id': 5255357787, 'qualifierId': 140, 'value': '66.3'}, {'id': 5255357789, 'qualifierId': 141, 'value': '61.4'}];9ohy24mxhsqao5kymh0lbxxck;N. Berchimas;;;f9aqsednqk6r7zywxlg6qyac;Pass;;;;;;;;;;61,4;;5,01;8,3;66,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;66,3;61,4;;;;;;;;0;66;44;Inter Miami II;4004;FWL;1,0
2728427347;521;1;2;66;45;6ubc4y1v6hr63mca7ica4hp90;1;67,5;60,6;2024-09-29T20:31:55.744Z;2024-09-29T20:31:57Z;[{'id': 5255357931, 'qualifierId': 140, 'value': '62.6'}, {'id': 5255357935, 'qualifierId': 212, 'value': '6.9'}, {'id': 5255357937, 'qualifierId': 213, 'value': '3.87'}, {'id': 5255357929, 'qualifierId': 56, 'value': 'Center'}, {'id': 5255357933, 'qualifierId': 141, 'value': '53.9'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;f9aqsednqk6r7zywxlg6qyac;Pass;;;;;;;;;;53,9;;3,87;6,9;62,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;62,6;53,9;;;;;;;;0;66;45;Inter Miami II;4005;Sub;1,0
