id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_Captain;value_TeamKit;value_Resume;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_DeletedEventType;value_PassEndX;value_Zone;value_PassEndY;value_Angle;value_KickOff;value_Length;value_Launch;value_LongBall;value_BlockedPass;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_IntendedTackleTarget;value_SwitchOfPlay;value_Cross;value_Head;value_FlickOn;value_PullBack;value_HighClaim;value_KeeperThrow;value_NotVisible;value_Assist;value_OutOfBoxCentre;value_LowRight;value_GoalmouthZ;value_LeftFooted;value_GoalmouthY;value_RegularPlay;value_BlockedX;value_BlockedY;value_Assisted;value_RelatedEventId;value_IndividualPlay;value_Hands;value_Stooping;value_Collected;value_PlayersCaughtOffside;value_Handball;value_Indirect;value_NextEventGoalKick;value_Low;value_GoalKick;value_GkX;value_RightFooted;value_Blocked;value_LowLeft;value_GkY;value_DefBlock;value_Injury;value_InjuredPlayerId;value_Penalty;value_PenaltyTakerId;value_Diving;value_Right;value_Scored;value_FantasyAssistTeam;value_GoalShotTimestamp;value_FantasyAssistId;value_NotAssisted;value_BigChance;value_FantasyAssistedBy;value_FantasyAssistType;value_BoxCentre;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotGameClock;value_RefereeDelay;value_DrinksBreak;value_OverArm;value_ShirtPull/Holding;value_Standing;value_BallHitsReferee;value_Minutes;value_YellowCard;value_RecklessOffence;value_IncorrectOutOfPlayDecision;value_Left;value_IntentionalAssist;value_CornerTaken;value_InSwinger;value_High;value_SmallBoxCentre;value_FromCorner;value_FirstTouch;value_Shove/Push;value_EndType;value_BlockedClearance;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_LowCentre;value_LayOff;value_OutSwinger;value_BlockedCross;value_TacticalFoul;value_PersistentInfringement;value_Unchallenged;value_BoxLeft;value_FastBreak;value_SwerveLeft;value_HighRight;value_SwerveRight;value_FreeKick;value_LeadingToGoal;value_KeeperTouched;value_RelatedError1Id;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724864159;680;1;2;72;58;iiolvosiuokkrl5iuoxcjo4p;1;31,3;72,5;2024-09-22T23:40:28.519Z;2024-09-22T23:40:33Z;[{'id': 5235802801, 'qualifierId': 140, 'value': '45.2'}, {'id': 5235802807, 'qualifierId': 213, 'value': '0.08'}, {'id': 5235802803, 'qualifierId': 141, 'value': '74.2'}, {'id': 5235802805, 'qualifierId': 212, 'value': '14.6'}, {'id': 5235802799, 'qualifierId': 56, 'value': 'Back'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;45,2;;74,2;0,08;;14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;45,2;74,2;;;;;;;;0;72;58;Houston Dynamo II;4378;DC;1,0
2724864167;681;1;2;73;3;iiolvosiuokkrl5iuoxcjo4p;1;44,2;71,7;2024-09-22T23:40:32.871Z;2024-09-22T23:40:34Z;[{'id': 5235802827, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235802831, 'qualifierId': 141, 'value': '59.6'}, {'id': 5235802835, 'qualifierId': 213, 'value': '4.89'}, {'id': 5235802833, 'qualifierId': 212, 'value': '8.4'}, {'id': 5235802829, 'qualifierId': 140, 'value': '45.6'}];38z2cuwmbeanujqho9cqwozmy;R. Aguirre;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;45,6;;59,6;4,89;;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;45,6;59,6;;;;;;;;0;73;3;Houston Dynamo II;4383;MC;1,0
2724864173;682;1;2;73;4;iiolvosiuokkrl5iuoxcjo4p;1;45,8;59,7;2024-09-22T23:40:33.976Z;2024-09-22T23:40:34Z;[{'id': 5235802857, 'qualifierId': 140, 'value': '43.8'}, {'id': 5235802861, 'qualifierId': 212, 'value': '5.1'}, {'id': 5235802855, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235802863, 'qualifierId': 213, 'value': '1.99'}, {'id': 5235802859, 'qualifierId': 141, 'value': '66.6'}];etyqw24tl6zko0qarctyv6ane;R. Peña;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;43,8;;66,6;1,99;;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;43,8;66,6;;;;;;;;0;73;4;Houston Dynamo II;4384;Sub;1,0
2724864227;683;1;2;73;5;iiolvosiuokkrl5iuoxcjo4p;1;43,8;66,6;2024-09-22T23:40:34.664Z;2024-09-22T23:40:37Z;[{'id': 5235803149, 'qualifierId': 141, 'value': '43.3'}, {'id': 5235803151, 'qualifierId': 212, 'value': '18.0'}, {'id': 5235803153, 'qualifierId': 213, 'value': '4.21'}, {'id': 5235803145, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235803147, 'qualifierId': 140, 'value': '35.6'}];38z2cuwmbeanujqho9cqwozmy;R. Aguirre;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;35,6;;43,3;4,21;;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;35,6;43,3;;;;;;;;0;73;5;Houston Dynamo II;4385;MC;1,0
2724864263;684;1;2;73;8;iiolvosiuokkrl5iuoxcjo4p;1;35,6;34,2;2024-09-22T23:40:37.671Z;2024-09-22T23:40:40Z;[{'id': 5235803363, 'qualifierId': 141, 'value': '3.2'}, {'id': 5235803367, 'qualifierId': 213, 'value': '5.63'}, {'id': 5235803365, 'qualifierId': 212, 'value': '34.5'}, {'id': 5235803361, 'qualifierId': 140, 'value': '61.6'}, {'id': 5235803359, 'qualifierId': 56, 'value': 'Right'}, {'id': 5235803369, 'qualifierId': 1}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;61,6;;3,2;5,63;;34,5;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;61,6;3,2;;;;;;;;0;73;8;Houston Dynamo II;4388;Sub;1,0
2724864271;685;1;2;73;11;iiolvosiuokkrl5iuoxcjo4p;0;63,3;5,1;2024-09-22T23:40:40.825Z;2024-09-22T23:40:41Z;[{'id': 5235803405, 'qualifierId': 212, 'value': '9.6'}, {'id': 5235803407, 'qualifierId': 213, 'value': '1.13'}, {'id': 5235803399, 'qualifierId': 56, 'value': 'Right'}, {'id': 5235803403, 'qualifierId': 141, 'value': '17.8'}, {'id': 5235803401, 'qualifierId': 140, 'value': '67.2'}];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;67,2;;17,8;1,13;;9,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;67,2;17,8;;;;;;;;0;73;11;Houston Dynamo II;4391;FWR;1,0
2724864295;661;8;2;73;13;7pmw399vh2v44cjle4fkklp1w;1;29,7;74,8;2024-09-22T23:40:43.165Z;2024-09-22T23:40:43Z;[{'id': 5235803521, 'qualifierId': 56, 'value': 'Back'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;appu6wz6erst0nzrm9znazo4;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;73;13;Colorado Rapids II;4393;DMR;1,0
2724864309;662;49;2;73;14;7pmw399vh2v44cjle4fkklp1w;1;29,7;74,8;2024-09-22T23:40:44.029Z;2024-09-22T23:40:44Z;[];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;appu6wz6erst0nzrm9znazo4;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;73;14;Colorado Rapids II;4394;DMR;1,0
2724864317;663;1;2;73;14;7pmw399vh2v44cjle4fkklp1w;1;29,7;74,8;2024-09-22T23:40:44.188Z;2024-09-22T23:40:45Z;[{'id': 5235803613, 'qualifierId': 212, 'value': '9.7'}, {'id': 5235803615, 'qualifierId': 213, 'value': '3.27'}, {'id': 5235803609, 'qualifierId': 140, 'value': '20.5'}, {'id': 5235803611, 'qualifierId': 141, 'value': '73.0'}, {'id': 5235803607, 'qualifierId': 56, 'value': 'Back'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;20,5;;73,0;3,27;;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;20,5;73,0;;;;;;;;0;73;14;Colorado Rapids II;4394;DMR;1,0
2724864325;664;1;2;73;15;7pmw399vh2v44cjle4fkklp1w;0;20,5;73,0;2024-09-22T23:40:44.972Z;2024-09-22T23:40:45Z;[{'id': 5235803639, 'qualifierId': 212, 'value': '4.5'}, {'id': 5235803637, 'qualifierId': 141, 'value': '76.9'}, {'id': 5235803641, 'qualifierId': 213, 'value': '0.63'}, {'id': 5235803633, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235803635, 'qualifierId': 140, 'value': '24.0'}];48p3wcjai97tpt50ia7bi7ok4;J. Medina;;;appu6wz6erst0nzrm9znazo4;Pass;;;;;;;;;;;24,0;;76,9;0,63;;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;24,0;76,9;;;;;;;;0;73;15;Colorado Rapids II;4395;DC;1,0
