id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamKit;value_Captain;value_Resume;value_Involved;value_TeamFormation;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_PassEndX;value_Angle;value_KickOff;value_Length;value_LongBall;value_Chipped;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Foul;value_Offensive;value_AttemptedTackle;value_Direct;value_Defensive;value_FreeKickTaken;value_NextEventGoalKick;value_GoalKick;value_High;value_HeadPass;value_FlickOn;value_TakeOnSpace;value_TouchTypeControl;value_RightFooted;value_OutSwinger;value_Cross;value_OutOfPlay;value_LeftFooted;value_TouchTypeClearance;value_Handball;value_Indirect;value_ShirtPull/Holding;value_DeletedEventType;value_LeadingToAttempt;value_RelatedError1Id;value_GoalmouthY;value_BlockedX;value_1On1;value_NotAssisted;value_GoalmouthZ;value_BlockedY;value_LowCentre;value_FirstTouch;value_BoxLeft;value_BigChance;value_RegularPlay;value_ParriedDanger;value_Feet;value_LowGkIntervention;value_Stooping;value_BlockedPass;value_IntendedTackleTarget;value_LayOff;value_TakeOnOvertake;value_Overrun;value_Assist;value_RelatedEventId;value_Assisted;value_IndividualPlay;value_BoxRight;value_ParriedSafe;value_Diving;value_Hands;value_KeeperThrow;value_Low;value_Launch;value_Head;value_Shove/Push;value_BlockedCross;value_IntentionalAssist;value_GkX;value_GkY;value_LowRight;value_Blocked;value_BoxCentre;value_DefBlock;value_CloseLeftAndHigh;value_SetPiece;value_TouchTypePass;value_Left;value_CornerTaken;value_InSwinger;value_SwitchOfPlay;value_RecklessOffence;value_YellowCard;value_Right;value_NotVisible;value_PlayersCaughtOffside;value_PullBack;value_FromCorner;value_DrinksBreak;value_RefereeDelay;value_OutOfBoxCentre;value_Sliding;value_Volley;value_HighRight;value_SixYardBlocked;value_InjuredPlayerId;value_Injury;value_Minutes;value_TacticalFoul;value_SwerveLeft;value_FreeKick;value_HighGkIntervention;value_EndType;value_CloseLeft;value_SecondYellow;value_OverhitCross;value_Defensive1V1;value_Argument;value_HighClaim;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Fingertip;value_ThroughBall;value_OutOnSideline;value_NotPastGoalLine;value_GkYTimeOfGoal;value_GoalShotGameClock;value_HighLeft;value_GoalShotTimestamp;value_SmallBoxCentre;value_GkXTimeOfGoal;value_SmallBoxRight;value_MediumGkIntervention;value_Standing;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2663921939;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-03-28T23:20:11.771Z;2024-03-29T00:18:49Z;[{'id': 4902831273, 'qualifierId': 59, 'value': '1, 8, 25, 30, 4, 5, 10, 6, 14, 32, 19, 2, 17, 18, 20, 33, 34, 35, 36, 37'}, {'id': 4902872399, 'qualifierId': 197, 'value': '23347'}, {'id': 4902831279, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 4902831281, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4902831269, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 7nxqbiq6fics5w3qnwhz249as, 9yldym4386a2icfk6qb6i90r8, 7m5wyvhq876dyap45egqs2tjo, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, 641bsr9un81t6sds51fhvijh0, 2yxzh220ndd4s4wqditruo0h6, 22lsn0v0bw7fd9cu6mft0j1ii, elvrjpt1jlko4henaqvfid7o4, 3cbmr8hg3kszw5wl04p3ol27e, 8ly83pm2mbtz4u7jwsv0o96qy, 35ds2xu43z6jccyhlr8jsomzu, ov91zkisppven9tp72gfbjf8, dcypf9mqtlcn5wetj1z7g3mui, 3dtt0czm41hnuw8mvyn14ys4, b3sxg2g2q3blmsiqkg4a7au50, 5rusq0uqak1y920vdwpg2f190, 6y4dhco5w4ontgfdtl1oj06xg, 9ocej8xqtn8yf1cg5vp9trbx0'}, {'id': 4902831275, 'qualifierId': 130, 'value': '8'}, {'id': 4902831271, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4902831277, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;bwxlegil2n9pzyxqj1jf3jfv8;Team set up;;23347,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2663922655;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-03-28T23:26:40.866Z;2024-04-05T11:18:03Z;[{'id': 4902835113, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4902835103, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, be85jzbz3ihrpyt6jvjs56oes, 7qt4r82kyz05r8kd8cmdh1xqs, 1d43ue54zl1o9rvnwz5zfotm, 2jzuij8p7eoy42aqem688ltuy, 1snfyu5dmv164k5cl87chjlsk, 4uuq2zuhmlbg7kh85v5l8723u, aa4ut2fmswha43fxnrxp1obo4, 3c1xz4vpfoum0jbq6bmtdrtux, 9qyg5hre038m06bzzupzgmsk4, 2wj1w4opn7f0jyz1ps6ebvc6i, e81zc97bmfjgwo978gplrx46i, 9ph8wasuz3ndre586gople49g, 22p6n3oird085u2kbkiqp4pg, 3ehrq9mryoug8osgxkpg4eo7o, 70lmb5krx6h8iidmbs6t015hw, 4xbbo257znhi1f56b5iv32bkk, en1t9w6orptzi3v7odnawg8b8, cwi18tat1u9zy8nby1lfwu61g, 7yt2ddw0yntv9xq1hrv1jx05w'}, {'id': 4902835109, 'qualifierId': 130, 'value': '13'}, {'id': 4922802867, 'qualifierId': 194, 'value': '3my8ymhvy1bysbllwpoj3qctm'}, {'id': 4902875013, 'qualifierId': 197, 'value': '15018'}, {'id': 4902835105, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4902835111, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4902835107, 'qualifierId': 59, 'value': '12, 37, 21, 5, 6, 30, 18, 19, 10, 7, 3, 1, 9, 17, 33, 36, 38, 39, 42, 43'}];;;;;bwxlegil2n9pzyxqj1jf3jfv8;Team set up;;15018,0;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Austin II;0;;
2663929617;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-03-29T00:03:56.491Z;2024-03-29T00:03:58Z;[{'id': 4902873169, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;bwxlegil2n9pzyxqj1jf3jfv8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2663929621;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-03-29T00:03:56.491Z;2024-04-05T10:01:09Z;[{'id': 4902873195, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;bwxlegil2n9pzyxqj1jf3jfv8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Austin II;0;;
2663929631;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;49,4;50,3;2024-03-29T00:03:56.502Z;2024-03-29T00:04:00Z;[{'id': 4902873275, 'qualifierId': 141, 'value': '57.0'}, {'id': 4902873271, 'qualifierId': 56, 'value': 'Back'}, {'id': 4902873273, 'qualifierId': 140, 'value': '39.1'}, {'id': 4902873279, 'qualifierId': 213, 'value': '2.74'}, {'id': 4902873281, 'qualifierId': 279, 'value': 'S'}, {'id': 4902873277, 'qualifierId': 212, 'value': '11.7'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;bwxlegil2n9pzyxqj1jf3jfv8;Pass;;;;;;;;;;57,0;;39,1;2,74;;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;39,1;57,0;;;;;;;0;0;0;0;Austin II;0;FW;1,0
2663929653;4;1;1;0;3;7pmw399vh2v44cjle4fkklp1w;1;39,1;57,0;2024-03-29T00:04:00.225Z;2024-03-29T00:04:05Z;[{'id': 4902873397, 'qualifierId': 141, 'value': '5.3'}, {'id': 4902873399, 'qualifierId': 212, 'value': '56.6'}, {'id': 4902873393, 'qualifierId': 56, 'value': 'Right'}, {'id': 4902873401, 'qualifierId': 213, 'value': '5.61'}, {'id': 4902873395, 'qualifierId': 140, 'value': '81.3'}, {'id': 4902873403, 'qualifierId': 1}, {'id': 4902873391, 'qualifierId': 155}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;bwxlegil2n9pzyxqj1jf3jfv8;Pass;;;;;;;;;;5,3;;81,3;5,61;;56,6;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;81,3;5,3;;;;;;;0;0;0;3;Austin II;3;MC;1,0
2663929655;5;61;1;0;7;7pmw399vh2v44cjle4fkklp1w;0;80,2;2,6;2024-03-29T00:04:03.974Z;2024-03-29T00:05:32Z;[{'id': 4902873407, 'qualifierId': 56, 'value': 'Right'}];9qyg5hre038m06bzzupzgmsk4;E. Arzú;;;bwxlegil2n9pzyxqj1jf3jfv8;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;7;Austin II;7;FWR;1,0
2663929695;3;5;1;0;8;d0c07im4a6oj8qa7f1zlt3pqs;1;19,5;101,0;2024-03-29T00:04:04.885Z;2024-03-29T00:04:13Z;[{'id': 4902873599, 'qualifierId': 56, 'value': 'Back'}, {'id': 4902873601, 'qualifierId': 347}, {'id': 4902873607, 'qualifierId': 233, 'value': '6'}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;bwxlegil2n9pzyxqj1jf3jfv8;Out;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;0;8;Houston Dynamo II;8;DC;1,0
2663929659;6;5;1;0;8;7pmw399vh2v44cjle4fkklp1w;0;80,5;-1,0;2024-03-29T00:04:04.885Z;2024-03-29T00:35:20Z;[{'id': 4902873435, 'qualifierId': 347}, {'id': 4902873629, 'qualifierId': 233, 'value': '3'}, {'id': 4902873433, 'qualifierId': 56, 'value': 'Right'}];9qyg5hre038m06bzzupzgmsk4;E. Arzú;;;bwxlegil2n9pzyxqj1jf3jfv8;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;8;Austin II;8;FWR;1,0
2663929723;4;1;1;0;16;d0c07im4a6oj8qa7f1zlt3pqs;1;24,8;100,0;2024-03-29T00:04:13.271Z;2024-03-29T00:04:17Z;[{'id': 4902873775, 'qualifierId': 140, 'value': '36.7'}, {'id': 4902873765, 'qualifierId': 107}, {'id': 4902873779, 'qualifierId': 212, 'value': '21.2'}, {'id': 4902873781, 'qualifierId': 213, 'value': '5.34'}, {'id': 4902873769, 'qualifierId': 56, 'value': 'Back'}, {'id': 4902873777, 'qualifierId': 141, 'value': '76.1'}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;bwxlegil2n9pzyxqj1jf3jfv8;Pass;;;;;;;;;;76,1;;36,7;5,34;;21,2;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;36,7;76,1;;;;;;;0;0;0;16;Houston Dynamo II;16;DC;1,0
