id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_Captain;value_JerseyNumber;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_KickOff;value_PassEndX;value_PassEndY;value_Angle;value_Length;value_IntendedTackleTarget;value_LongBall;value_PlayersCaughtOffside;value_NotVisible;value_FreeKickTaken;value_Indirect;value_Direct;value_Foul;value_AttemptedTackle;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_Chipped;value_Cross;value_KeeperThrow;value_ShirtPull/Holding;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_LayOff;value_DeletedEventType;value_BlockedPass;value_BoxCentre;value_IndividualPlay;value_Assisted;value_GoalmouthY;value_RightFooted;value_GkX;value_RegularPlay;value_High;value_GkY;value_GoalmouthZ;value_FirstTouch;value_SixYardBlocked;value_NotAssisted;value_Head;value_LowCentre;value_BlockedX;value_Blocked;value_BlockedY;value_DefBlock;value_HighClaim;value_OverArm;value_NextEventGoalKick;value_Low;value_GoalKick;value_HeadPass;value_Launch;value_FlickOn;value_Left;value_InSwinger;value_CornerTaken;value_AerialFoul;value_Injury;value_InjuredPlayerId;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_CaptainChange;value_Assist;value_BoxLeft;value_Shove/Push;value_GoalDisallowed;value_OutOfBoxCentre;value_LeftFooted;value_FreeKick;value_ByWall;value_BlockedCross;value_FastBreak;value_RecklessOffence;value_Obstruction;value_LowLeft;value_SetPiece;value_LowRight;value_Hands;value_Diving;value_ParriedSafe;value_Right;value_IntentionalAssist;value_BigChance;value_FromCorner;value_SmallBoxCentre;value_NotPastGoalLine;value_SwerveRight;value_OwnPlayer;value_OwnShotBlocked;value_Handball;value_Minutes;value_SwerveLeft;value_CloseHigh;value_EndType;value_SmallBoxRight;value_OutSwinger;value_Volley;value_CloseLeftAndHigh;value_ThroughBall;value_ParriedDanger;value_Standing;value_Collected;value_Tactical;value_CloseRight;value_GoesToPenalties;value_GoalShotTimestamp;value_GoalShotGameClock;value_HighRight;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_HighCentre;value_KeeperTouched;value_Saved;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706659947;5;1;1;0;21;bd0378yx50xpdcgwkt9p9bmz8;1;30,8;28,5;2024-08-07T15:05:35.110Z;2024-08-07T15:05:38Z;[{'id': 5135904941, 'qualifierId': 5}, {'id': 5135904951, 'qualifierId': 212, 'value': '20.8'}, {'id': 5135904949, 'qualifierId': 141, 'value': '53.1'}, {'id': 5135904943, 'qualifierId': 241}, {'id': 5135904945, 'qualifierId': 56, 'value': 'Back'}, {'id': 5135904953, 'qualifierId': 213, 'value': '2.21'}, {'id': 5135904947, 'qualifierId': 140, 'value': '19.0'}];bfm4xr4ue74v0li53slarf9t6;P. Mangione;;eiw293b8tycwqgo4maskvy0ic;Pass;;;;;;;;;;;;19,0;53,1;2,21;20,8;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;19,0;53,1;;;;;;;;0;0;21;New England II;21;DMC;1,0
2706659953;6;1;1;0;24;bd0378yx50xpdcgwkt9p9bmz8;1;18,7;58,1;2024-08-07T15:05:38.288Z;2024-08-07T15:05:40Z;[{'id': 5135904975, 'qualifierId': 212, 'value': '20.1'}, {'id': 5135904977, 'qualifierId': 213, 'value': '4.74'}, {'id': 5135904973, 'qualifierId': 141, 'value': '28.5'}, {'id': 5135904969, 'qualifierId': 56, 'value': 'Back'}, {'id': 5135904971, 'qualifierId': 140, 'value': '19.2'}];8za8xvdiyduedk2i99bdqv4es;J. Machado;;eiw293b8tycwqgo4maskvy0ic;Pass;;;;;;;;;;;;19,2;28,5;4,74;20,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;19,2;28,5;;;;;;;;0;0;24;New England II;24;DC;1,0
2706659957;7;1;1;0;26;bd0378yx50xpdcgwkt9p9bmz8;1;15,7;28,0;2024-08-07T15:05:40.160Z;2024-08-07T15:05:41Z;[{'id': 5135905007, 'qualifierId': 213, 'value': '5.40'}, {'id': 5135905005, 'qualifierId': 212, 'value': '13.0'}, {'id': 5135905003, 'qualifierId': 141, 'value': '13.2'}, {'id': 5135905001, 'qualifierId': 140, 'value': '23.5'}, {'id': 5135904999, 'qualifierId': 56, 'value': 'Back'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;eiw293b8tycwqgo4maskvy0ic;Pass;;;;;;;;;;;;23,5;13,2;5,4;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;23,5;13,2;;;;;;;;0;0;26;New England II;26;DC;1,0
2706659961;8;1;1;0;28;bd0378yx50xpdcgwkt9p9bmz8;1;23,6;13,2;2024-08-07T15:05:41.648Z;2024-08-07T15:05:44Z;[{'id': 5135905021, 'qualifierId': 212, 'value': '16.8'}, {'id': 5135905015, 'qualifierId': 56, 'value': 'Back'}, {'id': 5135905017, 'qualifierId': 140, 'value': '38.0'}, {'id': 5135905023, 'qualifierId': 213, 'value': '5.84'}, {'id': 5135905019, 'qualifierId': 141, 'value': '2.6'}];8sydisziijh84elb8dprtlduy;N. Benalcázar;;eiw293b8tycwqgo4maskvy0ic;Pass;;;;;;;;;;;;38,0;2,6;5,84;16,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;38,0;2,6;;;;;;;;0;0;28;New England II;28;DC;1,0
2706659965;9;1;1;0;31;bd0378yx50xpdcgwkt9p9bmz8;1;38,1;5,3;2024-08-07T15:05:44.545Z;2024-08-07T15:05:47Z;[{'id': 5135905039, 'qualifierId': 213, 'value': '0.99'}, {'id': 5135905031, 'qualifierId': 56, 'value': 'Back'}, {'id': 5135905033, 'qualifierId': 140, 'value': '42.6'}, {'id': 5135905037, 'qualifierId': 212, 'value': '8.6'}, {'id': 5135905035, 'qualifierId': 141, 'value': '15.9'}];bpr7u1cp7bzt1w2t1tsmru73e;J. Castellano;;eiw293b8tycwqgo4maskvy0ic;Pass;;;;;;;;;;;;42,6;15,9;0,99;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;42,6;15,9;;;;;;;;0;0;31;New England II;31;DMR;1,0
2706659967;10;61;1;0;34;bd0378yx50xpdcgwkt9p9bmz8;0;40,7;14,9;2024-08-07T15:05:47.488Z;2024-08-07T15:05:47Z;[{'id': 5135905047, 'qualifierId': 56, 'value': 'Back'}];aw0ngrym0lzn2paoz70wtlgyc;S. Chirilă;;eiw293b8tycwqgo4maskvy0ic;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;;0;0;34;New England II;34;FW;1,0
2706659973;7;4;1;0;36;csntc7hucmo21gknxc5y0kc4q;1;65,7;88,8;2024-08-07T15:05:49.407Z;2024-08-07T15:28:53Z;[{'id': 5135905081, 'qualifierId': 152}, {'id': 5135905077, 'qualifierId': 13}, {'id': 5135905079, 'qualifierId': 56, 'value': 'Left'}, {'id': 5135905083, 'qualifierId': 265}, {'id': 5135905085, 'qualifierId': 286}, {'id': 5135905087, 'qualifierId': 233, 'value': '11'}];anysxg2z6niqapc5m3f4tzims;J. Bolma;;eiw293b8tycwqgo4maskvy0ic;Foul;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;1,0;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;;0;0;36;Cincinnati II;36;AML;1,0
2706659971;11;4;1;0;36;bd0378yx50xpdcgwkt9p9bmz8;0;34,3;11,2;2024-08-07T15:05:49.408Z;2024-08-07T15:28:53Z;[{'id': 5135905093, 'qualifierId': 233, 'value': '7'}, {'id': 5135905071, 'qualifierId': 152}, {'id': 5135905067, 'qualifierId': 13}, {'id': 5135905075, 'qualifierId': 285}, {'id': 5135905073, 'qualifierId': 265}, {'id': 5135905069, 'qualifierId': 56, 'value': 'Back'}];aw0ngrym0lzn2paoz70wtlgyc;S. Chirilă;;eiw293b8tycwqgo4maskvy0ic;Foul;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;7,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;;0;0;36;New England II;36;FW;1,0
2706659975;8;1;1;0;39;csntc7hucmo21gknxc5y0kc4q;1;67,3;87,5;2024-08-07T15:05:52.731Z;2024-08-07T15:05:55Z;[{'id': 5135905099, 'qualifierId': 56, 'value': 'Center'}, {'id': 5135905097, 'qualifierId': 152}, {'id': 5135905095, 'qualifierId': 5}, {'id': 5135905101, 'qualifierId': 140, 'value': '59.8'}, {'id': 5135905103, 'qualifierId': 141, 'value': '66.0'}, {'id': 5135905107, 'qualifierId': 213, 'value': '4.22'}, {'id': 5135905105, 'qualifierId': 212, 'value': '16.6'}];anysxg2z6niqapc5m3f4tzims;J. Bolma;;eiw293b8tycwqgo4maskvy0ic;Pass;;;;;;;;;;;;59,8;66,0;4,22;16,6;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;59,8;66,0;;;;;;;;0;0;39;Cincinnati II;39;AML;1,0
2706659979;9;1;1;0;41;csntc7hucmo21gknxc5y0kc4q;1;59,6;64,2;2024-08-07T15:05:55.301Z;2024-08-07T15:05:59Z;[{'id': 5135905127, 'qualifierId': 141, 'value': '16.2'}, {'id': 5135905125, 'qualifierId': 140, 'value': '65.9'}, {'id': 5135905133, 'qualifierId': 1}, {'id': 5135905123, 'qualifierId': 56, 'value': 'Right'}, {'id': 5135905129, 'qualifierId': 212, 'value': '33.3'}, {'id': 5135905131, 'qualifierId': 213, 'value': '4.91'}];et772m1f5cqceeffckpnty1p0;E. Klein;;eiw293b8tycwqgo4maskvy0ic;Pass;;;;;;;;;;;;65,9;16,2;4,91;33,3;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;65,9;16,2;;;;;;;;0;0;41;Cincinnati II;41;MC;1,0
