id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_PlayerPosition;value_Resume;value_JerseyNumber;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_Angle;value_PassEndX;value_Zone;value_KickOff;value_Length;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_DeletedEventType;value_IntendedTackleTarget;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_Offensive;value_Defensive;value_LayOff;value_TakeOnOvertake;value_Foul;value_Direct;value_Shove/Push;value_OutSwinger;value_RightFooted;value_BlockedPass;value_Cross;value_BlockedCross;value_Head;value_TouchTypeClearance;value_TouchTypePass;value_RelatedEventId;value_IndividualPlay;value_GoalmouthY;value_BoxRight;value_LowCentre;value_BlockedX;value_RegularPlay;value_BlockedY;value_LeftFooted;value_Assisted;value_GoalmouthZ;value_GkY;value_Blocked;value_GkX;value_DefBlock;value_AttemptedTackle;value_HeadPass;value_IntentionalAssist;value_Assist;value_HighCentre;value_FirstTouch;value_BoxCentre;value_Hands;value_HighGkIntervention;value_ParriedSafe;value_Diving;value_Right;value_Left;value_NotVisible;value_CornerTaken;value_OutOfPlay;value_LeadingToAttempt;value_BoxLeft;value_RelatedError1Id;value_NotAssisted;value_LowGkIntervention;value_Collected;value_KeeperThrow;value_SwitchOfPlay;value_ParriedDanger;value_MediumGkIntervention;value_BigChance;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnSpace;value_CloseRight;value_FlickOn;value_TouchTypeControl;value_OutOfBoxCentre;value_HighRight;value_LowLeft;value_InSwinger;value_FromCorner;value_Volley;value_High;value_SmallBoxCentre;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_HighLeft;value_ShirtPull/Holding;value_Unchallenged;value_OtherObstacle;value_Minutes;value_BallHitsReferee;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_PullBack;value_FastBreak;value_OverArm;value_ThroughBall;value_YellowCard;value_RecklessOffence;value_Handball;value_Argument;value_Stooping;value_Overrun;value_OwnGoal;value_FantasyAssistId;value_FantasyAssistTeam;value_OtherBodyPart;value_LowRight;value_FantasyAssistedBy;value_FantasyAssistType;value_MisHit;value_Straight;value_DrivenCross;value_BoxDeepLeft;value_CloseHigh;value_Sliding;value_TimeWasting;value_BlockedClearance;value_OverhitCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2694903607;786;1;2;85;17;csntc7hucmo21gknxc5y0kc4q;0;46,6;52,3;2024-06-06T23:46:34.988Z;2024-06-06T23:46:36Z;[{'id': 5070991173, 'qualifierId': 56, 'value': 'Center'}, {'id': 5070991179, 'qualifierId': 212, 'value': '21.2'}, {'id': 5070991177, 'qualifierId': 141, 'value': '44.4'}, {'id': 5070991181, 'qualifierId': 213, 'value': '6.03'}, {'id': 5070991175, 'qualifierId': 140, 'value': '66.1'}];5adul4r3hifu5x4tv8efr05ey;Maciel;;;d9c3rsb1yf24xgdp5zfxxwkr8;Pass;;;;;;;;;;44,4;6,03;66,1;;;21,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;66,1;44,4;;;;;;;0;0;85;17;Columbus Crew II;5117;MC;1,0
2694903609;958;49;2;85;19;5b4ccd62yeeqdl2qk6jzsmjv8;1;28,3;61,5;2024-06-06T23:46:36.431Z;2024-06-06T23:46:36Z;[];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;d9c3rsb1yf24xgdp5zfxxwkr8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;85;19;New England II;5119;DC;1,0
2694903611;959;1;2;85;19;5b4ccd62yeeqdl2qk6jzsmjv8;1;28,3;61,5;2024-06-06T23:46:36.943Z;2024-06-06T23:46:42Z;[{'id': 5070991185, 'qualifierId': 140, 'value': '15.5'}, {'id': 5070991187, 'qualifierId': 141, 'value': '50.4'}, {'id': 5070991189, 'qualifierId': 212, 'value': '15.4'}, {'id': 5070991183, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070991191, 'qualifierId': 213, 'value': '3.65'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;d9c3rsb1yf24xgdp5zfxxwkr8;Pass;;;;;;;;;;50,4;3,65;15,5;;;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;15,5;50,4;;;;;;;0;0;85;19;New England II;5119;DC;1,0
2694903613;960;1;2;85;25;5b4ccd62yeeqdl2qk6jzsmjv8;1;15,1;50,4;2024-06-06T23:46:42.559Z;2024-06-06T23:46:46Z;[{'id': 5070991201, 'qualifierId': 141, 'value': '72.3'}, {'id': 5070991205, 'qualifierId': 213, 'value': '1.26'}, {'id': 5070991197, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070991199, 'qualifierId': 140, 'value': '19.7'}, {'id': 5070991203, 'qualifierId': 212, 'value': '15.7'}];9bn2zid7u305xii6alm8a58us;S. Lapkes;;;d9c3rsb1yf24xgdp5zfxxwkr8;Pass;;;;;;;;;;72,3;1,26;19,7;;;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;19,7;72,3;;;;;;;0;0;85;25;New England II;5125;GK;1,0
2694903615;961;1;2;85;29;5b4ccd62yeeqdl2qk6jzsmjv8;1;25,1;76,7;2024-06-06T23:46:46.720Z;2024-06-06T23:46:48Z;[{'id': 5070991215, 'qualifierId': 212, 'value': '13.5'}, {'id': 5070991211, 'qualifierId': 140, 'value': '32.0'}, {'id': 5070991209, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070991213, 'qualifierId': 141, 'value': '93.5'}, {'id': 5070991217, 'qualifierId': 213, 'value': '1.01'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;d9c3rsb1yf24xgdp5zfxxwkr8;Pass;;;;;;;;;;93,5;1,01;32,0;;;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;32,0;93,5;;;;;;;0;0;85;29;New England II;5129;DC;1,0
2694903619;962;1;2;85;31;5b4ccd62yeeqdl2qk6jzsmjv8;0;32,0;93,5;2024-06-06T23:46:48.287Z;2024-06-06T23:46:50Z;[{'id': 5070991241, 'qualifierId': 141, 'value': '87.4'}, {'id': 5070991245, 'qualifierId': 213, 'value': '5.79'}, {'id': 5070991239, 'qualifierId': 140, 'value': '39.3'}, {'id': 5070991237, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070991243, 'qualifierId': 212, 'value': '8.7'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;d9c3rsb1yf24xgdp5zfxxwkr8;Pass;;;;;;;;;;87,4;5,79;39,3;;;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;39,3;87,4;;;;;;;0;0;85;31;New England II;5131;Sub;1,0
2694903625;963;4;2;85;34;5b4ccd62yeeqdl2qk6jzsmjv8;1;45,8;88,0;2024-06-06T23:46:51.324Z;2024-06-06T23:46:53Z;[{'id': 5070991283, 'qualifierId': 286}, {'id': 5070991275, 'qualifierId': 13}, {'id': 5070991277, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070991285, 'qualifierId': 233, 'value': '787'}, {'id': 5070991281, 'qualifierId': 265}, {'id': 5070991279, 'qualifierId': 152}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;d9c3rsb1yf24xgdp5zfxxwkr8;Foul;;;;;;;;;;;;;;;;;;787,0;;;;;;;;;1,0;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;85;34;New England II;5134;MC;1,0
2694903621;787;4;2;85;34;csntc7hucmo21gknxc5y0kc4q;0;54,2;12,0;2024-06-06T23:46:51.325Z;2024-06-06T23:47:04Z;[{'id': 5070991255, 'qualifierId': 56, 'value': 'Right'}, {'id': 5070991261, 'qualifierId': 285}, {'id': 5070991257, 'qualifierId': 152}, {'id': 5070991291, 'qualifierId': 233, 'value': '963'}, {'id': 5070991371, 'qualifierId': 55, 'value': '788'}, {'id': 5070991259, 'qualifierId': 265}, {'id': 5070991253, 'qualifierId': 13}];6u8g6eh0uhpiqf6ddec4s8mzu;G. Chavez;;;d9c3rsb1yf24xgdp5zfxxwkr8;Foul;;;;;;;;;;;;;;;;;;963,0;;;;;;;;;;1,0;;;1,0;1,0;;;;;;;;;;788,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;788,0;6u8g6eh0uhpiqf6ddec4s8mzu;0;0;85;34;Columbus Crew II;5134;Sub;1,0
2694903631;788;17;2;85;39;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-06-06T23:46:56.654Z;2024-06-10T14:05:27Z;[{'id': 5070991349, 'qualifierId': 392}, {'id': 5070991347, 'qualifierId': 31}, {'id': 5070991351, 'qualifierId': 13, 'value': '243'}, {'id': 5070991353, 'qualifierId': 55, 'value': '787'}];6u8g6eh0uhpiqf6ddec4s8mzu;G. Chavez;;;d9c3rsb1yf24xgdp5zfxxwkr8;Card;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243,0;;;;;;;;;;;787,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;787,0;6u8g6eh0uhpiqf6ddec4s8mzu;0;0;85;39;Columbus Crew II;5139;Sub;1,0
2694903645;964;1;2;86;2;5b4ccd62yeeqdl2qk6jzsmjv8;1;56,2;95,0;2024-06-06T23:47:19.569Z;2024-06-06T23:47:27Z;[{'id': 5070991429, 'qualifierId': 141, 'value': '82.9'}, {'id': 5070991423, 'qualifierId': 152}, {'id': 5070991431, 'qualifierId': 212, 'value': '26.0'}, {'id': 5070991433, 'qualifierId': 213, 'value': '3.46'}, {'id': 5070991425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070991421, 'qualifierId': 5}, {'id': 5070991427, 'qualifierId': 140, 'value': '32.7'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;d9c3rsb1yf24xgdp5zfxxwkr8;Pass;;;;;;;;;;82,9;3,46;32,7;;;26,0;;;;;;;;;;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;32,7;82,9;;;;;;;0;0;86;2;New England II;5162;Sub;1,0
