id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamFormation;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_PlayerPosition;value_Resume;value_DirectionOfPlay;value_Zone;value_Angle;value_Chipped;value_Length;value_PassEndX;value_DeletedEventType;value_PassEndY;value_KickOff;value_LongBall;value_Launch;value_FlickOn;value_HeadPass;value_Offensive;value_OppositeRelatedEventId;value_TouchTypeClearance;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_BlockedPass;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_RelatedEventId;value_BallHitsReferee;value_IntendedTackleTarget;value_RightFooted;value_Cross;value_OutSwinger;value_Head;value_TakeOnOvertake;value_GkY;value_FirstTouch;value_BlockedX;value_Blocked;value_RegularPlay;value_GoalmouthY;value_NotAssisted;value_LowCentre;value_GkX;value_GoalmouthZ;value_BoxCentre;value_BlockedY;value_DefBlock;value_OutOfPlay;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Shove/Push;value_RecklessOffence;value_AdvantagePlayed;value_YellowCard;value_TouchTypePass;value_TakeOnSpace;value_Defensive1V1;value_LowGkIntervention;value_KeeperThrow;value_InSwinger;value_NextEventGoalKick;value_GoalKick;value_Low;value_LayOff;value_TouchTypeControl;value_SixYardBlocked;value_Volley;value_BigChance;value_Hands;value_ParriedSafe;value_Diving;value_MediumGkIntervention;value_Left;value_CornerTaken;value_LeftFooted;value_AerialFoul;value_SwitchOfPlay;value_Assist;value_IntentionalAssist;value_Assisted;value_Feet;value_Standing;value_ShirtPull/Holding;value_SetPiece;value_ParriedDanger;value_Fumble;value_GkKickFromHands;value_IndividualPlay;value_High;value_OutOfBoxCentre;value_Overrun;value_LowLeft;value_ThroughBall;value_OverArm;value_InjuredPlayerId;value_Injury;value_HighGkIntervention;value_BoxRight;value_Right;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_LeadingToAttempt;value_FastBreak;value_IncorrectOutOfPlayDecision;value_TacticalFoul;value_ThrowInSetPiece;value_FromCorner;value_HighLeft;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_SwerveLeft;value_CloseRight;value_HighClaim;value_FloatedCross;value_Straight;value_Penalty;value_PenaltyTakerId;value_Scored;value_LowRight;value_FantasyAssistTeam;value_FantasyAssistId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistType;value_FantasyAssistedBy;value_OverhitCross;value_CloseLeft;value_Handball;value_PullBack;value_Deflection;value_HighCentre;value_Reaching;value_Caught;value_DrivenCross;value_Dissent;value_RelatedError1Id;value_HitWoodwork;value_HitBar;value_GoesToPenalties;value_Saved;value_KeeperTouched;value_HitLeftPost;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;value_Estimated;value_NewStartTime;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718467039;236;5;1;22;16;8o8m08he36u0j4w08aj2iodn8;1;85,3;-1,4;2024-09-08T16:37:54.720Z;2024-09-08T17:08:33Z;[{'id': 5200916145, 'qualifierId': 56, 'value': 'Right'}, {'id': 5200916159, 'qualifierId': 233, 'value': '231'}, {'id': 5200916147, 'qualifierId': 347}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;f4jr1q5owrb6r685nnmuoiqdw;Out;;;;;;;;;;;;;;;;;;;;;;;231,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;22;16;Cincinnati II;1336;FWR;1,0
2718467053;237;1;1;22;44;8o8m08he36u0j4w08aj2iodn8;0;84,7;0,0;2024-09-08T16:38:23.223Z;2024-09-08T16:38:25Z;[{'id': 5200916235, 'qualifierId': 212, 'value': '19.8'}, {'id': 5200916227, 'qualifierId': 56, 'value': 'Center'}, {'id': 5200916223, 'qualifierId': 107}, {'id': 5200916233, 'qualifierId': 141, 'value': '27.4'}, {'id': 5200916237, 'qualifierId': 213, 'value': '1.41'}, {'id': 5200916231, 'qualifierId': 140, 'value': '87.8'}];2343y1f4dtezub9633ghspqi2;J. Dean;;;f4jr1q5owrb6r685nnmuoiqdw;Pass;;;;;;;;;;;1,41;;19,8;87,8;;27,4;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;87,8;27,4;;;;;;;;0;22;44;Cincinnati II;1364;DMR;1,0
2718467067;232;1;1;22;47;bd0378yx50xpdcgwkt9p9bmz8;1;11,2;63,1;2024-09-08T16:38:26.126Z;2024-09-08T16:38:27Z;[{'id': 5200916291, 'qualifierId': 141, 'value': '62.8'}, {'id': 5200916289, 'qualifierId': 140, 'value': '20.5'}, {'id': 5200916293, 'qualifierId': 212, 'value': '9.8'}, {'id': 5200916295, 'qualifierId': 213, 'value': '6.26'}, {'id': 5200916287, 'qualifierId': 56, 'value': 'Back'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;f4jr1q5owrb6r685nnmuoiqdw;Pass;;;;;;;;;;;6,26;;9,8;20,5;;62,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;20,5;62,8;;;;;;;;0;22;47;Chicago Fire II;1367;DC;1,0
2718467101;235;49;1;22;48;bd0378yx50xpdcgwkt9p9bmz8;1;26,9;51,1;2024-09-08T16:38:26.471Z;2024-09-08T16:39:05Z;[];4bpxi7ovrhew3zkp53781lyei;M. Pinto;;;f4jr1q5owrb6r685nnmuoiqdw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;;0;22;48;Chicago Fire II;1368;DMC;1,0
2718467079;233;1;1;22;49;bd0378yx50xpdcgwkt9p9bmz8;1;20,7;62,8;2024-09-08T16:38:28.054Z;2024-09-08T16:39:07Z;[{'id': 5200916387, 'qualifierId': 212, 'value': '8.1'}, {'id': 5200916383, 'qualifierId': 140, 'value': '21.8'}, {'id': 5200916385, 'qualifierId': 141, 'value': '51.0'}, {'id': 5200916389, 'qualifierId': 213, 'value': '4.86'}, {'id': 5200916381, 'qualifierId': 56, 'value': 'Back'}];4bpxi7ovrhew3zkp53781lyei;M. Pinto;;;f4jr1q5owrb6r685nnmuoiqdw;Pass;;;;;;;;;;;4,86;;8,1;21,8;;51,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;21,8;51,0;;;;;;;;0;22;49;Chicago Fire II;1369;DMC;1,0
2718467085;234;1;1;22;50;bd0378yx50xpdcgwkt9p9bmz8;0;21,8;51,0;2024-09-08T16:38:29.358Z;2024-09-08T16:38:30Z;[{'id': 5200916433, 'qualifierId': 213, 'value': '0.16'}, {'id': 5200916425, 'qualifierId': 56, 'value': 'Center'}, {'id': 5200916427, 'qualifierId': 140, 'value': '52.6'}, {'id': 5200916435, 'qualifierId': 1}, {'id': 5200916423, 'qualifierId': 157}, {'id': 5200916431, 'qualifierId': 212, 'value': '32.8'}, {'id': 5200916429, 'qualifierId': 141, 'value': '58.7'}];8sydisziijh84elb8dprtlduy;N. Benalcázar;;;f4jr1q5owrb6r685nnmuoiqdw;Pass;;;;;;;;;;;0,16;;32,8;52,6;;58,7;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;52,6;58,7;;;;;;;;0;22;50;Chicago Fire II;1370;DMC;1,0
2718467109;239;49;1;22;52;8o8m08he36u0j4w08aj2iodn8;1;46,3;42,1;2024-09-08T16:38:30.861Z;2024-09-08T16:39:01Z;[];5d341k1dxhlbetyh965z3q784;J. Shannon;;;f4jr1q5owrb6r685nnmuoiqdw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;;0;22;52;Cincinnati II;1372;DC;1,0
2718467105;238;1;1;22;53;8o8m08he36u0j4w08aj2iodn8;1;45,6;44,8;2024-09-08T16:38:31.705Z;2024-09-08T16:38:34Z;[{'id': 5200916531, 'qualifierId': 212, 'value': '12.8'}, {'id': 5200916529, 'qualifierId': 141, 'value': '63.6'}, {'id': 5200916533, 'qualifierId': 213, 'value': '1.59'}, {'id': 5200916525, 'qualifierId': 56, 'value': 'Back'}, {'id': 5200916527, 'qualifierId': 140, 'value': '45.4'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;f4jr1q5owrb6r685nnmuoiqdw;Pass;;;;;;;;;;;1,59;;12,8;45,4;;63,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;45,4;63,6;;;;;;;;0;22;53;Cincinnati II;1373;DC;1,0
2718467123;240;1;1;22;58;8o8m08he36u0j4w08aj2iodn8;1;52,0;68,2;2024-09-08T16:38:36.907Z;2024-09-08T16:38:38Z;[{'id': 5200916627, 'qualifierId': 140, 'value': '57.0'}, {'id': 5200916633, 'qualifierId': 213, 'value': '0.03'}, {'id': 5200916625, 'qualifierId': 56, 'value': 'Center'}, {'id': 5200916629, 'qualifierId': 141, 'value': '68.4'}, {'id': 5200916631, 'qualifierId': 212, 'value': '5.3'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;f4jr1q5owrb6r685nnmuoiqdw;Pass;;;;;;;;;;;0,03;;5,3;57,0;;68,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;57,0;68,4;;;;;;;;0;22;58;Cincinnati II;1378;DC;1,0
2718467127;241;1;1;22;59;8o8m08he36u0j4w08aj2iodn8;1;57,0;68,4;2024-09-08T16:38:38.438Z;2024-09-08T16:38:40Z;[{'id': 5200916653, 'qualifierId': 141, 'value': '73.9'}, {'id': 5200916657, 'qualifierId': 213, 'value': '2.54'}, {'id': 5200916649, 'qualifierId': 56, 'value': 'Center'}, {'id': 5200916655, 'qualifierId': 212, 'value': '6.6'}, {'id': 5200916661, 'qualifierId': 156}, {'id': 5200916651, 'qualifierId': 140, 'value': '51.8'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;f4jr1q5owrb6r685nnmuoiqdw;Pass;;;;;;;;;;;2,54;;6,6;51,8;;73,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;51,8;73,9;;;;;;;;0;22;59;Cincinnati II;1379;MC;1,0
