id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Captain;value_TeamPlayerFormation;value_PlayerPosition;value_Involved;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_Zone;value_PassEndX;value_PassEndY;value_Angle;value_Length;value_Launch;value_LongBall;value_NotVisible;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_FlickOn;value_HeadPass;value_RefereeDelay;value_OtherReason;value_RelatedEventId;value_Chipped;value_SwitchOfPlay;value_LayOff;value_IntendedTackleTarget;value_OutOfPlay;value_Left;value_Right;value_Assist;value_OutSwinger;value_CornerTaken;value_IntentionalAssist;value_Cross;value_FirstTouch;value_BlockedY;value_GkX;value_Head;value_Assisted;value_GoalmouthZ;value_GkY;value_BlockedX;value_NotPastGoalLine;value_FromCorner;value_GoalmouthY;value_BoxCentre;value_InjuredPlayerId;value_Injury;value_DeletedEventType;value_HighClaim;value_KeeperThrow;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_ShirtPull/Holding;value_BlockedPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_Shove/Push;value_RegularPlay;value_LowLeft;value_Hands;value_Standing;value_ParriedSafe;value_OverArm;value_AerialFoul;value_PlayersCaughtOffside;value_Indirect;value_RecklessOffence;value_YellowCard;value_OutOfBoxCentre;value_LeftFooted;value_IndividualPlay;value_BoxLeft;value_High;value_BlockedCross;value_RightFooted;value_LowRight;value_OwnPlayer;value_Blocked;value_OwnShotBlocked;value_DefBlock;value_Volley;value_DrinksBreak;value_LowCentre;value_BigChance;value_MisHit;value_SmallBoxCentre;value_SixYardBlocked;value_InSwinger;value_OtherBodyPart;value_Diving;value_Overrun;value_ThroughBall;value_SwerveLeft;value_GoalShotGameClock;value_SoloRun;value_GoalShotTimestamp;value_OtherObstacle;value_BallHitsReferee;value_Minutes;value_NotAssisted;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_FastBreak;value_Collected;value_Stooping;value_TacticalFoul;value_35Centre;value_CloseHigh;value_SetPiece;value_GkKickFromHands;value_SwerveRight;value_FreeKick;value_ByWall;value_GameEnd;value_NewStartTime;value_WeatherProblem;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704445695;7;1;1;0;17;6ubc4y1v6hr63mca7ica4hp90;1;58,3;87,3;2024-07-28T22:04:06.359Z;2024-07-28T22:56:36Z;[{'id': 5123611729, 'qualifierId': 56, 'value': 'Center'}, {'id': 5123611737, 'qualifierId': 213, 'value': '4.26'}, {'id': 5123611735, 'qualifierId': 212, 'value': '10.1'}, {'id': 5123611733, 'qualifierId': 141, 'value': '74.0'}, {'id': 5123611731, 'qualifierId': 140, 'value': '54.1'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;ec4em4t4txxyolmoj3xnzik9g;Pass;;;;;;;;;;;;54,1;74,0;4,26;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;54,1;74,0;;;;;;;0;0;0;17;Inter Miami II;17;MC;1,0
2704445717;8;1;1;0;19;6ubc4y1v6hr63mca7ica4hp90;1;54,4;72,0;2024-07-28T22:04:08.614Z;2024-07-28T22:56:39Z;[{'id': 5123611839, 'qualifierId': 212, 'value': '20.9'}, {'id': 5123611841, 'qualifierId': 213, 'value': '2.55'}, {'id': 5123611833, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123611835, 'qualifierId': 140, 'value': '37.9'}, {'id': 5123611837, 'qualifierId': 141, 'value': '89.1'}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;ec4em4t4txxyolmoj3xnzik9g;Pass;;;;;;;;;;;;37,9;89,1;2,55;20,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;37,9;89,1;;;;;;;0;0;0;19;Inter Miami II;19;MC;1,0
2704445743;9;1;1;0;24;6ubc4y1v6hr63mca7ica4hp90;1;30,1;75,2;2024-07-28T22:04:13.318Z;2024-07-28T22:04:25Z;[{'id': 5123612011, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123612019, 'qualifierId': 213, 'value': '4.09'}, {'id': 5123612013, 'qualifierId': 140, 'value': '16.2'}, {'id': 5123612015, 'qualifierId': 141, 'value': '45.5'}, {'id': 5123612017, 'qualifierId': 212, 'value': '24.9'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;ec4em4t4txxyolmoj3xnzik9g;Pass;;;;;;;;;;;;16,2;45,5;4,09;24,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;16,2;45,5;;;;;;;0;0;0;24;Inter Miami II;24;DC;1,0
2704471159;399;1;1;0;25;6ubc4y1v6hr63mca7ica4hp90;1;23,8;52,3;2024-07-28T22:04:13.979Z;2024-07-28T22:57:16Z;[{'id': 5123753187, 'qualifierId': 56, 'value': 'Back'}, {'id': 5123753195, 'qualifierId': 213, 'value': '1.31'}, {'id': 5123753191, 'qualifierId': 141, 'value': '69.9'}, {'id': 5123753193, 'qualifierId': 212, 'value': '12.4'}, {'id': 5123753189, 'qualifierId': 140, 'value': '26.9'}];2v9pdg70kewaarbz4jzsh00a2;C. Odunze;;;ec4em4t4txxyolmoj3xnzik9g;Pass;;;;;;;;;;;;26,9;69,9;1,31;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;26,9;69,9;;;;;;;0;0;0;25;Inter Miami II;25;GK;1,0
2704471293;400;1;1;0;26;6ubc4y1v6hr63mca7ica4hp90;1;24,3;69,7;2024-07-28T22:04:14.979Z;2024-07-28T22:57:24Z;[{'id': 5123754099, 'qualifierId': 140, 'value': '15.9'}, {'id': 5123754105, 'qualifierId': 213, 'value': '4.14'}, {'id': 5123754103, 'qualifierId': 212, 'value': '16.2'}, {'id': 5123754101, 'qualifierId': 141, 'value': '49.7'}, {'id': 5123754097, 'qualifierId': 56, 'value': 'Back'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;ec4em4t4txxyolmoj3xnzik9g;Pass;;;;;;;;;;;;15,9;49,7;4,14;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;15,9;49,7;;;;;;;0;0;0;26;Inter Miami II;26;DC;1,0
2704445759;10;1;1;0;30;6ubc4y1v6hr63mca7ica4hp90;1;17,6;45,1;2024-07-28T22:04:19.127Z;2024-07-28T22:57:36Z;[{'id': 5123612093, 'qualifierId': 213, 'value': '6.16'}, {'id': 5123612091, 'qualifierId': 212, 'value': '56.9'}, {'id': 5123612083, 'qualifierId': 157}, {'id': 5123612085, 'qualifierId': 56, 'value': 'Center'}, {'id': 5123612095, 'qualifierId': 1}, {'id': 5123612087, 'qualifierId': 140, 'value': '71.4'}, {'id': 5123612089, 'qualifierId': 141, 'value': '34.8'}];2v9pdg70kewaarbz4jzsh00a2;C. Odunze;;;ec4em4t4txxyolmoj3xnzik9g;Pass;;;;;;;;;;;;71,4;34,8;6,16;56,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;71,4;34,8;;;;;;;0;0;0;30;Inter Miami II;30;GK;1,0
2704445761;11;44;1;0;34;6ubc4y1v6hr63mca7ica4hp90;1;69,6;33,8;2024-07-28T22:04:23.552Z;2024-07-28T22:57:44Z;[{'id': 5123612101, 'qualifierId': 286}, {'id': 5123612121, 'qualifierId': 233, 'value': '5'}, {'id': 5123612099, 'qualifierId': 56, 'value': 'Center'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;ec4em4t4txxyolmoj3xnzik9g;Aerial;;;;;;;;;;;;;;;;;;;5,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;34;Inter Miami II;34;FW;1,0
2704445737;5;44;1;0;34;c7c4wwva2u1vb3rr7rwava044;0;30,4;66,2;2024-07-28T22:04:23.553Z;2024-07-28T22:58:53Z;[{'id': 5123611979, 'qualifierId': 285}, {'id': 5123612139, 'qualifierId': 233, 'value': '11'}, {'id': 5123611977, 'qualifierId': 56, 'value': 'Back'}];6lsvk9o6d581sd33g38mr6904;G. Ferraina;;;ec4em4t4txxyolmoj3xnzik9g;Aerial;;;;;;;;;;;;;;;;;;;11,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;0;0;0;34;Crown Legacy;34;DC;1,0
2704445781;12;1;1;0;35;6ubc4y1v6hr63mca7ica4hp90;1;71,3;34,8;2024-07-28T22:04:24.511Z;2024-07-28T22:57:46Z;[{'id': 5123612193, 'qualifierId': 168}, {'id': 5123612191, 'qualifierId': 3}, {'id': 5123612205, 'qualifierId': 213, 'value': '5.71'}, {'id': 5123612195, 'qualifierId': 56, 'value': 'Right'}, {'id': 5123612197, 'qualifierId': 140, 'value': '85.1'}, {'id': 5123612201, 'qualifierId': 212, 'value': '17.3'}, {'id': 5123612199, 'qualifierId': 141, 'value': '20.9'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;ec4em4t4txxyolmoj3xnzik9g;Pass;;;;;;;;;;;;85,1;20,9;5,71;17,3;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;85,1;20,9;;;;;;;0;0;0;35;Inter Miami II;35;FW;1,0
2704445785;13;61;1;0;38;6ubc4y1v6hr63mca7ica4hp90;0;84,7;20,0;2024-07-28T22:04:27.614Z;2024-07-28T23:00:42Z;[{'id': 5123612209, 'qualifierId': 56, 'value': 'Right'}];7bxp7ho4cmsoviw19q4bxr02c;B. Romero;;;ec4em4t4txxyolmoj3xnzik9g;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;38;Inter Miami II;38;MR;1,0
