id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_PlayerPosition;value_TeamFormation;value_Resume;value_JerseyNumber;value_Captain;value_TeamKit;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Angle;value_Zone;value_KickOff;value_Length;value_PassEndY;value_LongBall;value_Launch;value_OutOfPlay;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_TakeOnOvertake;value_TouchTypeControl;value_Defensive;value_DeletedEventType;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_SwitchOfPlay;value_OutSwinger;value_Cross;value_LeftFooted;value_IntentionalAssist;value_Assist;value_GkY;value_GoalmouthZ;value_RegularPlay;value_Assisted;value_FirstTouch;value_High;value_BoxCentre;value_GoalmouthY;value_RelatedEventId;value_GkX;value_NextEventGoalKick;value_Low;value_GoalKick;value_Chipped;value_BlockedPass;value_HeadPass;value_TouchTypePass;value_Overrun;value_YellowCard;value_TacticalFoul;value_Hands;value_ParriedSafe;value_Standing;value_BoxLeft;value_Left;value_FreeKick;value_BlockedY;value_LowCentre;value_RightFooted;value_OutOfBoxCentre;value_NotAssisted;value_BlockedX;value_Collected;value_LowGkIntervention;value_Stooping;value_KeeperThrow;value_TakeOnSpace;value_IntendedTackleTarget;value_TouchTypeClearance;value_MediumGkIntervention;value_OverArm;value_IndividualPlay;value_HighLeft;value_NotVisible;value_Head;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_SwerveLeft;value_HitBar;value_GkXTimeOfGoal;value_GoalShotGameClock;value_HitWoodwork;value_HighRight;value_InSwinger;value_SixYardBlocked;value_Blocked;value_LowLeft;value_DefBlock;value_CornerTaken;value_Shove/Push;value_RecklessOffence;value_BlockedCross;value_ShirtPull/Holding;value_HighGkIntervention;value_OtherObstacle;value_CloseRight;value_LayOff;value_NotPastGoalLine;value_SetPiece;value_HighClaim;value_BoxRight;value_MisHit;value_FlickOn;value_PlayersCaughtOffside;value_Indirect;value_GkHoof;value_AerialFoul;value_Minutes;value_GkKickFromHands;value_Right;value_DrivenCross;value_Straight;value_EndType;value_FromCorner;value_VideoCoverageLost;value_InjuredPlayerId;value_Injury;value_ThroughBall;value_BigChance;value_1On1;value_LowRight;value_OutOfBoxLeft;value_Penalty;value_PenaltyTakerId;value_AdvantagePlayed;value_Diving;value_Scored;value_FantasyAssistId;value_FantasyAssistedBy;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistTeam;value_CausingPlayer;value_FantasyAssistType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_FromShotOffTarget;value_CloseHigh;value_BlockedClearance;value_TimeWasting;value_6SecondsViolation;value_Feet;value_OwnPlayer;value_OwnShotBlocked;value_Volley;value_SavedOffLine;value_LastLine;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2720421217;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-09-14T23:07:41.201Z;2024-09-18T12:45:48Z;[{'id': 5211574445, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5211574439, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5211574443, 'qualifierId': 130, 'value': '8'}, {'id': 5211574447, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5211574441, 'qualifierId': 59, 'value': '99, 2, 22, 29, 20, 4, 17, 12, 13, 24, 10, 1, 14, 25, 11, 15, 6, 18, 26, 68'}, {'id': 5211795745, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5211773709, 'qualifierId': 197, 'value': '23613'}, {'id': 5211574437, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 74x5zysb9qkyyxuha65102z56, 5zhvp39a530j8j03lsrtk8bv8, clvcgt5ofonse0q96sppu7hg4, f0jwa1a61lxs31g47csjv7itw, 2d9cw6dcm2wsgrr8mj5rt6zje, 4t078b0rnzmi8u83wzmdwze38, f3uzkdl46t1mujsddhr5tg07o, 1nbbgew67td8zayaffvr1zcb8, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, 8qgdg40qe62yreujy7rueil0p, 3acyax22zfwdjw0cpgg4x7dre, 4n2c7qt6r6qqhzjs64nvytqs, ami9xddgghvnly4mwtdj2tlyi, 8p0k65b4c26ssfk0zh43lme7e, 1y1nw8t5bj1r6dqie0v1i189g, 11ppoeb5n4q657bwbg4cdxck, 2m4ey78f4i74njf3xsycaufx0, 1d3o1u737jwck27g5ql2pp3vt'}];;;;;50r1ri4sye74kl9g9wzu8r9w;Team set up;;;8,0;;;;23613,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2720428935;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-14T23:19:00.674Z;2024-09-15T00:50:12Z;[{'id': 5211774095, 'qualifierId': 197, 'value': '18743'}, {'id': 5211613835, 'qualifierId': 130, 'value': '2'}, {'id': 5211613837, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5211613831, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5211613829, 'qualifierId': 30, 'value': '91zaobrhwte235umn6y1mklxw, ds4avrkvrp4jxq9lp02ssci22, 3xd2kq7cxmvdbqsfzgi644c4q, avxfzgoe2y0opif75qu3aeb6c, exk9svcdgcbn05ms00fhorvv8, 9b29l83qhedv79h20lgyu9tqt, 4ywn289r9mrs444sgkgduyivo, 3ve0xap9f0gjsslhgjsmakx04, 4dri4lv9b4w3mz8aj3329qjh0, 9qhpi9y9iujvkbocafhgrj04q, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, doqbp8fg8hke6hhifdr4jzklw, 35i699wz5v6nush729peu776c, 4npcsyrhri5kmeks8gfon146i, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi, 2dzabfothgpxefwrm4uqs0w0k, f4q1z0logmdgjog9tao0wt05w'}, {'id': 5211613833, 'qualifierId': 59, 'value': '42, 35, 44, 43, 39, 6, 25, 48, 17, 60, 27, 41, 56, 71, 51, 86, 97, 95, 63'}, {'id': 5211613839, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5211987519, 'qualifierId': 194, 'value': 'exk9svcdgcbn05ms00fhorvv8'}];;;;;50r1ri4sye74kl9g9wzu8r9w;Team set up;;;2,0;;;;18743,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;Carolina Core;0;;
2720459223;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-09-15T00:04:30.256Z;2024-09-18T05:52:36Z;[{'id': 5211777049, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;50r1ri4sye74kl9g9wzu8r9w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;;0;0;0;Crown Legacy;0;;
2720459213;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-15T00:04:30.256Z;2024-09-15T00:04:30Z;[{'id': 5211777015, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;50r1ri4sye74kl9g9wzu8r9w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;0;Carolina Core;0;;
2720459267;3;1;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;50,2;50,1;2024-09-15T00:04:30.257Z;2024-09-15T00:04:35Z;[{'id': 5211777285, 'qualifierId': 140, 'value': '33.3'}, {'id': 5211777295, 'qualifierId': 213, 'value': '2.24'}, {'id': 5211777283, 'qualifierId': 56, 'value': 'Back'}, {'id': 5211777299, 'qualifierId': 279, 'value': 'S'}, {'id': 5211777291, 'qualifierId': 212, 'value': '28.7'}, {'id': 5211777287, 'qualifierId': 141, 'value': '83.3'}];4dri4lv9b4w3mz8aj3329qjh0;I. Toklomati;;;50r1ri4sye74kl9g9wzu8r9w;Pass;;;;;;;;;;33,3;2,24;;;28,7;83,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;33,3;83,3;;;;;;;;0;0;0;Carolina Core;0;FW;1,0
2720459313;4;1;1;0;5;6ubc4y1v6hr63mca7ica4hp90;0;33,5;82,2;2024-09-15T00:04:35.536Z;2024-09-15T00:04:39Z;[{'id': 5211777525, 'qualifierId': 140, 'value': '83.6'}, {'id': 5211777523, 'qualifierId': 56, 'value': 'Left'}, {'id': 5211777529, 'qualifierId': 212, 'value': '52.8'}, {'id': 5211777531, 'qualifierId': 213, 'value': '0.09'}, {'id': 5211777533, 'qualifierId': 1}, {'id': 5211777527, 'qualifierId': 141, 'value': '89.4'}, {'id': 5211777521, 'qualifierId': 157}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;50r1ri4sye74kl9g9wzu8r9w;Pass;;;;;;;;;;83,6;0,09;;;52,8;89,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;83,6;89,4;;;;;;;;0;0;5;Carolina Core;5;DC;1,0
2720459325;3;12;1;0;9;2nnef9tr9g7m2s6n873qif95g;1;16,3;12,0;2024-09-15T00:04:39.293Z;2024-09-15T00:04:40Z;[{'id': 5211777583, 'qualifierId': 141, 'value': '0.0'}, {'id': 5211777625, 'qualifierId': 167}, {'id': 5211777585, 'qualifierId': 212, 'value': '11.0'}, {'id': 5211777579, 'qualifierId': 56, 'value': 'Back'}, {'id': 5211777587, 'qualifierId': 213, 'value': '5.24'}, {'id': 5211777581, 'qualifierId': 140, 'value': '21.6'}];74x5zysb9qkyyxuha65102z56;D. Chica;;;50r1ri4sye74kl9g9wzu8r9w;Clearance;;;;;;;;;;21,6;5,24;;;11,0;0,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;21,6;0,0;;;;;;;;0;0;9;Crown Legacy;9;DR;1,0
2720459329;4;5;1;0;9;2nnef9tr9g7m2s6n873qif95g;0;20,8;-1,7;2024-09-15T00:04:40.063Z;2024-09-15T00:44:24Z;[{'id': 5211777619, 'qualifierId': 347}, {'id': 5211778187, 'qualifierId': 233, 'value': '5'}, {'id': 5211777617, 'qualifierId': 56, 'value': 'Back'}];74x5zysb9qkyyxuha65102z56;D. Chica;;;50r1ri4sye74kl9g9wzu8r9w;Out;;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;;0;0;9;Crown Legacy;9;DR;1,0
2720459429;5;5;1;0;9;6ubc4y1v6hr63mca7ica4hp90;1;79,2;101,7;2024-09-15T00:04:40.063Z;2024-09-15T00:44:24Z;[{'id': 5211778161, 'qualifierId': 347}, {'id': 5211778181, 'qualifierId': 233, 'value': '4'}, {'id': 5211778159, 'qualifierId': 56, 'value': 'Left'}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;50r1ri4sye74kl9g9wzu8r9w;Out;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;;0;0;9;Carolina Core;9;DC;1,0
2720459479;6;1;1;0;18;6ubc4y1v6hr63mca7ica4hp90;1;80,5;100,0;2024-09-15T00:04:48.919Z;2024-09-15T00:04:52Z;[{'id': 5211778415, 'qualifierId': 141, 'value': '83.9'}, {'id': 5211778413, 'qualifierId': 140, 'value': '80.9'}, {'id': 5211778419, 'qualifierId': 213, 'value': '4.75'}, {'id': 5211778417, 'qualifierId': 212, 'value': '11.7'}, {'id': 5211778411, 'qualifierId': 56, 'value': 'Left'}, {'id': 5211778407, 'qualifierId': 107}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;50r1ri4sye74kl9g9wzu8r9w;Pass;;;;;;;;;;80,9;4,75;;;11,7;83,9;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;80,9;83,9;;;;;;;;0;0;18;Carolina Core;18;DC;1,0
