id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_Involved;value_Resume;value_TeamKit;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_Length;value_KickOff;value_PassEndY;value_PassEndX;value_Zone;value_Angle;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TakeOnOvertake;value_TouchTypeClearance;value_OutSwinger;value_Cross;value_BlockedPass;value_LeftFooted;value_BlockedCross;value_NextEventGoalKick;value_GoalKick;value_Low;value_LeadingToGoal;value_RelatedError1Id;value_GoalmouthZ;value_GkY;value_GkYTimeOfGoal;value_GoalmouthY;value_RegularPlay;value_HighRight;value_FirstTouch;value_NotAssisted;value_GkXTimeOfGoal;value_KeeperTouched;value_OutOfBoxCentre;value_GkX;value_IndividualPlay;value_GoalShotTimestamp;value_GoalShotGameClock;value_Chipped;value_DeletedEventType;value_TakeOnSpace;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_ShirtPull/Holding;value_IntendedTackleTarget;value_FlickOn;value_PlayersCaughtOffside;value_Indirect;value_Assist;value_RelatedEventId;value_BlockedX;value_Assisted;value_LowRight;value_Blocked;value_BlockedY;value_DefBlock;value_Right;value_Left;value_CornerTaken;value_InSwinger;value_Head;value_RightFooted;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_LayOff;value_ThroughBall;value_IntentionalAssist;value_BoxCentre;value_BigChance;value_Feet;value_Sliding;value_ParriedSafe;value_LowGkIntervention;value_Volley;value_LowCentre;value_SmallBoxCentre;value_FromCorner;value_TouchTypeControl;value_BoxRight;value_OverhitCross;value_LastLine;value_TouchTypePass;value_NotVisible;value_DrivenCross;value_Straight;value_CloseRightAndHigh;value_BoxLeft;value_SwerveLeft;value_YellowCard;value_RecklessOffence;value_SwitchOfPlay;value_High;value_Shove/Push;value_IncorrectOutOfPlayDecision;value_1On1;value_SmallBoxLeft;value_Diving;value_ParriedDanger;value_Hands;value_Minutes;value_EndType;value_MediumGkIntervention;value_Handball;value_FreeKick;value_ByWall;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Standing;value_OtherBodyPart;value_HighCentre;value_FastBreak;value_LeadingToAttempt;value_Fumble;value_Stooping;value_CaptainChange;value_Review;value_Overrun;value_OverArm;value_TimeWasting;value_TacticalFoul;value_HighLeft;value_HitBar;value_HitWoodwork;value_SetPiece;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2686919921;933;5;2;86;5;d0c07im4a6oj8qa7f1zlt3pqs;0;85,6;101,4;2024-05-13T00:47:41.505Z;2024-05-19T20:08:43Z;[{'id': 5027329341, 'qualifierId': 56, 'value': 'Left'}, {'id': 5027329343, 'qualifierId': 347}, {'id': 5027329765, 'qualifierId': 233, 'value': '547'}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;;ct2ob3pixhlv04n24q2tbvthw;Out;;;;;;;;;;;;;;;;;;;547,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;86;5;St. Louis City II;5165;DC;1,0
2686920013;548;1;2;86;12;dqx48fglv1l96cyrmjdod0xec;1;14,1;0,0;2024-05-13T00:47:48.619Z;2024-05-13T00:47:51Z;[{'id': 5027329879, 'qualifierId': 107}, {'id': 5027329885, 'qualifierId': 141, 'value': '5.3'}, {'id': 5027329889, 'qualifierId': 213, 'value': '0.33'}, {'id': 5027329883, 'qualifierId': 140, 'value': '26.5'}, {'id': 5027329881, 'qualifierId': 56, 'value': 'Back'}, {'id': 5027329887, 'qualifierId': 212, 'value': '13.8'}];7h6a0x05z2laewfq7spicxwd0;N. McGuire;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;13,8;;5,3;26,5;;0,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;26,5;5,3;;;;;;;0;0;86;12;Austin II;5172;Sub;1,0
2686920017;549;50;2;86;13;dqx48fglv1l96cyrmjdod0xec;1;29,9;4,8;2024-05-13T00:47:50.015Z;2024-05-13T00:47:52Z;[{'id': 5027329911, 'qualifierId': 285}, {'id': 5027329933, 'qualifierId': 233, 'value': '934'}, {'id': 5027329909, 'qualifierId': 56, 'value': 'Back'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;ct2ob3pixhlv04n24q2tbvthw;Dispossessed;;;;;;;;;;;;;;;;;;1,0;934,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;86;13;Austin II;5173;Sub;1,0
2686920001;934;7;2;86;13;d0c07im4a6oj8qa7f1zlt3pqs;0;70,1;95,2;2024-05-13T00:47:50.016Z;2024-05-19T20:08:57Z;[{'id': 5027329927, 'qualifierId': 233, 'value': '549'}, {'id': 5027329833, 'qualifierId': 56, 'value': 'Left'}, {'id': 5043423223, 'qualifierId': 385}, {'id': 5027329931, 'qualifierId': 286}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;;ct2ob3pixhlv04n24q2tbvthw;Tackle;;;;;;;;;;;;;;;;;;;549,0;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;86;13;St. Louis City II;5173;MC;1,0
2686920067;550;1;2;86;16;dqx48fglv1l96cyrmjdod0xec;1;36,0;4,4;2024-05-13T00:47:53.196Z;2024-05-13T00:47:58Z;[{'id': 5027330203, 'qualifierId': 56, 'value': 'Center'}, {'id': 5027330209, 'qualifierId': 212, 'value': '50.8'}, {'id': 5027330201, 'qualifierId': 196}, {'id': 5027330205, 'qualifierId': 140, 'value': '60.3'}, {'id': 5027330199, 'qualifierId': 155}, {'id': 5027330213, 'qualifierId': 1}, {'id': 5027330211, 'qualifierId': 213, 'value': '1.04'}, {'id': 5027330207, 'qualifierId': 141, 'value': '69.0'}];92oqt9q51us5rpmqmvvrdso6i;R. Becher;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;50,8;;69,0;60,3;;1,04;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;60,3;69,0;;;;;;;0;0;86;16;Austin II;5176;Sub;1,0
2686920071;551;50;2;86;21;dqx48fglv1l96cyrmjdod0xec;1;68,4;76,8;2024-05-13T00:47:58.166Z;2024-05-13T00:48:03Z;[{'id': 5027330439, 'qualifierId': 233, 'value': '935'}, {'id': 5027330227, 'qualifierId': 286}, {'id': 5027330225, 'qualifierId': 56, 'value': 'Center'}];5jigl7kp5d2i5ws1602jm7n1m;J. Klein;;;ct2ob3pixhlv04n24q2tbvthw;Dispossessed;;;;;;;;;;;;;;;;;;;935,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;86;21;Austin II;5181;FWR;1,0
2686920073;935;7;2;86;21;d0c07im4a6oj8qa7f1zlt3pqs;1;31,6;23,2;2024-05-13T00:47:58.167Z;2024-05-19T20:09:05Z;[{'id': 5027330245, 'qualifierId': 285}, {'id': 5027330287, 'qualifierId': 233, 'value': '551'}, {'id': 5027330243, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043423951, 'qualifierId': 383}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;ct2ob3pixhlv04n24q2tbvthw;Tackle;;;;;;;;;;;;;;;;;;1,0;551,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;86;21;St. Louis City II;5181;Sub;1,0
2686920075;936;61;2;86;23;d0c07im4a6oj8qa7f1zlt3pqs;1;28,3;15,0;2024-05-13T00:47:59.649Z;2024-05-13T00:48:00Z;[{'id': 5027330249, 'qualifierId': 56, 'value': 'Back'}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;;ct2ob3pixhlv04n24q2tbvthw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;86;23;St. Louis City II;5183;Sub;1,0
2686920091;937;49;2;86;24;d0c07im4a6oj8qa7f1zlt3pqs;1;29,9;18,5;2024-05-13T00:48:01.160Z;2024-05-13T00:48:01Z;[];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;ct2ob3pixhlv04n24q2tbvthw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;0;0;86;24;St. Louis City II;5184;MC;1,0
2686920125;938;1;2;86;26;d0c07im4a6oj8qa7f1zlt3pqs;0;32,6;18,3;2024-05-13T00:48:02.697Z;2024-05-13T00:48:04Z;[{'id': 5027330527, 'qualifierId': 155}, {'id': 5027330537, 'qualifierId': 213, 'value': '0.07'}, {'id': 5027330535, 'qualifierId': 212, 'value': '62.7'}, {'id': 5027330529, 'qualifierId': 56, 'value': 'Center'}, {'id': 5027330533, 'qualifierId': 141, 'value': '25.0'}, {'id': 5027330539, 'qualifierId': 1}, {'id': 5027330531, 'qualifierId': 140, 'value': '92.2'}];ov91zkisppven9tp72gfbjf8;B. Byaruhanga;;;ct2ob3pixhlv04n24q2tbvthw;Pass;;;;;;;;;;62,7;;25,0;92,2;;0,07;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;92,2;25,0;;;;;;;0;0;86;26;St. Louis City II;5186;MC;1,0
