id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_PlayerPosition;value_Resume;value_Captain;value_TeamKit;value_TeamFormation;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Chipped;value_HeadPass;value_LayOff;value_DeletedEventType;value_Offensive;value_BlockedPass;value_Defensive;value_Assist;value_RegularPlay;value_IndividualPlay;value_GkX;value_BlockedX;value_BlockedY;value_OwnPlayer;value_RelatedEventId;value_OutOfBoxCentre;value_Blocked;value_FirstTouch;value_GkY;value_GoalmouthY;value_RightFooted;value_GoalmouthZ;value_Assisted;value_LowRight;value_OwnShotBlocked;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_Left;value_CornerTaken;value_Cross;value_InSwinger;value_Shove/Push;value_OutSwinger;value_Head;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_OverhitCross;value_NextEventGoalKick;value_GoalKick;value_Low;value_YellowCard;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_IntendedTackleTarget;value_IntentionalAssist;value_MisHit;value_BoxCentre;value_LeftFooted;value_Standing;value_Collected;value_Hands;value_LowGkIntervention;value_NotVisible;value_ShirtPull/Holding;value_TakeOnSpace;value_TouchTypeControl;value_TouchTypePass;value_OverArm;value_KeeperThrow;value_Overrun;value_NotAssisted;value_High;value_FreeKick;value_SetPiece;value_LowCentre;value_DefBlock;value_TempPost;value_FlickOn;value_FantasyAssistId;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_LowLeft;value_SmallBoxLeft;value_FantasyAssistTeam;value_ThrowInSetPiece;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotGameClock;value_Volley;value_Unchallenged;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_LeadingToAttempt;value_SixYardBlocked;value_RelatedError1Id;value_MediumGkIntervention;value_GkKickFromHands;value_Right;value_FromCorner;value_HighGkIntervention;value_HighClaim;value_BoxRight;value_HighLeft;value_NotPastGoalLine;value_Minutes;value_GkHoof;value_EndType;value_ThroughBall;value_DrivenCross;value_Straight;value_BlockedCross;value_Defensive1V1;value_Tactical;value_HighRight;value_BoxDeepRight;value_Caught;value_FloatedCross;value_BigChance;value_1On1;value_CloseRight;value_Argument;value_Handball;value_CloseLeftAndHigh;value_BoxLeft;value_Feet;value_Sliding;value_ParriedSafe;value_DangerousPlay;value_TimeWasting;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673260711;710;5;2;79;12;cbip96wzs3jc2xadoluhhxotl;0;55,9;101,1;2024-04-15T02:44:49.087Z;2024-04-15T03:02:05Z;[{'id': 4953241589, 'qualifierId': 233, 'value': '766'}, {'id': 4953241297, 'qualifierId': 347}, {'id': 4953241295, 'qualifierId': 56, 'value': 'Left'}];17x0wwjg47boyx7jua6vqf0gk;M. Bell;;c8lmri7qkud4qv38izu82njtg;Out;;;;;;;;;;;;;;;;;;1,0;766,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;79;12;The Town;4752;ML;1,0
2673260693;766;5;2;79;12;ew2zirzye0sw1txr2m33nr25y;1;44,1;-1,1;2024-04-15T02:44:49.087Z;2024-04-15T02:45:06Z;[{'id': 4953241583, 'qualifierId': 233, 'value': '710'}, {'id': 4953241225, 'qualifierId': 56, 'value': 'Back'}, {'id': 4953241229, 'qualifierId': 347}];dqa88ma3jbk33lsyzo45uy2cq;A. Cano;;c8lmri7qkud4qv38izu82njtg;Out;;;;;;;;;;;;;;;;;;1,0;710,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;79;12;Real Monarchs;4752;DL;1,0
2673260741;767;1;2;79;21;ew2zirzye0sw1txr2m33nr25y;1;43,9;0,0;2024-04-15T02:44:58.270Z;2024-04-15T03:06:52Z;[{'id': 4953241453, 'qualifierId': 141, 'value': '13.6'}, {'id': 4953241601, 'qualifierId': 107}, {'id': 4953241455, 'qualifierId': 212, 'value': '34.2'}, {'id': 4953241449, 'qualifierId': 56, 'value': 'Right'}, {'id': 4953241459, 'qualifierId': 1}, {'id': 4953241451, 'qualifierId': 140, 'value': '75.0'}, {'id': 4953241457, 'qualifierId': 213, 'value': '0.30'}];3etb72wtwcrim97dyp9g2px5g;O. Verhoeven;;c8lmri7qkud4qv38izu82njtg;Pass;;;;;;;;;;0,3;75,0;;34,2;13,6;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;75,0;13,6;;;;;;;0;0;79;21;Real Monarchs;4761;DR;1,0
2673260743;768;1;2;79;24;ew2zirzye0sw1txr2m33nr25y;1;75,1;13,6;2024-04-15T02:45:01.142Z;2024-04-18T16:59:55Z;[{'id': 4953241483, 'qualifierId': 141, 'value': '26.9'}, {'id': 4953241491, 'qualifierId': 213, 'value': '2.16'}, {'id': 4953241477, 'qualifierId': 56, 'value': 'Center'}, {'id': 4953241487, 'qualifierId': 212, 'value': '10.9'}, {'id': 4953241479, 'qualifierId': 140, 'value': '69.3'}];5n1wehugx0qtun8oopg2jbndg;C. Medina;;c8lmri7qkud4qv38izu82njtg;Pass;;;;;;;;;;2,16;69,3;;10,9;26,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;69,3;26,9;;;;;;;0;0;79;24;Real Monarchs;4764;MC;1,0
2674444571;893;3;2;79;25;ew2zirzye0sw1txr2m33nr25y;0;61,8;15,6;2024-04-15T02:45:02.038Z;2024-04-18T16:59:53Z;[{'id': 4959565547, 'qualifierId': 465}, {'id': 4959565545, 'qualifierId': 286}, {'id': 4959565549, 'qualifierId': 467, 'value': 'asy97zdxk0352toy38huzk222'}, {'id': 4959565543, 'qualifierId': 56, 'value': 'Right'}];dwyatw1wz3nrh1fcwu27ie8ve;A. Edwards;;c8lmri7qkud4qv38izu82njtg;Take On;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;79;25;Real Monarchs;4765;FWR;1,0
2673260751;769;4;2;79;26;ew2zirzye0sw1txr2m33nr25y;1;66,4;23,9;2024-04-15T02:45:03.439Z;2024-04-15T02:45:05Z;[{'id': 4953241515, 'qualifierId': 286}, {'id': 4953241511, 'qualifierId': 152}, {'id': 4953241555, 'qualifierId': 233, 'value': '712'}, {'id': 4953241509, 'qualifierId': 56, 'value': 'Center'}, {'id': 4953241507, 'qualifierId': 13}, {'id': 4953241513, 'qualifierId': 265}];dwyatw1wz3nrh1fcwu27ie8ve;A. Edwards;;c8lmri7qkud4qv38izu82njtg;Foul;;;;;;;;;;;;;;;;;;;712,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;79;26;Real Monarchs;4766;FWR;1,0
2673260747;712;4;2;79;26;cbip96wzs3jc2xadoluhhxotl;0;33,6;76,1;2024-04-15T02:45:03.440Z;2024-04-15T02:45:13Z;[{'id': 4953241553, 'qualifierId': 285}, {'id': 4953241703, 'qualifierId': 55, 'value': '713'}, {'id': 4953241545, 'qualifierId': 13}, {'id': 4953241551, 'qualifierId': 265}, {'id': 4953241547, 'qualifierId': 56, 'value': 'Back'}, {'id': 4953241549, 'qualifierId': 152}, {'id': 4953241559, 'qualifierId': 233, 'value': '769'}];asy97zdxk0352toy38huzk222;T. Silva;;c8lmri7qkud4qv38izu82njtg;Foul;;;;;;;;;;;;;;;;;;;769,0;;;;;;;;1,0;;;;;;;;713,0;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;713,0;asy97zdxk0352toy38huzk222;0;0;79;26;The Town;4766;DC;1,0
2673260761;713;17;2;79;29;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-04-15T02:45:06.107Z;2024-04-18T17:00:10Z;[{'id': 4953241691, 'qualifierId': 31}, {'id': 4953241697, 'qualifierId': 55, 'value': '712'}, {'id': 4953241693, 'qualifierId': 392}, {'id': 4953241695, 'qualifierId': 13, 'value': '243'}];asy97zdxk0352toy38huzk222;T. Silva;;c8lmri7qkud4qv38izu82njtg;Card;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;712,0;;;;;;;;;;;243,0;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;712,0;asy97zdxk0352toy38huzk222;0;0;79;29;The Town;4769;DC;1,0
2673260983;770;1;2;80;18;ew2zirzye0sw1txr2m33nr25y;1;62,7;13,3;2024-04-15T02:45:55.105Z;2024-04-18T17:00:44Z;[{'id': 4953242789, 'qualifierId': 210, 'value': '13'}, {'id': 4953242617, 'qualifierId': 213, 'value': '0.69'}, {'id': 4953242611, 'qualifierId': 140, 'value': '93.7'}, {'id': 4953242609, 'qualifierId': 56, 'value': 'Center'}, {'id': 4959566491, 'qualifierId': 224}, {'id': 4953242601, 'qualifierId': 2}, {'id': 4953242607, 'qualifierId': 152}, {'id': 4953242621, 'qualifierId': 1}, {'id': 4953242605, 'qualifierId': 155}, {'id': 4959566493, 'qualifierId': 20}, {'id': 4953242603, 'qualifierId': 5}, {'id': 4953242613, 'qualifierId': 141, 'value': '53.2'}, {'id': 4953242615, 'qualifierId': 212, 'value': '42.4'}, {'id': 4953242791, 'qualifierId': 154}];1bmbt6h6bsiimpzxt07cqwfvu;E. Blancas;1,0;c8lmri7qkud4qv38izu82njtg;Pass;;;;;;;;;;0,69;93,7;;42,4;53,2;;1,0;;;;;1,0;;;;;;;13,0;;;;;;;;;;;;;1,0;;;;;;;1,0;1,0;;;1,0;;;1,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;93,7;53,2;;;;;;;0;0;80;18;Real Monarchs;4818;FW;1,0
2673260989;771;44;2;80;21;ew2zirzye0sw1txr2m33nr25y;1;94,6;59,6;2024-04-15T02:45:58.529Z;2024-04-15T02:46:00Z;[{'id': 4953242631, 'qualifierId': 56, 'value': 'Center'}, {'id': 4953242633, 'qualifierId': 286}, {'id': 4953242665, 'qualifierId': 233, 'value': '714'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;c8lmri7qkud4qv38izu82njtg;Aerial;;;;;;;;;;;;;;;;;;;714,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;80;21;Real Monarchs;4821;DC;1,0
