id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Resume;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_TeamFormation;value_Involved;value_JerseyNumber;value_PlayerPosition;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_Zone;value_Angle;value_LayOff;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_Chipped;value_Direct;value_Foul;value_Shove/Push;value_Defensive;value_Offensive;value_FreeKickTaken;value_BlockedPass;value_TakeOnSpace;value_GoalmouthY;value_IndividualPlay;value_GoalmouthZ;value_RelatedEventId;value_GkY;value_LeftFooted;value_FirstTouch;value_RegularPlay;value_OutOfBoxCentre;value_GkX;value_Assisted;value_CloseRight;value_NextEventGoalKick;value_GoalKick;value_Low;value_HeadPass;value_DeletedEventType;value_Left;value_RightFooted;value_InSwinger;value_CornerTaken;value_Cross;value_Head;value_OutSwinger;value_LowGkIntervention;value_IntendedTackleTarget;value_TouchTypePass;value_TouchTypeControl;value_Assist;value_BoxCentre;value_Weak;value_MisHit;value_BlockedX;value_BlockedY;value_NotAssisted;value_NotPastGoalLine;value_TakeOnOvertake;value_OutOfPlay;value_FairPlay;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_SwitchOfPlay;value_FlickOn;value_IntentionalAssist;value_PullBack;value_Right;value_ThroughBall;value_Volley;value_BoxRight;value_High;value_Blocked;value_LowLeft;value_DefBlock;value_LowCentre;value_MediumGkIntervention;value_KeeperThrow;value_PlayersCaughtOffside;value_Indirect;value_HighLeft;value_ShirtPull/Holding;value_NotVisible;value_AttemptedTackle;value_LowRight;value_Standing;value_ParriedDanger;value_Fumble;value_Hands;value_HighGkIntervention;value_Minutes;value_GkKickFromHands;value_Overrun;value_EndType;value_CloseLeft;value_NotRetreating;value_YellowCard;value_FromCorner;value_RecklessOffence;value_BigChance;value_SmallBoxRight;value_SetPiece;value_Tactical;value_TacticalFoul;value_HighClaim;value_PenaltyTakerId;value_Penalty;value_Diving;value_Scored;value_KeeperTouched;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistId;value_CausingPlayer;value_GoalShotGameClock;value_FantasyAssistedBy;value_FantasyAssistTeam;value_GoalShotTimestamp;value_HighRight;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_FantasyAssistType;value_AerialFoul;value_Argument;value_OverArm;value_FreeKick;value_BoxDeepRight;value_ParriedSafe;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_NewStartTime;value_OfficiallyAnnounced;value_WeatherProblem;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2692561585;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-05-26T22:11:07.090Z;2024-05-27T01:36:10Z;[{'id': 5058117989, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058416527, 'qualifierId': 194, 'value': '910fd7rfysvvfzp2s1ywna5pm'}, {'id': 5058117987, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058416529, 'qualifierId': 197, 'value': '15030'}, {'id': 5058117985, 'qualifierId': 130, 'value': '2'}, {'id': 5058117979, 'qualifierId': 30, 'value': '37vbc16ejxmfkssydcdxq69zo, 5hxlj4ash5nuwnt40mf5af46h, 7zkzjmk1go1u2vi5qkqlmezu, 272xwghmibw1wnptcoz6xpex, 910fd7rfysvvfzp2s1ywna5pm, 9ulwk81vyj5rbz88h62i2ejv8, en6q7ddrr22sz6knipkbqhyw9, dpedfgxin5nc4qmziaokpmiy2, e9jko5f45qmjw3va7cp05l5w4, f2nvagw4mjjpn1ytj6rdl5ene, 5jigl7kp5d2i5ws1602jm7n1m, 276kl5oc1k19y1linbxml0xec, 2dqtrnq0k1fphyw71yh41gvtg, 3dyn7hheqvs3gm3m84jrra9lg, 92oqt9q51us5rpmqmvvrdso6i, 9gswafduy82n4o6f0uk0khhck, 632mpv8dpnxjm69f8ip1e4l5g, bbnk87q7t8pahznohwjjcvu5m, 8bwjj53jwbsi0emx370uka5g4, 8hg6c5ehhaa37lwduf5977i3u'}, {'id': 5058117983, 'qualifierId': 59, 'value': '55, 2, 99, 20, 40, 50, 75, 43, 85, 80, 41, 42, 33, 49, 56, 59, 64, 72, 77, 88'}, {'id': 5058117981, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;d2v2vy5vpe9rs1h6y1a3zp8gk;Team set up;;;;15030,0;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;The Town;0;;
2692564071;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-05-26T22:16:48.937Z;2024-05-27T01:33:56Z;[{'id': 5058130967, 'qualifierId': 30, 'value': '71y61qa3ywym9sa89dpkzfcyy, 3etb72wtwcrim97dyp9g2px5g, 3q8dpwqkikbugz3ikwcmkbg4q, 1on6mxrbdqnh12s4h1y0vb3mc, 35jkg2v338kipzlf0iwvvypuy, 79z5vt08ga8prn33vi2a260kq, dwyatw1wz3nrh1fcwu27ie8ve, dhrxi7hj8xh15ky7q6u5wqi5m, 1bmbt6h6bsiimpzxt07cqwfvu, 5n1wehugx0qtun8oopg2jbndg, 7jtxek694d60c5udhyv0zsjro, cac9hjmdwt1gsz0qt3f6d4b2s, bpfl7nj8llr3dfadhtju52rro, ekjdow8ebvcf1fnuqgds9wtg4, dqa88ma3jbk33lsyzo45uy2cq, 4ozih7wnybdxb1wgvd5fkjp5g, 49ag6csupgt40gbs2snq1xs7o, f2nxaemhqi8kbtbejnqekgd4a'}, {'id': 5058130971, 'qualifierId': 59, 'value': '41, 33, 72, 38, 63, 77, 50, 64, 60, 99, 71, 52, 54, 59, 66, 68, 75, 78'}, {'id': 5058130969, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5058416363, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}, {'id': 5058416365, 'qualifierId': 197, 'value': '15999'}, {'id': 5058130977, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058130975, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058130973, 'qualifierId': 130, 'value': '7'}];;;;d2v2vy5vpe9rs1h6y1a3zp8gk;Team set up;;;;15999,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2692617685;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-05-27T01:30:50.214Z;2024-05-27T01:30:51Z;[{'id': 5058420675, 'qualifierId': 127, 'value': 'Left to Right'}];;;;d2v2vy5vpe9rs1h6y1a3zp8gk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2692617683;3;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-05-27T01:30:50.214Z;2024-05-31T11:36:26Z;[{'id': 5058420659, 'qualifierId': 127, 'value': 'Right to Left'}];;;;d2v2vy5vpe9rs1h6y1a3zp8gk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;The Town;0;;
2692617687;4;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;50,0;50,0;2024-05-27T01:30:50.215Z;2024-05-27T01:30:54Z;[{'id': 5058420701, 'qualifierId': 140, 'value': '31.5'}, {'id': 5058420709, 'qualifierId': 279, 'value': 'S'}, {'id': 5058420705, 'qualifierId': 212, 'value': '19.9'}, {'id': 5058420703, 'qualifierId': 141, 'value': '43.6'}, {'id': 5058420699, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058420707, 'qualifierId': 213, 'value': '3.36'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;d2v2vy5vpe9rs1h6y1a3zp8gk;Pass;;;;;;;;;;31,5;;19,9;43,6;;3,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;31,5;43,6;;;;;;;;0;0;0;The Town;0;FW;1,0
2692617693;5;1;1;0;4;dqx48fglv1l96cyrmjdod0xec;1;32,2;44,5;2024-05-27T01:30:54.526Z;2024-05-27T01:30:58Z;[{'id': 5058420749, 'qualifierId': 212, 'value': '15.0'}, {'id': 5058420743, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058420745, 'qualifierId': 140, 'value': '34.1'}, {'id': 5058420747, 'qualifierId': 141, 'value': '66.3'}, {'id': 5058420751, 'qualifierId': 213, 'value': '1.44'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;d2v2vy5vpe9rs1h6y1a3zp8gk;Pass;;;;;;;;;;34,1;;15,0;66,3;;1,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;34,1;66,3;;;;;;;;0;0;4;The Town;4;DL;1,0
2692617699;6;1;1;0;8;dqx48fglv1l96cyrmjdod0xec;1;43,6;69,4;2024-05-27T01:30:58.791Z;2024-05-27T01:31:00Z;[{'id': 5058420775, 'qualifierId': 213, 'value': '5.72'}, {'id': 5058420773, 'qualifierId': 212, 'value': '6.8'}, {'id': 5058420771, 'qualifierId': 141, 'value': '64.0'}, {'id': 5058420767, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058420769, 'qualifierId': 140, 'value': '49.1'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;d2v2vy5vpe9rs1h6y1a3zp8gk;Pass;;;;;;;;;;49,1;;6,8;64,0;;5,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;49,1;64,0;;;;;;;;0;0;8;The Town;8;DC;1,0
2692617707;7;1;1;0;9;dqx48fglv1l96cyrmjdod0xec;1;44,8;67,5;2024-05-27T01:30:59.979Z;2024-05-31T13:10:25Z;[{'id': 5058420813, 'qualifierId': 141, 'value': '41.2'}, {'id': 5058420815, 'qualifierId': 212, 'value': '22.2'}, {'id': 5058420809, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058420817, 'qualifierId': 213, 'value': '4.08'}, {'id': 5062734003, 'qualifierId': 156}, {'id': 5058420811, 'qualifierId': 140, 'value': '32.2'}];dpedfgxin5nc4qmziaokpmiy2;C. Cilley;;d2v2vy5vpe9rs1h6y1a3zp8gk;Pass;;;;;;;;;;32,2;;22,2;41,2;;4,08;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;32,2;41,2;;;;;;;;0;0;9;The Town;9;MC;1,0
2692617715;8;1;1;0;14;dqx48fglv1l96cyrmjdod0xec;1;31,4;34,6;2024-05-27T01:31:04.712Z;2024-05-27T01:31:07Z;[{'id': 5058420863, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058420871, 'qualifierId': 213, 'value': '5.97'}, {'id': 5058420865, 'qualifierId': 140, 'value': '38.8'}, {'id': 5058420867, 'qualifierId': 141, 'value': '30.9'}, {'id': 5058420869, 'qualifierId': 212, 'value': '8.2'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;d2v2vy5vpe9rs1h6y1a3zp8gk;Pass;;;;;;;;;;38,8;;8,2;30,9;;5,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;38,8;30,9;;;;;;;;0;0;14;The Town;14;DL;1,0
2692617723;9;1;1;0;16;dqx48fglv1l96cyrmjdod0xec;1;38,3;30,3;2024-05-27T01:31:07.181Z;2024-05-27T01:31:10Z;[{'id': 5058420907, 'qualifierId': 213, 'value': '4.98'}, {'id': 5058420903, 'qualifierId': 141, 'value': '4.6'}, {'id': 5058420905, 'qualifierId': 212, 'value': '18.1'}, {'id': 5058420899, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058420901, 'qualifierId': 140, 'value': '42.8'}];272xwghmibw1wnptcoz6xpex;A. Watts;;d2v2vy5vpe9rs1h6y1a3zp8gk;Pass;;;;;;;;;;42,8;;18,1;4,6;;4,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;42,8;4,6;;;;;;;;0;0;16;The Town;16;MC;1,0
