id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Captain;value_Involved;value_JerseyNumber;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_Length;value_Zone;value_PassEndY;value_LongBall;value_Chipped;value_IntendedTackleTarget;value_NextEventGoalKick;value_OppositeRelatedEventId;value_Low;value_GoalKick;value_Launch;value_HeadPass;value_Offensive;value_Defensive;value_FlickOn;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_LayOff;value_DeletedEventType;value_TouchTypeClearance;value_NotVisible;value_ThroughBall;value_Cross;value_OutSwinger;value_RightFooted;value_OverhitCross;value_LeftFooted;value_TakeOnSpace;value_TakeOnOvertake;value_Defensive1V1;value_AttemptedTackle;value_PenaltyTakerId;value_Penalty;value_BoxCentre;value_GkYTimeOfGoal;value_GkY;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GoalmouthY;value_GkX;value_GoalmouthZ;value_BigChance;value_NotAssisted;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_HighRight;value_Diving;value_Left;value_Scored;value_BlockedPass;value_BlockedCross;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_LowGkIntervention;value_HighClaim;value_OverArm;value_KeeperThrow;value_OutOfPlay;value_InSwinger;value_Head;value_HighGkIntervention;value_LastLine;value_Right;value_CornerTaken;value_TouchTypeControl;value_Handball;value_High;value_Assist;value_IndividualPlay;value_RegularPlay;value_RelatedEventId;value_Assisted;value_SwitchOfPlay;value_OutOfBoxCentre;value_IntentionalAssist;value_BlockedY;value_Blocked;value_BlockedX;value_LowCentre;value_BoxRight;value_HitLeftPost;value_HitWoodwork;value_DefBlock;value_PullBack;value_Injury;value_InjuredPlayerId;value_AerialFoul;value_1On1;value_2NdAssist;value_FirstTouch;value_2NdAssisted;value_2NdRelatedEventId;value_HighCentre;value_PlayersCaughtOffside;value_Indirect;value_LowLeft;value_SetPiece;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_FreeKick;value_Minutes;value_HighLeft;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_MediumGkIntervention;value_LowRight;value_ParriedSafe;value_Hands;value_MisHit;value_NotPastGoalLine;value_FromCorner;value_DrivenCross;value_Straight;value_FloatedCross;value_Volley;value_Weak;value_FastBreak;value_Overrun;value_RecklessOffence;value_GkKickFromHands;value_SixYardBlocked;value_SmallBoxRight;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_HitBar;value_ParriedDanger;value_SmallBoxCentre;value_GoesToPenalties;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695037691;216;49;1;20;25;7fbej4xwoq4imaf5l39304m37;1;27,5;74,4;2024-06-07T23:23:57.779Z;2024-06-07T23:23:57Z;[];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;;;dau7b6zlp8fz4jbrs2q4q115g;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;20;25;Houston Dynamo II;1225;MC;1,0
2695037693;217;1;1;20;26;7fbej4xwoq4imaf5l39304m37;1;30,2;72,4;2024-06-07T23:23:58.195Z;2024-06-07T23:23:59Z;[{'id': 5071730215, 'qualifierId': 141, 'value': '61.5'}, {'id': 5071730219, 'qualifierId': 213, 'value': '4.52'}, {'id': 5071730211, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071730213, 'qualifierId': 140, 'value': '28.8'}, {'id': 5071730217, 'qualifierId': 212, 'value': '7.6'}];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;28,8;4,52;7,6;;61,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;28,8;61,5;;;;;;;;0;20;26;Houston Dynamo II;1226;MC;1,0
2695037699;218;1;1;20;27;7fbej4xwoq4imaf5l39304m37;1;28,8;61,5;2024-06-07T23:23:59.075Z;2024-06-07T23:24:02Z;[{'id': 5071730259, 'qualifierId': 212, 'value': '13.7'}, {'id': 5071730255, 'qualifierId': 140, 'value': '19.4'}, {'id': 5071730253, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071730261, 'qualifierId': 213, 'value': '2.37'}, {'id': 5071730257, 'qualifierId': 141, 'value': '75.5'}];c7luarkv7hwdspd9xhidhisk4;C. Tschantret;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;19,4;2,37;13,7;;75,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;19,4;75,5;;;;;;;;0;20;27;Houston Dynamo II;1227;MC;1,0
2695037713;219;1;1;20;30;7fbej4xwoq4imaf5l39304m37;1;21,7;73,3;2024-06-07T23:24:02.419Z;2024-06-07T23:24:06Z;[{'id': 5071730329, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071730331, 'qualifierId': 140, 'value': '20.6'}, {'id': 5071730337, 'qualifierId': 213, 'value': '4.67'}, {'id': 5071730335, 'qualifierId': 212, 'value': '25.9'}, {'id': 5071730333, 'qualifierId': 141, 'value': '35.2'}];4sw7pq7xhnf7pqii16lhtf7ro;H. Ališah;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;20,6;4,67;25,9;;35,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;20,6;35,2;;;;;;;;0;20;30;Houston Dynamo II;1230;DC;1,0
2695037735;220;1;1;20;33;7fbej4xwoq4imaf5l39304m37;1;20,1;32,9;2024-06-07T23:24:06.019Z;2024-06-07T23:24:12Z;[{'id': 5071730515, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071730517, 'qualifierId': 140, 'value': '30.4'}, {'id': 5071730521, 'qualifierId': 212, 'value': '10.8'}, {'id': 5071730519, 'qualifierId': 141, 'value': '32.1'}, {'id': 5071730523, 'qualifierId': 213, 'value': '6.23'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;30,4;6,23;10,8;;32,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;30,4;32,1;;;;;;;;0;20;33;Houston Dynamo II;1233;DL;1,0
2695037737;221;1;1;20;40;7fbej4xwoq4imaf5l39304m37;1;29,0;29,2;2024-06-07T23:24:12.659Z;2024-06-07T23:24:16Z;[{'id': 5071730589, 'qualifierId': 213, 'value': '5.14'}, {'id': 5071730581, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071730583, 'qualifierId': 140, 'value': '33.8'}, {'id': 5071730587, 'qualifierId': 212, 'value': '12.2'}, {'id': 5071730585, 'qualifierId': 141, 'value': '12.9'}];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;33,8;5,14;12,2;;12,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;33,8;12,9;;;;;;;;0;20;40;Houston Dynamo II;1240;MC;1,0
2695037739;222;4;1;20;42;7fbej4xwoq4imaf5l39304m37;1;30,0;8,0;2024-06-07T23:24:14.675Z;2024-06-14T14:26:54Z;[{'id': 5071730605, 'qualifierId': 265}, {'id': 5071730599, 'qualifierId': 13}, {'id': 5071730607, 'qualifierId': 285}, {'id': 5071730629, 'qualifierId': 233, 'value': '162'}, {'id': 5071730603, 'qualifierId': 152}, {'id': 5071730601, 'qualifierId': 56, 'value': 'Back'}];32t6g252ti1peycjite40qiy2;R. Hațegan;;;dau7b6zlp8fz4jbrs2q4q115g;Foul;;;;;;;;;;;;;;;;;;;;162,0;;;;;;1,0;;;1,0;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;20;42;Houston Dynamo II;1242;FWR;1,0
2695037741;162;4;1;20;42;7pmw399vh2v44cjle4fkklp1w;0;70,0;92,0;2024-06-07T23:24:14.676Z;2024-06-14T14:26:56Z;[{'id': 5071730627, 'qualifierId': 286}, {'id': 5071730623, 'qualifierId': 152}, {'id': 5071730619, 'qualifierId': 13}, {'id': 5071730621, 'qualifierId': 56, 'value': 'Left'}, {'id': 5071730625, 'qualifierId': 265}, {'id': 5071730633, 'qualifierId': 233, 'value': '222'}];1es4nynrpc8sz3enj46i9zeok;Josué;;;dau7b6zlp8fz4jbrs2q4q115g;Foul;;;;;;;;;;;;;;;;;;;;222,0;;;;;1,0;;;;1,0;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;20;42;Sporting KC II;1242;MC;1,0
2695037749;223;1;1;20;53;7fbej4xwoq4imaf5l39304m37;1;29,1;8,5;2024-06-07T23:24:25.843Z;2024-06-07T23:24:26Z;[{'id': 5071730673, 'qualifierId': 5}, {'id': 5071730677, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071730683, 'qualifierId': 212, 'value': '7.3'}, {'id': 5071730679, 'qualifierId': 140, 'value': '24.6'}, {'id': 5071730681, 'qualifierId': 141, 'value': '16.6'}, {'id': 5071730675, 'qualifierId': 152}, {'id': 5071730685, 'qualifierId': 213, 'value': '2.28'}];32t6g252ti1peycjite40qiy2;R. Hațegan;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;24,6;2,28;7,3;;16,6;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;24,6;16,6;;;;;;;;0;20;53;Houston Dynamo II;1253;FWR;1,0
2695037755;224;1;1;20;54;7fbej4xwoq4imaf5l39304m37;1;24,6;16,6;2024-06-07T23:24:26.531Z;2024-06-07T23:24:28Z;[{'id': 5071730733, 'qualifierId': 140, 'value': '35.3'}, {'id': 5071730735, 'qualifierId': 141, 'value': '4.4'}, {'id': 5071730737, 'qualifierId': 212, 'value': '14.0'}, {'id': 5071730739, 'qualifierId': 213, 'value': '5.65'}, {'id': 5071730731, 'qualifierId': 56, 'value': 'Back'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;35,3;5,65;14,0;;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;35,3;4,4;;;;;;;;0;20;54;Houston Dynamo II;1254;DL;1,0
