id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Involved;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_TeamKit;value_Resume;value_PlayerPosition;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Length;value_Angle;value_Zone;value_PassEndY;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_TouchTypePass;value_DeletedEventType;value_LayOff;value_BlockedPass;value_OutOfPlay;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_InSwinger;value_Chipped;value_Cross;value_RightFooted;value_PullBack;value_LeadingToGoal;value_FantasyAssistTeam;value_SmallBoxRight;value_LowCentre;value_GkYTimeOfGoal;value_GoalShotGameClock;value_NotAssisted;value_Head;value_GoalmouthZ;value_FantasyAssistId;value_GkY;value_FantasyAssistedBy;value_FirstTouch;value_FantasyAssistType;value_RelatedError1Id;value_BigChance;value_RegularPlay;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkX;value_GoalmouthY;value_MediumGkIntervention;value_KeeperThrow;value_TakeOnOvertake;value_LeadingToAttempt;value_BlockedX;value_BoxLeft;value_LeftFooted;value_LowLeft;value_IndividualPlay;value_BlockedY;value_LowGkIntervention;value_Diving;value_ParriedSafe;value_Hands;value_Left;value_CornerTaken;value_HighGkIntervention;value_Assist;value_BoxCentre;value_Volley;value_FromCorner;value_Assisted;value_RelatedEventId;value_Weak;value_Collected;value_Standing;value_OverArm;value_IntendedTackleTarget;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_IntentionalAssist;value_Blocked;value_BoxRight;value_DefBlock;value_Overrun;value_PlayersCaughtOffside;value_Indirect;value_Review;value_Shove/Push;value_TakeOnSpace;value_TouchTypeControl;value_SwitchOfPlay;value_OutSwinger;value_ParriedDanger;value_KeeperTouched;value_LowRight;value_FastBreak;value_Stooping;value_NextEventGoalKick;value_GoalKick;value_Low;value_TacticalFoul;value_YellowCard;value_NotVisible;value_Argument;value_ViolentConduct;value_RedCard;value_HitWoodwork;value_HitBar;value_OutOfBoxCentre;value_HighCentre;value_Reaching;value_Right;value_ShirtPull/Holding;value_Minutes;value_High;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Defensive1V1;value_SmallBoxCentre;value_Dissent;value_OutOfBoxDeepLeft;value_HighRight;value_CloseLeftAndHigh;value_BoxDeepLeft;value_OverhitCross;value_HighClaim;value_GkKickFromHands;value_RecklessOffence;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2670715615;270;1;1;29;28;csntc7hucmo21gknxc5y0kc4q;1;56,4;62,7;2024-04-10T22:33:08.242Z;2024-04-10T22:33:13Z;[{'id': 4939533365, 'qualifierId': 140, 'value': '72.0'}, {'id': 4939533369, 'qualifierId': 212, 'value': '30.4'}, {'id': 4939533367, 'qualifierId': 141, 'value': '25.0'}, {'id': 4939533363, 'qualifierId': 56, 'value': 'Center'}, {'id': 4939533371, 'qualifierId': 213, 'value': '5.28'}];c8wq3ofarkeeisqr49fhrvwno;C. Oliveira;;;c2wdvwdq5763cequ5moia2qs4;Pass;;;;;;;;;;;72,0;30,4;5,28;;25,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;72,0;25,0;;;;;;;0;0;29;28;Cincinnati II;1768;AMC;1,0
2670715621;271;1;1;29;33;csntc7hucmo21gknxc5y0kc4q;1;77,2;41,0;2024-04-10T22:33:12.961Z;2024-04-10T22:33:14Z;[{'id': 4939533393, 'qualifierId': 141, 'value': '20.9'}, {'id': 4939533397, 'qualifierId': 213, 'value': '5.09'}, {'id': 4939533395, 'qualifierId': 212, 'value': '14.7'}, {'id': 4939533389, 'qualifierId': 56, 'value': 'Right'}, {'id': 4939533391, 'qualifierId': 140, 'value': '82.3'}];69ypla76c710iv0yegix1maz8;Marcos Dias;;;c2wdvwdq5763cequ5moia2qs4;Pass;;;;;;;;;;;82,3;14,7;5,09;;20,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;82,3;20,9;;;;;;;0;0;29;33;Cincinnati II;1773;AMR;1,0
2670715629;272;1;1;29;34;csntc7hucmo21gknxc5y0kc4q;1;82,4;20,9;2024-04-10T22:33:14.225Z;2024-04-11T00:30:02Z;[{'id': 4939533453, 'qualifierId': 213, 'value': '1.05'}, {'id': 4939533447, 'qualifierId': 140, 'value': '88.8'}, {'id': 4939533943, 'qualifierId': 210, 'value': '15'}, {'id': 4939677737, 'qualifierId': 154}, {'id': 4939533445, 'qualifierId': 56, 'value': 'Center'}, {'id': 4939533449, 'qualifierId': 141, 'value': '38.0'}, {'id': 4939533451, 'qualifierId': 212, 'value': '13.4'}];dbyiafdyf93b8rtpceqitgopg;D. McIntosh;1,0;;c2wdvwdq5763cequ5moia2qs4;Pass;;;;;;;;;;;88,8;13,4;1,05;;38,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;88,8;38,0;;;;;;;0;0;29;34;Cincinnati II;1774;DR;1,0
2670715635;273;15;1;29;36;csntc7hucmo21gknxc5y0kc4q;1;90,5;40,7;2024-04-10T22:33:16.072Z;2024-04-23T07:13:36Z;[{'id': 4939533969, 'qualifierId': 231, 'value': '45.5'}, {'id': 4939533467, 'qualifierId': 22}, {'id': 4939533963, 'qualifierId': 146, 'value': '94.1'}, {'id': 4939533949, 'qualifierId': 29}, {'id': 4974354599, 'qualifierId': 76}, {'id': 4939533469, 'qualifierId': 17}, {'id': 4939533967, 'qualifierId': 230, 'value': '96.4'}, {'id': 4939533955, 'qualifierId': 102, 'value': '52.8'}, {'id': 4939533835, 'qualifierId': 82}, {'id': 4939533471, 'qualifierId': 56, 'value': 'Center'}, {'id': 4939677741, 'qualifierId': 154}, {'id': 4939533957, 'qualifierId': 103, 'value': '5.6'}, {'id': 4939533965, 'qualifierId': 147, 'value': '44.6'}, {'id': 4939533951, 'qualifierId': 55, 'value': '272'}, {'id': 4939533831, 'qualifierId': 20}, {'id': 4939533975, 'qualifierId': 233, 'value': '313'}];69ypla76c710iv0yegix1maz8;Marcos Dias;;;c2wdvwdq5763cequ5moia2qs4;Attempt Saved;;;;;;;;;;;;;;;;;;313,0;;;;;;;;;;;;;;;;1,0;;;;;;;;;;5,6;;45,5;;;;;;1,0;;;96,4;52,8;;;;;94,1;;;1,0;;44,6;;;;;;;;;1,0;;;1,0;272,0;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;94,1;44,6;52,8;5.6;272,0;dbyiafdyf93b8rtpceqitgopg;0;0;29;36;Cincinnati II;1776;AMR;1,0
2670715643;313;10;1;29;36;bd0378yx50xpdcgwkt9p9bmz8;1;7,0;55,8;2024-04-10T22:33:16.172Z;2024-04-23T07:13:40Z;[{'id': 4939533509, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939533507, 'qualifierId': 94}, {'id': 4939533983, 'qualifierId': 233, 'value': '273'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;c2wdvwdq5763cequ5moia2qs4;Save;;;;;;;;;;;;;;;;;;273,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;29;36;New England II;1776;DC;1,0
2670715649;274;1;1;29;39;csntc7hucmo21gknxc5y0kc4q;0;97,7;28,8;2024-04-10T22:33:18.449Z;2024-04-16T17:11:12Z;[{'id': 4956350469, 'qualifierId': 20}, {'id': 4939533543, 'qualifierId': 141, 'value': '57.9'}, {'id': 4939533547, 'qualifierId': 213, 'value': '1.77'}, {'id': 4939533535, 'qualifierId': 2}, {'id': 4939533539, 'qualifierId': 56, 'value': 'Center'}, {'id': 4956350467, 'qualifierId': 224}, {'id': 4939533545, 'qualifierId': 212, 'value': '20.2'}, {'id': 4939533537, 'qualifierId': 155}, {'id': 4939533541, 'qualifierId': 140, 'value': '93.9'}];69ypla76c710iv0yegix1maz8;Marcos Dias;;;c2wdvwdq5763cequ5moia2qs4;Pass;;;;;;;;;;;93,9;20,2;1,77;;57,9;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;93,9;57,9;;;;;;;0;0;29;39;Cincinnati II;1779;AMR;1,0
2670715659;314;12;1;29;41;bd0378yx50xpdcgwkt9p9bmz8;1;7,5;48,9;2024-04-10T22:33:20.640Z;2024-04-10T22:33:21Z;[{'id': 4939533609, 'qualifierId': 15}, {'id': 4939533587, 'qualifierId': 140, 'value': '17.8'}, {'id': 4939533589, 'qualifierId': 141, 'value': '54.8'}, {'id': 4939533591, 'qualifierId': 212, 'value': '11.5'}, {'id': 4939533585, 'qualifierId': 56, 'value': 'Back'}, {'id': 4939533593, 'qualifierId': 213, 'value': '0.36'}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;c2wdvwdq5763cequ5moia2qs4;Clearance;;;;;;;;;;;17,8;11,5;0,36;;54,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;17,8;54,8;;;;;;;0;0;29;41;New England II;1781;DC;1,0
2670715679;315;49;1;29;45;bd0378yx50xpdcgwkt9p9bmz8;1;23,5;55,4;2024-04-10T22:33:24.555Z;2024-04-10T22:33:24Z;[];bfm4xr4ue74v0li53slarf9t6;P. Mangione;;;c2wdvwdq5763cequ5moia2qs4;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;29;45;New England II;1785;AMC;1,0
2670715689;316;1;1;29;46;bd0378yx50xpdcgwkt9p9bmz8;1;23,5;55,4;2024-04-10T22:33:26.032Z;2024-04-10T22:33:30Z;[{'id': 4939533755, 'qualifierId': 212, 'value': '37.4'}, {'id': 4939533759, 'qualifierId': 1}, {'id': 4939533751, 'qualifierId': 140, 'value': '57.2'}, {'id': 4939533749, 'qualifierId': 56, 'value': 'Center'}, {'id': 4939533747, 'qualifierId': 155}, {'id': 4939533757, 'qualifierId': 213, 'value': '0.33'}, {'id': 4939533753, 'qualifierId': 141, 'value': '73.4'}];bfm4xr4ue74v0li53slarf9t6;P. Mangione;;;c2wdvwdq5763cequ5moia2qs4;Pass;;;;;;;;;;;57,2;37,4;0,33;;73,4;1,0;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;57,2;73,4;;;;;;;0;0;29;46;New England II;1786;AMC;1,0
2670715691;317;4;1;29;50;bd0378yx50xpdcgwkt9p9bmz8;1;56,5;72,5;2024-04-10T22:33:29.984Z;2024-04-10T22:33:32Z;[{'id': 4939533783, 'qualifierId': 286}, {'id': 4939533777, 'qualifierId': 294}, {'id': 4939533779, 'qualifierId': 56, 'value': 'Center'}, {'id': 4939533775, 'qualifierId': 13}, {'id': 4939533781, 'qualifierId': 152}, {'id': 4939533789, 'qualifierId': 233, 'value': '275'}];9asj8t10cvfumot9hr3dprsic;B. Stitz;;;c2wdvwdq5763cequ5moia2qs4;Foul;;;;;;;;;;;;;;;;;;275,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;29;50;New England II;1790;FW;1,0
