id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Captain;value_Resume;value_PlayerPosition;value_JerseyNumber;value_TeamFormation;value_TeamKit;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_Angle;value_PassEndX;value_KickOff;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_FlickOn;value_HeadPass;value_OppositeRelatedEventId;value_Left;value_RightFooted;value_Chipped;value_CornerTaken;value_InSwinger;value_Cross;value_Head;value_Defensive;value_Offensive;value_DeletedEventType;value_TouchTypeControl;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_LeftFooted;value_OutSwinger;value_BlockedCross;value_TakeOnOvertake;value_OutOfPlay;value_TouchTypeClearance;value_IntendedTackleTarget;value_GoalmouthZ;value_BoxCentre;value_HighCentre;value_BlockedY;value_IndividualPlay;value_BlockedX;value_NotAssisted;value_RegularPlay;value_GoalmouthY;value_MediumGkIntervention;value_ParriedSafe;value_Sliding;value_Hands;value_YellowCard;value_RecklessOffence;value_NotVisible;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Assist;value_LayOff;value_IntentionalAssist;value_RelatedEventId;value_GkY;value_GkX;value_CloseLeft;value_Assisted;value_FirstTouch;value_OutOfBoxCentre;value_NextEventGoalKick;value_Low;value_GoalKick;value_Overrun;value_High;value_ShirtPull/Holding;value_HitBar;value_HitWoodwork;value_TouchTypePass;value_Blocked;value_LowRight;value_SwerveLeft;value_DefBlock;value_Shove/Push;value_SwitchOfPlay;value_TakeOnSpace;value_KeeperThrow;value_GkYTimeOfGoal;value_SmallBoxCentre;value_GkXTimeOfGoal;value_GoalShotGameClock;value_BigChance;value_LowLeft;value_GoalShotTimestamp;value_PlayersCaughtOffside;value_Indirect;value_SetPiece;value_Diving;value_ParriedDanger;value_LowGkIntervention;value_OverArm;value_TacticalFoul;value_HighGkIntervention;value_LowCentre;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_AerialFoul;value_InjuredPlayerId;value_Injury;value_Straight;value_DrivenCross;value_LeadingToAttempt;value_RelatedError1Id;value_Reaching;value_HighRight;value_SecondYellow;value_FloatedCross;value_Volley;value_LastLine;value_ThroughBall;value_FromCorner;value_BoxRight;value_Right;value_GkKickFromHands;value_SwerveRight;value_NotRetreating;value_Collected;value_Standing;value_GoesToPenalties;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_HighLeft;value_HitLeftPost;value_KeeperTouched;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2669656911;232;1;1;24;6;dqx48fglv1l96cyrmjdod0xec;1;61,4;92,3;2024-04-07T23:27:20.677Z;2024-04-07T23:27:25Z;[{'id': 4933874861, 'qualifierId': 141, 'value': '78.5'}, {'id': 4933874859, 'qualifierId': 140, 'value': '66.0'}, {'id': 4933874865, 'qualifierId': 213, 'value': '5.19'}, {'id': 4933874863, 'qualifierId': 212, 'value': '10.6'}, {'id': 4933874855, 'qualifierId': 3}, {'id': 4933874857, 'qualifierId': 56, 'value': 'Center'}];7zkzjmk1go1u2vi5qkqlmezu;J. Reid;;;c1etawep1i094oe5s0skidw5w;Pass;;;;;;;;;;10,6;5,19;66,0;;78,5;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;66,0;78,5;;;;;;;;0;24;6;Portland Timbers II;1446;DC;1,0
2669656915;218;4;1;24;11;5ou8b446l1sl8frblkz3xi17g;1;35,4;22,5;2024-04-07T23:27:25.189Z;2024-04-07T23:27:28Z;[{'id': 4933874957, 'qualifierId': 56, 'value': 'Back'}, {'id': 4933874967, 'qualifierId': 233, 'value': '233'}, {'id': 4933874963, 'qualifierId': 286}, {'id': 4933874955, 'qualifierId': 295}, {'id': 4933874953, 'qualifierId': 13}, {'id': 4933874961, 'qualifierId': 265}, {'id': 4933874959, 'qualifierId': 152}];druwx3n136woly4objqgk7tp0;A. Enriquez;;;c1etawep1i094oe5s0skidw5w;Foul;;;;;;;;;;;;;;;;;;;;233,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;24;11;St. Louis City II;1451;MC;1,0
2669656919;233;4;1;24;11;dqx48fglv1l96cyrmjdod0xec;0;64,6;77,5;2024-04-07T23:27:25.190Z;2024-04-07T23:27:28Z;[{'id': 4933874985, 'qualifierId': 233, 'value': '218'}, {'id': 4933874917, 'qualifierId': 152}, {'id': 4933874921, 'qualifierId': 285}, {'id': 4933874913, 'qualifierId': 295}, {'id': 4933874915, 'qualifierId': 56, 'value': 'Center'}, {'id': 4933874911, 'qualifierId': 13}, {'id': 4933874919, 'qualifierId': 265}];e9jko5f45qmjw3va7cp05l5w4;Hosei Kijima;;;c1etawep1i094oe5s0skidw5w;Foul;;;;;;;;;;;;;;;;;;;;218,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;24;11;Portland Timbers II;1451;MC;1,0
2669656997;219;1;1;24;28;5ou8b446l1sl8frblkz3xi17g;0;42,5;23,6;2024-04-07T23:27:42.508Z;2024-04-07T23:27:44Z;[{'id': 4933875271, 'qualifierId': 141, 'value': '20.7'}, {'id': 4933875265, 'qualifierId': 152}, {'id': 4933875263, 'qualifierId': 155}, {'id': 4933875269, 'qualifierId': 140, 'value': '71.6'}, {'id': 4933875275, 'qualifierId': 213, 'value': '6.22'}, {'id': 4933875273, 'qualifierId': 212, 'value': '30.6'}, {'id': 4933875261, 'qualifierId': 5}, {'id': 4933875267, 'qualifierId': 56, 'value': 'Right'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;c1etawep1i094oe5s0skidw5w;Pass;;;;;;;;;;30,6;6,22;71,6;;20,7;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;71,6;20,7;;;;;;;;0;24;28;St. Louis City II;1468;DL;1,0
2669657001;234;8;1;24;31;dqx48fglv1l96cyrmjdod0xec;1;21,6;88,1;2024-04-07T23:27:44.789Z;2024-04-12T15:19:37Z;[{'id': 4941809661, 'qualifierId': 385}, {'id': 4933875297, 'qualifierId': 56, 'value': 'Back'}, {'id': 4933875305, 'qualifierId': 15}];7zkzjmk1go1u2vi5qkqlmezu;J. Reid;;;c1etawep1i094oe5s0skidw5w;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;24;31;Portland Timbers II;1471;DC;1,0
2669657029;220;5;1;24;33;5ou8b446l1sl8frblkz3xi17g;1;54,7;-1,2;2024-04-07T23:27:46.835Z;2024-04-07T23:27:50Z;[{'id': 4933875437, 'qualifierId': 233, 'value': '235'}, {'id': 4933875431, 'qualifierId': 347}, {'id': 4933875429, 'qualifierId': 56, 'value': 'Right'}];a89drfd4adts1cbtqa77l1boq;B. Pope;;;c1etawep1i094oe5s0skidw5w;Out;;;;;;;;;;;;;;;;;;;;235,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;24;33;St. Louis City II;1473;DR;1,0
2669657015;235;5;1;24;33;dqx48fglv1l96cyrmjdod0xec;0;45,3;101,2;2024-04-07T23:27:46.835Z;2024-04-07T23:28:01Z;[{'id': 4933875453, 'qualifierId': 233, 'value': '220'}, {'id': 4933875363, 'qualifierId': 347}, {'id': 4933875361, 'qualifierId': 56, 'value': 'Back'}];7zkzjmk1go1u2vi5qkqlmezu;J. Reid;;;c1etawep1i094oe5s0skidw5w;Out;;;;;;;;;;;;;;;;;;;;220,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;24;33;Portland Timbers II;1473;DC;1,0
2669657057;221;1;1;24;36;5ou8b446l1sl8frblkz3xi17g;1;45,5;0,0;2024-04-07T23:27:50.492Z;2024-04-07T23:27:56Z;[{'id': 4933875611, 'qualifierId': 140, 'value': '28.0'}, {'id': 4933875609, 'qualifierId': 56, 'value': 'Back'}, {'id': 4933875619, 'qualifierId': 1}, {'id': 4933875615, 'qualifierId': 212, 'value': '26.8'}, {'id': 4933875607, 'qualifierId': 107}, {'id': 4933875613, 'qualifierId': 141, 'value': '27.4'}, {'id': 4933875617, 'qualifierId': 213, 'value': '2.33'}];a89drfd4adts1cbtqa77l1boq;B. Pope;;;c1etawep1i094oe5s0skidw5w;Pass;;;;;;;;;;26,8;2,33;28,0;;27,4;;1,0;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;28,0;27,4;;;;;;;;0;24;36;St. Louis City II;1476;DR;1,0
2669657075;222;1;1;24;42;5ou8b446l1sl8frblkz3xi17g;0;25,0;20,0;2024-04-07T23:27:56.382Z;2024-04-07T23:28:00Z;[{'id': 4933875699, 'qualifierId': 1}, {'id': 4933875689, 'qualifierId': 56, 'value': 'Center'}, {'id': 4933875691, 'qualifierId': 140, 'value': '77.6'}, {'id': 4933875697, 'qualifierId': 213, 'value': '0.19'}, {'id': 4933875695, 'qualifierId': 212, 'value': '56.2'}, {'id': 4933875693, 'qualifierId': 141, 'value': '35.4'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;c1etawep1i094oe5s0skidw5w;Pass;;;;;;;;;;56,2;0,19;77,6;;35,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;77,6;35,4;;;;;;;;0;24;42;St. Louis City II;1482;DL;1,0
2669657089;236;49;1;24;47;dqx48fglv1l96cyrmjdod0xec;1;20,5;63,2;2024-04-07T23:28:01.463Z;2024-04-07T23:28:02Z;[];37vbc16ejxmfkssydcdxq69zo;N. Bishop;;;c1etawep1i094oe5s0skidw5w;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;24;47;Portland Timbers II;1487;GK;1,0
