region,tournament,season,stage,competition,date,time_or_status,home_team,away_team,match_id,home_score,away_score,home_odds,draw_odds,away_odds
252,7,2024-2025,10343,england-championship,"Friday, Aug 09 2024",FT,Preston,Sheffield United,1827726,0,2,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 11 2025",FT,Portsmouth,Cardiff,1827901,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 08 2025",FT,Sheffield United,Portsmouth,1827735,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 08 2025",FT,Norwich,Derby,1827774,1,1,,,
252,7,2024-2025,10343,england-championship,"Sunday, Feb 09 2025",FT,Bristol City,Swansea,1827897,0,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 11 2025",FT,Coventry,Queens Park Rangers,1827746,1,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 11 2025",,Derby,Oxford,1827748,0,0,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 11 2025",FT,Watford,Leeds,1827754,0,4,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 11 2025",FT,Norwich,Preston,1827750,0,1,,,
252,7,2024-2025,10343,england-championship,"Friday, Feb 14 2025",FT,Queens Park Rangers,Derby,1827795,4,0,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 12 2025",FT,Plymouth,Millwall,1827732,5,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 12 2025",FT,Bristol City,Stoke,1827744,2,0,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 12 2025",FT,Sunderland,Luton,1827760,2,0,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 12 2025",FT,Burnley,Hull,1827756,2,0,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 12 2025",FT,Swansea,Sheffield Wednesday,1827903,0,1,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 12 2025",FT,Sheffield United,Middlesbrough,1827758,3,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 08 2025",FT,West Bromwich Albion,Sheffield Wednesday,1827741,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 08 2025",FT,Sunderland,Watford,1827739,2,2,,,
252,7,2024-2025,10343,england-championship,"Wednesday, Feb 05 2025",FT,Coventry,Leeds,1827765,0,2,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 04 2025",FT,Queens Park Rangers,Blackburn,1827733,2,1,,,
252,7,2024-2025,10343,england-championship,"Tuesday, Feb 04 2025",FT,Burnley,Oxford,1827763,1,0,,,
252,7,2024-2025,10343,england-championship,"Monday, Feb 03 2025",FT,Middlesbrough,Sunderland,1827749,2,3,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Hull,Stoke,1827747,1,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Derby,Sheffield United,1827745,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Sheffield Wednesday,Luton,1827759,1,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",,Portsmouth,Burnley,1827757,0,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Millwall,Queens Park Rangers,1827731,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Leeds,Cardiff,1827913,7,0,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Swansea,Coventry,1827895,0,2,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Watford,Norwich,1827761,0,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Plymouth,West Bromwich Albion,1827755,2,1,,,
252,7,2024-2025,10343,england-championship,"Saturday, Feb 01 2025",FT,Oxford,Bristol City,1827753,1,1,,,
252,7,2024-2025,10343,england-championship,"Friday, Jan 31 2025",FT,Blackburn,Preston,1827743,2,1,,,
